Hybrid_Schedule,Round,Configs,Epochs,Hit_Probability,Regret
Moderate_Linear,1,100,1,1.0,0.0
Moderate_Linear,2,80,10,0.8,0.000172
Moderate_Linear,3,60,30,0.6,0.000279
Moderate_Linear,4,40,100,1.0,0.0
Moderate_Linear,5,1,100,1.0,0.0
Moderate_Standard,1,100,1,1.0,0.0
Moderate_Standard,2,50,10,0.2,0.000628
Moderate_Standard,3,25,30,0.6,0.0
Moderate_Standard,4,12,100,1.0,0.0
Moderate_Standard,5,1,100,1.0,0.0
Moderate_Aggressive,1,100,1,1.0,0.0
Moderate_Aggressive,2,20,10,0.0,0.000886
Moderate_Aggressive,3,5,30,1.0,0.0
Moderate_Aggressive,4,1,100,1.0,0.0
Moderate_Gradual,1,100,1,1.0,0.0
Moderate_Gradual,2,90,10,0.8,0.000102
Moderate_Gradual,3,80,30,1.0,0.0
Moderate_Gradual,4,70,100,1.0,0.0
Moderate_Gradual,5,1,100,0.2,0.000709
Moderate_TwoStage,1,100,1,1.0,0.0
Moderate_TwoStage,2,50,10,0.2,0.000628
Moderate_TwoStage,3,25,30,0.6,0.0
Moderate_TwoStage,4,1,100,1.0,0.0
Aggressive_Linear,1,100,1,1.0,0.0
Aggressive_Linear,2,80,20,0.6,0.000344
Aggressive_Linear,3,60,100,0.2,2.1e-05
Aggressive_Linear,4,1,100,0.2,2.1e-05
Aggressive_Standard,1,100,1,1.0,0.0
Aggressive_Standard,2,50,20,0.2,0.000693
Aggressive_Standard,3,25,100,0.2,2.1e-05
Aggressive_Standard,4,1,100,0.2,2.1e-05
Aggressive_Aggressive,1,100,1,1.0,0.0
Aggressive_Aggressive,2,20,20,0.0,0.00087
Aggressive_Aggressive,3,5,100,1.0,0.0
Aggressive_Aggressive,4,1,100,1.0,0.0
Aggressive_Gradual,1,100,1,1.0,0.0
Aggressive_Gradual,2,90,20,0.8,0.000102
Aggressive_Gradual,3,80,100,1.0,0.0
Aggressive_Gradual,4,1,100,0.2,0.00138
Aggressive_TwoStage,1,100,1,1.0,0.0
Aggressive_TwoStage,2,50,20,0.2,0.000693
Aggressive_TwoStage,3,25,100,0.2,2.1e-05
Aggressive_TwoStage,4,1,100,0.2,2.1e-05
Conservative_Linear,1,100,5,1.0,0.0
Conservative_Linear,2,80,20,0.6,0.000344
Conservative_Linear,3,60,50,0.0,2.7e-05
Conservative_Linear,4,40,75,1.0,0.0
Conservative_Linear,5,20,100,1.0,0.0
Conservative_Linear,6,1,100,1.0,0.0
Conservative_Standard,1,100,5,1.0,0.0
Conservative_Standard,2,50,20,0.2,0.000698
Conservative_Standard,3,25,50,0.0,2.7e-05
Conservative_Standard,4,12,75,1.0,0.0
Conservative_Standard,5,6,100,1.0,0.0
Conservative_Standard,6,1,100,1.0,0.0
Conservative_Aggressive,1,100,5,1.0,0.0
Conservative_Aggressive,2,20,20,0.2,0.000709
Conservative_Aggressive,3,5,50,1.0,0.0
Conservative_Aggressive,4,1,75,1.0,0.0
Conservative_Gradual,1,100,5,1.0,0.0
Conservative_Gradual,2,90,20,0.8,0.000102
Conservative_Gradual,3,80,50,1.0,0.0
Conservative_Gradual,4,70,75,0.6,0.000344
Conservative_Gradual,5,60,100,1.0,0.0
Conservative_Gradual,6,1,100,0.2,0.000703
Conservative_TwoStage,1,100,5,1.0,0.0
Conservative_TwoStage,2,50,20,0.2,0.000698
Conservative_TwoStage,3,25,50,0.0,2.7e-05
Conservative_TwoStage,4,1,75,1.0,0.0
VeryAggressive_Linear,1,100,1,1.0,0.0
VeryAggressive_Linear,2,80,50,1.0,0.0
VeryAggressive_Linear,3,60,100,1.0,0.0
VeryAggressive_Linear,4,1,100,0.2,0.000703
VeryAggressive_Standard,1,100,1,1.0,0.0
VeryAggressive_Standard,2,50,50,1.0,0.0
VeryAggressive_Standard,3,25,100,1.0,0.0
VeryAggressive_Standard,4,1,100,0.2,0.000703
VeryAggressive_Aggressive,1,100,1,1.0,0.0
VeryAggressive_Aggressive,2,20,50,0.2,0.000623
VeryAggressive_Aggressive,3,5,100,1.0,0.0
VeryAggressive_Aggressive,4,1,100,0.2,0.000703
VeryAggressive_Gradual,1,100,1,1.0,0.0
VeryAggressive_Gradual,2,90,50,1.0,0.0
VeryAggressive_Gradual,3,80,100,1.0,0.0
VeryAggressive_Gradual,4,1,100,0.2,0.001369
VeryAggressive_TwoStage,1,100,1,1.0,0.0
VeryAggressive_TwoStage,2,50,50,1.0,0.0
VeryAggressive_TwoStage,3,25,100,1.0,0.0
VeryAggressive_TwoStage,4,1,100,0.2,0.000703
Standard_Linear,1,100,1,1.0,0.0
Standard_Linear,2,80,5,1.0,0.0
Standard_Linear,3,60,15,0.4,0.000532
Standard_Linear,4,40,30,0.2,0.0
Standard_Linear,5,20,50,1.0,0.0
Standard_Linear,6,1,70,1.0,0.0
Standard_Standard,1,100,1,1.0,0.0
Standard_Standard,2,50,5,0.2,0.000553
Standard_Standard,3,25,15,0.0,0.000886
Standard_Standard,4,12,30,1.0,0.0
Standard_Standard,5,6,50,1.0,0.0
Standard_Standard,6,3,70,1.0,0.0
Standard_Standard,7,1,100,1.0,0.0
Standard_Aggressive,1,100,1,1.0,0.0
Standard_Aggressive,2,20,5,0.2,0.000634
Standard_Aggressive,3,5,15,1.0,0.0
Standard_Aggressive,4,1,30,1.0,0.0
Standard_Gradual,1,100,1,1.0,0.0
Standard_Gradual,2,90,5,1.0,0.0
Standard_Gradual,3,80,15,0.8,0.000177
Standard_Gradual,4,70,30,0.8,0.000102
Standard_Gradual,5,60,50,1.0,0.0
Standard_Gradual,6,50,70,0.2,0.000687
Standard_Gradual,7,40,100,0.2,0.000703
Standard_Gradual,8,1,100,0.2,0.000703
Standard_TwoStage,1,100,1,1.0,0.0
Standard_TwoStage,2,50,5,0.2,0.000553
Standard_TwoStage,3,25,15,0.0,0.000886
Standard_TwoStage,4,1,30,1.0,0.0
