Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.007733,5
Moderate_Standard,0.4,0.00454,5
Moderate_Aggressive,0.6,0.000283,4
Moderate_Gradual,0.2,0.008014,5
Moderate_TwoStage,0.4,0.00454,4
Aggressive_Linear,0.2,0.008014,4
Aggressive_Standard,0.2,0.008014,4
Aggressive_Aggressive,0.6,0.000283,4
Aggressive_Gradual,0.2,0.008014,4
Aggressive_TwoStage,0.2,0.008014,4
Conservative_Linear,0.2,0.005645,6
Conservative_Standard,0.2,0.002534,6
Conservative_Aggressive,0.4,0.001522,4
Conservative_Gradual,0.2,0.008014,6
Conservative_TwoStage,0.4,0.00454,4
VeryAggressive_Linear,0.2,0.008014,4
VeryAggressive_Standard,0.2,0.008014,4
VeryAggressive_Aggressive,0.2,0.002534,4
VeryAggressive_Gradual,0.2,0.008014,4
VeryAggressive_TwoStage,0.2,0.008014,4
Standard_Linear,0.2,0.005665,6
Standard_Standard,0.6,0.000283,7
Standard_Aggressive,0.2,0.005585,4
Standard_Gradual,0.2,0.008014,8
Standard_TwoStage,0.2,0.006519,4
