Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.8,0.012382,5
Moderate_Standard,0.2,0.010395,5
Moderate_Aggressive,0.4,0.017427,4
Moderate_Gradual,0.8,0.012382,5
Moderate_TwoStage,0.2,0.010395,4
Aggressive_Linear,0.8,0.012382,4
Aggressive_Standard,0.8,0.012382,4
Aggressive_Aggressive,0.8,0.012382,4
Aggressive_Gradual,0.8,0.012382,4
Aggressive_TwoStage,0.8,0.012382,4
Conservative_Linear,0.8,0.012382,6
Conservative_Standard,0.8,0.012382,6
Conservative_Aggressive,0.8,0.012382,4
Conservative_Gradual,0.8,0.012382,6
Conservative_TwoStage,0.8,0.012382,4
VeryAggressive_Linear,0.8,0.012382,4
VeryAggressive_Standard,0.8,0.012382,4
VeryAggressive_Aggressive,0.8,0.012382,4
VeryAggressive_Gradual,0.8,0.012382,4
VeryAggressive_TwoStage,0.8,0.012382,4
Standard_Linear,0.8,0.012382,6
Standard_Standard,0.8,0.012382,7
Standard_Aggressive,0.4,0.001376,4
Standard_Gradual,0.8,0.012382,8
Standard_TwoStage,0.4,0.053707,4
