Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.0,0.014,5
Moderate_Standard,0.0,0.013,5
Moderate_Aggressive,0.4,0.019,4
Moderate_Gradual,0.0,0.013,5
Moderate_TwoStage,0.0,0.021,4
Aggressive_Linear,0.0,0.015,4
Aggressive_Standard,0.0,0.014,4
Aggressive_Aggressive,0.0,0.01,4
Aggressive_Gradual,0.0,0.013,4
Aggressive_TwoStage,0.0,0.014,4
Conservative_Linear,0.0,0.011,6
Conservative_Standard,0.0,0.009,6
Conservative_Aggressive,0.0,0.01,4
Conservative_Gradual,0.0,0.014,6
Conservative_TwoStage,0.0,0.019,4
VeryAggressive_Linear,0.0,0.016,4
VeryAggressive_Standard,0.0,0.014,4
VeryAggressive_Aggressive,0.2,0.007,4
VeryAggressive_Gradual,0.0,0.013,4
VeryAggressive_TwoStage,0.0,0.014,4
Standard_Linear,0.0,0.012,6
Standard_Standard,0.0,0.01,7
Standard_Aggressive,0.0,0.044,4
Standard_Gradual,0.0,0.016,8
Standard_TwoStage,0.2,0.032,4
