Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.8,0.000301,5
Moderate_Standard,0.0,0.000602,5
Moderate_Aggressive,1.0,0.0,4
Moderate_Gradual,1.0,0.0,5
Moderate_TwoStage,0.0,0.000731,4
Aggressive_Linear,0.8,0.000645,4
Aggressive_Standard,0.2,0.000946,4
Aggressive_Aggressive,0.0,0.000215,4
Aggressive_Gradual,1.0,0.0,4
Aggressive_TwoStage,0.2,0.000946,4
Conservative_Linear,0.4,0.000903,6
Conservative_Standard,0.0,0.000215,6
Conservative_Aggressive,0.4,0.000387,4
Conservative_Gradual,0.8,0.000645,6
Conservative_TwoStage,0.0,0.000946,4
VeryAggressive_Linear,0.8,0.000645,4
VeryAggressive_Standard,0.6,0.000688,4
VeryAggressive_Aggressive,0.0,0.000215,4
VeryAggressive_Gradual,1.0,0.0,4
VeryAggressive_TwoStage,0.6,0.000688,4
Standard_Linear,0.0,0.001032,6
Standard_Standard,0.0,0.000215,7
Standard_Aggressive,0.4,0.000516,4
Standard_Gradual,0.4,0.000903,8
Standard_TwoStage,0.0,0.001204,4
