Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.009,5
Moderate_Standard,0.6,0.008,5
Moderate_Aggressive,0.4,0.007,4
Moderate_Gradual,0.4,0.006,5
Moderate_TwoStage,0.6,0.008,4
Aggressive_Linear,0.4,0.006,4
Aggressive_Standard,0.4,0.009,4
Aggressive_Aggressive,0.6,0.009667,4
Aggressive_Gradual,0.4,0.006,4
Aggressive_TwoStage,0.4,0.009,4
Conservative_Linear,0.4,0.006,6
Conservative_Standard,0.4,0.005333,6
Conservative_Aggressive,0.4,0.014333,4
Conservative_Gradual,0.4,0.006,6
Conservative_TwoStage,0.2,0.016,4
VeryAggressive_Linear,0.4,0.006,4
VeryAggressive_Standard,0.4,0.006,4
VeryAggressive_Aggressive,0.4,0.007667,4
VeryAggressive_Gradual,0.4,0.006,4
VeryAggressive_TwoStage,0.4,0.006,4
Standard_Linear,0.2,0.016667,6
Standard_Standard,0.4,0.007,7
Standard_Aggressive,0.2,0.019333,4
Standard_Gradual,0.4,0.006,8
Standard_TwoStage,0.0,0.035333,4
