Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.8,0.006545,5
Moderate_Standard,0.8,0.006545,5
Moderate_Aggressive,0.8,0.001818,4
Moderate_Gradual,0.8,0.006545,5
Moderate_TwoStage,0.8,0.006545,4
Aggressive_Linear,0.8,0.006545,4
Aggressive_Standard,0.8,0.006545,4
Aggressive_Aggressive,0.8,0.006545,4
Aggressive_Gradual,0.8,0.006545,4
Aggressive_TwoStage,0.8,0.006545,4
Conservative_Linear,0.8,0.006545,6
Conservative_Standard,0.8,0.006545,6
Conservative_Aggressive,0.6,0.008364,4
Conservative_Gradual,0.8,0.006545,6
Conservative_TwoStage,0.6,0.008364,4
VeryAggressive_Linear,0.8,0.006545,4
VeryAggressive_Standard,0.8,0.006545,4
VeryAggressive_Aggressive,0.8,0.006545,4
VeryAggressive_Gradual,0.8,0.006545,4
VeryAggressive_TwoStage,0.8,0.006545,4
Standard_Linear,0.6,0.003636,6
Standard_Standard,0.8,0.001818,7
Standard_Aggressive,0.8,0.009333,4
Standard_Gradual,0.8,0.006545,8
Standard_TwoStage,0.6,0.005818,4
