Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.013075,5
Moderate_Standard,0.6,0.003272,5
Moderate_Aggressive,0.6,0.002184,4
Moderate_Gradual,0.2,0.013075,5
Moderate_TwoStage,0.4,0.012177,4
Aggressive_Linear,0.2,0.013075,4
Aggressive_Standard,0.2,0.013075,4
Aggressive_Aggressive,0.2,0.004721,4
Aggressive_Gradual,0.2,0.013075,4
Aggressive_TwoStage,0.2,0.013075,4
Conservative_Linear,0.2,0.013075,6
Conservative_Standard,0.2,0.005069,6
Conservative_Aggressive,0.6,0.002184,4
Conservative_Gradual,0.2,0.013075,6
Conservative_TwoStage,0.4,0.007928,4
VeryAggressive_Linear,0.2,0.013075,4
VeryAggressive_Standard,0.2,0.013075,4
VeryAggressive_Aggressive,0.2,0.004721,4
VeryAggressive_Gradual,0.2,0.013075,4
VeryAggressive_TwoStage,0.2,0.013075,4
Standard_Linear,0.4,0.007331,6
Standard_Standard,0.6,0.002184,7
Standard_Aggressive,0.8,0.00181,4
Standard_Gradual,0.2,0.013075,8
Standard_TwoStage,0.4,0.002557,4
