Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.024476,5
Moderate_Standard,0.2,0.009238,5
Moderate_Aggressive,0.6,0.00419,4
Moderate_Gradual,0.4,0.024476,5
Moderate_TwoStage,0.2,0.009238,4
Aggressive_Linear,0.4,0.024476,4
Aggressive_Standard,0.4,0.024476,4
Aggressive_Aggressive,0.6,0.005143,4
Aggressive_Gradual,0.4,0.024476,4
Aggressive_TwoStage,0.4,0.024476,4
Conservative_Linear,0.4,0.024476,6
Conservative_Standard,0.2,0.009238,6
Conservative_Aggressive,0.6,0.00419,4
Conservative_Gradual,0.4,0.024476,6
Conservative_TwoStage,0.2,0.019857,4
VeryAggressive_Linear,0.4,0.024476,4
VeryAggressive_Standard,0.4,0.024476,4
VeryAggressive_Aggressive,0.4,0.005714,4
VeryAggressive_Gradual,0.4,0.024476,4
VeryAggressive_TwoStage,0.4,0.024476,4
Standard_Linear,0.4,0.00719,6
Standard_Standard,0.6,0.002667,7
Standard_Aggressive,0.2,0.004095,4
Standard_Gradual,0.4,0.024476,8
Standard_TwoStage,0.0,0.020286,4
