Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.008,5
Moderate_Standard,0.2,0.006769,5
Moderate_Aggressive,0.6,0.004,4
Moderate_Gradual,0.2,0.006769,5
Moderate_TwoStage,0.0,0.009692,4
Aggressive_Linear,0.2,0.008,4
Aggressive_Standard,0.4,0.008154,4
Aggressive_Aggressive,0.4,0.004308,4
Aggressive_Gradual,0.4,0.006769,4
Aggressive_TwoStage,0.4,0.008154,4
Conservative_Linear,0.4,0.008,6
Conservative_Standard,0.4,0.004308,6
Conservative_Aggressive,0.4,0.004308,4
Conservative_Gradual,0.4,0.008154,6
Conservative_TwoStage,0.4,0.005231,4
VeryAggressive_Linear,0.4,0.008154,4
VeryAggressive_Standard,0.4,0.008154,4
VeryAggressive_Aggressive,0.4,0.004308,4
VeryAggressive_Gradual,0.4,0.006769,4
VeryAggressive_TwoStage,0.4,0.008154,4
Standard_Linear,0.4,0.008154,6
Standard_Standard,0.6,0.001538,7
Standard_Aggressive,0.4,0.006769,4
Standard_Gradual,0.4,0.006769,8
Standard_TwoStage,0.2,0.006769,4
