Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.0,0.004026,5
Moderate_Standard,0.2,0.00209,5
Moderate_Aggressive,0.4,0.003344,4
Moderate_Gradual,0.0,0.004498,5
Moderate_TwoStage,0.2,0.002722,4
Aggressive_Linear,0.0,0.004026,4
Aggressive_Standard,0.0,0.004026,4
Aggressive_Aggressive,0.4,0.001005,4
Aggressive_Gradual,0.0,0.004498,4
Aggressive_TwoStage,0.0,0.004026,4
Conservative_Linear,0.2,0.002025,6
Conservative_Standard,0.4,0.001293,6
Conservative_Aggressive,0.4,0.001005,4
Conservative_Gradual,0.0,0.004498,6
Conservative_TwoStage,0.2,0.002789,4
VeryAggressive_Linear,0.0,0.004498,4
VeryAggressive_Standard,0.2,0.002725,4
VeryAggressive_Aggressive,0.4,0.001293,4
VeryAggressive_Gradual,0.0,0.004498,4
VeryAggressive_TwoStage,0.2,0.002725,4
Standard_Linear,0.2,0.001878,6
Standard_Standard,0.2,0.000844,7
Standard_Aggressive,0.4,0.000686,4
Standard_Gradual,0.0,0.004026,8
Standard_TwoStage,0.0,0.002491,4
