Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.0,0.013419,5
Moderate_Standard,0.2,0.007484,5
Moderate_Aggressive,0.2,0.008516,4
Moderate_Gradual,0.0,0.013419,5
Moderate_TwoStage,0.2,0.008774,4
Aggressive_Linear,0.0,0.013419,4
Aggressive_Standard,0.0,0.013419,4
Aggressive_Aggressive,0.2,0.005419,4
Aggressive_Gradual,0.0,0.013419,4
Aggressive_TwoStage,0.0,0.013419,4
Conservative_Linear,0.2,0.005677,6
Conservative_Standard,0.2,0.005419,6
Conservative_Aggressive,0.2,0.005419,4
Conservative_Gradual,0.0,0.013419,6
Conservative_TwoStage,0.0,0.013419,4
VeryAggressive_Linear,0.0,0.015226,4
VeryAggressive_Standard,0.0,0.013419,4
VeryAggressive_Aggressive,0.2,0.005419,4
VeryAggressive_Gradual,0.0,0.013419,4
VeryAggressive_TwoStage,0.0,0.013419,4
Standard_Linear,0.0,0.013419,6
Standard_Standard,0.4,0.002839,7
Standard_Aggressive,0.2,0.010581,4
Standard_Gradual,0.0,0.013419,8
Standard_TwoStage,0.2,0.019871,4
