Model,Dataset,Schedule,Constraint_Key,Constraint_Value,Performance_At_Timeout,Performance_At_Convergence,Budget_Utilization,Early_Stopping
CNN,AbnormalHeartbeat,Moderate,max_epochs_1000,1000,1.0000,0.6000,1.0000,True
CNN,AbnormalHeartbeat,Moderate,max_epochs_2000,2000,0.8000,0.6000,1.0000,True
CNN,AbnormalHeartbeat,Moderate,max_epochs_5000,5000,0.6000,0.6000,0.7200,False
CNN,AbnormalHeartbeat,Moderate,max_time_hours_10,10,0.6000,0.6000,0.0213,False
CNN,AbnormalHeartbeat,Moderate,max_time_hours_24,24,0.6000,0.6000,0.0089,False
CNN,AbnormalHeartbeat,Moderate,max_time_hours_72,72,0.6000,0.6000,0.0030,False
CNN,AbnormalHeartbeat,Aggressive,max_epochs_1000,1000,0.4000,0.2000,1.0000,True
CNN,AbnormalHeartbeat,Aggressive,max_epochs_2000,2000,0.8000,0.2000,1.0000,True
CNN,AbnormalHeartbeat,Aggressive,max_epochs_5000,5000,0.2000,0.2000,0.6200,False
CNN,AbnormalHeartbeat,Aggressive,max_time_hours_10,10,0.2000,0.2000,0.0195,False
CNN,AbnormalHeartbeat,Aggressive,max_time_hours_24,24,0.2000,0.2000,0.0081,False
CNN,AbnormalHeartbeat,Aggressive,max_time_hours_72,72,0.2000,0.2000,0.0027,False
CNN,AbnormalHeartbeat,Conservative,max_epochs_1000,1000,1.0000,0.2000,1.0000,True
CNN,AbnormalHeartbeat,Conservative,max_epochs_2000,2000,1.0000,0.2000,1.0000,True
CNN,AbnormalHeartbeat,Conservative,max_epochs_5000,5000,1.0000,0.2000,1.0000,True
CNN,AbnormalHeartbeat,Conservative,max_time_hours_10,10,0.2000,0.2000,0.0745,False
CNN,AbnormalHeartbeat,Conservative,max_time_hours_24,24,0.2000,0.2000,0.0310,False
CNN,AbnormalHeartbeat,Conservative,max_time_hours_72,72,0.2000,0.2000,0.0103,False
CNN,AbnormalHeartbeat,VeryAggressive,max_epochs_1000,1000,0.4000,0.6000,1.0000,True
CNN,AbnormalHeartbeat,VeryAggressive,max_epochs_2000,2000,0.2000,0.6000,1.0000,True
CNN,AbnormalHeartbeat,VeryAggressive,max_epochs_5000,5000,0.6000,0.6000,1.0000,True
CNN,AbnormalHeartbeat,VeryAggressive,max_time_hours_10,10,0.6000,0.6000,0.0383,False
CNN,AbnormalHeartbeat,VeryAggressive,max_time_hours_24,24,0.6000,0.6000,0.0159,False
CNN,AbnormalHeartbeat,VeryAggressive,max_time_hours_72,72,0.6000,0.6000,0.0053,False
CNN,AbnormalHeartbeat,Standard,max_epochs_1000,1000,0.8000,0.6000,1.0000,True
CNN,AbnormalHeartbeat,Standard,max_epochs_2000,2000,1.0000,0.6000,1.0000,True
CNN,AbnormalHeartbeat,Standard,max_epochs_5000,5000,0.6000,0.6000,0.6840,False
CNN,AbnormalHeartbeat,Standard,max_time_hours_10,10,0.6000,0.6000,0.0179,False
CNN,AbnormalHeartbeat,Standard,max_time_hours_24,24,0.6000,0.6000,0.0074,False
CNN,AbnormalHeartbeat,Standard,max_time_hours_72,72,0.6000,0.6000,0.0025,False
CNN,Adiac,Moderate,max_epochs_1000,1000,1.0000,0.2000,1.0000,True
CNN,Adiac,Moderate,max_epochs_2000,2000,1.0000,0.2000,1.0000,True
CNN,Adiac,Moderate,max_epochs_5000,5000,0.2000,0.2000,0.7200,False
CNN,Adiac,Moderate,max_time_hours_10,10,0.2000,0.2000,0.0183,False
CNN,Adiac,Moderate,max_time_hours_24,24,0.2000,0.2000,0.0076,False
CNN,Adiac,Moderate,max_time_hours_72,72,0.2000,0.2000,0.0025,False
CNN,Adiac,Aggressive,max_epochs_1000,1000,1.0000,0.2000,1.0000,True
CNN,Adiac,Aggressive,max_epochs_2000,2000,1.0000,0.2000,1.0000,True
CNN,Adiac,Aggressive,max_epochs_5000,5000,0.2000,0.2000,0.6200,False
CNN,Adiac,Aggressive,max_time_hours_10,10,0.2000,0.2000,0.0170,False
CNN,Adiac,Aggressive,max_time_hours_24,24,0.2000,0.2000,0.0071,False
CNN,Adiac,Aggressive,max_time_hours_72,72,0.2000,0.2000,0.0024,False
CNN,Adiac,Conservative,max_epochs_1000,1000,1.0000,0.2000,1.0000,True
CNN,Adiac,Conservative,max_epochs_2000,2000,1.0000,0.2000,1.0000,True
CNN,Adiac,Conservative,max_epochs_5000,5000,1.0000,0.2000,1.0000,True
CNN,Adiac,Conservative,max_time_hours_10,10,0.2000,0.2000,0.0659,False
CNN,Adiac,Conservative,max_time_hours_24,24,0.2000,0.2000,0.0275,False
CNN,Adiac,Conservative,max_time_hours_72,72,0.2000,0.2000,0.0092,False
CNN,Adiac,VeryAggressive,max_epochs_1000,1000,1.0000,0.2000,1.0000,True
CNN,Adiac,VeryAggressive,max_epochs_2000,2000,1.0000,0.2000,1.0000,True
CNN,Adiac,VeryAggressive,max_epochs_5000,5000,1.0000,0.2000,1.0000,True
CNN,Adiac,VeryAggressive,max_time_hours_10,10,0.2000,0.2000,0.0336,False
CNN,Adiac,VeryAggressive,max_time_hours_24,24,0.2000,0.2000,0.0140,False
CNN,Adiac,VeryAggressive,max_time_hours_72,72,0.2000,0.2000,0.0047,False
