activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,Adiac,07102f5bd4d6e7954ace2a28fc3122e9,0,0.021249999999999998,0.011136581050753413,0.05808917284011841,0.012370469877389358,0.09732484221458435,0.00960073577690505,0.10191082954406738,0.006109339611179845,0.11414012908935547,0.012172106357777246,0.14267516136169434,0.008871585022123107,0.14114649891853331,0.005654099707481222,0.1775796204805374,0.01684228700871578,0.19006369709968568,0.02175697758381061,0.19847133994102478,0.015137273824830214,0.20152866363525393,0.017359461940378483,0.22063694477081297,0.019369760544433942,0.23949044585227966,0.014524525702940556,0.2545222944021225,0.018946234278057878,0.2636942654848099,0.02360987287642204,0.27337579309940335,0.009212579086322016,0.27847133934497836,0.012565705073228607,0.30114649474620825,0.024760607537956333,0.2929936283826828,0.018743875780915988,0.31286623835563654,0.014817649327259354
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,Adiac,8b38e803db304323f3db3858b9d7bd2a,1,0.03125,0.0038273277230987147,0.03159235715866089,0.003863885634163159,0.07872611582279206,0.0070005767484105225,0.0945222944021225,0.012165438536757701,0.10598726272583008,0.013342390999098555,0.11337579786777496,0.018808692076747017,0.11923567056655884,0.0062146808149756245,0.13146497011184693,0.008751879894651473,0.13375796377658844,0.010070948112388498,0.14522293210029602,0.005696988562598215,0.14751592576503753,0.009070564781744315,0.14853503406047822,0.010906422986979,0.16687898337841034,0.008686740063828408,0.17834395170211792,0.01080927579704346,0.17146497070789338,0.00894445347419584,0.17350318729877473,0.020109643367856898,0.1696815311908722,0.013158687083841986,0.18802548050880433,0.013409118535547248,0.20000000178813931,0.017628473658282573,0.20535031974315646,0.02223650792834381
gelu,0.184699962806,4,0.000314981651,95,3,average,1,Adiac,366831733cf14bcf1330a1136a729549,2,0.024375,0.008671523078444756,0.07388535141944885,0.005975052012377161,0.13044586181640624,0.010294065809870944,0.1895541423559189,0.00842114336911006,0.25630573272705076,0.013937258641796114,0.27210191190242766,0.028393643213715337,0.2983439469337464,0.010749055833095812,0.32305732309818264,0.02061176586414539,0.35210190653800966,0.015115818194886232,0.386242036819458,0.019474207019528792,0.3969426763057709,0.012435887698397735,0.40968152642250055,0.014845003063649184,0.4387261116504669,0.02092431581415066,0.4445859885215759,0.020873849946632946,0.46420382022857665,0.034823934066292944,0.4522292995452881,0.02159977962312311,0.46624204277992254,0.0184823152329678,0.5054777085781097,0.03415105841218248,0.5003821694850922,0.03081644208564351,0.5192356705665588,0.035924919521262415
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,Adiac,d5b4fd81bc218d14dd3eae0fd69bd747,3,0.028125,0.0062499999999999995,0.02853503227233887,0.006279621771976833,0.032866242527961734,0.005725402646906034,0.0338853508234024,0.006655974864844495,0.032356688380241395,0.006895474549998657,0.03184713423252106,0.007696207741175788,0.0331210196018219,0.009447386748542206,0.03133758008480072,0.007239884051007682,0.03159235715866089,0.004357358377410481,0.031082803010940553,0.004645753579752082,0.032356688380241395,0.0038848282571182363,0.03159235715866089,0.002761717670283857,0.03159235715866089,0.005047544726464964,0.03210191130638122,0.003967493435527249,0.03261146545410156,0.0021316179337612265,0.032356688380241395,0.003441848735645834,0.03363057374954224,0.00319742690064184,0.0331210196018219,0.0018015459661739099,0.0338853508234024,0.003778954699416883,0.03261146545410156,0.007069776882678639
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,Adiac,c60901eaf57c58522605fef72ca472e5,4,0.029374999999999995,0.00473929715253222,0.10726114809513092,0.011997538704098126,0.15082802772521972,0.013737895455200183,0.19108280539512634,0.011500299588735833,0.2216560524702072,0.03671133379233267,0.24254777133464814,0.014030097037158233,0.28127388536930087,0.013003617500209548,0.2957961750030518,0.011336864901959813,0.30038216352462765,0.03829503778182243,0.3263694256544113,0.0293602247493156,0.3200000011920929,0.02422727367861482,0.3385987240076065,0.025211988266314912,0.3403821635246277,0.030960915067826757,0.3546496790647507,0.010175148905023954,0.3801273858547211,0.013619257833234583,0.37477706789970394,0.027915242583131283,0.3936305701732635,0.02215608876022701,0.3900636911392212,0.019578091233678485,0.40229299187660217,0.01629876237157525,0.42343948960304256,0.009600735065121012
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,Adiac,cf34fdaa6313b61659b8cc3ab2370f5d,5,0.029375000000000002,0.010504835196232257,0.03464968204498291,0.006331094942640883,0.055796179175376895,0.007284575117718459,0.07261146605014801,0.012448930303778714,0.08866242170333863,0.006594741043769825,0.0993630588054657,0.013808588351419284,0.10471337735652923,0.006069365313152231,0.11057325005531311,0.0073951212687691364,0.12050955593585969,0.006343897978856913,0.11745223104953766,0.01223195318523367,0.12050955593585969,0.007460662768164293,0.11949044764041901,0.005725402646906034,0.1235668808221817,0.007035261899220361,0.12458598911762238,0.0013954715048837406,0.12713375985622405,0.004449490307467662,0.1317197471857071,0.00985101412344439,0.13681528866291046,0.008761146048538204,0.143694269657135,0.01387892117492908,0.14904458820819855,0.009404346038373508,0.15082802772521972,0.005374528260909383
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,Adiac,727061ba1eb1a204007d3387fc422076,6,0.036875000000000005,0.007126096406869611,0.03133758008480072,0.006279621771976833,0.039235669374465945,0.005047544726464965,0.07745223045349121,0.009335068144484888,0.10471337735652923,0.009759990621551346,0.1202547788619995,0.005374528260909383,0.13222930133342742,0.008076875271512709,0.1444586008787155,0.008898980614935324,0.15770700871944426,0.00652050144344061,0.1689171999692917,0.007727771268326318,0.18242038428783416,0.009025727332044223,0.19261146783828736,0.005047544726464965,0.20687898397445678,0.00398789199381875,0.21707006633281706,0.008430772881473337,0.22394904792308806,0.012429361629951249,0.23184713542461396,0.013360620195540367,0.24382165729999544,0.015849507790256973,0.2560509556531906,0.018613554209396647,0.2603821647167206,0.013195633341732292,0.27184713065624233,0.015565398350135326
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,Adiac,3618dafc43c72d1470e7d6623f4ab761,7,0.027500000000000004,0.01022214202112258,0.11515923738479614,0.01148618012412542,0.167898091673851,0.007058290641327078,0.20687898337841032,0.007985950155052162,0.2346496820449829,0.014646911067541556,0.2532484084367752,0.032941697360993207,0.29630573272705074,0.0198905697098092,0.3006369429826736,0.023592687563880162,0.3243312090635299,0.0305944715231204,0.33248407423496246,0.005479187110491529,0.3587261128425598,0.02669998254790991,0.3745222926139832,0.019673179002992848,0.37375795900821684,0.030099839185839326,0.37656050562858584,0.03580048767059698,0.39566878795623783,0.009933040193810855,0.3926114630699157,0.013189481914835294,0.3956687891483307,0.02825040221588411,0.42649681568145753,0.015741638258977068,0.4507006359100342,0.01151440177242428,0.44331210255622866,0.014384194329610866
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,Adiac,36570c92833b178a50f3b56539b52c29,8,0.028125,0.010597390598633231,0.056815287470817565,0.00735110229871372,0.11949044764041901,0.01532373437733055,0.15312102138996125,0.02014995137255943,0.18292993903160096,0.003321886625399406,0.2114649701118469,0.0353488828560916,0.22267516016960145,0.009924866628207577,0.24433121144771577,0.018159009957647555,0.2501910823583603,0.022673725676539226,0.26955413758754726,0.019457526787925627,0.2988535004854202,0.0180289679412183,0.3014012736082077,0.014652452861137533,0.3131210154294968,0.012623679946482134,0.31770700395107265,0.02098240276750718,0.3419108259677887,0.00514309047604033,0.3406369376182556,0.0298290560436444,0.36025477766990666,0.02663608704294876,0.37630573272705076,0.02162980707950271,0.3803821647167206,0.012884518116347632,0.3811464929580689,0.014053212731534759
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,Adiac,30760bef3a3a384cdee217ec85a3eb06,9,0.020624999999999998,0.0017116329922036437,0.07286624312400818,0.010006286460776868,0.1291719764471054,0.005596403302880497,0.18369427025318147,0.015056656853245625,0.19770700931549073,0.020548683161158942,0.22547770977020262,0.009141846707186376,0.2387261152267456,0.0193739479565114,0.2552866232395172,0.022203639514862584,0.28433120787143706,0.00543458145339506,0.2858598721027374,0.03397478873614118,0.29171974003314977,0.005696988729199586,0.301656049489975,0.008421140799399525,0.32433120608329774,0.015823893894413254,0.3284076404571533,0.0065205015016648,0.3495541417598725,0.020413987661947495,0.3681528639793396,0.02000040475605721,0.3561783421039581,0.027552464018813262,0.3717197430133819,0.01754543073386753,0.374012736082077,0.012947339793529203,0.38292993783950807,0.011127372737717372
