activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,Beef,07102f5bd4d6e7954ace2a28fc3122e9,0,0.2500000011920929,0.020412412089843752,0.2600000017881393,0.01900292301106531,0.30000000089406964,0.026352313913272668,0.29666666924953455,0.013944333656832855,0.33666666626930236,0.013944331519597515,0.34666666924953465,0.027386129326227835,0.36666666805744175,0.028867516040438596,0.35666666686534876,0.030276504443285245,0.37000000059604643,0.03613247236028776,0.36333333551883695,0.03613247222281979,0.35,0.05137011604679818,0.3633333367109299,0.046248125537341436,0.37333333671092983,0.04503085584480525,0.3500000005960464,0.04249183288418163,0.33333333224058154,0.054006172601697204,0.36000000029802315,0.0672887666862767,0.38666667193174364,0.07207249756705154,0.38333333820104604,0.07453560130472706,0.3900000044703484,0.07321961297162424,0.4033333405852318,0.07011894981840236
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,Beef,8b38e803db304323f3db3858b9d7bd2a,1,0.19666666984558107,0.02738612624291788,0.1866666704416275,0.021730673388759683,0.19333333671092987,0.025276249973589845,0.1900000035762787,0.02236067844219752,0.20000000298023224,0.02635231226401619,0.21333333611488342,0.013944333122523868,0.21000000238418579,0.014907118961465014,0.21000000238418579,0.014907118961465014,0.21000000238418579,0.014907118961465014,0.21000000238418579,0.014907118961465014,0.21000000238418579,0.014907118961465014,0.21000000238418579,0.014907118961465014,0.21000000238418579,0.014907118961465014,0.21000000238418579,0.014907118961465014,0.21000000238418579,0.014907118961465014,0.21000000238418579,0.014907118961465014,0.21000000238418579,0.014907118961465014,0.21333333611488342,0.013944333122523868,0.2066666692495346,0.01900292261898978,0.2066666692495346,0.01900292261898978
gelu,0.184699962806,4,0.000314981651,95,3,average,1,Beef,366831733cf14bcf1330a1136a729549,2,0.20000000327825546,0.016666667535901104,0.24666667193174363,0.021730676360213703,0.29000000059604647,0.03456073388819813,0.33666666686534874,0.032058972377397126,0.3333333361148834,0.033333335071802514,0.28333333551883694,0.048591265194087685,0.2866666686534881,0.03205896943363419,0.29666666924953466,0.06280481105871966,0.3300000023841858,0.036132469267260395,0.31666666746139527,0.048591262127453974,0.323333335518837,0.05082649939034957,0.3200000032782555,0.03205897462395315,0.36333333611488344,0.05190803936201305,0.3566666692495346,0.07601169831746915,0.373333335518837,0.0732196136839208,0.3533333325386047,0.055777336942668974,0.3466666674613953,0.02173067636021508,0.35666666686534887,0.03836954893060715,0.3566666686534882,0.03651483750708218,0.3800000029802323,0.024720665474757396
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,Beef,d5b4fd81bc218d14dd3eae0fd69bd747,3,0.1966666704416275,0.013944334013038535,0.1900000038743019,0.009128709155724413,0.1900000038743019,0.009128709155724413,0.20333333730697634,0.013944334369244415,0.21000000327825546,0.014907120294265384,0.213333335518837,0.02173067424590991,0.210000002682209,0.01900292405659994,0.20000000327825546,0.03726780140206367,0.20666666895151137,0.048016201004108264,0.20666666895151137,0.03836954799207255,0.21666666924953462,0.03908679805147759,0.20000000327825546,0.03333333376795054,0.22000000327825547,0.04149966629411525,0.22000000327825547,0.03979112203668023,0.2233333370089531,0.04654746833317256,0.2200000038743019,0.049159605199720985,0.22333333730697635,0.04654746787965747,0.23000000447034835,0.04472136038299605,0.22666667073965074,0.0480162020644233,0.22333333671092986,0.048016202064423315
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,Beef,c60901eaf57c58522605fef72ca472e5,4,0.17333333551883698,0.02527625026835592,0.2900000056624413,0.049441326604463494,0.33666666805744166,0.050552501371882275,0.32000000238418586,0.029814236590129734,0.3499999994039535,0.03333333246409901,0.3566666665673256,0.05217491619852763,0.34666666924953465,0.03979111822942054,0.34999999940395354,0.056519411619284865,0.37333333671092983,0.019002926409054034,0.37999999642372134,0.0431405945622391,0.3800000023841858,0.050552501519265464,0.3966666686534882,0.03613247620938784,0.4366666716337204,0.05055250844626775,0.43333333790302275,0.03908680678805867,0.4666666698455811,0.031180481143618637,0.47666667342185975,0.03027650075201705,0.47000000476837156,0.04772607100882397,0.4833333432674408,0.037267804067664896,0.5066666734218598,0.034560740427438306,0.5500000095367431,0.03726780206846397
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,Beef,cf34fdaa6313b61659b8cc3ab2370f5d,5,0.22666666895151139,0.048016200202406656,0.24333333611488342,0.041833000198718516,0.2466666689515114,0.04624812226163785,0.25333333581686024,0.04772606947372878,0.2533333367109299,0.032058972609799466,0.24666667044162746,0.04314059666347872,0.256666671037674,0.034560735253533946,0.2700000038743019,0.0431405955408986,0.29666666924953455,0.027386127059088196,0.3133333361148834,0.029814236756729773,0.32000000178813937,0.034156498699557065,0.3166666722297668,0.0408248314797358,0.3133333396911621,0.05055250643203265,0.3133333396911621,0.06810939445056814,0.3300000041723251,0.0519080405102866,0.32333333671092984,0.053489357688747415,0.3300000023841858,0.044721359772129377,0.33000000119209294,0.04772606840696804,0.3400000041723251,0.05845226125207314,0.3466666704416275,0.046248124141140164
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,Beef,727061ba1eb1a204007d3387fc422076,6,0.22666666924953463,0.05082650310392455,0.20666666865348815,0.025276250661377276,0.223333335518837,0.02527625149654774,0.21333333522081377,0.046248122181087765,0.213333335518837,0.032058972687266936,0.21666666924953462,0.02357022463465667,0.22000000238418577,0.036132472669590014,0.22666666924953463,0.027888667135562338,0.22333333611488343,0.02527625105439869,0.220000002682209,0.024720661004126645,0.22333333611488343,0.02527625105439869,0.2266666704416275,0.014907119461265207,0.23666666865348818,0.013944334369244415,0.23666666865348818,0.013944334369244415,0.24000000298023222,0.01900292353383272,0.24666667044162752,0.03205897470142065,0.25333333671092984,0.027386126152232335,0.2500000029802322,0.0288675117388434,0.250000002682209,0.03118047755936579,0.250000002682209,0.03535533800565624
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,Beef,3618dafc43c72d1470e7d6623f4ab761,7,0.18000000357627868,0.0217306744173399,0.3033333373069763,0.013944333478729939,0.33666666865348815,0.02472066195853109,0.31666666805744165,0.01666666492819802,0.3633333331346512,0.04915960365887121,0.3733333349227905,0.0630255662176004,0.3900000041723251,0.05845225997743004,0.4066666722297668,0.06932211536065702,0.43999999880790713,0.04346134940611334,0.39000000178813937,0.04013865183403212,0.41666667401790614,0.023570227268835217,0.3933333337306976,0.057251877579493474,0.45000000357627873,0.03726779873646364,0.44333334445953365,0.030276503869088114,0.42666667640209194,0.05602578871801352,0.45666667222976687,0.06932211536065712,0.513333339691162,0.059395098407711774,0.4866666758060455,0.0605530135621771,0.503333340883255,0.046248133323849666,0.5200000071525575,0.07397447492743303
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,Beef,36570c92833b178a50f3b56539b52c29,8,0.2100000035762787,0.034560735972131704,0.2333333361148834,0.04999999925494195,0.24666666984558105,0.07397446935435505,0.273333335518837,0.06411794568440368,0.2800000023841858,0.06603870777066106,0.29000000178813934,0.06411794580060481,0.3100000011920929,0.056025786412942494,0.3366666680574417,0.0505525021087974,0.35000000298023226,0.031180481541868695,0.3600000017881394,0.04944132421845268,0.3566666674613952,0.019002926016977353,0.3666666680574417,0.020412414523193492,0.3533333367109298,0.01394433276631893,0.36000000417232514,0.0278886668684089,0.3733333373069764,0.02527625410031527,0.3800000035762787,0.03613247730913083,0.37666667044162755,0.032489319655228596,0.3900000065565109,0.04346135163470406,0.41666667759418485,0.04082482904638646,0.41333334088325496,0.013944338999921061
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,Beef,30760bef3a3a384cdee217ec85a3eb06,9,0.22000000327825547,0.06603870891767868,0.2966666707396507,0.032058975127491625,0.32000000178813937,0.021730675103060662,0.33999999940395353,0.05602578366458905,0.3199999982118607,0.057008768771812185,0.34999999761581424,0.026352312264016308,0.37333333373069766,0.03248931514518822,0.3966666662693024,0.04915960431562682,0.3900000041723251,0.08547254364889739,0.37666666746139527,0.09098229360502606,0.38333333969116207,0.065616733671228,0.4100000047683715,0.06302557126144955,0.4266666722297668,0.06932211944480926,0.4033333379030227,0.04472136477013137,0.40333333909511565,0.03415650451637539,0.4100000047683715,0.057251885300948484,0.4066666722297668,0.053489357967329614,0.3966666722297668,0.05939510058202247,0.4233333402872086,0.08130874062187203,0.46333334267139437,0.061689192753733676
