activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
tanh,0.010687980544,7,0.0072781949692,245,3,average,1,BeetleFly,0.525,0.45,0.6,0.575,0.625,0.6,0.575,0.625,0.6,0.6,0.625,0.625,0.65,0.65,0.65,0.65,0.65,0.65,0.625,0.625
relu,0.3487547477708,3,0.0003022979891,80,1,max,1,BeetleFly,0.5,0.45,0.45,0.525,0.55,0.6,0.6,0.625,0.625,0.625,0.65,0.65,0.65,0.675,0.65,0.65,0.675,0.65,0.65,0.65
gelu,0.459129294566,3,0.0008869574424,111,3,average,2,BeetleFly,0.525,0.5,0.525,0.55,0.575,0.575,0.625,0.6,0.625,0.65,0.65,0.65,0.65,0.65,0.625,0.625,0.625,0.625,0.625,0.625
gelu,0.2134054200141,4,0.0002157263461,149,4,max,2,BeetleFly,0.45,0.425,0.45,0.45,0.45,0.525,0.55,0.6,0.6,0.6,0.6,0.625,0.65,0.675,0.675,0.675,0.675,0.625,0.625,0.625
gelu,0.1956085507927,5,0.0002408123338,154,5,average,2,BeetleFly,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.425,0.5,0.5
elu,0.2292754054513,5,0.000965713038,194,5,average,2,BeetleFly,0.475,0.475,0.475,0.5,0.575,0.575,0.65,0.6,0.6,0.625,0.575,0.575,0.55,0.575,0.6,0.65,0.675,0.65,0.625,0.65
gelu,0.2823050495344,6,0.0026153421423,75,4,average,2,BeetleFly,0.475,0.525,0.45,0.6,0.575,0.6,0.625,0.65,0.575,0.55,0.625,0.6,0.625,0.65,0.575,0.575,0.575,0.575,0.525,0.55
tanh,0.2466750135662,3,0.0003021828483,153,2,average,1,BeetleFly,0.425,0.55,0.675,0.65,0.625,0.65,0.625,0.6,0.625,0.6,0.6,0.625,0.625,0.625,0.625,0.65,0.65,0.625,0.625,0.625
relu,0.2610583810687,4,0.0008117377402,217,4,average,2,BeetleFly,0.5,0.475,0.525,0.575,0.575,0.6,0.6,0.625,0.625,0.6,0.625,0.625,0.575,0.6,0.65,0.575,0.625,0.625,0.6,0.575
gelu,0.3706258676659,6,0.0004134511572,213,1,average,2,BeetleFly,0.525,0.625,0.625,0.65,0.675,0.7,0.7,0.675,0.675,0.65,0.725,0.725,0.725,0.725,0.7,0.7,0.7,0.725,0.7,0.7
