activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,BinaryHeartbeat,07102f5bd4d6e7954ace2a28fc3122e9,0,0.459375,0.07558366639029891,0.63951220870018,0.0890394255293975,0.7019512331485748,0.0665366654083766,0.7209756183624267,0.016233726941917534,0.7185365962982178,0.015094389647040986,0.7087804961204529,0.01925130471086501,0.6970731735229492,0.023356131511870718,0.6965853691101074,0.011898834680922872,0.6814634156227111,0.01586303240347774,0.6839024376869203,0.017469273077096985,0.6751219582557677,0.015750125502206003,0.6770731759071349,0.016325075573755253,0.667804880142212,0.02006829786543934,0.6707317090034485,0.016086468443556604,0.6682926797866822,0.015035153852598706,0.6590243887901306,0.023228421429420925,0.6575609731674195,0.015956510454555504,0.6585365939140319,0.02181529486277914,0.6560975623130798,0.0267737796094317,0.6668292689323425,0.017298169397073914
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,BinaryHeartbeat,8b38e803db304323f3db3858b9d7bd2a,1,0.45125000000000004,0.09513559402242673,0.6580487966537476,0.0774058897960563,0.7317073321342468,0.0034493022968179483,0.7321951365470886,0.0010907584956371494,0.7219512319564819,0.017332533934782776,0.7082926917076111,0.024789419290285705,0.7180487847328185,0.020810469972365363,0.7160975646972656,0.018137564438754875,0.7073170804977417,0.021471726699339954,0.7048780512809754,0.023647215322944556,0.6926829290390014,0.023202801114349497,0.6936585426330566,0.025961580553338994,0.6995122027397156,0.013514044419027524,0.6946341514587402,0.012836782098187713,0.6975609827041624,0.011697150708596855,0.6912195181846619,0.010575361686852023,0.6917073225975037,0.009540298990217353,0.6843902516365052,0.012146241382104947,0.6926829361915587,0.0057200226596903145,0.6917073249816894,0.021856160196586795
gelu,0.184699962806,4,0.000314981651,95,3,average,1,BinaryHeartbeat,366831733cf14bcf1330a1136a729549,2,0.54125,0.06036995320521623,0.6234146499633789,0.10122098357071135,0.7043902611732482,0.052094731548065085,0.7087805020809175,0.04879878009355036,0.7204878115653991,0.014074668480852532,0.699024395942688,0.03808316116921416,0.6795121955871581,0.040834540531007435,0.6707317042350769,0.036258704364433916,0.6682926845550538,0.027915909518797008,0.6634146380424498,0.02242046055252042,0.6419512271881104,0.022045867482887522,0.641463418006897,0.016270324383062404,0.6468292713165283,0.02303554992797803,0.6492682981491089,0.01630684254161213,0.6497561073303222,0.013314483728656014,0.6487804841995239,0.016452124055083145,0.6560975646972655,0.017503294793453666,0.6473170733451844,0.028734979264011938,0.6482926845550537,0.018686810716661634,0.6556097626686096,0.009664195888683925
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,BinaryHeartbeat,d5b4fd81bc218d14dd3eae0fd69bd747,3,0.5325,0.043615865805919765,0.5653658664226532,0.0422592229073854,0.5760975670814513,0.06586269771629204,0.5819512259960176,0.07900707600831278,0.5863414615392685,0.07813638704099832,0.5746341466903686,0.0537305525412563,0.5619512236118316,0.03164158726818535,0.5526829230785371,0.021023762148170425,0.5482926833629608,0.016933224040123106,0.545365858078003,0.013089177584069103,0.545853660106659,0.013179764246674058,0.5473170733451843,0.013314485366465683,0.5526829290390014,0.015579243572969264,0.555121957063675,0.012975059987545796,0.55804878115654,0.013403541530041167,0.5619512224197388,0.015290173641955018,0.5643902480602264,0.012508180742192935,0.5648780477046967,0.01703829130703195,0.5741463387012482,0.019251306523235617,0.5726829290390014,0.017452237472923217
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,BinaryHeartbeat,c60901eaf57c58522605fef72ca472e5,4,0.485,0.04326742784705372,0.7331707382202148,0.0040812688043971295,0.7087804937362671,0.0415923455612622,0.6760975575447082,0.08029170886795986,0.6297561073303223,0.07238193284144266,0.5887804913520813,0.05778480237910604,0.5619512188434601,0.03733380681486442,0.550731701850891,0.02495683419190231,0.5365853703022003,0.015231708668065684,0.533658537864685,0.015560136428673104,0.5312195134162903,0.014876046301927688,0.5268292665481568,0.014735422664975493,0.5273170721530913,0.01426360158586188,0.5248780512809754,0.012602940401144899,0.5229268300533295,0.012626519529660344,0.5229268312454224,0.01098915164088221,0.5229268312454224,0.01250818219501322,0.5224390232563019,0.012364674535186628,0.5253658521175384,0.01125656664318065,0.5214634156227113,0.018121146833834357
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,BinaryHeartbeat,cf34fdaa6313b61659b8cc3ab2370f5d,5,0.48250000000000004,0.12418877389885126,0.699024407863617,0.07036490474941862,0.7297561120986938,0.005823095852389053,0.7317073297500609,0.0029871748976552036,0.7273170828819275,0.0058230816219858065,0.7282926893234254,0.007827713812059314,0.7224390268325805,0.013732373634119907,0.7185365843772888,0.009223249629247423,0.7136585402488709,0.005615052796306653,0.7097561025619508,0.014221829526770412,0.7073170757293701,0.009287527929727729,0.7068292689323425,0.017194695332568823,0.7043902468681336,0.016667659920877684,0.7058536648750305,0.008894917178621701,0.7043902468681335,0.012121724576795745,0.7014634251594544,0.01963376665376801,0.6990244007110595,0.010433779137908425,0.7034146428108216,0.009223256091678724,0.698536593914032,0.016950784307567694,0.6990243983268737,0.01320230385708445
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,BinaryHeartbeat,727061ba1eb1a204007d3387fc422076,6,0.48875,0.05902859476558797,0.7141463577747345,0.0392675377502019,0.730731725692749,0.0021815276536772585,0.7321951365470886,0.005561828912993356,0.7341463541984558,0.011697141387275165,0.7263414716720581,0.0058230813723194885,0.7321951317787171,0.0031800970729133817,0.7341463446617127,0.009602450823931926,0.7292683005332947,0.012072555329422958,0.7278048801422119,0.00889491570767497,0.7234146380424499,0.01712535235814371,0.7156097555160523,0.016506258312857083,0.7190243887901306,0.014775729795092145,0.7141463446617127,0.01648822449146227,0.7180487847328185,0.014896019633750519,0.7126829290390015,0.009967222403194661,0.7112195110321045,0.00999702040249036,0.7087804889678955,0.012023173638400908,0.711707320213318,0.013947292238189173,0.7121951174736022,0.01255563917085395
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,BinaryHeartbeat,3618dafc43c72d1470e7d6623f4ab761,7,0.56875,0.10585865428721454,0.7204878115653992,0.025961588840901363,0.6721951293945313,0.07118441382805135,0.643414636850357,0.07430823111482647,0.5951219582557679,0.06292021419472843,0.5673170745372772,0.045092276319002325,0.5424390244483949,0.03591251771030889,0.5302438986301422,0.039275111816363485,0.5341463446617126,0.03977928550948925,0.532195121049881,0.03884868487570453,0.5234146320819855,0.03603652954707342,0.526341462135315,0.03660161659247589,0.5253658533096314,0.034561927378589444,0.5253658521175384,0.0339979344956473,0.5258536565303802,0.03757205601637782,0.5268292677402496,0.03638154654141413,0.5253658533096314,0.040321429687962394,0.5253658533096314,0.040247595498477194,0.5248780512809754,0.0397568415933628,0.5239024388790131,0.04129809110156208
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,BinaryHeartbeat,36570c92833b178a50f3b56539b52c29,8,0.53,0.09886069744848053,0.5878048849105835,0.09406859336284697,0.5853658556938172,0.0801174037918618,0.5663414639234542,0.06081442296875922,0.548292680978775,0.03639789573148871,0.5190243887901307,0.020435475230164063,0.5053658533096314,0.027236378746034268,0.49804877877235415,0.02525303099976914,0.4946341478824616,0.030238005141853472,0.49609755873680117,0.027841223567323034,0.49560975551605224,0.03120617014586839,0.4970731723308563,0.02974210337138001,0.49804878354072574,0.03446713583709686,0.505853658914566,0.03034601537279925,0.5102439033985139,0.026906764025822125,0.5117073190212249,0.024837366765935377,0.5146341443061828,0.02040634509055466,0.5146341454982757,0.021052050333424322,0.5156097555160523,0.021304851770415866,0.5151219511032105,0.0217743601119141
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,BinaryHeartbeat,30760bef3a3a384cdee217ec85a3eb06,9,0.4987500000000001,0.14930830100834985,0.727317087650299,0.007397930622343259,0.7268292760848999,0.011948739740874853,0.7117073225975037,0.04408498788809425,0.7000000023841857,0.056150561620818155,0.6946341514587403,0.05014553101959909,0.68341463804245,0.04071782802812204,0.6770731782913209,0.03587107545901639,0.6800000047683715,0.034596334802153836,0.6863414645195007,0.0287866855916123,0.6814634251594545,0.03201538772480055,0.6853658604621888,0.03221913116606677,0.6834146428108216,0.030774264309395387,0.679512197971344,0.03306655039255479,0.6800000023841857,0.028724627011694436,0.6770731735229493,0.03220065359630983,0.6834146356582641,0.03033620498544919,0.6858536624908448,0.022970893948853665,0.6795121955871581,0.02613286964321138,0.6819512271881104,0.021444004889273335
