activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,BirdChicken,07102f5bd4d6e7954ace2a28fc3122e9,0,0.475,0.03061862178478973,0.505,0.04808846015417835,0.565,0.04183300132670376,0.585,0.057554322166106696,0.5900000000000001,0.051841103383319286,0.5900000000000001,0.05477225575051661,0.585,0.0518411033833193,0.595,0.06471089552772394,0.585,0.07202430145443967,0.5950000000000001,0.06471089552772392,0.605,0.057008771254956896,0.635,0.051841103383319306,0.6399999999999999,0.04541475531146238,0.66,0.0698212002188447,0.66,0.08403868156985804,0.6849999999999999,0.08215838362577489,0.6950000000000001,0.08909264840602729,0.6950000000000001,0.08909264840602729,0.6950000000000001,0.08177713616898065,0.7,0.0790569415042095
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,BirdChicken,8b38e803db304323f3db3858b9d7bd2a,1,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.505,0.011180339887498959,0.505,0.011180339887498959,0.505,0.011180339887498959,0.505,0.011180339887498959,0.515,0.022360679774997918,0.525,0.030618621784789708
gelu,0.184699962806,4,0.000314981651,95,3,average,1,BirdChicken,366831733cf14bcf1330a1136a729549,2,0.5,0.06373774391990979,0.5349999999999999,0.028504385627478434,0.595,0.07582875444051551,0.615,0.03791437722025778,0.665,0.06754628043053149,0.6799999999999999,0.09253377761660876,0.655,0.11510864433221334,0.6699999999999999,0.08177713616898061,0.685,0.0651920240520265,0.6849999999999999,0.08403868156985808,0.685,0.09117291264405236,0.68,0.0873212459828649,0.675,0.09354143466934853,0.6700000000000002,0.09253377761660872,0.6900000000000001,0.09778803607803975,0.685,0.10547511554864493,0.6950000000000001,0.10517841983981316,0.7150000000000001,0.0894427190999916,0.7150000000000001,0.09117291264405233,0.7150000000000001,0.08944271909999157
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,BirdChicken,d5b4fd81bc218d14dd3eae0fd69bd747,3,0.525,0.017677669529663705,0.515,0.013693063937629165,0.515,0.022360679774997918,0.51,0.0454147553114624,0.5,0.053033008588991085,0.5,0.058630196997792886,0.505,0.054198708471697034,0.505,0.048088460154178385,0.5,0.05863019699779287,0.5,0.06373774391990981,0.5,0.06846531968814576,0.505,0.08909264840602729,0.505,0.08177713616898061,0.51,0.06754628043053147,0.5199999999999999,0.08177713616898062,0.5199999999999999,0.08177713616898062,0.53,0.07984359711335656,0.525,0.07705517503711222,0.525,0.07705517503711222,0.53,0.06937218462755805
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,BirdChicken,c60901eaf57c58522605fef72ca472e5,4,0.525,0.07288689868556625,0.535,0.07623975340988452,0.6300000000000001,0.044721359549995836,0.66,0.05477225575051663,0.6849999999999999,0.09453835200594521,0.6900000000000001,0.07202430145443967,0.695,0.07158910531638178,0.7,0.06123724356957945,0.705,0.057008771254956896,0.7250000000000001,0.08838834764831847,0.7499999999999999,0.09354143466934854,0.7649999999999999,0.07623975340988451,0.74,0.07202430145443967,0.7449999999999999,0.10810874155219827,0.765,0.10093314619093176,0.7600000000000001,0.12698425099200297,0.7449999999999999,0.12041594578792299,0.735,0.1153798075921433,0.745,0.11645814698852118,0.7300000000000001,0.10517841983981316
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,BirdChicken,cf34fdaa6313b61659b8cc3ab2370f5d,5,0.5199999999999999,0.0670820393249937,0.52,0.07373940601876314,0.53,0.07373940601876314,0.5850000000000001,0.03791437722025774,0.615,0.022360679774997918,0.62,0.011180339887498959,0.625,0.046770717334674264,0.605,0.027386127875258327,0.6050000000000001,0.041079191812887494,0.5900000000000001,0.037914377220257756,0.585,0.022360679774997918,0.6,0.043301270189221974,0.6,0.05000000000000002,0.6,0.05000000000000002,0.6,0.05000000000000002,0.6,0.05303300858899106,0.61,0.0698212002188447,0.6199999999999999,0.06471089552772392,0.625,0.06846531968814577,0.6300000000000001,0.07373940601876311
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,BirdChicken,727061ba1eb1a204007d3387fc422076,6,0.51,0.03791437722025776,0.5,0.07071067811865477,0.49000000000000005,0.06982120021884472,0.5199999999999999,0.020916500663351906,0.5149999999999999,0.05755432216610669,0.525,0.03952847075210474,0.51,0.022360679774997918,0.52,0.04107919181288745,0.5399999999999999,0.04541475531146236,0.5449999999999999,0.057008771254956896,0.5499999999999999,0.06614378277661477,0.5399999999999999,0.05477225575051661,0.53,0.048088460154178364,0.54,0.05184110338331929,0.5549999999999999,0.06471089552772392,0.5599999999999999,0.0720243014544397,0.5650000000000001,0.06274950199005568,0.5800000000000001,0.06937218462755801,0.5900000000000001,0.06754628043053144,0.595,0.08177713616898061
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,BirdChicken,3618dafc43c72d1470e7d6623f4ab761,7,0.5050000000000001,0.07786205751198719,0.585,0.07416198487095664,0.615,0.04183300132670377,0.67,0.09746794344808966,0.6900000000000001,0.08767838958375093,0.7100000000000001,0.09453835200594521,0.7050000000000001,0.13509256086106297,0.71,0.108397416943394,0.71,0.08587782018658836,0.7299999999999999,0.0670820393249937,0.73,0.06937218462755806,0.72,0.09082951062292474,0.74,0.08587782018658834,0.7300000000000001,0.06471089552772392,0.73,0.06471089552772392,0.74,0.07416198487095661,0.735,0.07826237921249261,0.735,0.08023403267940604,0.7350000000000001,0.1039831717154271,0.7150000000000001,0.108397416943394
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,BirdChicken,36570c92833b178a50f3b56539b52c29,8,0.495,0.011180339887498959,0.515,0.022360679774997918,0.5,0.017677669529663705,0.495,0.04107919181288748,0.505,0.06471089552772392,0.53,0.08551315688243537,0.5650000000000001,0.1140175425099138,0.6,0.10458250331675945,0.61,0.08403868156985805,0.6450000000000001,0.08366600265340754,0.6849999999999999,0.07416198487095664,0.7,0.08291561975888502,0.75,0.10897247358851685,0.76,0.1039831717154271,0.765,0.09453835200594518,0.76,0.08944271909999157,0.755,0.09253377761660873,0.76,0.10839741694339401,0.76,0.10839741694339401,0.765,0.11124297730643495
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,BirdChicken,30760bef3a3a384cdee217ec85a3eb06,9,0.53,0.048088460154178364,0.54,0.07202430145443965,0.565,0.09778803607803975,0.6299999999999999,0.06937218462755801,0.6600000000000001,0.09617692030835673,0.705,0.09585144756340407,0.72,0.09253377761660873,0.735,0.09778803607803974,0.75,0.08477912478906584,0.76,0.09117291264405232,0.7599999999999999,0.10093314619093172,0.7649999999999999,0.09453835200594515,0.7700000000000001,0.1109617051058607,0.7700000000000001,0.1109617051058607,0.7549999999999999,0.09905806378079474,0.76,0.11537980759214325,0.76,0.10398317171542709,0.755,0.11374313166077325,0.75,0.09999999999999998,0.755,0.10062305898749051
