activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,CBF,07102f5bd4d6e7954ace2a28fc3122e9,0,0.33,0.032219341046955015,0.8109677410125734,0.015214198909853469,0.8924731230735778,0.015320228306323248,0.9451612901687623,0.014426241032058362,0.9731182861328126,0.006034937726642967,0.9797849583625794,0.003517294282705574,0.9851612997055053,0.005289623822695839,0.9886021590232849,0.0036145629701860634,0.9920430183410645,0.0035336905493950355,0.9920430183410645,0.0028039553496803232,0.9929032325744629,0.0020960828063530173,0.9944086074829102,0.0023311250229583118,0.9956989288330078,0.001700147658271717,0.9959139823913574,0.0014019776748401616,0.9956989288330078,0.0020116418378770917,0.9959139823913574,0.0023311250229583118,0.9969892501831055,0.0014019776748401616,0.9967741966247559,0.0013169287133159796,0.996129035949707,0.0017992671583503155,0.9969892501831055,0.0017668452746975177
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,CBF,8b38e803db304323f3db3858b9d7bd2a,1,0.31437499999999996,0.0183019380804329,0.8206451630592346,0.02179111042701232,0.8866666650772095,0.022868110041978078,0.9787096834182739,0.010126953510987398,0.9834408712387084,0.008280266462430585,0.9864516186714173,0.010822354764995136,0.9879569959640502,0.006602184896626728,0.989677424430847,0.005669431375778313,0.9918279600143431,0.005820373988036821,0.9939785003662109,0.004205933024520485,0.9929032325744629,0.0034509228456890235,0.9948387145996094,0.004394149947408605,0.9959139823913574,0.0024519878231034813,0.9959139823913574,0.0008996335791751578,0.9980645179748535,0.0014019776748401616,0.9976344108581543,0.002677395209642848,0.9976344108581543,0.001594879874076912,0.9980645179748535,0.0014019776748401616,0.9984946250915527,0.0017992671583503155,0.9982795715332031,0.002229722750270558
gelu,0.184699962806,4,0.000314981651,95,3,average,1,CBF,366831733cf14bcf1330a1136a729549,2,0.34125,0.04642492259013472,0.9133333373069764,0.02911775816954378,0.9840860271453857,0.011338860942812046,0.995053768157959,0.004274104937731103,0.9952688217163086,0.002589587762372649,0.9956989288330078,0.0033141979161965948,0.9965591430664062,0.0023311250229583118,0.9965591430664062,0.002567166667092947,0.9980645179748535,0.002068318894341892,0.9972043037414551,0.001953320946261361,0.9974193572998047,0.0024754523560442084,0.9980645179748535,0.002068318894341892,0.9980645179748535,0.0017668452746975177,0.9978494644165039,0.0013169287133159796,0.9980645179748535,0.002203643224452867,0.9978494644165039,0.0020116418378770917,0.9978494644165039,0.0013169287133159796,0.9982795715332031,0.0016307243467651603,0.9984946250915527,0.0014426231258188322,0.9984946250915527,0.0014426231258188322
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,CBF,d5b4fd81bc218d14dd3eae0fd69bd747,3,0.323125,0.021378289220608842,0.41655913889408114,0.0962038133607521,0.4931182765960694,0.08304528810789123,0.5516128981113434,0.09364412121500029,0.5924731218814849,0.08692734850742198,0.629032255411148,0.07861605580160579,0.6623655891418456,0.07745295215002804,0.6866666674613954,0.07916417242666779,0.7161290335655213,0.07578929520927637,0.7410752701759339,0.06749999415632855,0.7556989216804504,0.06096594425780771,0.7703225779533385,0.0521843347016962,0.7821505403518676,0.04405060236954821,0.7926881766319276,0.040550611677380624,0.8047311806678772,0.03325172636862036,0.811182792186737,0.031021088493630382,0.8219354796409608,0.02833287077684082,0.8277419400215148,0.0267242686454069,0.8350537610054015,0.024947626822995356,0.8410752725601196,0.022776921615536683
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,CBF,c60901eaf57c58522605fef72ca472e5,4,0.39499999999999996,0.046749832887401845,0.8976344108581543,0.01215101632463418,0.950107524394989,0.012084225833885945,0.9563440799713134,0.008918900702155265,0.9621505355834961,0.010408472718596875,0.9683870935440064,0.009205962593841276,0.9692473173141479,0.00582037740160441,0.9677419304847718,0.007292833726792044,0.9681720471382143,0.011318461317147224,0.9731182837486267,0.00790158769110921,0.9733333373069764,0.00851434020128839,0.9759139847755431,0.0064784495908766036,0.9763440871238709,0.00786492011408996,0.9763440871238709,0.004301078617577916,0.9756989312171938,0.005720187595485838,0.9772043085098266,0.0066891820478933205,0.9774193572998046,0.0054828231418980805,0.9782795763015747,0.005556142055125322,0.9765591478347778,0.005123072842534522,0.9772043085098266,0.005659231054953097
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,CBF,cf34fdaa6313b61659b8cc3ab2370f5d,5,0.30999999999999994,0.02279322816101308,0.5978494596481323,0.049192804386342805,0.7086021494865417,0.0384549582610912,0.7750537586212157,0.026896775378654553,0.8120430135726929,0.02474754309099905,0.8296774196624757,0.023821508356877335,0.8470967721939087,0.026452487255722724,0.8615053772926331,0.026277062555218087,0.8729032278060913,0.02825931759099611,0.8819354796409608,0.025922667553914227,0.8913978505134583,0.024754546603079148,0.899354841709137,0.02324422139287982,0.9066666674613953,0.02374616696356203,0.9126881718635559,0.021035184445423984,0.9195698928833007,0.020150895532492285,0.9247311806678772,0.019592330893283952,0.9305376315116882,0.018508994007520617,0.9378494620323181,0.018317469547307133,0.9419354796409607,0.014224467563602577,0.9466666626930236,0.014988334165662797
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,CBF,727061ba1eb1a204007d3387fc422076,6,0.34125,0.020179855363703682,0.42795699238777163,0.06596491757556726,0.5997849464416505,0.04627030348841791,0.6883870959281921,0.028786294183421168,0.7593548369407654,0.033162935002933935,0.8146236634254456,0.026421877411568262,0.8520430064201354,0.02341766636657118,0.8832258129119873,0.024597580607813883,0.9040860176086427,0.01955392962218958,0.9197849440574647,0.01797018703448006,0.9318279528617859,0.015236980772547409,0.9417204260826111,0.012799757722582962,0.9473118233680726,0.013874710252843593,0.9539784908294677,0.010949797729159366,0.9606451606750488,0.010524449396095084,0.9638709688186646,0.008722274321272105,0.9681720495223999,0.008588708132663452,0.9718279623985291,0.009629516236842732,0.9763440895080567,0.006968545995326842,0.9776344180107117,0.006242120658350986
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,CBF,3618dafc43c72d1470e7d6623f4ab761,7,0.32375,0.06866471983486135,0.8931182837486269,0.014597540677803781,0.9464516043663025,0.008649057365453513,0.9606451582908632,0.006740828911826388,0.9662365579605103,0.007959901106591845,0.966021499633789,0.007316579217187123,0.9664516115188599,0.00851434223369383,0.970967743396759,0.007009897059990919,0.9720430183410645,0.006269838856606385,0.9735483860969543,0.00914295274568768,0.9733333301544189,0.006859850986290069,0.9739784932136535,0.006288263095810514,0.973118278980255,0.006176952529755421,0.9733333325386047,0.005343997477856227,0.9756989288330077,0.006697816111335378,0.9759139800071717,0.006697818599261778,0.9754838705062866,0.004394161615823984,0.976129038333893,0.006334059791123442,0.974623658657074,0.00420594491033966,0.9748387122154236,0.0056694396281866035
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,CBF,36570c92833b178a50f3b56539b52c29,8,0.315625,0.018487749322186307,0.7443010735511779,0.012525840234000872,0.8350537633895874,0.01685807801824609,0.8606451630592347,0.018941217440633883,0.8868817210197448,0.01886169873869694,0.8987096762657165,0.015626582089081967,0.9120430064201355,0.01878492116383322,0.9243010759353638,0.014518114014164352,0.9307526874542236,0.015887070539237602,0.9363440823554994,0.012409923591754853,0.9408602142333985,0.01576653011832963,0.9453763413429259,0.011715005031089569,0.9488172006607055,0.016926520269807684,0.9498924708366394,0.013613945327279902,0.9520430088043212,0.011939847526656007,0.9563440823554993,0.010217892287361688,0.9561290287971497,0.010518969474235964,0.9582795667648316,0.010352783580489494,0.9589247274398804,0.011210682577663141,0.9604301047325136,0.009355460548521344
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,CBF,30760bef3a3a384cdee217ec85a3eb06,9,0.3275,0.043380132981585016,0.8643010759353636,0.0106825638316415,0.929462366104126,0.01213196512002719,0.9634408617019654,0.007641219650491196,0.9784946274757385,0.007828082830887557,0.983655924797058,0.004832734026570007,0.9881720495223998,0.005429842678323747,0.9911828017234802,0.0040519240951881474,0.992903230190277,0.0035336936327073896,0.9946236586570739,0.003134922494936169,0.9946236586570739,0.004367762819810393,0.9952688217163086,0.0024754523560442084,0.9961290335655212,0.003921417087871412,0.9963440895080566,0.0017992671583503155,0.9963440895080566,0.002229722750270558,0.9967741966247559,0.0027414057262305567,0.9978494644165039,0.0020116418378770917,0.9965591430664062,0.002567166667092947,0.9969892501831055,0.0023311250229583118,0.9976344108581543,0.002068318894341892
