activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,Car,07102f5bd4d6e7954ace2a28fc3122e9,0,0.26333333373069767,0.02251542761906843,0.35666667044162753,0.017078250040526155,0.4500000071525574,0.039086799481099936,0.48666667580604556,0.0491596069426504,0.5150000131130218,0.052836224524120005,0.5383333444595337,0.02981423917243042,0.5983333480358124,0.04346134854896377,0.5916666805744171,0.03679899551102317,0.590000011920929,0.055088308052841636,0.5950000083446502,0.06252777350094264,0.6200000083446503,0.04772606887530226,0.6433333468437195,0.048376409125416825,0.6483333444595336,0.018066235149136047,0.6700000071525574,0.05322905951661518,0.6800000095367431,0.052901899387339336,0.7133333349227906,0.027386131139940775,0.7000000047683717,0.023570225688328932,0.6983333373069763,0.031402401654089675,0.7333333325386048,0.05204164807777737,0.7416666626930237,0.050346026698714505
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,Car,8b38e803db304323f3db3858b9d7bd2a,1,0.25,0.0,0.25,0.0,0.25166666746139527,0.0037267817395668207,0.25166666746139527,0.0037267817395668207,0.25166666746139527,0.0037267817395668207,0.26500000238418575,0.013693066114083271,0.3050000071525574,0.022515427949978458,0.350000005364418,0.022821771052928205,0.4400000059604645,0.06219369432269259,0.5400000029802323,0.04691895354523441,0.580000010728836,0.05515130716100828,0.5683333468437195,0.06106690328320935,0.5733333396911621,0.04306003485942625,0.548333339691162,0.055715045580810384,0.5416666758060455,0.0574335329356329,0.5266666734218597,0.05602578849637169,0.4983333420753479,0.0490889236408357,0.4900000119209289,0.05755432820724772,0.5016666734218598,0.08787617304157544,0.4733333396911621,0.05694783160136624
gelu,0.184699962806,4,0.000314981651,95,3,average,1,Car,366831733cf14bcf1330a1136a729549,2,0.241666669100523,0.028867513782101013,0.3750000071525574,0.05464532232354674,0.3883333396911621,0.04393808609686271,0.3483333396911621,0.052836224101082165,0.39000000715255734,0.012360331682512568,0.4733333396911622,0.03926406753584416,0.48833334326744077,0.04510789956348863,0.4900000071525574,0.0550883089995773,0.5350000131130218,0.02850439163930302,0.5583333480358125,0.04787135590660903,0.5900000071525573,0.03405469184687433,0.6216666781902312,0.028012896309453358,0.6683333384990692,0.060495630886033845,0.686666669845581,0.0495115003177637,0.6750000083446502,0.0543266824433197,0.7000000023841858,0.07095577570800236,0.7549999999999999,0.04808845602258117,0.74,0.04617298248965233,0.7333333349227905,0.021245909574549405,0.7866666626930237,0.020069320998056427
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,Car,d5b4fd81bc218d14dd3eae0fd69bd747,3,0.2500000011920929,0.011785113370999592,0.24000000208616257,0.010865335837229846,0.24000000208616257,0.018066237142418957,0.24166666865348815,0.015590237784057378,0.25000000447034837,0.023570226083454583,0.2533333370089531,0.02922613054106039,0.25166667193174364,0.023124064782422984,0.2666666698455811,0.02041241665237397,0.2766666716337204,0.028504387587856048,0.28166667163372044,0.02969755079277532,0.28333333730697635,0.014433758020219505,0.2816666692495346,0.017078250985758634,0.2850000011920929,0.006972169499962116,0.290000005364418,0.006972166116005439,0.29000000417232513,0.03505946856924174,0.2916666692495346,0.04448782172370363,0.29666667044162753,0.042736269151257354,0.3133333384990692,0.039352393060383024,0.32666667133569716,0.0418329988184211,0.32500000715255734,0.03864007427938733
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,Car,c60901eaf57c58522605fef72ca472e5,4,0.26000000536441803,0.03301935732638377,0.38833333969116207,0.05055250643203277,0.4200000071525573,0.053877434822777896,0.5066666746139525,0.03505947788437815,0.533333340883255,0.039528469809674054,0.5366666722297669,0.03613247545331442,0.5783333432674408,0.035158373497775765,0.5633333420753479,0.043140595368194125,0.6050000143051146,0.03364438592673299,0.6083333361148835,0.03486084073189052,0.6816666674613951,0.01989556676043781,0.7133333349227905,0.03364437684724384,0.6900000011920928,0.03651482975346576,0.6966666674613953,0.04273626987766844,0.7266666674613952,0.010865337951535742,0.7233333325386048,0.04464364481564197,0.7500000023841858,0.039528466982376206,0.7483333349227905,0.028504376740434427,0.7399999976158143,0.04837641816082579,0.7516666722297669,0.06805839125300477
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,Car,cf34fdaa6313b61659b8cc3ab2370f5d,5,0.25666666895151136,0.03248931405589907,0.2866666722297669,0.07420879170607146,0.36000000715255737,0.06465721602189668,0.4033333432674408,0.05577733168863228,0.4250000083446503,0.06947221637098391,0.4700000083446502,0.06083904603966234,0.510000010728836,0.05540256530568747,0.5316666734218598,0.051166934502058205,0.5466666769981384,0.05483561280043341,0.5716666758060456,0.06682273362982795,0.5683333408832549,0.07250479135173506,0.5816666805744172,0.07105357840032862,0.5900000095367433,0.0819468000153345,0.6050000059604644,0.07962586555188539,0.610000011920929,0.06856667319952092,0.6116666734218598,0.06362869060705029,0.616666671037674,0.06208193090687551,0.6133333396911622,0.05910207198694513,0.6266666769981384,0.05785517523663465,0.6183333408832551,0.03791437407608689
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,Car,727061ba1eb1a204007d3387fc422076,6,0.25666666686534884,0.013693062758716717,0.23166667103767394,0.032489318776152215,0.25000000059604643,0.02124591395808648,0.26166666805744165,0.013944334992604838,0.2700000017881394,0.01513825168845951,0.2816666704416275,0.027259047728108287,0.288333335518837,0.024720663917571384,0.3316666686534882,0.04503085352843495,0.35166666805744173,0.051841102928207525,0.38833333671092984,0.04273627313198804,0.42666666984558105,0.045795438373958865,0.4600000041723251,0.05874852585014023,0.5000000083446502,0.0552770751966253,0.5166666758060456,0.06009252428848147,0.5333333396911621,0.04930066368374407,0.5500000035762787,0.03864007717168783,0.5750000083446503,0.0363241598000242,0.5816666793823242,0.034054698629140776,0.5850000095367431,0.02527625036661146,0.600000011920929,0.02204792008272622
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,Car,3618dafc43c72d1470e7d6623f4ab761,7,0.24166666686534882,0.04639803533099133,0.40166667282581325,0.0808805751958442,0.4316666758060455,0.038819382286856226,0.5133333432674407,0.06055301692533296,0.5283333444595337,0.030956960812397495,0.5500000095367431,0.052374190087785585,0.5716666793823243,0.0419159212121982,0.565000013113022,0.057554324582563245,0.6466666769981384,0.03613246892359148,0.6616666746139526,0.04191591540567802,0.6666666734218597,0.06770032315678354,0.6983333396911621,0.0272590352462631,0.7083333373069763,0.016666661202908564,0.7316666603088379,0.03698722997699175,0.7350000047683716,0.043461343234632674,0.7416666674613952,0.024295639369193517,0.7550000047683716,0.025413248009408473,0.755,0.04915960653849231,0.7599999976158142,0.03698723158848424,0.7666666674613953,0.0348608353888023
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,Car,36570c92833b178a50f3b56539b52c29,8,0.2433333343267441,0.013693064844485023,0.31666666865348814,0.020412415131530644,0.36166667282581333,0.015138249801811627,0.41666667222976683,0.021245913081379315,0.47166667699813847,0.03708099605216842,0.5600000095367431,0.05217492060152884,0.5866666769981383,0.028012895422885764,0.6250000095367432,0.056825755322604976,0.6316666734218598,0.043461344548929096,0.665,0.02312406011051847,0.6766666662693023,0.06384660275679607,0.6966666650772095,0.0402250600935031,0.7116666674613953,0.044721353552394184,0.725,0.04409585199288251,0.7200000047683716,0.04107918951552019,0.7250000023841858,0.02282177322938464,0.7283333349227905,0.05123475402369244,0.7349999976158142,0.027888660901960606,0.741666669845581,0.03118048353312032,0.7433333444595337,0.038819380239610506
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,Car,30760bef3a3a384cdee217ec85a3eb06,9,0.278333335518837,0.02862594126234754,0.40833333849906917,0.023570233064026485,0.4833333420753479,0.02825970899537445,0.5766666758060456,0.07870479072779007,0.6016666781902312,0.055088312876685336,0.6250000047683716,0.04039733357961113,0.6183333349227904,0.03836954867170099,0.6566666734218597,0.04056886285045289,0.6883333349227905,0.041079191571059305,0.6983333337306976,0.02074982592083418,0.7250000023841858,0.051706966000138466,0.7399999976158141,0.04224596607198715,0.7249999976158142,0.019543396881306487,0.7216666674613952,0.05224141807668577,0.7450000023841857,0.052901895631668056,0.7416666650772095,0.03726779540446254,0.7433333373069763,0.01806623432432761,0.7466666722297667,0.03205897570849764,0.765,0.053489357131584314,0.7616666650772095,0.04191591931619218
