activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,CatsDogs,07102f5bd4d6e7954ace2a28fc3122e9,0,0.5106249999999999,0.04066104170456042,0.5181818103790283,0.013551922875440863,0.5763636350631713,0.06185827502742123,0.6636363649368286,0.08533411447628085,0.7084848475456238,0.03894852477440744,0.7527272725105286,0.0066390612289001505,0.7793939375877381,0.0241855419454368,0.7915151500701905,0.015362174226464182,0.7933333349227906,0.005420771682497341,0.7951515150070191,0.008989333776688757,0.7921212148666382,0.009241184950054281,0.7903030323982239,0.0065695388295187165,0.795757577419281,0.011051269250725975,0.7969696974754333,0.006775966435722314,0.7921212148666382,0.006976287507976432,0.7927272701263428,0.015540464573681259,0.7872727274894714,0.008938117462705366,0.795757577419281,0.011051256175645622,0.7903030395507813,0.013104098063326379,0.795757577419281,0.015687495358429834
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,CatsDogs,8b38e803db304323f3db3858b9d7bd2a,1,0.504375,0.009003037681804969,0.5,0.0,0.5036363625526429,0.008131153858543988,0.5860606050491333,0.11112580417210487,0.6103030276298523,0.1496951270948729,0.643636360168457,0.12073010566480526,0.7060606050491334,0.09381712988415701,0.7533333396911621,0.04425695780159036,0.776363639831543,0.03329198172799678,0.7793939423561097,0.012007034405521857,0.7745454478263856,0.011459191765696377,0.7818181872367859,0.0148453964729562,0.7751515150070191,0.03322295243799961,0.7969697046279908,0.018556740298659783,0.7903030323982239,0.01860615826550094,0.7909090948104859,0.018307649166543153,0.7945454621315002,0.02484109408796754,0.7866666722297668,0.018507188521959653,0.7884848546981812,0.015658196214129377,0.7866666698455811,0.020950767502667847
gelu,0.184699962806,4,0.000314981651,95,3,average,1,CatsDogs,366831733cf14bcf1330a1136a729549,2,0.4875,0.026145625829189875,0.5224242341518402,0.03398805431778377,0.5375757551193237,0.018257425112867903,0.6115151476860047,0.057830377733830186,0.6848484826087952,0.03533909833513429,0.7163636374473572,0.057878000288501055,0.7478787875175475,0.025569727721400107,0.7630303001403809,0.011216215078295256,0.7696969676017761,0.023472627424937408,0.7854545474052429,0.019917187586168183,0.7836363649368285,0.02749070470763835,0.7806060576438903,0.020395543748013837,0.7854545426368714,0.006569542953555744,0.7872727298736573,0.011419057116935697,0.7733333325386048,0.03464366621566759,0.7866666746139526,0.02698501548225766,0.7890909123420715,0.017354935347519772,0.7800000023841858,0.017486712529809424,0.7775757646560668,0.015687486147519074,0.7721212077140809,0.019568343193792033
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,CatsDogs,d5b4fd81bc218d14dd3eae0fd69bd747,3,0.48562500000000003,0.045101881196907986,0.5048484814167022,0.006976280258606728,0.5163636350631713,0.020282666934821572,0.5187878751754761,0.02592636034540661,0.5345454478263855,0.03102178101750216,0.5399999928474427,0.03130173033191949,0.544848483800888,0.029176009440905672,0.5551515102386475,0.027723547618455798,0.5557575714588165,0.028475170802486936,0.5593939363956452,0.02448739719780536,0.562424236536026,0.02664255583914273,0.5684848415851593,0.033716806084436286,0.576363626718521,0.031301721763033016,0.5818181788921356,0.03540400467031739,0.5872727262973786,0.03695230680033913,0.5890909016132355,0.03640149645392445,0.5957575726509095,0.03896031293564202,0.6018181836605072,0.03913669342562671,0.6060606038570404,0.045353421732560545,0.6103030335903167,0.04097077270127221
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,CatsDogs,c60901eaf57c58522605fef72ca472e5,4,0.49812500000000004,0.026387289790730694,0.6551515102386475,0.04239175909893136,0.7169696927070618,0.05982834125805719,0.7375757575035095,0.03842634707835616,0.7672727274894715,0.019093314936566227,0.784848484992981,0.021956632704946404,0.7806060600280762,0.013985429379986713,0.787272732257843,0.013952567378221946,0.7903030276298523,0.018851309589545343,0.772727267742157,0.025623538099393425,0.7818181824684143,0.02443108518351032,0.7866666746139527,0.010841539866394322,0.78,0.022636187905899084,0.7733333325386047,0.023802828177245886,0.7793939399719239,0.013619516896546825,0.7884848499298096,0.013952564400802961,0.7800000047683715,0.02806918028374292,0.7878787922859192,0.020214642453715754,0.7684848499298096,0.01761750190643575,0.7842424249649047,0.013104093790439721
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,CatsDogs,cf34fdaa6313b61659b8cc3ab2370f5d,5,0.509375,0.01036445246986063,0.5133333265781402,0.014309958502410739,0.581818174123764,0.10022931016029071,0.636969699859619,0.14557129320884454,0.703636360168457,0.08458834264649424,0.7624242377281188,0.05127394785394256,0.7903030323982239,0.028700021792052215,0.7945454549789429,0.013449900491322199,0.7975757622718811,0.014752317403463453,0.7993939423561096,0.013104087174361392,0.8048484873771669,0.01640287201796776,0.7963636302947998,0.008408750439427385,0.7969697022438049,0.01405093656903803,0.7939393973350525,0.012121215462685422,0.7963636374473573,0.014116134395465394,0.7969697022438049,0.006428244359360222,0.7987878847122193,0.004595681241715761,0.8024242448806763,0.005828902420676215,0.798787877559662,0.0062837721626969965,0.8006060600280762,0.012748900675358886
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,CatsDogs,727061ba1eb1a204007d3387fc422076,6,0.496875,0.009374999999999991,0.5066666638851165,0.016926347003951393,0.5503030252456665,0.06637677612219847,0.593333330154419,0.12718972406766962,0.6333333325386047,0.15941525890781322,0.6757575678825379,0.12474031613514659,0.745454545021057,0.06704438913942527,0.7872727274894714,0.03417667162972646,0.7890909051895142,0.027154623296719943,0.7975757575035096,0.02780622792000919,0.8018181777000428,0.019237053682497895,0.795757577419281,0.014627294399847906,0.8036363697052001,0.02446864444456481,0.7939393901824952,0.01700753222460846,0.7987878727912904,0.016542237359843906,0.7981818127632142,0.012604021834486967,0.7957575702667236,0.016680438342593366,0.799393937587738,0.012567543175632698,0.7969696998596191,0.019871020969647386,0.7945454502105713,0.012383521364332968
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,CatsDogs,3618dafc43c72d1470e7d6623f4ab761,7,0.496875,0.02096313728906054,0.6703030276298524,0.03308446991544807,0.7254545450210571,0.04692568528555508,0.7496969676017761,0.01668044159107244,0.7818181800842285,0.010925918240975739,0.7842424273490906,0.012383526615119695,0.7848484826087951,0.01499923610260109,0.7872727346420288,0.0069101548202202615,0.7824242424964905,0.011419055693362674,0.7842424201965332,0.012748903083834218,0.7921212148666382,0.018004192576900602,0.7787878751754761,0.015451580588825339,0.7799999976158143,0.01735493347418304,0.7872727251052858,0.014116140793111527,0.7933333420753478,0.015211997967409173,0.7800000071525572,0.020950773796121352,0.7836363625526429,0.012045217720366862,0.7830303072929382,0.01018650246173835,0.7909090876579283,0.012309151298981453,0.7830303049087525,0.019117347138412396
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,CatsDogs,36570c92833b178a50f3b56539b52c29,8,0.49312500000000004,0.020658117351298036,0.5848484802246093,0.06312928691030344,0.6703030323982239,0.0356881729079137,0.7248484849929809,0.020032118134065156,0.7557575845718383,0.019824758505396296,0.7618181753158569,0.026208184824178634,0.7733333277702331,0.03025754666593033,0.7745454549789429,0.013985429509133842,0.7727272748947144,0.01818181524674112,0.7739393973350526,0.022534537486607754,0.768484845161438,0.022329866685102156,0.7787878799438477,0.024147548108222408,0.7745454573631287,0.025407602930398395,0.7769696974754334,0.021704242505370928,0.779393949508667,0.021147085843124348,0.7733333325386047,0.021470296933407237,0.7715151500701904,0.014937892548680852,0.7763636350631714,0.01580413139966416,0.764848484992981,0.020507780086143464,0.7690909147262573,0.01706144468799372
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,CatsDogs,30760bef3a3a384cdee217ec85a3eb06,9,0.5156249999999999,0.02000976324197763,0.6999999976158142,0.05992036642569841,0.7672727370262147,0.04195630204497328,0.7939393925666809,0.016872014258788707,0.8127272796630859,0.01706144331175355,0.8018181800842286,0.016953449916959868,0.8151515197753906,0.017007538596612914,0.793939392566681,0.01113404177829296,0.8018181800842286,0.015090789157821844,0.8103030347824097,0.017617510825946564,0.8139393901824953,0.013312656065210768,0.8042424249649047,0.013312652401975593,0.8066666650772095,0.015362169993775831,0.7987878823280334,0.014309965381393574,0.8042424273490905,0.021491657803798792,0.816363639831543,0.017876221689256115,0.8054545521736145,0.011009636995040081,0.8060606050491332,0.009340017143857415,0.8163636374473573,0.008730214377035809,0.8060606169700621,0.015451577081994418
