activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,ChlorineConcentration,0.3481249999999999,0.5378975164890291,0.5394948196411133,0.5397353816032411,0.5346163094043732,0.534087084531784,0.5382631623744965,0.5412653303146362,0.5416790914535523,0.5426605701446533,0.5435746908187866,0.5436901593208313,0.5419388973712922,0.543478467464447,0.5449121975898743,0.5429877328872681,0.5420639812946318,0.544950680732727,0.5462785625457764,0.5446427702903748
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,ChlorineConcentration,0.354375,0.5235794800519943,0.4581765502691269,0.4385758781433105,0.4878229284286499,0.5220302903652192,0.446831841468811,0.3956699484586716,0.4142121708393096,0.4412797683477402,0.467404373884201,0.473341349363327,0.5104546511173248,0.5082703828811646,0.5221169078350067,0.5241568410396577,0.5328939187526702,0.5197979354858399,0.5236179971694946,0.52109694480896
gelu,0.184699962806,4,0.000314981651,95,3,average,1,ChlorineConcentration,0.34375,0.3727399557828903,0.5242145711183548,0.4283569854497909,0.5033245134353638,0.5058744311332702,0.4657589590549468,0.5370218861103058,0.4848688948154449,0.5215299499034881,0.5179889321327209,0.5219533288478851,0.5143998074531556,0.5295934629440306,0.5245609867572785,0.521424103975296,0.5179696941375733,0.5384171283245086,0.5165744543075561,0.5352128946781158
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,ChlorineConcentration,0.4081249999999999,0.3844503128528594,0.3830550754070281,0.398460419178009,0.4009237372875214,0.415694009065628,0.4172047102451325,0.4214289116859436,0.4270194816589356,0.4347077184915543,0.4440317457914353,0.4502092802524567,0.4549627113342285,0.4593216228485107,0.4648640841245651,0.4709742599725723,0.4745730102062225,0.4784315621852874,0.4824440675973892,0.4869761788845063
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,ChlorineConcentration,0.289375,0.4032812124490738,0.4314649927616119,0.4758335387706756,0.4441376030445099,0.4876786136627197,0.4758142912387848,0.4878806865215302,0.499908584356308,0.4896896731853485,0.5079913437366487,0.4894202625751495,0.5068077969551086,0.5015347635746001,0.5113399052619935,0.5123213839530945,0.5199133956432342,0.5122925138473511,0.5301130664348602,0.5265912973880769
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,ChlorineConcentration,0.32625,0.4823093539476394,0.530738503932953,0.5385903239250183,0.5396391606330871,0.539793119430542,0.5395718050003052,0.5396391606330871,0.5398797202110291,0.5401010346412658,0.540187635421753,0.5403800797462464,0.5402646040916442,0.5402357411384583,0.5404378104209899,0.5407072353363038,0.5408515763282775,0.5409285545349121,0.5410440182685853,0.5414192914962769
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,ChlorineConcentration,0.33625,0.373192195892334,0.3794948160648345,0.4002116841077804,0.4280586874485015,0.4523454374074936,0.4792975676059723,0.4996487820148468,0.527630500793457,0.535540052652359,0.5379648745059967,0.5390425777435303,0.53917729139328,0.5390810704231261,0.5384556162357331,0.5373586654663086,0.5368005728721619,0.5362328636646272,0.5364253127574921,0.5368967998027803
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,ChlorineConcentration,0.295625,0.3549482804536819,0.4676256942749023,0.4364589858055114,0.4798556661605834,0.4870242977142333,0.4957806062698364,0.4943757498264312,0.5066249680519104,0.5017849361896516,0.5135530388355255,0.5122155404090881,0.501496274471283,0.5290642249584199,0.5082415294647217,0.5165744543075562,0.5237238395214081,0.5241279733181,0.5176136636734008,0.5247534286975861
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,ChlorineConcentration,0.3412499999999999,0.3604907310009003,0.404560974240303,0.4213038194179535,0.4367476511001587,0.4741015124320983,0.5156218421459198,0.5333557891845703,0.5367139744758606,0.53121000289917,0.5298051488399506,0.5293721461296081,0.5353283596038818,0.5414096689224243,0.5418041849136352,0.5376377248764037,0.534962718486786,0.5355496752262117,0.5383305227756501,0.539898966550827
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,ChlorineConcentration,0.336875,0.5266105353832244,0.4908539831638336,0.4821457779407501,0.5052393507957459,0.5272359883785247,0.53226846575737,0.5245609819889069,0.5219725811481475,0.539465960264206,0.5437190282344819,0.5398412299156189,0.5405725312232971,0.5350396907329559,0.5436324286460876,0.5425162422657013,0.537984116077423,0.5364445531368255,0.5435554540157319,0.5472504222393035
