activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,CinCECGTorso,07102f5bd4d6e7954ace2a28fc3122e9,0,0.25875,0.024044230077089175,0.4664918076992035,0.038189791381074395,0.66504918217659,0.038326907057288265,0.827377052307129,0.021399255749212153,0.9159672141075135,0.008391620168830508,0.9462295103073121,0.011457245888691332,0.9594098377227784,0.00976794329616418,0.9674754071235656,0.007107652610320087,0.9725573801994324,0.004859760026765728,0.9759672069549561,0.0034418383803626706,0.9770819640159607,0.0039538409236570425,0.977999997138977,0.003737209169639725,0.979180326461792,0.0036638504206153518,0.979770486354828,0.004356769233584765,0.9799672102928161,0.004540713045578398,0.979770486354828,0.003993069554954433,0.9799344277381896,0.0041075265940480575,0.979836061000824,0.0039258784685697705,0.9797377014160157,0.00403990517419222,0.9799016380310059,0.00419972871069621
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,CinCECGTorso,8b38e803db304323f3db3858b9d7bd2a,1,0.253125,0.02931509849889643,0.252295081615448,0.0051319585060517646,0.2656065571308136,0.02039234787953793,0.26740983605384827,0.007836681897636016,0.3709508192539216,0.016707807721185117,0.3310491812229156,0.02255084699096542,0.3304262316226959,0.028649760556286583,0.3374754083156586,0.03669579717844689,0.3661639356613159,0.030459531027145006,0.38836065173149115,0.024456740309300465,0.4139344274997711,0.0289273390857187,0.44036065459251406,0.022528729717964803,0.4658688545227051,0.019252146252853555,0.48314754247665403,0.022843539773773222,0.4878360676765442,0.019475933825581136,0.5033770477771758,0.017601249383643932,0.5186885225772857,0.013437118362018533,0.5300327837467194,0.009353888626932344,0.526196724176407,0.011413418840727226,0.5303278648853301,0.010974425877560732
gelu,0.184699962806,4,0.000314981651,95,3,average,1,CinCECGTorso,366831733cf14bcf1330a1136a729549,2,0.25187499999999996,0.03675031887616759,0.7974426198005677,0.026667852145728872,0.8063934457302093,0.043691977891272944,0.848295078277588,0.054442227499566266,0.8865901684761047,0.04272299097982917,0.9124590182304383,0.03530114193738194,0.9318032765388488,0.02663518546673136,0.9462950778007506,0.020591427450313168,0.9567540979385376,0.015379026436505487,0.9653114795684814,0.011078377824906347,0.9710163950920105,0.007481412993773987,0.974721314907074,0.004940388197427163,0.9774426269531251,0.00338475686157047,0.9792458963394164,0.0025386063612674687,0.9807540965080263,0.0021951324372420874,0.9814098358154297,0.0017333750025683757,0.9819999980926515,0.0015655591721937421,0.9824590182304382,0.0015334652699099654,0.9829508209228516,0.0017115191067249781,0.9831147575378418,0.0018655442015936313
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,CinCECGTorso,d5b4fd81bc218d14dd3eae0fd69bd747,3,0.25625,0.020131404260508003,0.23196721255779265,0.018717621982972183,0.24744262337684636,0.018371121985689503,0.26216393589973447,0.019488692229205927,0.27127869009971617,0.02235569020352164,0.2779016375541687,0.02128951973833874,0.28127868950366974,0.020454194731580968,0.2868524593114853,0.015550630915603138,0.29075409889221193,0.01230906212052745,0.29639344036579135,0.010398533625922515,0.3023278689384461,0.010461276394967058,0.30704917788505554,0.011329874665586225,0.31118033051490784,0.01281176547727279,0.3156065571308136,0.014920914565338715,0.31973770499229426,0.015064404580874227,0.3261639338731766,0.016574656093380855,0.33095081984996794,0.017177717365189592,0.3370491790771485,0.019681692510375742,0.3420655727386475,0.019867066043747595,0.34859016776084895,0.020875614282819
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,CinCECGTorso,c60901eaf57c58522605fef72ca472e5,4,0.24500000000000002,0.014422475949017903,0.42091803312301634,0.021135019486902374,0.515081969499588,0.01206616950728023,0.5945573830604552,0.024758816393281875,0.685344262123108,0.015323535642716045,0.7521639370918274,0.023198422402501074,0.7988524532318115,0.018463187021497667,0.8150163960456849,0.014096266228891593,0.8425901627540588,0.026190648222640587,0.860655734539032,0.014337470058825031,0.8641639423370361,0.014014034766441454,0.8657704949378967,0.02078686170737809,0.8719344210624694,0.017699762767777894,0.8768852496147156,0.017217798396328317,0.883016390800476,0.016842455249846944,0.8840000009536743,0.016310694775615673,0.8846557426452637,0.013742950074021388,0.8866557407379151,0.015454946996873812,0.8911803269386291,0.01825843065562783,0.8898032760620117,0.015207692628072141
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,CinCECGTorso,cf34fdaa6313b61659b8cc3ab2370f5d,5,0.23875000000000002,0.02149218608006176,0.4999672162532807,0.03504008299289954,0.6692131125926972,0.024202238254287942,0.7799344301223755,0.021899086951790356,0.8650163912773131,0.01569521343819901,0.9193770480155946,0.009353173908472808,0.9433114767074585,0.008059838185817196,0.9551475405693054,0.006170561894204442,0.9613114714622497,0.004483539817018593,0.966065571308136,0.002573818910151151,0.9685901641845703,0.0022345673412054587,0.9707540941238403,0.002371679944752014,0.9724918055534364,0.001999059466869405,0.9741639328002931,0.002422129440184202,0.9750491857528687,0.002260868054337247,0.975868854522705,0.0024464141569913718,0.9763606572151184,0.002407657605457589,0.9768196725845337,0.002498594479859734,0.9773442625999451,0.0026595806129009825,0.9775081992149353,0.0026418362834495827
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,CinCECGTorso,727061ba1eb1a204007d3387fc422076,6,0.270625,0.00784368774875696,0.3355081987380982,0.03402628959621583,0.4253114736080169,0.06426465654739959,0.562721312046051,0.06592086798984491,0.7206229448318482,0.05526771693175727,0.843868854045868,0.030157603582088372,0.9152459025382995,0.017072808446189875,0.9518360614776611,0.008579891706371415,0.9682950854301453,0.005320415943465662,0.9766885209083558,0.00422652166095617,0.9818360662460327,0.0028237625873889795,0.9847213053703306,0.0014772342533040874,0.9865573763847351,0.0013468640345060746,0.9880327916145326,0.0015681323486415595,0.9886229538917541,0.0014917134675724942,0.9889180326461793,0.0017216947158649424,0.9893442583084108,0.0017656295194082051,0.9897704863548279,0.0019486816610825486,0.9903934407234191,0.002046224091260671,0.9907868814468384,0.001975391999022968
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,CinCECGTorso,3618dafc43c72d1470e7d6623f4ab761,7,0.2425,0.026201592270318225,0.42331147551536563,0.020684796610201027,0.47931147575378413,0.01265452628229482,0.5576721239089966,0.021466149819944328,0.6014754104614257,0.027535373408276144,0.6708524608612059,0.01779477915085129,0.7201311492919922,0.019604872805829936,0.7431147551536561,0.015190713444419763,0.76931147813797,0.01910781969765952,0.7886557364463807,0.014166059677530332,0.8115081906318664,0.008460033633913542,0.82216392993927,0.009678659606151163,0.8388852405548095,0.003348435694816083,0.8361639356613159,0.010002414618072806,0.8409508156776428,0.00466766594021286,0.8451803207397461,0.012608364108945527,0.8480327868461608,0.010645016305232647,0.8477049160003661,0.008287208130169452,0.8458032822608947,0.01165641770011879,0.8520983576774597,0.007391059540532614
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,CinCECGTorso,36570c92833b178a50f3b56539b52c29,8,0.23875000000000002,0.01983821281012984,0.29340983629226686,0.02127721006274487,0.3650163912773133,0.02383727076373704,0.4230819654464722,0.014028323209799885,0.4658688497543335,0.012054138211088744,0.4905245912075042,0.01370711750503953,0.5006885230541229,0.010017053428051599,0.5191475439071656,0.009320791790046006,0.5286229574680329,0.007104811707078457,0.5508524584770202,0.012167311213334505,0.5579016351699829,0.00967032496121025,0.5640327882766722,0.008557313722967166,0.5761311435699462,0.008562023255695125,0.5847868752479554,0.00755024951712773,0.588360652923584,0.007329539020550727,0.5965901613235474,0.005407851200604683,0.598950822353363,0.007971161355314463,0.6064590191841125,0.007638886771126594,0.614393446445465,0.010334633980061082,0.6200655722618104,0.008182440190337889
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,CinCECGTorso,30760bef3a3a384cdee217ec85a3eb06,9,0.236875,0.06443868209391002,0.9492131137847901,0.004117001708693611,0.9679999995231627,0.0040212362555384325,0.9723606610298156,0.0036428844990359626,0.9740327858924867,0.0037321673951251026,0.9757377052307129,0.003033899105217668,0.9766557359695435,0.002533306874734368,0.9768524646759034,0.0020974624629556873,0.9769836020469664,0.002170506333814671,0.9774426198005676,0.0025200089164106655,0.9779999995231629,0.0025061032217899726,0.9781967210769654,0.0020442557108673503,0.9785573720932007,0.002385232407399002,0.9789508199691774,0.002052779042261455,0.9791475391387939,0.002316643631840828,0.979180326461792,0.002653507264148782,0.9790819668769837,0.002924746871320071,0.9790819644927978,0.0029155472421877574,0.9797377038002013,0.0027274256795118564,0.9797704911231996,0.002503956078292827
