activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,CounterMovementJump,0.328125,0.7138095247745515,0.8454761862754822,0.9116666650772094,0.9323809504508972,0.9354761910438536,0.9473809504508972,0.9457142782211304,0.9485714244842528,0.9623809528350832,0.9521428513526916,0.945238094329834,0.9509523820877076,0.9571428608894348,0.9561904788017273,0.9600000000000002,0.9621428537368774,0.9611904740333556,0.9597618985176088,0.9604761838912964
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,CounterMovementJump,0.3525,0.4130952441692351,0.3919047629833221,0.3857142877578735,0.4083333337306977,0.4297619080543519,0.4683333384990692,0.4357142841815949,0.5228571367263795,0.5023809456825257,0.5504761922359467,0.5764285755157472,0.6095238137245178,0.6128571379184723,0.6049999952316284,0.6280952346324921,0.6576190459728241,0.6235714340209961,0.6395238089561462,0.6880952346324921
gelu,0.184699962806,4,0.000314981651,95,3,average,1,CounterMovementJump,0.325625,0.780714282989502,0.8990476179122924,0.93,0.931904764175415,0.939285719394684,0.937857141494751,0.9361904692649844,0.9445238041877748,0.9504761862754822,0.9419047594070434,0.9552380967140198,0.9514285707473756,0.9411904740333557,0.9540476179122924,0.9516666674613952,0.9471428561210632,0.940238091945648,0.9480952358245848,0.9521428537368772
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,CounterMovementJump,0.313125,0.3630952394008636,0.3892857146263123,0.4128571426868438,0.4326190483570099,0.4578571474552154,0.4788095259666443,0.4928571426868439,0.5059523820877075,0.5173809492588044,0.5297619032859802,0.5376190495491029,0.548095234632492,0.562857141494751,0.5619047617912292,0.5742857122421265,0.5835714280605316,0.5907142829895019,0.5959523797035218,0.6030952382087709
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,CounterMovementJump,0.3512499999999999,0.5935714244842529,0.712857141494751,0.7664285707473756,0.7926190519332886,0.8376190447807312,0.876190481185913,0.8830952429771424,0.8873809528350829,0.8916666626930236,0.885952377319336,0.894047613143921,0.899523813724518,0.9045238065719604,0.9097619032859802,0.8847619009017944,0.8995238065719604,0.8988095211982726,0.9073809504508972,0.9128571414947512
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,CounterMovementJump,0.344375,0.7311904764175415,0.84619047164917,0.8880952405929564,0.9042857098579408,0.924761905670166,0.937142858505249,0.9447619009017943,0.951428563594818,0.9495238041877746,0.9561904788017273,0.9592857098579406,0.9588095211982728,0.96119047164917,0.9621428585052488,0.9614285659790038,0.965238091945648,0.9642857074737552,0.964047613143921,0.9649999904632568
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,CounterMovementJump,0.315625,0.5919047641754152,0.7685714292526244,0.8535714197158815,0.8883333349227904,0.9128571414947512,0.926666660308838,0.9400000047683716,0.9478571438789368,0.9516666650772094,0.952380952835083,0.9564285731315612,0.9580952382087708,0.9580952405929566,0.9585714292526246,0.9590476155281068,0.960952377319336,0.9611904764175416,0.9635714268684388,0.9649999976158142
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,CounterMovementJump,0.345,0.5861904764175415,0.6916666674613954,0.755238094329834,0.8249999976158142,0.8642857146263123,0.8630952405929566,0.8690476155281066,0.8795238089561461,0.8938095211982727,0.8959523797035217,0.8969047594070435,0.9078571462631226,0.905238094329834,0.9038095211982728,0.9097619032859802,0.9040476179122924,0.9069047594070436,0.905476186275482,0.909761905670166
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,CounterMovementJump,0.311875,0.6040476155281067,0.699285717010498,0.7823809480667114,0.8352380943298339,0.8711904811859131,0.9004761958122254,0.910952377319336,0.916666662693024,0.911190469264984,0.9121428561210634,0.9202380919456482,0.9173809456825256,0.9169047570228576,0.9195237994194032,0.917619037628174,0.9204761838912964,0.9199999928474426,0.9185714221000671,0.9199999928474426
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,CounterMovementJump,0.3268749999999999,0.7557142901420593,0.8969047665596008,0.9226190495491028,0.9283333325386048,0.9307142853736876,0.935,0.9321428513526916,0.9340476226806642,0.932857141494751,0.935,0.9357142782211304,0.9333333325386046,0.9333333325386046,0.9314285707473754,0.930714282989502,0.9299999952316284,0.9326190447807312,0.9326190495491028,0.933571424484253
