activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,DucksAndGeese,07102f5bd4d6e7954ace2a28fc3122e9,0,0.19600000351667404,0.011401755009004023,0.23800000309944153,0.027748874291363714,0.25000000417232515,0.02345207962512123,0.2640000051259994,0.030495903210968955,0.31599999964237213,0.055946400573616266,0.32800000131130214,0.10009994802838046,0.35600000500679013,0.12817956400391195,0.396000000834465,0.125618465718622,0.45200000345706937,0.14669696649806516,0.4900000017881393,0.14815532241173687,0.5640000003576279,0.174441966990206,0.5960000038146973,0.18311198865670816,0.636000007390976,0.19256167493901613,0.6540000033378602,0.17572705992849313,0.6800000071525574,0.17320508299371726,0.7020000040531158,0.16679328626573336,0.7300000071525574,0.1466287781081483,0.7340000104904174,0.12280064812467452,0.7500000166893006,0.1278671089228532,0.7620000123977662,0.12008329512635084
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,DucksAndGeese,8b38e803db304323f3db3858b9d7bd2a,1,0.20000000298023224,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,0.20200000286102293,0.004472135688439503,0.21600000262260438,0.023021727947326296,0.22400000274181364,0.0336154726634059,0.2760000032186508,0.0907193472235164,0.29800000369548796,0.13461055053932688,0.33000000298023224,0.15572411497612962,0.3420000004768372,0.18171405838332705,0.3580000030994415,0.21370540490830545,0.3880000030994415,0.25351528625935876,0.40600000619888305,0.26206869638251445,0.4259999996423721,0.2760978038168567,0.4340000045299529,0.2956856458297792,0.4660000050067901,0.2922841092413068,0.47000000119209295,0.31376742393909185,0.4780000007152558,0.3147538640780805
gelu,0.184699962806,4,0.000314981651,95,3,average,1,DucksAndGeese,366831733cf14bcf1330a1136a729549,2,0.20200000286102293,0.004472135688439503,0.2060000032186508,0.008944272543079362,0.2360000032186508,0.03507135514519282,0.24000000357627868,0.025495096925045205,0.26000000059604644,0.010000000894069683,0.2980000060796738,0.026832818850971774,0.3140000039339065,0.04615192315954887,0.3480000007152557,0.07563067583585403,0.39800000250339507,0.04969909201661856,0.4339999967813492,0.09787747040367704,0.48000000238418583,0.11090536705261106,0.5280000042915345,0.13026895439978572,0.5580000042915344,0.11541230146758119,0.6200000071525574,0.12103718811171489,0.6500000023841859,0.11045360169960192,0.6560000026226043,0.11326958290264988,0.6940000081062317,0.13334166096172279,0.7140000081062319,0.128179557982046,0.7280000042915344,0.12070624967314489,0.7460000038146972,0.11260549873507564
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,DucksAndGeese,d5b4fd81bc218d14dd3eae0fd69bd747,3,0.20200000286102293,0.004472135688439502,0.20000000298023224,0.0,0.20000000298023224,0.0,0.19200000286102295,0.016431676516578158,0.19200000315904617,0.014832396642661424,0.19600000351667407,0.01673320095812859,0.19200000286102298,0.008366600390012835,0.1980000039935112,0.01643167656192097,0.21000000327825546,0.0099999990314246,0.22600000321865082,0.015165752538792947,0.24600000202655795,0.039115214614074606,0.2560000020265579,0.03577708709021654,0.27600000143051145,0.06308723919355207,0.2880000025033951,0.0676017717124342,0.29600000262260434,0.08384509387522827,0.3100000023841858,0.09823441107973631,0.3160000020265579,0.10573551822651445,0.3100000007450581,0.11768602058214647,0.30400000140070915,0.12660963545497889,0.30000000253319736,0.13322912516181942
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,DucksAndGeese,c60901eaf57c58522605fef72ca472e5,4,0.20200000286102293,0.010954450497167147,0.42000000178813934,0.12609520347636738,0.46800000190734864,0.13141537347299234,0.5080000054836272,0.12049896251758163,0.5220000076293945,0.10639549292863572,0.5400000071525574,0.10885771002166282,0.5660000085830689,0.09154234248313972,0.5880000102519989,0.08757854263519227,0.6120000052452086,0.08642916159360794,0.654000004529953,0.05983310446412087,0.6920000052452087,0.021679482233950442,0.7380000019073487,0.02588436023749236,0.776000006198883,0.027018513098761424,0.7940000081062317,0.035071356887206494,0.8120000076293945,0.04494441061244004,0.8279999995231628,0.04494440583817007,0.8479999995231629,0.05118593438051671,0.8520000004768372,0.03420526306663464,0.86,0.03240370294020801,0.8699999952316284,0.02236068110779855
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,DucksAndGeese,cf34fdaa6313b61659b8cc3ab2370f5d,5,0.1880000030994415,0.013038404776119299,0.22600000321865082,0.01341640773171878,0.27400000125169754,0.035777087944041774,0.2980000025033951,0.04658325870584155,0.2860000032186508,0.04159327222576943,0.28400000274181364,0.052249402760327524,0.33399999976158146,0.09710818604395913,0.33200000166893007,0.07854934701924357,0.3500000005960464,0.08803408320806744,0.37600000441074377,0.12739702198002226,0.4040000033378601,0.14310835236967953,0.4660000020265579,0.20156884809152595,0.49400000274181377,0.21267346213964,0.53,0.20457272527997097,0.5700000011920929,0.21760055698933137,0.6019999992847442,0.21684095763846575,0.6220000004768371,0.19841875014445554,0.666000008583069,0.16318700414412066,0.6900000143051147,0.14916433051036368,0.7100000143051147,0.12469962847431806
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,DucksAndGeese,727061ba1eb1a204007d3387fc422076,6,0.20000000298023224,0.0,0.19800000309944152,0.004472135688439502,0.20400000333786011,0.008944272709679386,0.20000000298023224,0.0,0.2040000024437904,0.005477224840498495,0.20600000262260437,0.008944271376879004,0.21000000298023225,0.022360679774997894,0.22000000238418577,0.03082206938635012,0.25200000226497654,0.05449770602376795,0.27000000298023225,0.08514693156712412,0.2800000035762787,0.0908295100487274,0.31600000262260436,0.13240090623776662,0.33200000166893007,0.15594870814291026,0.3479999995231628,0.17852170305818907,0.38199999988079075,0.2130023453915219,0.4120000022649766,0.2686447464052074,0.41600000381469726,0.27790286135283165,0.4340000033378601,0.3031996042449679,0.4560000020265579,0.3205931993491481,0.47400000274181364,0.31293769392571713
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,DucksAndGeese,3618dafc43c72d1470e7d6623f4ab761,7,0.2100000035762787,0.023452079942814917,0.4460000056028366,0.11282730422007356,0.5320000076293946,0.14549914393468108,0.5580000030994415,0.1118928089778367,0.5660000061988831,0.09838699459643568,0.6020000064373017,0.09391486284870021,0.6140000092983245,0.08905055428417628,0.6380000078678132,0.10084641914275295,0.6600000047683716,0.09746794604709592,0.6960000014305114,0.07162402807112296,0.7340000033378601,0.06024948371966792,0.762000002861023,0.046583262864311865,0.7960000014305114,0.023021729694942133,0.8220000004768373,0.0526307841223384,0.8380000019073487,0.054037019799927644,0.8679999971389771,0.04604345214051639,0.8739999961853029,0.03974921025985443,0.8799999952316284,0.04301162550374627,0.8819999957084657,0.03962322367709064,0.8839999938011169,0.041593271724207494
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,DucksAndGeese,36570c92833b178a50f3b56539b52c29,8,0.20200000286102293,0.004472135688439502,0.2520000034570694,0.05167204322706822,0.28400000274181364,0.08080841416417228,0.33200000107288363,0.08197560396818322,0.36200000047683717,0.09523654479323708,0.39800000071525576,0.09066421116952746,0.4700000035762787,0.08860022499333617,0.5180000042915345,0.09959919868696536,0.5500000095367432,0.09327379343846974,0.6180000054836274,0.1211197655770114,0.6700000059604644,0.10793516205230931,0.7200000095367433,0.11022703307187441,0.7580000066757202,0.09176055172680023,0.7920000004768373,0.08348651963338208,0.8040000033378603,0.06107371883352508,0.81400000333786,0.05683308519894742,0.8320000028610229,0.048682643550234245,0.8400000047683716,0.04301162481085668,0.8460000038146973,0.042778494702287735,0.8500000023841858,0.03999999612569887
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,DucksAndGeese,30760bef3a3a384cdee217ec85a3eb06,9,0.2020000034570694,0.010954451721422485,0.3,0.02449489779283421,0.41200000226497646,0.054037025397822486,0.44800000131130224,0.05890670901658513,0.44000000059604644,0.055677641647817966,0.4600000017881394,0.07035623919305725,0.4920000034570694,0.08555700006356153,0.5340000021457671,0.08820430718331666,0.5900000011920928,0.09407443870617259,0.6380000042915345,0.08318653789540004,0.6820000052452088,0.10059820750831362,0.734000005722046,0.0859069140433935,0.774000005722046,0.08820429721590663,0.8060000014305114,0.07266360449536428,0.8280000019073486,0.06140032173252672,0.8420000028610228,0.0443846829555235,0.8480000066757201,0.04147288009095977,0.8520000028610228,0.041472880953277225,0.8620000028610229,0.03701350618339197,0.8720000004768371,0.03346639960091926
