activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,FiftyWords,07102f5bd4d6e7954ace2a28fc3122e9,0,0.028125,0.013258252147247768,0.3865193390846252,0.01208922702949012,0.5619889569282531,0.0022913212413705557,0.6393370151519775,0.0035462600402211375,0.6800000047683715,0.011230565013513225,0.6965745949745179,0.009808766118490315,0.7032044196128846,0.013433482452468176,0.7058563566207885,0.013474325519641464,0.7027624320983886,0.013442569310448705,0.7043094015121459,0.01621337779711599,0.7047513842582702,0.012038620916012504,0.7058563613891601,0.01349695778972476,0.6996685099601746,0.01703594050454714,0.703867404460907,0.015150620850753195,0.704309389591217,0.017164462678372315,0.7009944796562195,0.013858485531662005,0.7020994472503663,0.018450064463010847,0.7049723744392395,0.01920237435376295,0.6974585747718811,0.015556192850441517,0.7018784594535827,0.016964110177550704
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,FiftyWords,8b38e803db304323f3db3858b9d7bd2a,1,0.03125,0.01753901900050285,0.30475138306617733,0.01319968209382928,0.5069613313674928,0.014180720599183223,0.5093922662734987,0.014824762560699452,0.5049723792076111,0.012886081203068925,0.46497238039970396,0.02417592892016358,0.4258563530445098,0.019605085102523293,0.40198894977569577,0.019895641465634967,0.3891712737083435,0.03435558086173739,0.3776795601844788,0.04470975717095682,0.3734806644916534,0.02805193958006355,0.37988950371742247,0.03287548283206211,0.38033149361610413,0.03007271049931545,0.390718235373497,0.04133394639338089,0.3951381230354309,0.027016518471739314,0.3953591167926789,0.04535369859570811,0.3993370199203491,0.038583951127196134,0.4174585664272309,0.02540715542687567,0.4232044219970703,0.02642709426541246,0.425414366722107,0.04699056738039848
gelu,0.184699962806,4,0.000314981651,95,3,average,1,FiftyWords,366831733cf14bcf1330a1136a729549,2,0.015625,0.004941058844013092,0.4154696142673493,0.020178982015076945,0.6444198870658874,0.010494324311299636,0.692596685886383,0.01656353722944525,0.6996685123443603,0.02185499907500854,0.7020994496345521,0.014754592926907369,0.700331494808197,0.01447893624212295,0.7001105022430419,0.01908437656422105,0.709613263607025,0.01336057683549062,0.7067403364181517,0.013902476252982939,0.7069613265991211,0.015358723156013046,0.708508288860321,0.012139613395430517,0.7065193367004394,0.015579715183506157,0.7107182264328002,0.015279011926551187,0.7116022181510925,0.014968201061268883,0.708066301345825,0.013743474911837177,0.7107182335853577,0.014935532178178888,0.708508288860321,0.01141388582446219,0.7080662989616393,0.015098148313996845,0.7098342514038085,0.013968179561299079
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,FiftyWords,d5b4fd81bc218d14dd3eae0fd69bd747,3,0.013125000000000001,0.005134898976610932,0.013701657745987177,0.003631309809009429,0.022320442367345095,0.008097269103461957,0.026519337482750416,0.01042428844807056,0.031381215881556276,0.011735618347779666,0.038011050280183555,0.012540341390330672,0.043977900706231594,0.011834041940796408,0.05060773510485887,0.014094354064571393,0.057458564452826974,0.01250133535549284,0.06430939339101314,0.011987804597562858,0.07359115965664387,0.007518685615772736,0.08265193417668341,0.008819035794396286,0.09348066329956055,0.005878203778849466,0.09988950297236443,0.009031079065966988,0.10806629911065102,0.008887990596669573,0.12000000044703482,0.010730185831344146,0.12950276359915733,0.0073045291099272346,0.1381215487420559,0.007118286654846542,0.14497237727046014,0.007906538057814615,0.15359116107225418,0.01192653711349206
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,FiftyWords,c60901eaf57c58522605fef72ca472e5,4,0.014374999999999999,0.011817294000743148,0.4850828766822815,0.017885545538295463,0.5215469682216645,0.014762863802806352,0.5237569117546081,0.009111832781415426,0.5319337081909179,0.011311812684926408,0.5469613337516785,0.012886083119717048,0.5518232107162475,0.007914251346551878,0.563977906703949,0.02000579639927352,0.5688397860527038,0.007510558882675458,0.5624309444427491,0.011615363424755602,0.5679558086395263,0.01341983633449948,0.5688397836685181,0.015158672801607057,0.5779005575180054,0.013487898588804472,0.5843093943595887,0.009091715904346457,0.5843093991279602,0.010018146952768283,0.5816574668884277,0.0227608196107393,0.5887292909622193,0.017089608423676326,0.5812154769897461,0.013259668399891655,0.5876243138313294,0.006366791154615113,0.5902762484550477,0.007304530642742442
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,FiftyWords,cf34fdaa6313b61659b8cc3ab2370f5d,5,0.0175,0.007194290270763337,0.25104972600936887,0.014050974170253496,0.3513812184333801,0.016721267068311448,0.3889502739906311,0.007075274990331718,0.4236464118957519,0.007395893139969885,0.45480663180351255,0.005390635902775046,0.4903867423534393,0.009486045360924225,0.5151381289958954,0.008644242774351897,0.536574592590332,0.00854480240051016,0.5558011126518249,0.010097052362221392,0.5725966882705689,0.011225120970620747,0.5856353664398193,0.011536249634749113,0.5964640951156616,0.011859805517037957,0.6088397812843322,0.008044316293839376,0.6176795578002929,0.00761549861942255,0.6254143643379211,0.007371077256885912,0.6293922638893127,0.010701695460755485,0.6342541432380676,0.014742171937239189,0.6375690674781799,0.012671104481218998,0.6415469694137574,0.01336514584538623
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,FiftyWords,727061ba1eb1a204007d3387fc422076,6,0.030000000000000006,0.017760340297978527,0.06254143692553044,0.019211908332372345,0.21856353759765623,0.011936773153216774,0.3394475162029266,0.02330156314157937,0.3942541432380676,0.011493838197329008,0.4278453040122986,0.011678254281117075,0.4636464095115661,0.009460266969307308,0.4888397824764252,0.008029130433419625,0.5120442032814025,0.007437044552702883,0.5328176939487458,0.00922503767532627,0.548508288860321,0.01014530791612732,0.570386745929718,0.01136027256544707,0.5836464166641235,0.01203861845413345,0.5986740350723266,0.010809543039398269,0.6132596731185913,0.014491580675968634,0.6251933765411376,0.012919202129817566,0.6388950395584108,0.01607725363368831,0.6490607786178588,0.017655368685728756,0.6605524873733521,0.016228424596925407,0.66784530878067,0.015813075438816746
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,FiftyWords,3618dafc43c72d1470e7d6623f4ab761,7,0.021875,0.011481983169296148,0.498563541173935,0.012388513476191692,0.5200000023841858,0.020503120294501045,0.5299447572231293,0.00939551497780634,0.5396685087680817,0.02087198805711833,0.5423204481601716,0.01700005477530651,0.5354696226119995,0.02282778076598796,0.5493922770023346,0.018968876603614893,0.5504972434043884,0.010667411772495,0.5615469670295715,0.009582091221446385,0.5655248713493346,0.020648503643144737,0.5672928142547607,0.009993737265562117,0.5723756909370422,0.013734584018704345,0.5721546983718871,0.019555198796621133,0.5807734823226929,0.01626976234926725,0.5750276350975037,0.014033578215630218,0.5838674092292786,0.011472563336561383,0.5834254121780396,0.011456595284131704,0.5796685171127319,0.007719006715957224,0.5849723792076111,0.012144644905522327
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,FiftyWords,36570c92833b178a50f3b56539b52c29,8,0.02125,0.012382257972599344,0.4209944760799408,0.010247091431054893,0.5383425438404084,0.014667443542759125,0.5604419946670532,0.01870963584325501,0.5701657485961915,0.013690066514887049,0.5765745925903321,0.01802833376565936,0.5790055274963379,0.01496820128127738,0.5798895120620727,0.015789892531001118,0.5816574621200561,0.014292210288828466,0.5798895096778869,0.015138521886144419,0.5847513866424561,0.011808224251424996,0.5867403340339661,0.01353309526025913,0.5874033188819885,0.012418038454558725,0.5787845301628113,0.013013364724781736,0.5774585723876953,0.012757519921518412,0.5781215548515319,0.014094352341441692,0.5803314995765686,0.012919193922113329,0.5785635423660278,0.009746330277220586,0.5803315043449401,0.010724495933957067,0.5785635399818421,0.00965191643487529
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,FiftyWords,30760bef3a3a384cdee217ec85a3eb06,9,0.02375,0.013728676647805495,0.4950276267528534,0.01337427477507135,0.6092817687988281,0.015947631646236013,0.6355801129341125,0.011225128422124024,0.6552486205101014,0.013712343572876609,0.6590055298805237,0.010353766709717136,0.660110502243042,0.01540238561424525,0.6691712737083435,0.01416348079478764,0.6735911560058594,0.016877526449581924,0.6716022157669067,0.013060195571569335,0.6740331530570984,0.01539048992064867,0.6769060826301574,0.014980415911529632,0.6753591227531434,0.013060192394530792,0.6777900576591491,0.01968277465767439,0.677127070426941,0.01846329086634442,0.6773480796813963,0.019719965536178215,0.6804419946670531,0.020215259792232754,0.6780110502243042,0.01879428342451908,0.6769060802459717,0.019698287044274395,0.6786740326881409,0.018011394626875833
