activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,KeplerLightCurves,0.1649999999999999,0.224295300245285,0.2016375833749771,0.2344966414570808,0.2226845631003379,0.2342013403773307,0.2420939582586288,0.2630067104101181,0.30829529941082,0.3109798660874366,0.3209127500653267,0.3261476501822472,0.3164832216501236,0.3161879193782806,0.3052617469429969,0.3100671139359474,0.3239194604754448,0.3133691304922104,0.3237047010660172,0.3394362413883209
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,KeplerLightCurves,0.145,0.1566174525022506,0.2620671120285988,0.3120805323123932,0.3120805323123932,0.3122952973842621,0.3131006705760956,0.3198389220237732,0.3550604021549225,0.3900402677059174,0.4638120806217193,0.4643758380413055,0.492939600944519,0.5208322149515153,0.4930738264322281,0.4716778552532196,0.4990067088603973,0.5048590612411499,0.5054228150844574,0.5401073867082596
gelu,0.184699962806,4,0.000314981651,95,3,average,1,KeplerLightCurves,0.128125,0.1671409392356872,0.2073288577795028,0.1648590599000454,0.1634362418204546,0.1861208055913448,0.242389260828495,0.198684563934803,0.2568322142958641,0.2679194605350495,0.2931543645262718,0.2723758363723755,0.2814765110611915,0.2965369150042534,0.2964563745260238,0.2804295286536217,0.3063355728983879,0.2882147666811943,0.2764295290410518,0.308993290066719
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,KeplerLightCurves,0.1375,0.1472483222931623,0.1402416110038757,0.1393288592249155,0.1485906036943197,0.1465503347665071,0.1389798643440008,0.1787651002407074,0.1900402674078941,0.1852348998188972,0.1855033555626869,0.1878926160931587,0.1776912756264209,0.1770201349258423,0.173557047843933,0.1922416120767593,0.1817181205749511,0.1928859081864357,0.2121073815226555,0.224885906279087
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,KeplerLightCurves,0.1325,0.2282684567570686,0.2809395962953568,0.3112751680612564,0.3138255012035369,0.2975033533573151,0.2409664422273635,0.2056375855207443,0.1424161070585251,0.1211543625593185,0.0866308723390102,0.0866308708488941,0.0683489921689033,0.0784429529309272,0.0752214755117893,0.0657181197404861,0.0657449655234813,0.0694496642053127,0.0678120799362659,0.072429529428482
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,KeplerLightCurves,0.129375,0.304644290804863,0.3120805323123932,0.3120805323123932,0.3120805323123932,0.3124563765525818,0.3146577179431915,0.3205637562274933,0.337503354549408,0.3630603992938995,0.3917046988010407,0.407167786359787,0.4204026854038238,0.4244026839733124,0.4289664447307587,0.4331543612480163,0.4322953021526336,0.436107382774353,0.4334496665000915,0.4417718112468719
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,KeplerLightCurves,0.14875,0.305691270828247,0.3120805323123932,0.3120805323123932,0.3120805323123932,0.3120805323123932,0.3121342241764068,0.3129395961761474,0.3200536906719208,0.3422281885147095,0.3704966449737549,0.4035167789459228,0.4238389265537262,0.4319999969005585,0.4342818784713745,0.4391677856445312,0.4434899306297302,0.4397852349281311,0.4466040265560149,0.4432751667499542
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,KeplerLightCurves,0.16375,0.265046980381012,0.2926442921161651,0.3041610744595527,0.3203489911556244,0.3082953000068664,0.2724832195043564,0.2321610730886459,0.1597315426170825,0.135704697817564,0.1038926181197166,0.1005100663006305,0.0864966434240341,0.0817986565828323,0.0829530188441276,0.0852348989248275,0.0714362409710884,0.0790067115426063,0.0811006703972816,0.0823624157905578
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,KeplerLightCurves,0.1399999999999999,0.138067113161087,0.1405906034260988,0.1569395963102579,0.1805906014889478,0.2453959694504738,0.3046711401641368,0.3221744969487191,0.3409932911396026,0.3425771820545196,0.3460402679443359,0.3505771827697754,0.3587650990486145,0.3465503358840942,0.3522416132688522,0.3532348984479904,0.3539328855276108,0.3533691266179085,0.3568590626120567,0.3464966422319412
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,KeplerLightCurves,0.17125,0.2066577181220054,0.2673825493454933,0.3058523482084274,0.3160000002384185,0.3156510055065155,0.3156510066986084,0.3158120799064636,0.3159194624423981,0.3162684547901153,0.3164295303821564,0.316322146654129,0.3161073815822601,0.316134227514267,0.3159999990463257,0.3158389234542846,0.3156510066986084,0.3155436229705811,0.315355703830719,0.3153020107746124
