activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,RightWhaleCalls,0.4974999999999999,0.4997170162200928,0.4998658549785614,0.4998658609390259,0.5006817364692688,0.5032653439044952,0.5013616347312927,0.502102164030075,0.5020654070377348,0.5013065004348755,0.5034123468399049,0.5039323782920837,0.5046931338310241,0.5056229376792908,0.5070470404624938,0.5084178590774536,0.5101947760581971,0.5120801138877868,0.514160234928131,0.5167475199699403
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,RightWhaleCalls,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5000147008895874,0.4991418588161468,0.5000404238700866,0.5016152119636536,0.5007460486888886,0.4977636873722076,0.504608600139618,0.5039268660545348,0.504858502149582,0.5099724400043486,0.5102407217025757,0.5093825781345368
gelu,0.184699962806,4,0.000314981651,95,3,average,1,RightWhaleCalls,0.5062499999999999,0.4998640191555023,0.4990775442123413,0.5,0.4998272681236267,0.5002149939537048,0.5004042625427246,0.4993991136550903,0.5007295060157777,0.5009500098228454,0.5012385153770447,0.5018228578567505,0.502767367362976,0.5036604166030884,0.5046582150459289,0.5066593194007873,0.5084784960746765,0.5100477766990663,0.5111025357246399,0.5125468611717224
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,RightWhaleCalls,0.5012500000000001,0.5,0.5,0.5,0.5,0.5,0.5,0.4999852979183197,0.5001690530776978,0.5001874303817748,0.4982671809196472,0.4986052918434143,0.4972822475433349,0.5002701234817505,0.4958103597164154,0.4943586897850037,0.4959886062145233,0.4991712629795074,0.5020452046394348,0.495529214143753
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,RightWhaleCalls,0.505,0.5008912134170532,0.4969239234924316,0.4976681363582611,0.4978721046447753,0.4973410475254058,0.4966446137428283,0.4964424860477447,0.4998621809482574,0.496966187953949,0.4993733930587768,0.505271953344345,0.5088919496536255,0.5089599406719207,0.5085667026042938,0.506732816696167,0.5047592782974244,0.5061962521076203,0.5110749745368958,0.5129584789276123
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,RightWhaleCalls,0.50625,0.4998585081100463,0.5004061019420624,0.5004887866973877,0.4990481424331665,0.4998860692977905,0.4996857762336731,0.50031973361969,0.5003601634502411,0.5006082320213319,0.5017622172832489,0.5047335529327392,0.4987504565715789,0.4999853014945984,0.4986218321323394,0.5028408730030061,0.499106947183609,0.501565603017807,0.5025376677513121,0.501580296754837
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,RightWhaleCalls,0.5087499999999999,0.5,0.5,0.5,0.5000110244750976,0.5000147008895874,0.5000735020637512,0.5001176047325134,0.5005641293525696,0.4997298789024353,0.5008930540084839,0.5004410099983215,0.5026920247077941,0.4997482562065125,0.5020360136032105,0.5011741995811463,0.502004771232605,0.5056284439563751,0.5014682078361512,0.5020948195457459
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,RightWhaleCalls,0.499375,0.4999871337413788,0.5002149975299837,0.4994174933433533,0.5002866578102112,0.5015159857273102,0.4977912569046021,0.4977930867671966,0.4992355716228485,0.4952499055862426,0.4961264252662659,0.4980613756179809,0.5015949964523315,0.5046821010112762,0.5055145156383515,0.5060676229000092,0.5033314943313598,0.5016942298412322,0.5015251755714416,0.502425583600998
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,RightWhaleCalls,0.489375,0.4999191474914551,0.4998860704898834,0.4997390663623809,0.4980999648571014,0.5007166457176209,0.500472251176834,0.5005586159229278,0.4998474800586701,0.4998621809482575,0.5000863659381867,0.5002811455726623,0.5008857011795044,0.502129727602005,0.4990003681182861,0.495626608133316,0.4993825793266296,0.4987706696987152,0.4985207641124726,0.4980999624729156
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,RightWhaleCalls,0.53,0.4997464144229889,0.4998805570602417,0.500181918144226,0.5021187055110932,0.5005328941345215,0.4973098111152649,0.4982102167606353,0.4956596851348877,0.4954244756698608,0.4945700097084045,0.4941786110401153,0.4947464191913605,0.4946324896812439,0.4954887914657592,0.4977747142314911,0.4997464156150817,0.499968763589859,0.5004116141796112,0.5005898571014404
