activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
elu,0.2992323465523,4,0.0001555839421,45,5,max,1,classification_ozone,07102f5bd4d6e7954ace2a28fc3122e9,0,0.48645159721374515,0.03551318234004337,0.49548384785652155,0.02110377170928993,0.4903225648403168,0.017668469070380128,0.5045161092281341,0.03800432191544039,0.4916128861904145,0.034562826609237804,0.5058064353466033,0.022626678979003827,0.4774193370342255,0.03193385518777342,0.46322579264640806,0.03107508340471335,0.5032257878780365,0.03977041415441743,0.5135483646392822,0.03308613864762706,0.5187096583843231,0.035513183639435945,0.5019354665279389,0.047715769610595454,0.5135483705997468,0.023528490677939627,0.5058064317703247,0.04389942296378809,0.5070967519283295,0.02797352185795585,0.5380644989013672,0.01682374215531098,0.5083870792388916,0.03574682535975327,0.5174193358421326,0.044088642633079884,0.5212903022766113,0.04065027729341264,0.5187096560001374,0.03722977862529883
sigmoid,0.407550027884,6,0.0005432940046,88,4,max,2,classification_ozone,8b38e803db304323f3db3858b9d7bd2a,1,0.49677417874336244,0.004561979097504045,0.5006451463699342,0.010795612923866644,0.5045161139965059,0.005397806461933316,0.4929032111167908,0.01682374764107169,0.49548385620117186,0.005397806461933342,0.5032257902622224,0.025400023507588836,0.5290322399139404,0.010200893489088139,0.5032257890701295,0.020905614533119194,0.5329032039642334,0.021202159710460206,0.5277419221401215,0.04264901325760249,0.5380644941329956,0.03750822874748296,0.5264515912532806,0.030466370268398397,0.5264515948295594,0.033399170659631834,0.5109677219390869,0.02060480367998307,0.5419354581832886,0.020905615452838783,0.5522580468654633,0.029775436106649532,0.556129012107849,0.019029520838690202,0.5599999821186066,0.02206791506512326,0.536774171590805,0.051289306637528835,0.5277419173717499,0.02515302364124484
gelu,0.184699962806,4,0.000314981651,95,3,average,1,classification_ozone,366831733cf14bcf1330a1136a729549,2,0.48258063077926633,0.03545453281222118,0.5148386907577513,0.03005371394439465,0.4903225648403168,0.030940849790367438,0.5006451439857483,0.03860200092306289,0.5148386859893799,0.035454527551825835,0.5006451416015625,0.036666500148658375,0.5058064329624177,0.02942387883938126,0.5045161092281342,0.010601082167713449,0.5264515972137451,0.023081993836908645,0.5238709473609925,0.0307383983358123,0.5122580480575561,0.03114197842292453,0.5432257878780364,0.01790250269899322,0.5445161116123198,0.03580499648377626,0.5393548214435577,0.049049230534653744,0.5083870792388916,0.04455818758789873,0.5354838454723359,0.022809895908988825,0.5367741739749909,0.011541001999759543,0.529032243490219,0.028489548645424086,0.5341935324668884,0.029705453451142356,0.5574193394184113,0.041209601621111834
tanh,0.0811027551686,9,1.35494661e-05,11,5,average,2,classification_ozone,d5b4fd81bc218d14dd3eae0fd69bd747,3,0.4967741763591766,0.024139725153041837,0.49419353127479554,0.02168739803478963,0.49419353246688846,0.02683436201042565,0.4954838526248932,0.023439876865904905,0.4967741763591766,0.02737187844848548,0.5006451427936554,0.026443741597154673,0.4967741751670838,0.022349045453531256,0.4877419185638428,0.024819850127272298,0.48645159840583796,0.03147435042810659,0.48129030823707575,0.0275990313144728,0.48516127467155457,0.02752351985127582,0.4890322422981262,0.01956871210701797,0.4929032111167908,0.022626679233932443,0.48387095093727117,0.031933851876235306,0.4877419185638428,0.0394024019737876,0.4890322411060334,0.03515980639879798,0.49032256603240965,0.03734140747862061,0.4877419185638428,0.03245103214189939,0.4799999868869781,0.03046637014217866,0.48645159721374515,0.03308614265741418
tanh,0.3479230669662,6,0.0002433855158,111,1,average,1,classification_ozone,c60901eaf57c58522605fef72ca472e5,4,0.4929032099246979,0.03308614178572153,0.5135483682155609,0.023081997502110384,0.5199999821186065,0.0191385797872097,0.5070967566967011,0.019674769698608055,0.5070967519283295,0.03462298467446084,0.5367741739749908,0.023439873666806825,0.5032257902622223,0.041310472832973844,0.5135483682155609,0.03940240309612476,0.5083870780467987,0.041159060931549,0.5393548226356506,0.02942387844730586,0.5135483705997468,0.041461345248127675,0.5161290121078491,0.033832537650453465,0.5406451439857484,0.027142815018295182,0.5212903022766113,0.03426043972079334,0.5264515936374664,0.0372297731509321,0.5174193370342255,0.03270656023997514,0.5354838514328003,0.04303762272028917,0.514838695526123,0.036892846840293425,0.5238709449768066,0.03039798301355045,0.5290322434902193,0.016448451891532774
elu,0.3302288638055,8,2.16507712e-05,45,3,max,1,classification_ozone,cf34fdaa6313b61659b8cc3ab2370f5d,5,0.5070967555046082,0.02352849280263912,0.47612901687622067,0.01956870915935807,0.4658064353466034,0.02675669355514405,0.476129013299942,0.03395534623901632,0.47741933465003966,0.032258058786392416,0.47354836940765377,0.03778464172236112,0.48387094974517825,0.036209584410810146,0.4774193394184113,0.02991489973060063,0.48129030704498293,0.02216201944762128,0.47354836702346803,0.023528489615588923,0.46967740297317506,0.010601079265775713,0.4593548202514648,0.026756697651151462,0.48387094974517825,0.01580315672653905,0.48645159840583807,0.017431298207645083,0.4735483717918396,0.023528495499374025,0.4799999833106995,0.01682374581248592,0.4554838562011718,0.01619341736730002,0.4709677243232727,0.02413972435654165,0.478709659576416,0.01847460394262242,0.4735483682155609,0.025644651669295433
gelu,0.0369594439556,10,1.57409835e-05,20,4,max,1,classification_ozone,727061ba1eb1a204007d3387fc422076,6,0.47354837298393243,0.051126741824986485,0.4864515995979309,0.029775436752393032,0.4722580480575561,0.03745270577661084,0.48129030823707575,0.030806031586648085,0.483870952129364,0.026206576185173892,0.4864515960216522,0.023528496071409038,0.4851612722873687,0.011540994502754498,0.49290320873260496,0.009784353941019211,0.47612901568412774,0.026756696501395033,0.47612901687622067,0.027899028143851402,0.4774193382263183,0.02139757910420508,0.47096772670745846,0.018809518614235732,0.46709675669670103,0.024819845091888098,0.4761290121078492,0.021103774169215737,0.48516127347946164,0.03364749911074767,0.4554838538169861,0.030466367680891435,0.46322579145431514,0.03574682353098001,0.4593548238277435,0.0289963964675406,0.4632257902622222,0.032706557065460704,0.46193546533584595,0.043422751340202126
tanh,0.1439934396374,9,0.0002061012653,113,1,average,1,classification_ozone,3618dafc43c72d1470e7d6623f4ab761,7,0.4787096631526947,0.05108602242679684,0.48258062720298767,0.027899027316842143,0.5019354653358459,0.03545452939567614,0.5135483717918395,0.03805904915428759,0.5006451427936554,0.028343073457136585,0.525161269903183,0.02834307271092215,0.5161290132999421,0.026600676687368284,0.5393548214435577,0.02834307440686473,0.47741933822631843,0.0245670112433807,0.5032257831096649,0.03383254333353374,0.5341935300827027,0.050264649502874195,0.505806428194046,0.03805904480959603,0.512258050441742,0.021687400428516936,0.5406451380252839,0.013986762234921991,0.5367741799354553,0.027142821322836134,0.5341935253143311,0.0206047943485141,0.5290322470664979,0.05038870951901126,0.5212903046607972,0.02253451638321892,0.529032235145569,0.03563019252996358,0.5264515912532806,0.03339917088990397
sigmoid,0.3154728035377,10,3.50870128e-05,77,1,max,1,classification_ozone,36570c92833b178a50f3b56539b52c29,8,0.4929032075405121,0.018018370618461572,0.49806449532508845,0.027142814026569373,0.5070967566967011,0.014852721515087368,0.5058064353466034,0.017431298979768136,0.5019354665279389,0.026364923896412307,0.5019354701042176,0.036609710439563625,0.5316128826141358,0.022626680763505085,0.4954838502407074,0.03545453362568459,0.5341935253143311,0.03140816063043204,0.5354838502407073,0.043037627187846504,0.4993548166751861,0.02439699389063475,0.5264515924453735,0.025644651969200332,0.5070967531204223,0.007355966344532046,0.5032257902622224,0.045847320419185475,0.5135483622550965,0.05272984421937288,0.49677417397499085,0.018247918497359565,0.4993548202514648,0.03308614608607289,0.4916128802299499,0.03574682960896143,0.4851612722873688,0.02299164867655004,0.5083870804309845,0.047277604689422686
gelu,0.1698442191575,5,0.0001386811786,52,1,max,2,classification_ozone,30760bef3a3a384cdee217ec85a3eb06,9,0.5109677207469939,0.017902495503185862,0.49806449770927425,0.023879682465756044,0.5045161139965058,0.01669958889904519,0.5019354605674744,0.025153012175041928,0.5354838597774505,0.02774943586474655,0.4929032063484192,0.04146133365461383,0.5083870804309846,0.04548272311616397,0.5199999845027923,0.02120216560502289,0.5290322363376617,0.027749441407865814,0.5432257866859437,0.013221873452503786,0.5496774017810822,0.02299164809115859,0.541935465335846,0.01935483614603787,0.5367741787433624,0.014711941706798376,0.5741935348510742,0.021878487558618848,0.561290307044983,0.03649582751167654,0.5458064329624175,0.018586917088338546,0.5393548214435577,0.024397000274256113,0.5522580504417419,0.03492223743143746,0.5651612675189972,0.05817195214540264,0.5806451404094696,0.03257905282398597
