activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,ArrowHead,0.3376744192838669,0.4465116322040557,0.517209302186966,0.5748837280273438,0.5916279113292694,0.6186046588420868,0.6493023300170899,0.6799999999999999,0.6958139538764954,0.7162790679931641,0.7348837184906005,0.7562790656089783,0.7553488397598267,0.7646511602401733,0.7739534854888915,0.7730232524871826,0.7841860389709473,0.7841860389709472,0.7860465025901795,0.7869767379760743
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,ArrowHead,0.3525581419467926,0.3590697705745697,0.3665116310119629,0.3683720952272415,0.3739534896612167,0.3786046516895295,0.3888372147083282,0.3860465157032013,0.395348841547966,0.4083720970153808,0.4102325588464737,0.4204651165008545,0.4139534878730774,0.4316279089450835,0.4279069769382476,0.4418604677915573,0.4465116310119629,0.4446511650085449,0.447441862821579,0.4539534890651702
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,ArrowHead,0.3432558166980743,0.3451162815093994,0.3665116316080093,0.3562790721654892,0.3786046528816223,0.3934883749485016,0.4102325630187988,0.445581395626068,0.4762790727615356,0.4920930278301239,0.5200000059604645,0.5144186103343963,0.5293023300170898,0.5320930290222169,0.5376744234561919,0.538604656457901,0.5497674393653871,0.5572093093395234,0.5525581443309784,0.5674418663978578
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,ArrowHead,0.3255813956260681,0.3302325597405434,0.3479069751501084,0.329302327632904,0.3255813959240913,0.3330232593417168,0.3348837214708328,0.3367441892623901,0.3395348870754242,0.3432558178901672,0.3395348852872848,0.3441860491037368,0.3609302353858948,0.3665116310119629,0.3627907007932663,0.3655813992023468,0.365581396818161,0.3730232602357864,0.3758139550685883,0.3823255836963654
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,ArrowHead,0.3572093081474304,0.3590697687864304,0.3627906996011734,0.3823255866765976,0.4074418652057647,0.4493023312091827,0.4818604636192322,0.5041860508918762,0.530232560634613,0.5469767451286316,0.5479069852828979,0.5646511626243591,0.5711627924442292,0.5786046540737152,0.5823255836963653,0.5934883677959442,0.6102325630187988,0.6176744210720062,0.6251162779331206,0.6260465157032012
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,ArrowHead,0.3348837196826935,0.3293023270368576,0.3413953471183777,0.3516279065608978,0.3506976723670959,0.3451162818074226,0.3581395360827445,0.3609302341938018,0.3730232566595077,0.3767441844940186,0.3767441874742508,0.3879069775342941,0.3906976735591889,0.3981395351886749,0.4009302312135697,0.4139534878730774,0.4241860520839691,0.4269767475128174,0.4306976789236068,0.4279069834947586
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,ArrowHead,0.3330232590436935,0.3497674426436424,0.3720930242538453,0.3962790715694428,0.4213953518867493,0.4679069763422012,0.5069767451286316,0.5320930278301239,0.5600000047683715,0.5906976759433746,0.6083720922470092,0.6213953495025635,0.6381395328044892,0.6427907001972197,0.6530232620239258,0.6679069757461547,0.6753488349914551,0.6753488326072693,0.6846511650085448,0.683720932006836
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,ArrowHead,0.3562790703773498,0.336744185090065,0.3590697681903839,0.3544186061620712,0.372093026638031,0.3748837220668793,0.3860465121269226,0.3990697723627091,0.4083720928430557,0.4130232560634613,0.4148837208747863,0.4409302347898484,0.450232560634613,0.4679069817066192,0.4753488385677337,0.485581398010254,0.5013953530788421,0.5153488397598267,0.5200000011920929,0.5367441892623901
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,ArrowHead,0.3516279089450836,0.3488372099399566,0.3813953518867493,0.4279069757461547,0.4967441856861114,0.5888372147083283,0.6623255836963654,0.7144185996055603,0.7534883713722229,0.7683720898628235,0.7804651117324829,0.802790696620941,0.8130232524871828,0.8186046457290649,0.8167441821098327,0.8223255729675293,0.8260465073585511,0.8344185996055604,0.835348834991455,0.8372093057632446
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,ArrowHead,0.3488372111320496,0.3358139526844025,0.3330232572555542,0.3348837214708328,0.3460465121269226,0.3479069763422012,0.3562790703773498,0.360930231809616,0.3730232575535774,0.3748837211728096,0.3795348834991455,0.3776744192838668,0.3804651129245758,0.3841860443353653,0.3860465115308761,0.3813953477144242,0.3925581389665603,0.3879069781303405,0.38511627972126,0.3981395342946052
