activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,Beef,ed9aaf43df12cd7f3007f4ca68cafa29,0,0.22000000327825547,0.03205897229992969,0.24666667073965076,0.04149966399010187,0.27000000149011616,0.050552501691212115,0.27666666865348816,0.06191391542740146,0.30333333373069765,0.057008769555963165,0.3300000032782555,0.04314059148233996,0.33666666954755786,0.038005844029080166,0.3500000029802322,0.047140448215642124,0.3900000029802323,0.025276252626484478,0.39666666924953464,0.013944334547347956,0.4133333325386047,0.013944334725451285,0.4266666662693024,0.02527625134916543,0.443333330154419,0.048016197486966325,0.4433333289623261,0.057251873415113515,0.4499999940395355,0.040824825396362355,0.4666666638851166,0.04409585311930347,0.45666666388511656,0.06078193969248107,0.476666659116745,0.05348935378860209,0.4833333277702332,0.056519416672514367,0.499999998807907,0.09128709672632204
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,Beef,cfeff12c4fac8655fbd00d05d480f736,1,0.19333333641290665,0.0190029231417571,0.2033333361148834,0.013944332944420865,0.19666666984558107,0.013944332944420903,0.19000000327825547,0.02788866731366529,0.20666666984558107,0.04503085303206982,0.20333333551883698,0.027386127013745303,0.20666666984558107,0.03836954925423945,0.19333333700895308,0.025276252773867285,0.18333333671092986,0.026352314855704745,0.1933333358168602,0.038369548865880426,0.2133333370089531,0.027386129643627147,0.22000000149011614,0.039791120195464456,0.233333335518837,0.04859126519408765,0.2200000014901161,0.03205897195132624,0.22333333522081372,0.03651483577272031,0.24333333522081374,0.032489313883906024,0.2333333346247673,0.05137011483815435,0.2300000008940697,0.044721358939128986,0.22666666835546492,0.05348935546009293,0.23666666835546493,0.05190803888356525
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,Beef,15773bcefec29eb8b98b2eefcebe6dc3,2,0.20666666865348815,0.045030852149643065,0.2100000020861626,0.02788866646767629,0.2100000020861626,0.014907119627865199,0.22666666924953463,0.025276251349164714,0.23000000178813934,0.03613247126054439,0.21666666865348816,0.011785112317328317,0.21333333522081377,0.043140594850080115,0.21000000238418579,0.03027650276170709,0.20333333551883698,0.032058972183728496,0.2033333361148834,0.029814238755930304,0.21000000268220903,0.019002922422952106,0.21333333611488342,0.02738612678703138,0.2200000023841858,0.038005846479551936,0.22333333581686018,0.0252762513982925,0.22666667014360425,0.027888667625345465,0.22000000327825547,0.03205897365561003,0.22333333641290665,0.025276251693058433,0.2300000020861626,0.029814238256130145,0.24000000089406964,0.03027650267967895,0.2400000014901161,0.03651483614679834
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,Beef,91fa57aea9d43fcc7906bb261c09b20a,3,0.2066666695475578,0.009128709155724658,0.20000000238418578,0.026352312970840328,0.1966666689515114,0.01825741797137795,0.22333333522081378,0.03027650267967892,0.2200000020861626,0.03415650157161069,0.21333333581686023,0.024720661456212878,0.2000000035762787,0.026352313442056442,0.21000000238418579,0.03651483499055719,0.20666666984558107,0.030276501777368785,0.2166666695475578,0.037267798236662826,0.2066666692495346,0.053489353904677836,0.213333335518837,0.05700876992625668,0.22000000298023226,0.04314059562725094,0.22333333671092986,0.04944132263615082,0.22000000327825547,0.054518090263039734,0.2166666704416275,0.05892556443155385,0.21333333671092988,0.04624812325508891,0.2066666680574417,0.04944132200825328,0.2166666680574417,0.04859126544964046,0.213333335518837,0.05322906331918869
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,Beef,2073f64d270ad42d5b9aa11774d78dc8,4,0.18000000357627868,0.021730673845906448,0.18000000327825544,0.018257418311448826,0.18333333671092986,0.020412413914855796,0.19000000387430188,0.014907119627865274,0.19000000417232513,0.019002924644713152,0.19000000387430188,0.014907120460865444,0.1766666713356972,0.03651483862931605,0.18000000447034836,0.036132473803699855,0.19000000327825545,0.02236068049693144,0.19333333760499954,0.027888667714396888,0.19666667014360426,0.027386127875258383,0.19666667133569715,0.0320589742366159,0.20333333820104596,0.03979112166219565,0.2166666695475578,0.04564354550656526,0.23666667103767397,0.04624812309398877,0.2366666695475578,0.059395096609724134,0.2500000020861625,0.06009251870914944,0.27000000298023225,0.06912146941120619,0.2666666701436043,0.07168604299703911,0.26333333522081376,0.057008767726277554
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,Beef,8c1c6950282f0e85bee0e0da7b5e918d,5,0.21000000178813932,0.04801620020240661,0.2166666689515114,0.03908679709839611,0.18666666895151138,0.01825741783534957,0.1866666695475578,0.0273861284193718,0.19666666865348814,0.04149966363103485,0.20666667014360426,0.03651483767711746,0.20000000298023224,0.033333333209157,0.20333333671092987,0.036132472497755155,0.2033333352208137,0.0397911194777023,0.19666666984558107,0.0320589734619414,0.2166666695475578,0.03535533712759684,0.22000000327825547,0.041499663900335146,0.21666667014360427,0.04249182777005484,0.21333333641290664,0.04624812215423772,0.21666666924953457,0.03535533747882059,0.2300000023841858,0.04149966237430029,0.22666666984558104,0.04801619841797402,0.22333333492279053,0.04503085121206468,0.22000000298023226,0.03800584641420604,0.220000002682209,0.03800584661024379
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,Beef,5742450bdf7a0d259b2ffe6c2f067700,6,0.17000000268220902,0.029814239255730464,0.16666667073965075,0.03118047855499147,0.17333333671092988,0.04654746771959332,0.19000000178813936,0.05348935453148689,0.20000000178813937,0.048591264938534835,0.21000000178813932,0.04503085248055314,0.22000000178813933,0.03205897249359832,0.24000000298023222,0.027888667847974228,0.2500000020861625,0.04409585466813317,0.2533333352208137,0.0431405966922628,0.26666666835546493,0.04409585565375231,0.28666666775941846,0.05055250360719136,0.2900000032782555,0.05082650442322099,0.2933333370089531,0.041833003048365715,0.310000002682209,0.05348935395110818,0.32333333522081376,0.058452258426612856,0.326666667163372,0.0630255649172331,0.33333333224058154,0.06346477249072757,0.346666667163372,0.060553005543921325,0.35666666477918624,0.06728876251561709
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,Beef,4850c66d46ac85e7624f6f8b6300b5ab,7,0.2000000035762787,0.04249182879288019,0.20333333641290663,0.03205897303587042,0.21000000238418579,0.02788866588884173,0.21666667103767398,0.03726779940286312,0.2100000038743019,0.045030853693889886,0.2133333373069763,0.05190803754391238,0.2133333373069763,0.054518090171931356,0.21333333641290664,0.050552501494701425,0.22000000327825547,0.05322906436897897,0.22666666924953457,0.05477225402749065,0.23000000208616256,0.0519080367544741,0.23000000327825548,0.04624812185888741,0.2166666695475578,0.056519415683838975,0.22666666895151139,0.05348935427612026,0.22666667014360428,0.049441322410107694,0.22333333611488343,0.04801619971104116,0.22666666954755782,0.04183299972377737,0.2366666689515114,0.05055249994717976,0.22666666924953463,0.041832999812828814,0.23000000327825548,0.04149966545629222
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,Beef,5c4fe690f856429df3a653b47ed3e66f,8,0.18666666865348813,0.038005847067665174,0.20000000298023224,0.023570226741999125,0.20333333492279052,0.013944333745884213,0.2066666695475578,0.014907120460865444,0.23000000268220902,0.027386128963485273,0.21666666954755787,0.020412414523193208,0.22000000268220904,0.013944334458295923,0.2333333361148834,0.031180477957616057,0.23000000208616256,0.03613247215408555,0.2333333346247673,0.016666666045784966,0.26666666835546493,0.04564354618670711,0.29000000208616256,0.03836954970732503,0.31000000327825544,0.0560257891612959,0.33333333671092985,0.05527707924020749,0.3500000005960465,0.04859126314966519,0.3699999976158142,0.04915960067821073,0.3866666632890701,0.060553001298962295,0.3999999994039536,0.0666666658595206,0.4099999970197678,0.08299932681323595,0.416666664481163,0.0745355958069254
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,Beef,ee37f1fcbc227d86e3aba907009073ec,9,0.19666667014360426,0.02472066145621288,0.19333333760499954,0.009128709563809564,0.1733333373069763,0.009128709291752787,0.190000002682209,0.03456073446307632,0.1833333370089531,0.02357022595174571,0.19333333730697633,0.027888668070602803,0.20000000417232516,0.028867513889640796,0.20666666984558107,0.03456073518167416,0.20333333581686017,0.04314059649077404,0.22666666865348817,0.019002922226914336,0.22666666924953463,0.025276251349164718,0.23000000298023227,0.021730674303053237,0.2100000035762787,0.030276504525313285,0.2166666704416275,0.023570226215163474,0.21666666984558103,0.026352313913272526,0.21000000298023225,0.019002923860562248,0.20666667014360426,0.02527625262648424,0.21666667014360427,0.023570226741999097,0.21333333671092986,0.024720662109226355,0.20333333671092987,0.038005848113199826
