activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,BeetleFly,ed9aaf43df12cd7f3007f4ca68cafa29,0,0.48999999999999994,0.06274950199005568,0.5049999999999999,0.06708203932499368,0.525,0.061237243569579436,0.535,0.04541475531146238,0.5549999999999999,0.041079191812887446,0.6,0.06846531968814573,0.61,0.09117291264405233,0.625,0.08477912478906587,0.655,0.07582875444051554,0.6699999999999999,0.08551315688243537,0.6849999999999999,0.09117291264405233,0.6950000000000001,0.10368220676663857,0.69,0.09617692030835673,0.695,0.09420721840708386,0.695,0.09420721840708386,0.72,0.09746794344808964,0.72,0.09746794344808964,0.72,0.09746794344808964,0.715,0.10093314619093174,0.7300000000000001,0.09585144756340407
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,BeetleFly,cfeff12c4fac8655fbd00d05d480f736,1,0.495,0.011180339887498959,0.5,0.017677669529663705,0.485,0.028504385627478458,0.48,0.027386127875258313,0.49000000000000005,0.028504385627478455,0.495,0.02091650066335191,0.485,0.028504385627478458,0.485,0.05477225575051661,0.48,0.054198708471697006,0.48500000000000004,0.05477225575051661,0.495,0.054198708471696985,0.5,0.03535533905932738,0.52,0.048088460154178364,0.525,0.043301270189221926,0.52,0.04472135954999579,0.525,0.043301270189221926,0.52,0.048088460154178364,0.51,0.04183300132670377,0.515,0.04541475531146238,0.52,0.04107919181288746
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,BeetleFly,15773bcefec29eb8b98b2eefcebe6dc3,2,0.5,0.017677669529663705,0.47000000000000003,0.041079191812887446,0.45499999999999996,0.0670820393249937,0.4999999999999999,0.06373774391990979,0.5050000000000001,0.041079191812887474,0.485,0.03791437722025776,0.5,0.03535533905932739,0.5,0.017677669529663705,0.52,0.020916500663351906,0.52,0.03259601202601323,0.525,0.05,0.515,0.028504385627478476,0.5199999999999999,0.03259601202601327,0.525,0.025000000000000022,0.54,0.02850438562747844,0.55,0.017677669529663664,0.55,0.017677669529663664,0.55,0.024999999999999967,0.555,0.02738612787525827,0.555,0.02738612787525827
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,BeetleFly,91fa57aea9d43fcc7906bb261c09b20a,3,0.495,0.032596012026013255,0.495,0.027386127875258306,0.515,0.03354101966249683,0.52,0.02738612787525833,0.51,0.028504385627478476,0.49000000000000005,0.028504385627478455,0.49000000000000005,0.022360679774997894,0.49000000000000005,0.028504385627478455,0.495,0.011180339887498959,0.505,0.02738612787525833,0.505,0.02738612787525833,0.5,0.017677669529663705,0.49000000000000005,0.013693063937629165,0.49000000000000005,0.013693063937629165,0.48,0.032596012026013255,0.475,0.05590169943749474,0.48,0.059686681931566614,0.485,0.06274950199005568,0.48999999999999994,0.0651920240520265,0.495,0.0570087712549569
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,BeetleFly,2073f64d270ad42d5b9aa11774d78dc8,4,0.49000000000000005,0.02236067977499789,0.485,0.022360679774997894,0.485,0.04873397172404481,0.49000000000000005,0.057554322166106696,0.49000000000000005,0.05184110338331932,0.49000000000000005,0.037914377220257756,0.51,0.04873397172404481,0.495,0.04107919181288748,0.49000000000000005,0.04541475531146239,0.48500000000000004,0.04873397172404483,0.4750000000000001,0.04677071733467428,0.475,0.04677071733467428,0.475,0.03952847075210475,0.475,0.03952847075210475,0.475,0.05000000000000002,0.48,0.041079191812887474,0.475,0.03535533905932738,0.4800000000000001,0.03259601202601325,0.5,0.04677071733467425,0.51,0.037914377220257735
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,BeetleFly,8c1c6950282f0e85bee0e0da7b5e918d,5,0.5,0.017677669529663705,0.5,0.017677669529663705,0.495,0.0596866819315666,0.51,0.06020797289396148,0.48999999999999994,0.06754628043053147,0.5199999999999999,0.032596012026013275,0.485,0.03791437722025776,0.48,0.03708099243547833,0.475,0.03061862178478973,0.485,0.022360679774997894,0.495,0.02091650066335191,0.495,0.03259601202601327,0.495,0.03259601202601327,0.505,0.03259601202601327,0.505,0.041079191812887446,0.5,0.039528470752104757,0.49499999999999994,0.04107919181288748,0.48999999999999994,0.03791437722025777,0.48999999999999994,0.03791437722025777,0.485,0.03354101966249685
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,BeetleFly,5742450bdf7a0d259b2ffe6c2f067700,6,0.4600000000000001,0.0651920240520265,0.47000000000000003,0.054198708471697,0.46499999999999997,0.0518411033833193,0.465,0.04183300132670377,0.49000000000000005,0.05477225575051661,0.49000000000000005,0.05477225575051661,0.495,0.05419870847169702,0.49000000000000005,0.07623975340988452,0.49000000000000005,0.07623975340988452,0.5,0.07905694150420947,0.51,0.0876783895837509,0.53,0.07984359711335656,0.525,0.07288689868556626,0.53,0.07786205751198719,0.53,0.06471089552772391,0.53,0.06471089552772391,0.53,0.06471089552772391,0.53,0.06471089552772391,0.5349999999999999,0.07202430145443967,0.5349999999999999,0.07202430145443967
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,BeetleFly,4850c66d46ac85e7624f6f8b6300b5ab,7,0.53,0.032596012026013234,0.545,0.04808846015417836,0.5650000000000001,0.037914377220257735,0.5599999999999999,0.06274950199005566,0.525,0.053033008588991036,0.54,0.07202430145443965,0.5199999999999999,0.08366600265340755,0.5050000000000001,0.06224949798994369,0.51,0.03791437722025777,0.5200000000000001,0.05419870847169702,0.51,0.0454147553114624,0.515,0.06020797289396148,0.51,0.04873397172404481,0.53,0.032596012026013234,0.525,0.030618621784789753,0.53,0.02091650066335191,0.53,0.03708099243547831,0.525,0.05303300858899107,0.5549999999999999,0.04472135954999577,0.555,0.0570087712549569
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,BeetleFly,5c4fe690f856429df3a653b47ed3e66f,8,0.505,0.011180339887498959,0.5,0.017677669529663705,0.5050000000000001,0.02738612787525833,0.5,0.017677669529663705,0.53,0.04107919181288747,0.5299999999999999,0.04472135954999578,0.49000000000000005,0.05477225575051662,0.505,0.04472135954999582,0.515,0.03791437722025778,0.515,0.04183300132670379,0.53,0.032596012026013234,0.555,0.020916500663351854,0.5650000000000001,0.013693063937629105,0.57,0.011180339887498909,0.57,0.027386127875258286,0.585,0.02850438562747844,0.585,0.02850438562747844,0.5900000000000001,0.022360679774997918,0.585,0.02850438562747844,0.595,0.027386127875258282
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,BeetleFly,ee37f1fcbc227d86e3aba907009073ec,9,0.5050000000000001,0.03708099243547833,0.495,0.04107919181288747,0.525,0.03535533905932737,0.5149999999999999,0.022360679774997918,0.505,0.011180339887498959,0.495,0.011180339887498959,0.495,0.011180339887498959,0.5,0.017677669529663705,0.51,0.028504385627478472,0.505,0.020916500663351906,0.51,0.013693063937629165,0.515,0.03791437722025774,0.52,0.03259601202601323,0.51,0.013693063937629165,0.51,0.013693063937629165,0.505,0.02091650066335191,0.5,0.017677669529663705,0.5,0.017677669529663705,0.515,0.013693063937629165,0.515,0.013693063937629165
