activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,BinaryHeartbeat,ed9aaf43df12cd7f3007f4ca68cafa29,0,0.456875,0.09025787708006432,0.4853658628463745,0.09962750807573366,0.5204878091812133,0.10295456924664817,0.5443902492523194,0.09906463380621543,0.5931707322597504,0.07130549772774382,0.6287804937362671,0.049937503009021646,0.6546341502666474,0.030590073053005144,0.6658536577224731,0.0220863091643094,0.6756097602844238,0.01881371572851179,0.6853658604621887,0.010203171298556865,0.6780487895011902,0.0158066815121914,0.6814634180068969,0.014593443033713644,0.6814634203910828,0.01364546869309462,0.6868292760849,0.014074674988114768,0.687804880142212,0.011309296773855533,0.6853658580780029,0.00808933092669594,0.689756100177765,0.007194084966596665,0.6858536624908448,0.0140535164874883,0.6858536648750304,0.018038882953493512,0.6848780488967895,0.016306836390190853
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,BinaryHeartbeat,cfeff12c4fac8655fbd00d05d480f736,1,0.5349999999999999,0.09157369812069405,0.4063414740562439,0.08097781644363286,0.41902439951896664,0.08327402844845219,0.4112195169925689,0.06869654512374608,0.41463415026664735,0.06757022220271106,0.4219512236118317,0.04270034560674259,0.43268292784690854,0.02116477408960219,0.4502439045906067,0.03769062084093399,0.4697560966014862,0.03889459592209489,0.4653658545017242,0.039719421341244884,0.47268293023109437,0.036763792405398926,0.46731707692146307,0.037254049690485104,0.47024390339851385,0.040203232230036426,0.4736585402488709,0.038308988128208876,0.470243901014328,0.032467434921068815,0.4726829242706298,0.04038777100011686,0.4731707274913787,0.03080324584480281,0.47512195348739616,0.022775839766231272,0.47414634227752683,0.032976477836632205,0.4853658509254456,0.039516712241893966
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,BinaryHeartbeat,15773bcefec29eb8b98b2eefcebe6dc3,2,0.571875,0.0918558653543692,0.5282926976680755,0.07696658406945824,0.5141463541984559,0.10043629000881628,0.5780487942695618,0.09438425734592298,0.5995122087001801,0.10626424069652816,0.6219512319564819,0.08454307265052326,0.6434146392345428,0.05383562864147682,0.6614634203910827,0.041298087352558036,0.6658536660671235,0.03466504742494528,0.6960975718498229,0.024487607601971145,0.709268298149109,0.014053526004464207,0.7117073249816894,0.011230110382372545,0.7185365962982179,0.01029025299086228,0.7204878091812134,0.009223252151171812,0.7209756207466127,0.007026759795425009,0.7229268431663514,0.00837832113592794,0.7239024496078492,0.006768018861170983,0.7229268407821656,0.005057670123060765,0.7229268407821656,0.00801545022080164,0.7248780608177186,0.007596300618410194
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,BinaryHeartbeat,91fa57aea9d43fcc7906bb261c09b20a,3,0.5431250000000001,0.054144626926408874,0.43268293976783756,0.19145642683827993,0.4912195265293121,0.18002247413508599,0.48536586403846743,0.18432796794711043,0.4760975694656372,0.15621566250208863,0.48682927787303926,0.1534512752124819,0.5029268336296082,0.1450184185488069,0.5000000035762786,0.1390671802598279,0.49512195587158203,0.1438610979924087,0.5136585366725922,0.13080767569456495,0.5175609791278839,0.13318279634339739,0.5239024412631988,0.12994988781066114,0.527804878950119,0.1283515629962791,0.5273170757293701,0.13194874855721453,0.5321951246261597,0.12753556621543002,0.5404878067970277,0.12899879746032647,0.5287804877758026,0.12722032280429593,0.5385365903377533,0.12825651759434226,0.5482926863431932,0.12493187544006171,0.5370731770992279,0.1194549453165314
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,BinaryHeartbeat,2073f64d270ad42d5b9aa11774d78dc8,4,0.459375,0.10959798697968864,0.5219512325525284,0.13109614689055396,0.609268307685852,0.03760371427724203,0.5970731818675994,0.041008986158973124,0.5853658580780029,0.05761468904701286,0.6165853714942933,0.017280968232078735,0.6273170793056487,0.038075345854602954,0.6541463470458984,0.03510839846562961,0.6517073225975037,0.03420726716413782,0.66536585688591,0.025370545103693926,0.670243912935257,0.023100025819574193,0.6775609803199769,0.026460888657671388,0.6760975646972656,0.024657076496422493,0.6824390304088592,0.021150714266455713,0.6917073261737824,0.023368854752681197,0.6956097614765167,0.022045870087638895,0.7043902516365051,0.022446976286896608,0.708292690515518,0.024669140003041108,0.7068292748928071,0.03038519914841812,0.7092683005332947,0.02489717981450777
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,BinaryHeartbeat,8c1c6950282f0e85bee0e0da7b5e918d,5,0.479375,0.08153795128650217,0.493658549785614,0.05050606453253833,0.4975609862804413,0.09537177916001857,0.49609756886959067,0.10403232509553051,0.5000000071525573,0.09263477553665958,0.5039024442434311,0.09256410940648548,0.5043902480602265,0.08284430377882444,0.5146341454982758,0.0817891818485298,0.5268292707204819,0.07009808411142127,0.5282926791906356,0.07008960433366142,0.5356097507476807,0.07514807118539452,0.5404878044128418,0.06843626010817357,0.5380487817525863,0.0577333063053382,0.5468292677402495,0.0660430828168569,0.5502439022064209,0.07708243474014868,0.5570731675624847,0.06319379922813385,0.5517073178291321,0.08542506562530117,0.5497561037540436,0.08149043069147585,0.5526829278469085,0.07084935902199387,0.5600000011920929,0.05367516328896624
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,BinaryHeartbeat,5742450bdf7a0d259b2ffe6c2f067700,6,0.500625,0.09001410479752604,0.48878049492836,0.0758375809583115,0.4887804853916168,0.06734093039344735,0.5019512218236922,0.06061846612232203,0.5156097567081451,0.04830869214535917,0.5151219499111176,0.04388210957058536,0.5302439010143281,0.039576880036278725,0.5473170745372773,0.04286025535765744,0.553170735836029,0.04364422864423762,0.5565853667259215,0.03561309809066646,0.5741463410854339,0.029400110483569906,0.575609759092331,0.032677469630490986,0.5819512212276459,0.03329067508193528,0.5819512188434601,0.029298756283237155,0.5902439033985138,0.027214532346058178,0.5941463470458984,0.03288615221442345,0.5985365843772887,0.031735444724881906,0.5931707370281221,0.037564140712149904,0.603414636850357,0.028992605216041214,0.6063414633274078,0.029651956208013076
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,BinaryHeartbeat,4850c66d46ac85e7624f6f8b6300b5ab,7,0.5462499999999999,0.09612613783461812,0.4531707453727722,0.09268934612897152,0.4546341609954834,0.09153005913774796,0.4892683053016663,0.07932643745866261,0.500487815141678,0.09550267798214215,0.5121951270103455,0.10096205929693904,0.5195122015476228,0.1201822957148596,0.5170731765031814,0.13252906080398946,0.5170731723308564,0.1370961698296387,0.527804878950119,0.1423291459104457,0.5434146398305894,0.13891095561744818,0.5463414669036866,0.13825202327341596,0.555609759092331,0.13818101361284552,0.5590243941545486,0.1266931740953197,0.5721951258182525,0.11671184843973731,0.5775609833002091,0.11752200672261978,0.5751219499111174,0.12297618448521912,0.5882926839590072,0.12144284160165358,0.6078048801422119,0.09856798042420978,0.6204878079891204,0.07911993758507274
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,BinaryHeartbeat,5c4fe690f856429df3a653b47ed3e66f,8,0.48500000000000004,0.15711324041117603,0.5082926964759826,0.10793337507840435,0.5473170816898346,0.11399145103137179,0.5946341562271118,0.06574969228601538,0.6565853762626648,0.04384820371511955,0.6687804889678955,0.03472506734543402,0.6819512271881104,0.023048453669584076,0.6917073202133178,0.02205935074555722,0.6980487847328185,0.020796165335670195,0.695121955871582,0.018251988165617967,0.699024395942688,0.0200089231858807,0.7058536553382874,0.01202317726582432,0.6995122003555297,0.016845159769743517,0.7014634156227112,0.01297505976345423,0.7029268312454223,0.011747898692357466,0.697560977935791,0.014532156628288452,0.7000000047683717,0.01580668749036701,0.6980487871170045,0.010962051135996714,0.7039024448394775,0.014694997556567425,0.7068292737007141,0.018845304981932112
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,BinaryHeartbeat,ee37f1fcbc227d86e3aba907009073ec,9,0.465,0.08473303665041163,0.5073170900344849,0.10589411482930766,0.5107317197322845,0.10643484355166688,0.5170731794834136,0.10517541311583671,0.4897561049461364,0.07587286836898942,0.5053658616542817,0.08334542982774909,0.5014634203910828,0.0799799215938938,0.49609756529331206,0.07158027763636031,0.49707317531108847,0.0598779212554286,0.4985365885496139,0.06150018401973747,0.5107317113876343,0.06966393257492183,0.509268296957016,0.060838872681617515,0.5112195116281509,0.06507215040858859,0.5234146356582642,0.0778694533538007,0.519512197971344,0.08015451943823552,0.5204878091812134,0.0784782412304656,0.5287804919481278,0.07904095042766271,0.5390243923664093,0.08028429043425567,0.5326829308271408,0.07089132485093286,0.5375609761476516,0.08612208517956668
