activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,BirdChicken,ed9aaf43df12cd7f3007f4ca68cafa29,0,0.47000000000000003,0.027386127875258306,0.505,0.020916500663351906,0.5650000000000001,0.04183300132670376,0.585,0.03791437722025774,0.58,0.051234753829797995,0.5900000000000001,0.06274950199005566,0.605,0.05123475382979798,0.62,0.05419870847169701,0.64,0.07202430145443965,0.655,0.07582875444051547,0.6599999999999999,0.07202430145443964,0.655,0.08366600265340754,0.655,0.08366600265340754,0.6599999999999999,0.08944271909999157,0.675,0.08660254037844385,0.6749999999999999,0.1015504800579495,0.6799999999999999,0.1066536450385077,0.6849999999999999,0.1039831717154271,0.6950000000000001,0.13038404810405296,0.71,0.10982941318244396
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,BirdChicken,cfeff12c4fac8655fbd00d05d480f736,1,0.5,0.017677669529663705,0.51,0.028504385627478476,0.51,0.03791437722025778,0.51,0.04183300132670379,0.5149999999999999,0.04183300132670379,0.525,0.06614378277661477,0.5199999999999999,0.07373940601876314,0.52,0.0670820393249937,0.5349999999999999,0.057554322166106696,0.55,0.05863019699779287,0.545,0.04808846015417836,0.53,0.062249497989943656,0.53,0.062249497989943656,0.5349999999999999,0.06274950199005566,0.53,0.07158910531638178,0.52,0.08177713616898064,0.52,0.08177713616898064,0.525,0.082915619758885,0.525,0.082915619758885,0.5399999999999999,0.08403868156985807
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,BirdChicken,15773bcefec29eb8b98b2eefcebe6dc3,2,0.495,0.011180339887498959,0.495,0.011180339887498959,0.5,0.03535533905932738,0.505,0.011180339887498959,0.49000000000000005,0.02236067977499789,0.485,0.022360679774997894,0.49000000000000005,0.013693063937629165,0.5,0.0,0.505,0.011180339887498959,0.49000000000000005,0.03791437722025776,0.485,0.04873397172404482,0.49499999999999994,0.02738612787525831,0.49499999999999994,0.02738612787525831,0.5,0.017677669529663705,0.505,0.011180339887498959,0.505,0.011180339887498959,0.515,0.022360679774997918,0.515,0.022360679774997918,0.51,0.028504385627478476,0.52,0.020916500663351906
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,BirdChicken,91fa57aea9d43fcc7906bb261c09b20a,3,0.505,0.011180339887498959,0.505,0.027386127875258327,0.5050000000000001,0.04472135954999582,0.5,0.04677071733467425,0.5000000000000001,0.04999999999999999,0.525,0.055901699437494734,0.525,0.03952847075210474,0.515,0.033541019662496875,0.53,0.032596012026013234,0.55,0.043301270189221926,0.5449999999999999,0.057008771254956896,0.5449999999999999,0.04107919181288744,0.5449999999999999,0.04808846015417835,0.555,0.04808846015417835,0.5199999999999999,0.04808846015417835,0.51,0.05755432216610669,0.515,0.05755432216610669,0.515,0.0651920240520265,0.52,0.0670820393249937,0.51,0.0651920240520265
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,BirdChicken,2073f64d270ad42d5b9aa11774d78dc8,4,0.505,0.011180339887498959,0.5,0.017677669529663705,0.5050000000000001,0.03708099243547833,0.515,0.028504385627478476,0.51,0.06274950199005566,0.52,0.0890926484060273,0.5,0.039528470752104757,0.51,0.022360679774997918,0.5149999999999999,0.013693063937629165,0.53,0.02091650066335191,0.53,0.04107919181288747,0.55,0.046770717334674264,0.535,0.04183300132670376,0.55,0.046770717334674264,0.55,0.046770717334674264,0.555,0.059686681931566614,0.55,0.06123724356957945,0.555,0.06937218462755805,0.5650000000000001,0.06754628043053147,0.5700000000000001,0.07582875444051551
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,BirdChicken,8c1c6950282f0e85bee0e0da7b5e918d,5,0.515,0.0518411033833193,0.51,0.06754628043053147,0.54,0.07623975340988454,0.53,0.06937218462755806,0.525,0.06373774391990981,0.53,0.05968668193156662,0.51,0.0651920240520265,0.505,0.06471089552772392,0.505,0.057008771254956896,0.51,0.06754628043053147,0.51,0.06754628043053147,0.515,0.06754628043053149,0.515,0.06754628043053149,0.51,0.07623975340988454,0.5149999999999999,0.07202430145443968,0.515,0.07202430145443968,0.52,0.06708203932499371,0.52,0.06708203932499371,0.5250000000000001,0.07071067811865477,0.5250000000000001,0.06373774391990983
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,BirdChicken,5742450bdf7a0d259b2ffe6c2f067700,6,0.48,0.03708099243547833,0.48500000000000004,0.03791437722025776,0.48,0.051234753829797995,0.4800000000000001,0.06471089552772394,0.485,0.04873397172404483,0.5,0.05303300858899109,0.505,0.04472135954999582,0.5199999999999999,0.032596012026013275,0.5349999999999999,0.037914377220257756,0.555,0.03259601202601322,0.555,0.03259601202601322,0.5650000000000001,0.02850438562747842,0.575,0.024999999999999967,0.57,0.027386127875258286,0.5900000000000001,0.04183300132670377,0.585,0.03791437722025774,0.57,0.03259601202601322,0.585,0.03354101966249681,0.585,0.03354101966249681,0.585,0.03354101966249681
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,BirdChicken,4850c66d46ac85e7624f6f8b6300b5ab,7,0.45,0.058630196997792865,0.475,0.05303300858899107,0.49000000000000005,0.06274950199005568,0.505,0.07373940601876311,0.5,0.06123724356957946,0.505,0.08177713616898061,0.495,0.0758287544405155,0.505,0.027386127875258327,0.52,0.037080992435478306,0.51,0.022360679774997918,0.5,0.03535533905932739,0.505,0.02091650066335191,0.5,0.03061862178478973,0.5,0.017677669529663705,0.5149999999999999,0.013693063937629165,0.505,0.02091650066335191,0.51,0.022360679774997918,0.505,0.03259601202601325,0.49499999999999994,0.044721359549995815,0.515,0.057554322166106696
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,BirdChicken,5c4fe690f856429df3a653b47ed3e66f,8,0.5,0.017677669529663705,0.52,0.02091650066335191,0.5149999999999999,0.013693063937629165,0.53,0.02091650066335191,0.525,0.055901699437494734,0.5349999999999999,0.05755432216610667,0.5349999999999999,0.045414755311462364,0.53,0.062249497989943656,0.555,0.09082951062292477,0.5599999999999999,0.08767838958375092,0.555,0.07582875444051551,0.5700000000000001,0.06937218462755805,0.6,0.06373774391990977,0.6,0.05303300858899106,0.615,0.05755432216610671,0.6300000000000001,0.05968668193156659,0.635,0.060207972893961466,0.66,0.07202430145443967,0.655,0.06937218462755805,0.665,0.08023403267940607
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,BirdChicken,ee37f1fcbc227d86e3aba907009073ec,9,0.47000000000000003,0.04107919181288747,0.49000000000000005,0.037914377220257756,0.515,0.03791437722025774,0.51,0.013693063937629165,0.51,0.013693063937629165,0.505,0.011180339887498959,0.5,0.030618621784789753,0.5,0.017677669529663705,0.495,0.011180339887498959,0.49000000000000005,0.022360679774997894,0.4800000000000001,0.03259601202601325,0.4800000000000001,0.03259601202601325,0.4800000000000001,0.03259601202601325,0.4800000000000001,0.03259601202601325,0.48500000000000004,0.028504385627478455,0.475,0.03952847075210475,0.465,0.04873397172404482,0.475,0.03952847075210475,0.47000000000000003,0.0570087712549569,0.47000000000000003,0.04808846015417836
