activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,Car,ed9aaf43df12cd7f3007f4ca68cafa29,0,0.24166666597127917,0.030046259974500597,0.3183333319425583,0.039703764394593964,0.4083333319425583,0.03385016332088819,0.4966666734218598,0.03515837512245532,0.5250000083446503,0.042491828792880666,0.5433333396911622,0.04837641328375856,0.5716666686534883,0.030390964616212223,0.5966666746139526,0.04107919211517437,0.6100000071525573,0.027259044083776697,0.6300000023841859,0.02674467638357074,0.6366666674613952,0.02006932619544876,0.6499999952316283,0.019543399422856916,0.6649999976158142,0.01806622855068065,0.6900000047683716,0.029697549245671313,0.7033333325386046,0.03415650531618792,0.7216666674613952,0.031512784369762806,0.7333333349227905,0.02204791895630401,0.7383333349227905,0.028625941739516506,0.74,0.038819381263232776,0.7483333301544188,0.03405469097174397
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,Car,cfeff12c4fac8655fbd00d05d480f736,1,0.24666666626930236,0.009501461048111256,0.2416666662693024,0.01317615613200811,0.23000000059604647,0.004564354509848329,0.24833333283662795,0.02595401877195629,0.25166666612029076,0.027259045108742785,0.26500000059604645,0.02595402145126195,0.2683333337306976,0.028504385453222737,0.2783333325386047,0.02400809889865098,0.28833333551883694,0.02541325230933665,0.30333333611488345,0.019184773235500174,0.3050000002980232,0.02006932276145702,0.3016666653752327,0.014907115796064178,0.3033333316445351,0.013944333612307232,0.315000002682209,0.01369306411900119,0.31666666686534883,0.01020621151995857,0.32500000029802323,0.010206204828248628,0.32833333641290663,0.028012894802289783,0.32500000014901165,0.03679900441113097,0.33333333536982535,0.039086797972054305,0.33166666969656944,0.03301935439302702
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,Car,15773bcefec29eb8b98b2eefcebe6dc3,2,0.25333333373069766,0.007453560813532878,0.255,0.007453560480332894,0.25666666537523264,0.012360330426715626,0.2516666677594185,0.02527625294581412,0.26000000044703486,0.046918962490787065,0.2666666659712792,0.054962109345607385,0.2716666656732559,0.046992908719585766,0.27500000059604646,0.052374189376501123,0.28666666686534886,0.05577733571821114,0.3099999988079071,0.04908892563923549,0.3349999964237213,0.05785517974392851,0.3583333349227905,0.05368374600544971,0.37333333551883696,0.05048377319646816,0.38166666805744176,0.034560737050028566,0.3966666722297668,0.0331243465567063,0.40166666924953465,0.04099457965817528,0.42333333611488344,0.04346135112041363,0.4283333367109298,0.049860919506806795,0.4450000059604645,0.05639641886272016,0.44500000357627867,0.05700876837973669
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,Car,91fa57aea9d43fcc7906bb261c09b20a,3,0.2416666662693024,0.014433757159900116,0.2416666662693024,0.011785112317328393,0.24333333253860473,0.006972167718931019,0.22833333283662793,0.01918477362385886,0.24333333343267438,0.016029487157041857,0.23833333253860473,0.0139443338349357,0.24333333253860473,0.009128707659412668,0.23666666626930236,0.01513825201657204,0.2366666665673256,0.01728036787827619,0.23499999865889548,0.020749833221863294,0.2433333316445351,0.010865337094383533,0.2516666659712791,0.010865339665833898,0.2516666656732559,0.010865337722960122,0.2416666641831398,0.02041241285026549,0.23333333283662797,0.015590239775308878,0.22999999910593033,0.01728036877652373,0.2366666650772095,0.020916501375764115,0.24166666507720946,0.014433758450378746,0.24666666507720944,0.025413251038902806,0.2516666656732559,0.02457979948027115
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,Car,2073f64d270ad42d5b9aa11774d78dc8,4,0.255,0.011180339887498959,0.25666666790843007,0.03881938306257074,0.26,0.027259045313736588,0.27333333194255827,0.03745367434995327,0.273333334326744,0.03301935559645531,0.27999999940395354,0.027386127331145177,0.30000000119209286,0.0377307683371985,0.3233333337306976,0.033541019995697426,0.34500000000000003,0.03312434460733396,0.3433333384990692,0.040568872033085054,0.38833333611488347,0.04354116842982637,0.41666666865348817,0.03908679884571238,0.44166666626930234,0.03952846949552891,0.45333333671092985,0.06603870982025005,0.47333333373069764,0.10531038426658326,0.4933333313465119,0.10563957977429851,0.5100000023841857,0.08066563087233838,0.508333328962326,0.06373773963378467,0.49500000238418584,0.06734034350178725,0.49500000357627877,0.06551081729943757
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,Car,8c1c6950282f0e85bee0e0da7b5e918d,5,0.24833333313465117,0.0272590443115447,0.23999999880790712,0.027259045222628255,0.24333333313465116,0.017078249604264267,0.2533333331346512,0.013944331608648962,0.2450000002980232,0.015138251688459498,0.2449999988079071,0.022515426295428218,0.25499999821186065,0.018257417495278577,0.24833333253860473,0.020749833281707816,0.24999999880790708,0.022821771869098315,0.2516666668653488,0.02312406134561934,0.2516666668653488,0.02850438662944927,0.26499999821186065,0.0252762527247398,0.26666666507720943,0.03864007460075407,0.27833333253860476,0.030390967517242413,0.2883333325386047,0.03151278271474952,0.2916666680574417,0.034860837169831904,0.2983333337306976,0.03791437538615802,0.3050000011920929,0.03979112078839837,0.31666666507720953,0.033850158551951816,0.3249999988079071,0.0386400776537379
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,Car,5742450bdf7a0d259b2ffe6c2f067700,6,0.2550000028312206,0.03259601257839895,0.2750000022351742,0.033850160844709425,0.2850000014901161,0.040138650658431294,0.308333338201046,0.03584302452991304,0.32833333626389505,0.034661058199804286,0.36166666597127917,0.034156502698619313,0.39166667193174365,0.031732388397644154,0.4250000029802322,0.043700367489781775,0.456666669845581,0.04691896100868395,0.4899999988079071,0.06624868917717903,0.5083333373069763,0.04823265358999086,0.5266666746139526,0.04908892343846556,0.5366666686534881,0.03890872233381506,0.5350000023841857,0.04141591221258481,0.5400000059604645,0.036036246380029245,0.5550000083446502,0.028625934191577402,0.571666671037674,0.028012882390371686,0.5816666710376739,0.016029481346983534,0.6050000071525574,0.021730674531627036,0.6133333420753478,0.019184768186833033
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,Car,4850c66d46ac85e7624f6f8b6300b5ab,7,0.2433333322405815,0.02312406123821906,0.24999999880790708,0.011785112844164117,0.26166666686534884,0.01728036798606596,0.26166666686534884,0.023273732125768474,0.255,0.02541325113662821,0.25833333283662796,0.03632415663785468,0.2616666656732559,0.03095695876665595,0.2683333337306976,0.03555121603741582,0.28000000119209284,0.029226129606321663,0.2916666668653488,0.038188127539599104,0.3033333337306977,0.03845993447569867,0.3150000023841858,0.04306003658970368,0.323333335518837,0.03456073679851925,0.35166666507720945,0.03248931503052626,0.3683333319425583,0.03970376502010807,0.3866666650772095,0.030390971235467513,0.3883333337306976,0.05020790476504011,0.4066666674613953,0.05316379375765153,0.4116666698455811,0.05968668517709987,0.4300000047683715,0.05670342192133105
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,Car,5c4fe690f856429df3a653b47ed3e66f,8,0.2483333331346512,0.0037267804067664385,0.2550000011920929,0.012638125969348586,0.2533333325386048,0.022515424751181463,0.2633333331346511,0.03039097201180019,0.2633333337306976,0.0545180925179716,0.28833333134651185,0.057915167417492024,0.34000000238418576,0.05571505003836164,0.41333333492279045,0.08612007240078183,0.46833333492279056,0.08236942569974211,0.5150000017881393,0.06163287472507909,0.5533333349227905,0.06224949914693785,0.5850000035762786,0.05602578632428606,0.6216666710376739,0.04808845752028591,0.6533333408832551,0.06140710652945565,0.6683333373069764,0.05082650080737209,0.6883333289623261,0.04915960153704512,0.7100000047683717,0.050138698635053165,0.7166666722297668,0.04823265719433142,0.7333333373069764,0.05432668747193341,0.7400000047683716,0.05477226409359051
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,Car,ee37f1fcbc227d86e3aba907009073ec,9,0.2483333331346512,0.0037267804067664385,0.2616666650772095,0.009501461701570535,0.2533333331346512,0.007453559480732508,0.25500000059604644,0.021730675274490074,0.24333333373069763,0.006972166472210512,0.24666666865348813,0.0172803689921028,0.2516666662693024,0.016029487931716328,0.24499999940395356,0.013944332766318146,0.25166666686534883,0.01900292274968168,0.23666666686534882,0.017280367986065942,0.23666666626930238,0.017280368489084336,0.23833333194255832,0.012638126264114579,0.24500000000000002,0.016244659407186956,0.24833333253860473,0.018066235836474112,0.2533333331346512,0.019184773882765113,0.26000000119209293,0.02910708247778991,0.2616666680574417,0.03312434449486983,0.2616666677594185,0.03564874993359544,0.27000000029802323,0.038459937607556324,0.27000000149011616,0.026744679958701185
