activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,CatsDogs,ed9aaf43df12cd7f3007f4ca68cafa29,0,0.49375,0.0058463396668342925,0.5933333313465118,0.0365148410005382,0.6745454525947572,0.028716019557711973,0.7109090900421143,0.018507188912337227,0.7296969723701477,0.03259513786741568,0.7345454621315002,0.02911300308570556,0.7418181848526001,0.025659358073048304,0.7460606122016907,0.020928854584140233,0.7466666722297669,0.01875364048146654,0.7472727346420289,0.030649542802947502,0.7466666722297669,0.024299183521569914,0.7509090971946717,0.032241063274307,0.7515151596069336,0.02077471631127036,0.7484848570823669,0.01700754018961619,0.7490909171104432,0.022615895618559152,0.7503030371665954,0.028555689068724688,0.7509090948104858,0.024748512637822153,0.7557575821876525,0.022636180245803744,0.7539393997192383,0.025116807437182757,0.7521212196350098,0.02291838747189795
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,CatsDogs,cfeff12c4fac8655fbd00d05d480f736,1,0.5,0.0062500000000000125,0.5103030276298524,0.011853094492569641,0.500606061220169,0.032312178861959695,0.5042424213886261,0.019237053306931023,0.5290909004211425,0.03432411994267029,0.5406060564517975,0.04420504341628572,0.5593939352035522,0.03274970883929505,0.5666666615009308,0.03904272689099124,0.5896969676017761,0.03550760268284186,0.6030303061008453,0.03729858422237537,0.6121212077140809,0.04002983069023723,0.6103030276298523,0.03189744967915158,0.6187878715991973,0.026882734913658692,0.6199999976158141,0.03405553676147622,0.6272727203369141,0.024242425337434318,0.629696969985962,0.02301834033745483,0.6430303001403808,0.028539602633016314,0.6442424285411835,0.02698501702172845,0.6466666650772094,0.025587684711222174,0.6503030252456666,0.031316393466422045
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,CatsDogs,15773bcefec29eb8b98b2eefcebe6dc3,2,0.49375,0.008267972847076858,0.4999999988079071,0.004285493663930434,0.4993939387798309,0.004494663271653029,0.5030303013324737,0.008834773306019485,0.503636360168457,0.014752315383283419,0.503030297756195,0.01617738563234591,0.5242424190044404,0.01766954942312191,0.541818174123764,0.016652887090636687,0.5442424166202546,0.019708618871329107,0.5521212053298951,0.02917601529112325,0.5581818091869354,0.016514454180106133,0.5636363601684571,0.01714198782661239,0.573333330154419,0.030029066443584215,0.5890909075737,0.02958234045967412,0.5866666662693023,0.02540760431663373,0.5927272760868072,0.018996880921274537,0.6006060576438904,0.014437735043302374,0.5854545414447785,0.022918382861504907,0.5915151453018189,0.015510888863933937,0.5957575762271882,0.0187536336433057
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,CatsDogs,91fa57aea9d43fcc7906bb261c09b20a,3,0.49749999999999994,0.009217425752345399,0.4999999988079071,0.004285493663930434,0.5012121200561523,0.0027103828424475027,0.49878787994384766,0.008730218307958707,0.5012121200561523,0.003455073750736724,0.5024242401123047,0.010141331107546819,0.4999999988079072,0.012676662815816397,0.5030303049087524,0.015599437467264042,0.5048484802246094,0.01923704917569378,0.5145454514026642,0.028859552823715953,0.5133333277702331,0.028875457889075043,0.5169696915149689,0.027822731789305517,0.5115151476860046,0.03390690452162705,0.5157575726509094,0.03273568276316762,0.5218181788921357,0.03581658371930473,0.5145454478263856,0.0398228358372384,0.5115151512622833,0.039183584180622184,0.5199999940395357,0.03589342016795022,0.5212121176719664,0.037543972459374644,0.5236363625526429,0.03744600574276251
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,CatsDogs,2073f64d270ad42d5b9aa11774d78dc8,4,0.5075000000000001,0.02044428404224513,0.49818181753158564,0.007606001180308049,0.5121212136745452,0.02414754287232311,0.5175757539272309,0.02210252509949162,0.5278787863254547,0.011216214756223336,0.5442424225807189,0.008463173902136337,0.5636363661289214,0.012856485206476176,0.5860606050491333,0.02353123317429049,0.6,0.03461714486036922,0.612121207714081,0.030679486844764504,0.6084848499298096,0.036827846709296584,0.6145454502105714,0.036577655384455676,0.6175757575035095,0.03195497109532965,0.6218181753158569,0.03363499735429956,0.6387878704071045,0.028539603772192494,0.6448484826087951,0.02136310718825222,0.6478787827491759,0.025479787891371675,0.6515151476860046,0.03533911264609036,0.656969690322876,0.034907733986132186,0.6721212148666382,0.027888673012960077
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,CatsDogs,8c1c6950282f0e85bee0e0da7b5e918d,5,0.5006250000000001,0.0060110575192723,0.5036363625526429,0.014277839790467964,0.4939393949508667,0.018307646946730736,0.49333333253860473,0.01933229091117585,0.5078787851333618,0.017222146583464108,0.504242422580719,0.03218404661843002,0.5212121212482452,0.03667793254947296,0.5309090876579285,0.034176657175532796,0.5412121212482452,0.041802809632547594,0.5460606098175049,0.040959565998661775,0.5569696962833405,0.037384651178740555,0.5642424201965334,0.04050870637345862,0.5618181765079499,0.04130559903498751,0.5606060576438905,0.03448426381544655,0.5672727239131927,0.03085854331198136,0.5739393889904022,0.030574538799205186,0.5763636338710785,0.03238314954204049,0.5703030312061309,0.029566814493913515,0.5781818127632141,0.036702960909121334,0.589696969985962,0.0279051301608612
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,CatsDogs,5742450bdf7a0d259b2ffe6c2f067700,6,0.50875,0.012382257972599352,0.5333333337306977,0.031998045329078434,0.5666666603088378,0.05441903835190891,0.6157575750350952,0.04793246580919462,0.6387878751754761,0.0445052416673335,0.6648484826087951,0.03138961036485831,0.679393937587738,0.025025242551034346,0.6842424249649047,0.02103824459621005,0.701212122440338,0.022938413581085233,0.7066666650772095,0.026967996775705567,0.7121212100982667,0.029613363579440558,0.7109090924263001,0.031242996777978437,0.714545454978943,0.028216011539081494,0.7133333325386049,0.023725548009621806,0.7187878775596619,0.025298943307630144,0.7218181824684142,0.019685313198021366,0.7266666674613952,0.023018342220687407,0.7236363625526427,0.021576947827206334,0.729696967601776,0.019568341255445165,0.7303030252456665,0.019403404100328432
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,CatsDogs,4850c66d46ac85e7624f6f8b6300b5ab,7,0.508125,0.016026101756197605,0.4909090900421143,0.021320072906336467,0.523030297756195,0.02594406318586037,0.5193939328193664,0.02293841196688751,0.5387878727912903,0.03397454735322231,0.558787876367569,0.036084782187671444,0.5709090948104858,0.025226245303873348,0.5775757575035095,0.033784819262085965,0.5921212089061736,0.03344334198467005,0.6072727191448213,0.03764167868928304,0.625454547405243,0.046729587328099696,0.6296969628334045,0.048833973461012585,0.6351515054702759,0.051941207341311746,0.6351515102386476,0.03925383310666071,0.6406060528755187,0.04229417480376023,0.6430303025245667,0.04440194938171162,0.6369696974754334,0.04572646538255463,0.6418181800842284,0.04314326112057628,0.6563636398315429,0.04893728700679476,0.6630303001403809,0.040338331742065484
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,CatsDogs,5c4fe690f856429df3a653b47ed3e66f,8,0.48875,0.018168052317185802,0.5018181800842285,0.004065574263671254,0.5309090840816497,0.04319643058519852,0.5909090864658355,0.07335587230101233,0.6357575702667236,0.06277921934872129,0.6963636350631714,0.031228306525848005,0.7345454549789429,0.014627290571917377,0.7430303025245667,0.008677466945246924,0.7436363649368287,0.008730218101070577,0.7466666674613952,0.007902063299813725,0.7515151476860047,0.014532824473874419,0.7521212077140808,0.009191358553215968,0.7515151524543762,0.014373988222060124,0.7533333396911621,0.015242156141355058,0.7593939495086671,0.017486717384434983,0.7612121248245238,0.014752316791290968,0.7551515197753906,0.013619519283681332,0.7581818175315856,0.017978662128338894,0.7587878847122193,0.016402868384175005,0.7557575798034668,0.020619426352297823
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,CatsDogs,ee37f1fcbc227d86e3aba907009073ec,9,0.5025000000000001,0.005590169943749476,0.49272727251052856,0.016402871247161676,0.5006060624122619,0.010141336272532117,0.5006060600280762,0.03216977130277264,0.5163636326789856,0.04097077550067717,0.5103030288219452,0.04573649643690035,0.5139393925666809,0.049728367160821026,0.513333330154419,0.04702342581495392,0.5260606002807617,0.05440216565964148,0.5315151488780976,0.05878318780334513,0.5290909099578858,0.057599675103741005,0.5200000035762787,0.05727994156181017,0.5236363625526428,0.055231376618778666,0.5272727322578431,0.052661053681491064,0.5327272713184357,0.06354249770034492,0.5290909016132355,0.04935767145322089,0.5406060576438904,0.06296908704038433,0.5339393889904022,0.05755182616606244,0.5345454514026642,0.0648725575586764,0.5399999976158142,0.05311249426909168
gelu,0.2832765322529,28,0.0002283784877,1,1.65950009e-05,CatsDogs,0699bcf78b0eff1a2bbb9570712dcf04,10,0.47250000000000003,0.052820820350501944,0.5890908992290497,0.04945060297043626,0.6672727251052856,0.03859325696386217,0.693939392566681,0.03717528360628749,0.7072727227210999,0.030574538828743298,0.717575752735138,0.028539597949737896,0.7248484849929809,0.026625310637991548,0.7284848523139955,0.024487396570840116,0.7290909171104432,0.024299178838664445,0.7345454549789429,0.02273737538855152,0.7454545450210571,0.021746521133719755,0.7527272748947145,0.014627289831031324,0.7539393877983094,0.016092017640995496,0.7527272701263428,0.011853093121131671,0.7515151524543763,0.011134045833877369,0.7557575750350953,0.010627682967907889,0.7551515173912048,0.012007035909806285,0.7533333373069763,0.006283771587826254,0.7539393973350524,0.006569541853814194,0.7515151524543763,0.006060604751116618
