activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,ChlorineConcentration,ed9aaf43df12cd7f3007f4ca68cafa29,0,0.27749999999999997,0.04997069453689832,0.2928457993268967,0.03718957167686722,0.3118306475877762,0.045405904469601306,0.33558816432952876,0.03599730237137672,0.3598075538873672,0.02955562866197896,0.38193889856338503,0.027262154516143458,0.3982102483510971,0.0222220829432371,0.40847727060317995,0.01853772728137587,0.41466442108154294,0.020606816179941045,0.42193889856338507,0.021114534142532115,0.4308010625839233,0.022742231640531834,0.4350829911231995,0.02072671224765188,0.4354005217552185,0.022844821907032038,0.4361991822719574,0.020865459103850615,0.4345730090141296,0.02075704495467717,0.433909066915512,0.017297362223037457,0.4362184250354767,0.013820747543468709,0.43822949051856996,0.015275744313560907,0.43923021316528316,0.017474275086030257,0.44584074974060056,0.012777163014374138
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,ChlorineConcentration,cfeff12c4fac8655fbd00d05d480f736,1,0.35,0.0671329720591901,0.33182583153247835,0.06639585045836749,0.3284195280075073,0.023169210347252195,0.34012989878654476,0.011325180594705822,0.3409381723403931,0.013843677046162368,0.3407072401046753,0.01858770314535941,0.3406206423044205,0.013555631936720176,0.3392157781124115,0.011921713912191842,0.33940822720527647,0.008118582155195612,0.33926389217376707,0.007345389281765015,0.33737791597843164,0.006481118930166734,0.3384941065311432,0.007460917120731635,0.339475582242012,0.006331480259527056,0.3407361072301865,0.004078351673608024,0.34106326639652257,0.006194173679570462,0.3409093075990677,0.008761891566217206,0.3404474365711212,0.006073355202563106,0.34183305203914643,0.007019351773879726,0.34065912663936615,0.005064031987978584,0.34224681079387664,0.005789868526148694
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,ChlorineConcentration,15773bcefec29eb8b98b2eefcebe6dc3,2,0.335,0.08661381601684572,0.31007937908172606,0.07261134019010447,0.3040654271841049,0.06701628624624457,0.3089535707235337,0.06754888689533949,0.32259802401065824,0.06080655727061237,0.3219244593381882,0.05483940773049516,0.3253500121831894,0.05084674922151275,0.3247053164243698,0.04274682978838369,0.3300264638662338,0.04616351576667145,0.3328169357776642,0.04596415813633218,0.33697377622127533,0.05012144202165232,0.33738753855228426,0.05117152758968505,0.34039932548999785,0.05448194645772488,0.34009141206741333,0.0492565887604302,0.34207360982894897,0.04739841473621298,0.34304546415805814,0.04671535785525097,0.34995429754257207,0.04588945112852056,0.35512148261070253,0.045813296726472254,0.35467885136604316,0.04895350682913594,0.3549579000473022,0.0475179416595177
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,ChlorineConcentration,91fa57aea9d43fcc7906bb261c09b20a,3,0.37187500000000007,0.08543889446557697,0.32740918576717376,0.04940719607095878,0.34273754835128784,0.03599113118974041,0.3518691301345825,0.029640321717763003,0.3540052884817123,0.037272472088445543,0.349348087310791,0.040316380176781776,0.34992542326450354,0.03832772812892201,0.3492326176166535,0.03621458517241595,0.3449891740083695,0.03404024502313368,0.342314168214798,0.03329148001344993,0.3408227109909057,0.02740105381487912,0.34391147315502163,0.026438645617375592,0.346182342171669,0.02618168468745275,0.34591291785240175,0.025575802712283456,0.3446812629699707,0.0254719427174512,0.34562424778938294,0.025329464287612256,0.34544142425060276,0.023985270758745077,0.3440461885929108,0.024647215288701896,0.3461246109008789,0.026297289284827878,0.347115706205368,0.024900035954612543
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,ChlorineConcentration,2073f64d270ad42d5b9aa11774d78dc8,4,0.36625,0.07757305024942619,0.36198218822479256,0.04688843373413884,0.36666826605796815,0.0505007649290493,0.36270386695861817,0.05911024115310183,0.36609093070030213,0.06507090934896137,0.3539764243364334,0.057021576757043085,0.3553716617822647,0.05122460376824939,0.35427471637725827,0.051805608591707866,0.3581140238046646,0.05446756741309119,0.35963434636592867,0.05288119954629026,0.3655520844459534,0.049645280397648185,0.3672167426347733,0.050078781467048174,0.3694876116514206,0.04746210848185322,0.37053644478321074,0.042046535959831044,0.3725667536258698,0.04365957094979114,0.37003607988357545,0.046151772725798665,0.3748568707704544,0.04316197549043941,0.3801587677001953,0.05060531460264806,0.3793504947423935,0.0526289384359552,0.38188116371631625,0.05435648977546465
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,ChlorineConcentration,8c1c6950282f0e85bee0e0da7b5e918d,5,0.36249999999999993,0.04846269506022131,0.3430647015571594,0.07382963365279717,0.3274476712942123,0.07775259915036192,0.3213471215963364,0.07770116457473869,0.3206831806898117,0.07450297992435977,0.32587923765182497,0.07437739136445827,0.32973779201507564,0.07419952960633154,0.3316814982891083,0.07008588446916776,0.3356843876838684,0.0685594032137527,0.335443828701973,0.06735232650279267,0.3390233373641968,0.06868009850445009,0.33751262903213497,0.06887376439391366,0.3382246798276901,0.06720180664522002,0.33969689667224884,0.0659561312161955,0.33828241407871246,0.06661121071135181,0.33807072401046756,0.06374246722849726,0.33897522330284124,0.061407792797189505,0.3368005764484406,0.061643865504259814,0.33483762323856353,0.06372105874895859,0.3356458950042725,0.06296459254911058
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,ChlorineConcentration,5742450bdf7a0d259b2ffe6c2f067700,6,0.33687500000000004,0.03482657928938757,0.3321529960632324,0.042440237782421425,0.3327303326129913,0.04747509199016768,0.3366562432050705,0.04388439985351496,0.3402646148204803,0.04204859818241571,0.3445176839828491,0.04106266194188784,0.34621121048927306,0.03959353833770897,0.346971372961998,0.03744542163813397,0.3498292028903961,0.036231245842518404,0.35158047020435335,0.03387955958862628,0.35347606301307677,0.031899585411456564,0.3546692329645157,0.030927096374354878,0.3562472945451736,0.02859476958082817,0.35720952272415163,0.025308143803673397,0.3581621384620667,0.02258097610940314,0.35938417196273803,0.02040747944509982,0.3607505416870117,0.018572528285080173,0.36225162506103514,0.017332290589994512,0.36386817693710327,0.015803770520270894,0.36490738630294806,0.013610940118438239
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,ChlorineConcentration,4850c66d46ac85e7624f6f8b6300b5ab,7,0.33625,0.024266585822896484,0.3295260965824127,0.07440606815107882,0.33668510794639583,0.0826052580109692,0.3476353096961975,0.08602263091765158,0.34932884156703947,0.08540256495913276,0.34788549661636353,0.08315874293264638,0.3454799109697342,0.0785876399868516,0.341178737282753,0.07567925385101024,0.33824392616748805,0.0717042043494177,0.33764734089374543,0.07066070335118176,0.33373105466365816,0.0707110907319162,0.3344046211242676,0.0698726292006761,0.33232619702816,0.06639873102212725,0.3360307902097702,0.06788119220189824,0.336059662103653,0.06764270166989772,0.33484724521636966,0.06609779338775414,0.3350589364767075,0.06654557743894542,0.34071686327457423,0.06318295012741695,0.34272792816162106,0.061972815233284954,0.34347846925258635,0.062028187696305845
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,ChlorineConcentration,5c4fe690f856429df3a653b47ed3e66f,8,0.3325,0.016770509831248424,0.28427230656147,0.02964980772570531,0.2795477479696274,0.0383972253179876,0.27989415466785433,0.044416725550628706,0.28009622275829316,0.0423043867705587,0.2884676420688629,0.037607306594332035,0.29997594356536866,0.030848252090809537,0.3143516951799393,0.027356507868796048,0.33005532860755926,0.024768851011747712,0.3428433972597122,0.025316473757865898,0.358854947090149,0.024032957832957343,0.3710656726360321,0.02158267550577188,0.3807842195034027,0.019575091067639973,0.38699061989784245,0.01648925254665965,0.3905605006217957,0.014703566809878058,0.3951599681377411,0.01671117483576656,0.3997209525108337,0.016393126747233675,0.40462833762168887,0.016047780451770015,0.40876593589782717,0.017399596676142846,0.4104787123203278,0.017179295207779565
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,ChlorineConcentration,ee37f1fcbc227d86e3aba907009073ec,9,0.315,0.057723749445094084,0.35307191789150244,0.014838224925626234,0.35628577709198,0.02850394220381107,0.34081308305263514,0.04796314741476629,0.33003607869148255,0.05244715164610437,0.32786143481731417,0.05163074198733538,0.3265816670656204,0.05003829070667098,0.32823670864105225,0.05510496982298556,0.32895838379859926,0.05182964356477163,0.33486648976802824,0.04972301847442048,0.33549194037914276,0.04497428068624998,0.3395525586605072,0.047582687354287605,0.3401780164241791,0.04935085130062983,0.3424969953298569,0.04538411773272457,0.345066152215004,0.04366264521606957,0.3457878297567368,0.04297661400951005,0.34446957051754,0.04161633295991856,0.34753908753395074,0.04507770384954004,0.34763531208038334,0.04689337798815774,0.34702910602092746,0.046182278908685
