activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,EigenWorms,ed9aaf43df12cd7f3007f4ca68cafa29,0,0.19567308098077776,0.002924405745744226,0.5661538505554199,0.028833329877579236,0.7153846073150636,0.06907032702284449,0.7615384638309479,0.06970988090148324,0.7915384650230408,0.06719221212236627,0.8207692289352417,0.046041533260674526,0.8330769205093385,0.040485222066411204,0.8461538386344911,0.03797772264379952,0.8530769157409667,0.032225167197586335,0.8599999928474424,0.03108015935632529,0.8607692241668701,0.024385944761756075,0.8615384531021117,0.022916104706715422,0.8607692217826843,0.02438594936817188,0.8615384554862977,0.024325215090359384,0.8615384554862977,0.024325215090359384,0.8615384554862977,0.024325215090359384,0.8646153807640078,0.02078347076594442,0.8630769181251526,0.028471936801779726,0.8638461470603943,0.02486650740109309,0.8638461470603943,0.02486650740109309
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,EigenWorms,cfeff12c4fac8655fbd00d05d480f736,1,0.20932692438364028,0.04676527913138781,0.20846154242753984,0.047837867076469726,0.23692307978868482,0.07249770295548096,0.27384615540504453,0.06647284344929358,0.2907692325115204,0.07578972380593202,0.3130769288539887,0.08993752072109575,0.33230769515037534,0.08956667710026404,0.3730769258737564,0.09929485208227962,0.4007692289352417,0.10289449761164836,0.43384615123271947,0.10151951852703048,0.4600000000000001,0.08730854097877819,0.4830769246816636,0.08735089094676976,0.49999999761581415,0.0841771872568943,0.5215384650230408,0.09059305380054129,0.5438461530208588,0.09124387022502249,0.541538462638855,0.08074175575421741,0.5576923108100891,0.06960369812384586,0.5846153831481933,0.0742317666941383,0.5846153819561005,0.067335161771163,0.5992307639122009,0.0686083095595954
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,EigenWorms,15773bcefec29eb8b98b2eefcebe6dc3,2,0.19875000312924387,0.06237005675374874,0.20692308038473128,0.04626589133161316,0.25615384995937346,0.04288073720379983,0.2807692328095436,0.04772951327948824,0.28846153914928435,0.04788422894222489,0.27769230842590337,0.048299482872021036,0.28846153944730757,0.045751450627603975,0.30384615510702134,0.050661306811807215,0.30923077136278154,0.05388734716259097,0.325384615957737,0.05643501752783261,0.3323076942563057,0.05974551338967617,0.3438461574912071,0.06519202255311263,0.3476923081278801,0.05993092912918018,0.3561538472771645,0.06169451227495938,0.3638461562991142,0.05974551733707756,0.36999999970197683,0.07370177976238186,0.38307692438364027,0.07386217690379099,0.389230770766735,0.06763109497466645,0.3930769249796867,0.06871603875933499,0.4015384620428085,0.07300603695440812
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,EigenWorms,91fa57aea9d43fcc7906bb261c09b20a,3,0.216442309319973,0.060455080254389885,0.19461538821458818,0.08989638967012288,0.2061538481712341,0.10086900184740773,0.1976923103630543,0.11424436555448489,0.19692307874560358,0.11824655558078855,0.20153846442699433,0.097702904449953,0.20153846591711044,0.09047049836818374,0.20923077225685122,0.07460943550078579,0.20153846472501757,0.07460943585414045,0.21000000327825546,0.06775128526879932,0.21846154183149338,0.061321732590791975,0.22000000268220904,0.06552022145275015,0.22384615510702136,0.06328062664233255,0.22384615659713747,0.06535066793801196,0.22538461804389956,0.06791484277022329,0.24153846472501753,0.07395224665954037,0.2438461565971374,0.07188295800197733,0.2553846183419227,0.07959772901400175,0.2530769258737564,0.07893521995514133,0.25692307978868484,0.07846530726710924
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,EigenWorms,2073f64d270ad42d5b9aa11774d78dc8,4,0.1974038487672806,0.03023040860453274,0.2392307698726654,0.03412039183850941,0.26230769425630573,0.04083086692807487,0.2815384638309478,0.04234264218260481,0.2969230768084526,0.038977310697013406,0.3000000008940697,0.05553664990581786,0.3184615373611451,0.06168252121357125,0.32769230842590336,0.05629066339600727,0.34384615421295167,0.05128525051534576,0.3615384644269943,0.048345400480775985,0.37846154212951666,0.05235573989838846,0.3915384632349014,0.051987136503994724,0.40307692945003504,0.05879711094305181,0.41692307770252224,0.06926280883619668,0.4176923084259033,0.061514412906059315,0.4253846138715744,0.05855761099882986,0.447692312002182,0.06813231294526426,0.4538461542129516,0.06650621329821388,0.4638461565971374,0.07421183133495748,0.46769231200218203,0.07198577698783462
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,EigenWorms,8c1c6950282f0e85bee0e0da7b5e918d,5,0.19278846338391303,0.04470119707484413,0.18846154138445853,0.042132504309681434,0.2292307707667351,0.05504167194828867,0.2523076942563057,0.06121307938249309,0.27538461551070215,0.07800204444762539,0.2923076948523521,0.08600261107572788,0.30384615749120714,0.09444638004731284,0.31076923221349717,0.09335939347966637,0.31923077106475833,0.09884690081102342,0.33153846383094787,0.09750587699024772,0.3430769246816635,0.08814324061810674,0.3530769252777099,0.08388672037656295,0.3638461548089981,0.08525110461202325,0.37538461387157446,0.08831928000392929,0.3823076927661896,0.08437903788385201,0.3938461571931839,0.08455417279287492,0.4138461565971374,0.07978336062474603,0.4146153897047043,0.0802363382623926,0.42538461923599236,0.08318724804976782,0.43153845965862275,0.08348900410124523
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,EigenWorms,5742450bdf7a0d259b2ffe6c2f067700,6,0.2354807731509209,0.041234753863928546,0.42461538791656495,0.12121793224536852,0.5576923060417176,0.10179600404403538,0.653076924085617,0.08593378437786214,0.7130769205093384,0.05893533075025414,0.7653846192359925,0.032522183541647896,0.7915384602546692,0.023615513877030515,0.8000000023841858,0.022261226318167866,0.8153846192359925,0.02323662277418522,0.8215384578704834,0.027814902503708275,0.8299999952316284,0.030088627358818704,0.829230763912201,0.02961788562666509,0.8330769181251526,0.0282109574906749,0.8346153783798217,0.028781981368724268,0.8353846096992491,0.029088725427960642,0.8330769205093382,0.028210958059510915,0.8346153807640075,0.029037826572925446,0.83384614944458,0.027654889798002645,0.832307686805725,0.02847193293694423,0.832307686805725,0.02847193293694423
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,EigenWorms,4850c66d46ac85e7624f6f8b6300b5ab,7,0.1687500035762787,0.03492450152282621,0.20769231140613553,0.0240192230707631,0.2376923117041588,0.05039782334417979,0.2530769258737564,0.04146004071026393,0.2776923102140426,0.04422240787933712,0.2923076957464218,0.05939786545578212,0.30692308008670804,0.054487934336928424,0.3300000035762787,0.05765383450084494,0.3369230794906616,0.060849509614969315,0.35923076689243316,0.06676151876802786,0.37615384459495543,0.0685004170274973,0.3838461530208588,0.06351395959906556,0.41153846263885496,0.06645058714237728,0.41153846263885496,0.06129760809614093,0.4138461554050446,0.06915593957295747,0.4223076891899109,0.07212948302716765,0.43153845965862275,0.07140806545792124,0.45000000238418575,0.05933557397277464,0.4669230794906616,0.06575685639301133,0.4784615457057953,0.07465898935999242
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,EigenWorms,5c4fe690f856429df3a653b47ed3e66f,8,0.21673077180981637,0.07642748804341676,0.25538461863994594,0.04944963074952168,0.3330769267678261,0.039840658083167786,0.41000000596046443,0.03603909962900905,0.4846153843402862,0.05902311074216598,0.5607692331075669,0.06822995007072111,0.6169230759143829,0.06936951610281171,0.668461536169052,0.07309716077647607,0.7107692337036133,0.07375194482149128,0.7561538481712342,0.06586924771038187,0.7769230771064758,0.061838213127875026,0.8015384578704834,0.07016464170792729,0.8230769228935241,0.0567877768086952,0.8323076915740966,0.05347398525169852,0.8376923060417175,0.04329273145662102,0.84692307472229,0.04537809739889469,0.8492307686805726,0.03982208349757577,0.8538461494445801,0.041424338603983625,0.8538461470603943,0.04282895328145113,0.8553846120834351,0.046041523401917014
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,EigenWorms,ee37f1fcbc227d86e3aba907009073ec,9,0.18423077195882798,0.034679426656997046,0.20461538866162302,0.045783773251555145,0.20615385085344315,0.04075834501837396,0.19384615808725356,0.04636171193820572,0.19461538702249528,0.05773075461084741,0.20538461774587632,0.05590831177097381,0.20230769604444504,0.04490291808697682,0.20153846502304074,0.04236010568525486,0.20615385085344312,0.044655154875887206,0.21153846651315691,0.04734051411726944,0.21692307949066164,0.044406006155880744,0.20923077225685116,0.03909100187486442,0.22153846561908722,0.043224336726742196,0.23307692691683765,0.05708656357065354,0.23461538717150687,0.050734252949217525,0.23538461714982986,0.04980732100415701,0.23384615749120713,0.04586447800362895,0.2446153864264488,0.04762091288117521,0.24307692676782605,0.050836203682378546,0.247692309319973,0.04922475721684664
