activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,FiftyWords,ed9aaf43df12cd7f3007f4ca68cafa29,0,0.02098066305741668,0.004760724845438473,0.07845303922891618,0.054019476663801094,0.14872928543016312,0.10588611278951907,0.20265193641185758,0.1162549655462468,0.25060773521661756,0.10723755425699874,0.28729281783103944,0.09014502693239701,0.31403315007686616,0.07878848147687283,0.3337016588449478,0.06920868235775876,0.34939226627349856,0.06351620919522795,0.36419889688491824,0.056723945582347626,0.3798895049095154,0.047804584117444884,0.3960221004486084,0.043126493420453625,0.40994475126266483,0.04135904278842747,0.41767956018447877,0.037682634660082495,0.4262983429431916,0.03479698416304551,0.4351381242275238,0.030893808292489357,0.4397790110111236,0.026702865832874387,0.44574585914611814,0.027129268180855787,0.45149171710014346,0.0273756798611324,0.45502762675285335,0.025092850370572413
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,FiftyWords,cfeff12c4fac8655fbd00d05d480f736,1,0.017627762593328954,0.00863546219490735,0.020110497456043958,0.010229203776138953,0.02298342579975724,0.008990429060518772,0.02497237605974078,0.009198521711058295,0.025856354068964728,0.008756513941213665,0.028287292774766687,0.009064814888770083,0.02939226532354951,0.009556573848565833,0.029392265193164346,0.008580449924508743,0.02850828751921654,0.009356447690853755,0.030939226541668176,0.009343389397851462,0.032707182653248304,0.011631113971544416,0.033591160792857414,0.012829105206013096,0.0351381222717464,0.01383203005086226,0.03447513852268457,0.01178234297126853,0.03933701714500785,0.017689914380048237,0.040220994632691145,0.01763807290271218,0.04265193378552794,0.021997000121099227,0.04110497256740928,0.018968871195845415,0.045524862278252844,0.024201165758316646,0.04596685070544481,0.023937384191898923
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,FiftyWords,15773bcefec29eb8b98b2eefcebe6dc3,2,0.026139502879232168,0.017116099257443264,0.021436464637517926,0.005502718140804592,0.02121547000482678,0.006602151974127206,0.025414364840835334,0.015069813884999264,0.030276243239641187,0.017199987151201572,0.036022099982947114,0.02194142433475411,0.04486187884584069,0.02397560874959333,0.053480663485825065,0.03163773478229291,0.06276243101805448,0.035646278743463614,0.07668508306145669,0.04623487557560412,0.08729281770065427,0.05640231971579179,0.09767955789342522,0.06272896234072842,0.10828729368746279,0.06308995544706811,0.11602210070937873,0.06731721693089338,0.12375690568238498,0.07058429872779447,0.13679558023810384,0.07755457742413664,0.14762431010603905,0.07836973213320958,0.15558011043816805,0.08151895641509486,0.16331491712480786,0.08651799606500078,0.17237569019198418,0.08422470228693135
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,FiftyWords,91fa57aea9d43fcc7906bb261c09b20a,3,0.021529696267098185,0.01277347794344137,0.017679558321833606,0.00694464362741052,0.016353591419756414,0.0063667888844701846,0.014585635699331759,0.0032592003319982985,0.016132597047835588,0.0035462555901643617,0.01569060806185007,0.0018156548435753449,0.01856353633105755,0.002860150268274203,0.02121546979993582,0.004014564140088537,0.020773480962961912,0.0028601500685844815,0.02099447548389435,0.002817137934298662,0.020552486442029477,0.003546255626438035,0.020994475446641448,0.003221520428543579,0.021215470116585495,0.0014407076695392824,0.022983425762504336,0.0019766346250864606,0.02320442030206323,0.002817137751651265,0.022762431390583517,0.003277877776043307,0.022541436683386568,0.0027734584340212247,0.024751381520181893,0.0040297418893094055,0.023425414487719537,0.004089890512841055,0.02453038703650236,0.0038595023140942735
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,FiftyWords,2073f64d270ad42d5b9aa11774d78dc8,4,0.019723757077008484,0.005652269246221877,0.023646409437060357,0.009870811741384822,0.030939226672053337,0.011022064495599337,0.030497237890958782,0.01350147818308401,0.03624309426173568,0.020048474452384352,0.04066298360005021,0.02061891493726002,0.04640884017571807,0.02368613402096289,0.05281767981126904,0.029766651456895853,0.05944751417264342,0.03386339240582638,0.06497237602248787,0.0372623164092957,0.0733701661042869,0.03902445903499303,0.08419889640063047,0.04365270408714014,0.09414364706724883,0.04503626669914903,0.10430939331650732,0.052416936631131526,0.11403315015137197,0.0562636054071353,0.12441988866776228,0.06367076735312308,0.1295027630776167,0.06192973558150538,0.14033149257302285,0.07063185389151115,0.14983425423502922,0.07386225930336544,0.15624309360980987,0.0752947645317777
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,FiftyWords,8c1c6950282f0e85bee0e0da7b5e918d,5,0.011004834417253733,0.0013546082154995524,0.020552486404776575,0.004461133432369634,0.01988950302824378,0.0032215203566693593,0.020331491976976396,0.0021539876189350013,0.022099447827786205,0.00435028052495838,0.022762431371957065,0.00229131948978131,0.02430939272046089,0.004207609472745234,0.02386740360409021,0.005981157338169459,0.02386740379035473,0.006181922940819615,0.024972376115620136,0.005099660026621274,0.024309392534196377,0.004419889440760018,0.02740331530570984,0.006555755534819432,0.028950276710093027,0.008393427381479851,0.028287293314933775,0.008580450316092487,0.029834254495799538,0.009211785947002492,0.03226519335061312,0.011678256291569517,0.03248618794605136,0.010264949440907112,0.033812154959887264,0.01181338999907247,0.03381215503439307,0.011148727543466056,0.03712707174941897,0.013157989319877467
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,FiftyWords,5742450bdf7a0d259b2ffe6c2f067700,6,0.024440607726573943,0.00636255280945586,0.027182320691645147,0.012467105003775186,0.029613260105252264,0.016581950125481807,0.0382320448756218,0.027464732987512324,0.049281768612563615,0.035113094707793065,0.05657458584755659,0.04383413041911427,0.06850828744471074,0.05656983702203271,0.07955801166594027,0.06411220826376984,0.09348066255450248,0.07674031060755722,0.10519337080419064,0.08627775489396713,0.11690607838332653,0.09419654631105913,0.12331491865217685,0.09787461054260038,0.13414364568889142,0.10415676081849352,0.14519337221980094,0.10806889903908119,0.15712707191705705,0.11076597207124046,0.16552486270666122,0.11409180930860047,0.17524861827492713,0.11269526399876319,0.18408839851617814,0.11032749524363483,0.1951381215453148,0.11181698042545292,0.20309392482042316,0.11531063261272691
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,FiftyWords,4850c66d46ac85e7624f6f8b6300b5ab,7,0.016346685253083706,0.011624427878642988,0.019005525074899197,0.0077898591862688585,0.023204420059919358,0.004879425881230192,0.024751381445676086,0.006565061102825937,0.028950276486575603,0.00782894562801981,0.03314917141571641,0.009852240052245826,0.03602209949865937,0.010205303632314283,0.041325966976583,0.01251597672256987,0.04596685126423835,0.016985693534660225,0.051933702342212194,0.020804608117109796,0.0579005529358983,0.028852265784646478,0.06475138064473868,0.034312905224737844,0.0740331495553255,0.04401203625707472,0.07911602277308702,0.04954294995210895,0.08662983585149049,0.054969462385843444,0.09016574606299402,0.05689051947748413,0.097679558172822,0.06435740858533066,0.10651933789253235,0.07017488209253168,0.11160221114754676,0.07171262247599526,0.11558011092245576,0.07480671172151977
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,FiftyWords,5c4fe690f856429df3a653b47ed3e66f,8,0.02193370182067156,0.005403793036898592,0.030939226411283015,0.015878571885532523,0.08640884106978775,0.07685081029829918,0.12486187841743228,0.12379636299164838,0.16906077556312085,0.14366978345249773,0.21546961486339572,0.13581949013498226,0.2662983453273773,0.11736658677980412,0.30674033164978026,0.099850625598302,0.3403314942121506,0.0864424626295205,0.35690608143806457,0.07491435786441777,0.3770165777206421,0.06803615447565498,0.39182320594787595,0.062294379370603496,0.40552486419677736,0.056957014090161184,0.4165745830535889,0.04808217083207829,0.42674033403396605,0.04703861378933854,0.43381215810775753,0.04452641054241936,0.44331492304801945,0.044084105800845125,0.45193370342254635,0.04205432059434899,0.4590055310726166,0.039722183860187235,0.46320442080497737,0.03948943137901371
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,FiftyWords,ee37f1fcbc227d86e3aba907009073ec,9,0.02429558018222451,0.008952926026799993,0.01679558038711548,0.004966233037098053,0.021436464581638576,0.004726906044667282,0.024088397920131684,0.00678456628652099,0.027182320784777402,0.007101113388816528,0.02651933731511235,0.0076952420416637884,0.02740331504493952,0.0067845665997410065,0.026961326338350772,0.006031974965791629,0.028287293240427967,0.005929903718204114,0.028729282207787032,0.004059927508163723,0.02806629890576005,0.003714417023765748,0.02895027667284012,0.0073045279342562,0.030055249109864235,0.006122384531014099,0.031602210421115155,0.008364283527464829,0.03116022141650319,0.008246677534175188,0.03182320496067405,0.008537655094934052,0.03292817732319235,0.006962202802947028,0.0333701659925282,0.009957021298581139,0.037569061014801265,0.011797876482558619,0.03734806656837463,0.010169348324961375
