activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,HouseTwenty,ed9aaf43df12cd7f3007f4ca68cafa29,0,0.5075,0.04316574162458,0.57875,0.022793228161013104,0.595,0.031374750995027824,0.6224999999999999,0.03791437722025778,0.62625,0.05509225217759751,0.63875,0.05544563779054217,0.6537499999999999,0.06940033321245656,0.6675000000000001,0.08709728755822421,0.66875,0.0839689302659025,0.68,0.08619563504029656,0.68375,0.08856494791959178,0.6900000000000001,0.08345563941400248,0.7012499999999999,0.07413564426104355,0.70375,0.0753377810265208,0.7150000000000001,0.07051706353784169,0.7212500000000001,0.06519202405202648,0.7325,0.06209242103509897,0.7325,0.057520376824217706,0.7362500000000001,0.04339138739427446,0.7387500000000001,0.0447213595499958
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,HouseTwenty,cfeff12c4fac8655fbd00d05d480f736,1,0.48625000000000007,0.005229125165837974,0.49874999999999997,0.020444284042245162,0.49625,0.036336104634371605,0.50625,0.0342326598440729,0.505,0.028435782915193306,0.5225000000000001,0.025233286547732967,0.52,0.03377314021526574,0.52125,0.03791437722025774,0.53,0.03937996000505841,0.5325,0.04726917600297259,0.5387500000000001,0.042938910093294175,0.5449999999999999,0.04493919503061888,0.55,0.04592793267718459,0.5625000000000001,0.06171380518166093,0.5587500000000001,0.054054370776099155,0.5662499999999999,0.051462972125597244,0.57125,0.05350963698250998,0.5675000000000001,0.052365900164133526,0.5700000000000001,0.05401822609082977,0.5675000000000001,0.05329018436823054
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,HouseTwenty,15773bcefec29eb8b98b2eefcebe6dc3,2,0.49749999999999994,0.028504385627478465,0.49375,0.0339461890350007,0.51,0.02523328654773293,0.515,0.029514297382794007,0.51375,0.02515576474687265,0.5175,0.019465514377996786,0.5337500000000001,0.03633610463437156,0.53875,0.03518922065064813,0.5512500000000001,0.04493919503061888,0.57125,0.044765011448674945,0.585,0.037914377220257735,0.60625,0.05994789404140897,0.6050000000000001,0.04849291185317707,0.6025,0.037914377220257735,0.60875,0.04112670969090529,0.61625,0.03552068059595704,0.62125,0.03739568825412896,0.6275000000000001,0.037395688254128985,0.635,0.044326558066242853,0.64,0.05548085255293034
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,HouseTwenty,91fa57aea9d43fcc7906bb261c09b20a,3,0.49749999999999994,0.03049077729412616,0.5199999999999999,0.04316574162458002,0.51375,0.039131189606246314,0.515,0.03143694084989823,0.5287499999999999,0.0349665018267484,0.53125,0.03977475644174328,0.5424999999999999,0.04084077313176134,0.54875,0.02911453674713031,0.5549999999999999,0.024764515945198677,0.5487500000000001,0.01843485150469076,0.5575,0.008149003006503282,0.5574999999999999,0.016770509831248448,0.56375,0.013549677117924238,0.5549999999999999,0.017343046156889537,0.555,0.027027185388049553,0.56375,0.030103986446980723,0.5599999999999999,0.020539595906443733,0.5775,0.012183492931011222,0.57375,0.009270248108869587,0.5775,0.025233286547732936
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,HouseTwenty,2073f64d270ad42d5b9aa11774d78dc8,4,0.5125,0.0220970869120796,0.5425,0.08177713616898064,0.54,0.05459366950480616,0.5337500000000001,0.05332682251925386,0.5587500000000001,0.0716163825531561,0.565,0.08203943411555199,0.58375,0.08357257325223388,0.5900000000000001,0.09617692030835674,0.5974999999999999,0.08845461406845885,0.6125,0.07868548945008857,0.6225,0.08239576748838498,0.63375,0.0770044641563072,0.6375,0.07001673907002523,0.6387499999999999,0.06240617958183309,0.64875,0.0536554400783369,0.6599999999999999,0.04088856808449033,0.665,0.03765592582848015,0.67,0.032596012026013255,0.67875,0.04159890323073431,0.6849999999999999,0.042756578441217656
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,HouseTwenty,8c1c6950282f0e85bee0e0da7b5e918d,5,0.5,0.012499999999999978,0.4875,0.02829807855667942,0.49124999999999996,0.04112670969090526,0.49625,0.022360679774997907,0.4925,0.00814900300650331,0.5025000000000001,0.012960275845829802,0.5049999999999999,0.010269797953221865,0.50625,0.018750000000000006,0.5125,0.022534695471649928,0.51375,0.02592055169165965,0.51875,0.030618621784789742,0.52,0.020916500663351868,0.5337500000000001,0.021919597395937743,0.5362500000000001,0.024366985862022395,0.54,0.022793228161013097,0.5387500000000001,0.017343046156889537,0.5325,0.017343046156889495,0.5462499999999999,0.01568737549751392,0.54875,0.022273162101506844,0.55375,0.024044230077089192
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,HouseTwenty,5742450bdf7a0d259b2ffe6c2f067700,6,0.5125,0.0539458640676002,0.52125,0.055480852552930365,0.55,0.06171380518166094,0.57125,0.07134314087563008,0.58375,0.07572565615430481,0.6012500000000001,0.08081614937622307,0.615,0.082395767488385,0.64,0.07376588811910288,0.6512499999999999,0.07280646434211734,0.65,0.07793727445837453,0.65875,0.07134314087563007,0.665,0.06968119366084366,0.6725,0.06883517451129186,0.6799999999999999,0.06894857685260805,0.68,0.06455980754308366,0.68125,0.0623435541976875,0.6825,0.060499225201650304,0.6900000000000001,0.05806112081246796,0.68875,0.05383713866839508,0.6950000000000001,0.047680577806901644
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,HouseTwenty,4850c66d46ac85e7624f6f8b6300b5ab,7,0.5075000000000001,0.02270737765573119,0.5225000000000001,0.036066345115633766,0.53,0.04450245779729474,0.5537499999999999,0.047516444521870545,0.5599999999999999,0.03867937111691449,0.565,0.05127286075498421,0.56375,0.05401822609082975,0.56875,0.04026280852101602,0.575,0.03093592167691147,0.5775,0.02951429738279398,0.585,0.04112670969090527,0.6012500000000001,0.04293891009329418,0.605,0.03406106648359678,0.615,0.03579455265819088,0.6112499999999998,0.040840773131761335,0.62125,0.049529031890397375,0.62625,0.05104379247273859,0.63,0.0575203768242177,0.63875,0.054914706591221975,0.6425000000000001,0.0568372127219483
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,HouseTwenty,5c4fe690f856429df3a653b47ed3e66f,8,0.4800000000000001,0.05952284225404562,0.5175,0.04664527039261324,0.555,0.04316574162458005,0.5650000000000001,0.045199211829411404,0.59,0.04112670969090525,0.6137500000000001,0.03786282807715239,0.62375,0.04225110945288891,0.6275000000000001,0.0656398792655806,0.63375,0.07572565615430478,0.6362499999999999,0.07226794759781131,0.64375,0.06673173907519571,0.65875,0.06681948630452046,0.6575,0.06224949798994366,0.6587500000000001,0.06667317676547295,0.67125,0.07533778102652083,0.6825,0.08020968613577792,0.68875,0.07761080788137693,0.6975,0.08011222597082171,0.70875,0.07662306278138456,0.71,0.07188858567255309
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,HouseTwenty,ee37f1fcbc227d86e3aba907009073ec,9,0.5075000000000001,0.021378289220608852,0.50125,0.02554102092712817,0.48125,0.04261931780308079,0.48250000000000004,0.03137475099502782,0.4925,0.03573994613873949,0.5037499999999999,0.03468609231377902,0.49624999999999997,0.03765592582848016,0.51125,0.04084077313176134,0.51625,0.031436940849898225,0.5175,0.03137475099502783,0.525,0.03217384419058438,0.5275000000000001,0.035244680449679204,0.52875,0.03440339736130721,0.5337500000000001,0.03383092150681092,0.5337500000000001,0.0357945526581909,0.53125,0.03775951866748304,0.5325,0.04178628662611694,0.53375,0.04016567253264907,0.5349999999999999,0.03817107871150616,0.5375,0.044414595011099706
gelu,0.2832765322529,28,0.0002283784877,1,1.65950009e-05,HouseTwenty,0699bcf78b0eff1a2bbb9570712dcf04,10,0.47625,0.046854162034978275,0.55375,0.027099354235848517,0.57875,0.043210965043609,0.61375,0.04726917600297257,0.63625,0.04726917600297257,0.6525000000000001,0.06413486766182651,0.6625,0.0740829349445606,0.6624999999999999,0.07342087577794207,0.665,0.06681948630452045,0.675,0.07500000000000001,0.6799999999999999,0.07007250709086982,0.6825,0.07131575912797954,0.69125,0.06459005341381908,0.6925000000000001,0.056837212721948284,0.70375,0.05704302104552319,0.7025,0.056527095272975086,0.71125,0.057520376824217685,0.7162499999999999,0.05221649643551353,0.7162499999999999,0.04432655806624285,0.72,0.03573994613873952
tanh,0.5418824269471,53,3.31280424e-05,4,1.88153436e-05,HouseTwenty,62da62e8d8a4993b57423746f8836595,11,0.49124999999999996,0.043436375884735146,0.48125,0.029646353064078576,0.5,0.012499999999999978,0.5075000000000001,0.024764515945198705,0.49874999999999997,0.023133444404152183,0.5125,0.041221581119602876,0.5037499999999999,0.042527564590510006,0.51875,0.03775951866748302,0.5225,0.03867937111691451,0.5275000000000001,0.046895828705760166,0.5325,0.05199158585771354,0.5337500000000001,0.05704302104552318,0.5325,0.05437859183539052,0.5387500000000001,0.057008771254956896,0.53875,0.06937218462755802,0.54375,0.07029513674501246,0.5475,0.07106884866099916,0.5525,0.06740154857271453,0.55125,0.06664387631283164,0.55,0.06658523672707035
gelu,0.5897224995807,84,0.0002998338024,2,0.0003724138885,HouseTwenty,4455d1f1b05928aa6cd994d03fef7ecf,12,0.51,0.016298006013006634,0.55125,0.0393799600050584,0.5725,0.035520680595957074,0.6012500000000001,0.05104379247273855,0.61,0.05314337917370329,0.6275000000000001,0.056699592150208644,0.64125,0.051652383778485966,0.6562500000000001,0.048210151939192196,0.6675000000000001,0.051425006076810546,0.68125,0.05266343608235224,0.6900000000000001,0.05405437077609917,0.6925,0.053837138668395096,0.69375,0.048613591206575144,0.70125,0.05273755777432249,0.705,0.054736585114528294,0.7112499999999999,0.05819552173492389,0.7187500000000001,0.06555055301063446,0.7187499999999999,0.05812836011793212,0.7274999999999999,0.06196647278972718,0.735,0.057043021045523154
gelu,0.139269492333,19,0.0007898021665,3,0.0096102073728,HouseTwenty,01cf2bf6868fb88591c2f4c5224e7868,13,0.48250000000000004,0.01789727632909543,0.5349999999999999,0.021919597395937723,0.56875,0.02964635306407854,0.60625,0.05340002340823456,0.6112500000000001,0.05985007309937058,0.6199999999999999,0.048492911853177036,0.61875,0.04759858191164943,0.6325,0.06516205759489184,0.6449999999999999,0.06209242103509898,0.67875,0.06925947588597535,0.69375,0.07167090588237322,0.68875,0.07659756849926766,0.6912499999999999,0.08047709301409936,0.70375,0.07037844130129624,0.70875,0.06968119366084363,0.7125,0.07460835241445828,0.73,0.06575879218781318,0.7362499999999998,0.06516205759489181,0.74,0.06036995320521623,0.7375,0.04861359120657513
tanh,0.4507764162907,122,0.000180558342,2,1.7997467e-05,HouseTwenty,a220592dc253310ab6ebfebfbfc82a2c,14,0.51,0.030809393859665603,0.58375,0.06534165019342562,0.60875,0.03496650182674842,0.62,0.021378289220608852,0.625,0.0220970869120796,0.65,0.04238956239453291,0.66625,0.042984372160123505,0.6799999999999999,0.04909334221663867,0.68625,0.050466573095465886,0.7025,0.048129058270446154,0.70875,0.05387340484877488,0.71375,0.05310661446562,0.72125,0.053873404848774877,0.7237500000000001,0.04747532253708236,0.7274999999999999,0.051652383778485966,0.7324999999999999,0.04472135954999582,0.73875,0.03786282807715238,0.75,0.03365728004459066,0.7525000000000001,0.0376559258284802,0.7587499999999999,0.03713362694378236
tanh,0.4015135203542,33,0.0004842848408,2,0.0001293803392,HouseTwenty,706979c72219e4e369d0de6b8329ed12,15,0.5112500000000001,0.03837520358252188,0.57125,0.045629280621109956,0.5925,0.05310661446561999,0.6275,0.04388372420385488,0.6487499999999999,0.05310661446562003,0.6637500000000001,0.04271087390817475,0.6775,0.05459366950480614,0.6837500000000001,0.05146297212559727,0.6950000000000001,0.056492532692383315,0.6987500000000001,0.04889401803901987,0.69625,0.03765592582848018,0.6950000000000001,0.045586456322026195,0.69875,0.05104379247273853,0.7112499999999999,0.04537172853220384,0.72,0.04808846015417836,0.71875,0.052477673824208336,0.7212499999999998,0.0531433791737033,0.7325,0.05700877125495691,0.71125,0.04293891009329416,0.73125,0.05796011559684814
gelu,0.471118959826,104,0.0002537691519,2,2.56708519e-05,HouseTwenty,18b4db9b3c60a447e0b548ffe9a56fad,16,0.5137500000000002,0.020444284042245152,0.5912499999999999,0.0349665018267484,0.6212500000000001,0.07147989227747897,0.63875,0.03518922065064812,0.64625,0.041598903230734355,0.66625,0.05669959215020863,0.6775,0.06940033321245656,0.6849999999999999,0.07051706353784169,0.68875,0.06937218462755805,0.69625,0.06954090522850565,0.69875,0.06049922520165032,0.7074999999999999,0.06471089552772392,0.7112499999999999,0.06410440702479044,0.7175,0.059686681931566614,0.7150000000000001,0.0624374687187109,0.71875,0.06218671481916377,0.72625,0.059193802462757905,0.7224999999999999,0.05459366950480615,0.73375,0.057384394655690174,0.73375,0.05906167327463724
tanh,0.5654320092304,87,0.0001158055464,3,1.84467359e-05,HouseTwenty,e2b542acd954ff02b7771ab371fbb64a,17,0.49625,0.03867937111691452,0.5237499999999999,0.020444284042245162,0.5487500000000001,0.040117016339703056,0.5599999999999999,0.05971939592795627,0.5900000000000001,0.07037844130129625,0.5925,0.06605513795307674,0.60875,0.08071942145481471,0.6125,0.08052561704203205,0.6275000000000001,0.08530734874557994,0.63875,0.07798737878657035,0.645,0.08539888026198002,0.6575,0.07199717876417104,0.66875,0.07979465834252317,0.67125,0.07481748625822708,0.67125,0.07913102267758201,0.67875,0.07188858567255303,0.6824999999999999,0.07117869238753967,0.67875,0.06608469943943152,0.6725,0.0544144971491973,0.675,0.05376453291901643
tanh,0.228598639845,63,0.0002070251449,4,0.0007022902394,HouseTwenty,9e41e8f5c4c1a993467aab88ab14cc86,18,0.49124999999999996,0.030168795965367923,0.55625,0.03563048203434803,0.58375,0.042984372160123505,0.6,0.041457809879442496,0.6199999999999999,0.04515597967047109,0.63125,0.03451675317871017,0.6325000000000001,0.04747532253708235,0.6487499999999999,0.03518922065064812,0.6575,0.05199158585771354,0.67375,0.05562148865321748,0.6775,0.07350063775233517,0.66875,0.07942665641961776,0.6837500000000001,0.06996092659477864,0.68625,0.06809345599982423,0.695,0.06737256489105935,0.70625,0.05519850541454905,0.7100000000000001,0.05258920991990656,0.7049999999999998,0.05292240782504138,0.7175,0.04450245779729473,0.7162499999999999,0.042984372160123484
