activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,KeplerLightCurves,ed9aaf43df12cd7f3007f4ca68cafa29,0,0.13453125,0.026610709926879066,0.15785234831273556,0.023528061511384753,0.15785234827548264,0.023444059023185155,0.17103355690836905,0.03184482928897185,0.1724832211434841,0.03348852046278867,0.1803489927947521,0.03533231693573711,0.18993288584053516,0.040300993346627643,0.19374496705830097,0.04369375958070574,0.21871140897274016,0.06204186081426969,0.24222818702459334,0.09021495303057404,0.25570469796657563,0.1062178883620074,0.25653691083192826,0.10701086534232496,0.258174496293068,0.10688376811685389,0.2713557058572769,0.09378918780638767,0.2753288567066193,0.09439813350706291,0.28426845908164977,0.08915790698525143,0.29197315394878387,0.08162141023292042,0.2951409411430359,0.07836106942678135,0.2959194600582123,0.07597917747846507,0.2981208050251007,0.07608447373566853
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,KeplerLightCurves,cfeff12c4fac8655fbd00d05d480f736,1,0.15875,0.03083414712467737,0.1537181217223406,0.05112723134523035,0.15747651074081662,0.056559096663289496,0.16432214828208086,0.05647629144111128,0.15124832201749086,0.034574819918426015,0.1512214766442776,0.030604850151910366,0.14273825481534003,0.03923880500754978,0.14622818812727928,0.03801035646109062,0.14813422843813898,0.009697743535870712,0.14085906110703944,0.01520533496874708,0.14182550452649595,0.013341566411096526,0.15004026792943478,0.011080290846002658,0.15446979902684688,0.00795883782850295,0.15455033499747514,0.0076947998707120446,0.15718120861798526,0.00891632921301911,0.15973154470324516,0.003684557949160568,0.1676510067284107,0.018528107917555346,0.1621476511657238,0.015203082848531635,0.16402684599161146,0.025321677829778615,0.16679194658994673,0.024776030503586333
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,KeplerLightCurves,15773bcefec29eb8b98b2eefcebe6dc3,2,0.15359375,0.041884764486549875,0.14276510089635847,0.010937991935676098,0.13790604077279567,0.038569366835402324,0.14198657773435114,0.04063273738031138,0.1397583895176649,0.044688452512405934,0.15038926117122173,0.04886483044976117,0.169369128793478,0.0559177136519384,0.1687516789138317,0.0460730719717101,0.1696107389777899,0.03470020700605548,0.18695301905274392,0.052122241066464736,0.1915973162651062,0.054636776739607665,0.18912751659750937,0.05553706363935189,0.19130201503634453,0.05555753244573683,0.1893154354393482,0.044397033850012556,0.19514093965291976,0.05222238927092996,0.20544966518878938,0.05615333206109651,0.20448322266340258,0.05455485154428683,0.20526174545288084,0.05614601651938476,0.20507382512092587,0.05597197942683446,0.21119463175535205,0.05338356374761836
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,KeplerLightCurves,91fa57aea9d43fcc7906bb261c09b20a,3,0.14156249999999998,0.02920767671188946,0.13991946272552014,0.026103430257210205,0.13677852332592014,0.029640276254821945,0.13930201321840285,0.032116656370515285,0.1466308718919754,0.021883229083553783,0.14139597214758398,0.030920096649967165,0.1367785234004259,0.027162061445884282,0.1402684561163187,0.03243992822964813,0.13817449662834405,0.029348679635349217,0.13626845572143792,0.029640489108376005,0.1406979844160378,0.03591631084916548,0.1398120803013444,0.032514765966564135,0.14040268395096062,0.032961014767394034,0.14093959722667931,0.03460107435327621,0.13855033520609142,0.031245686352621226,0.14499328941106798,0.03646209405162057,0.15476510100066662,0.025617371504514666,0.14469798572361472,0.019950390537645735,0.1452617457509041,0.03797642676143838,0.13178523503243925,0.03950545550421723
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,KeplerLightCurves,2073f64d270ad42d5b9aa11774d78dc8,4,0.15078125,0.0392884092521255,0.15398657627403736,0.036916460577309296,0.15672483138740062,0.03513685140302677,0.15500671111047265,0.03655782959082367,0.14561073821038006,0.027446365167584964,0.15116778507828715,0.034825994151507535,0.15881879165768625,0.042079026928610125,0.15750335440039634,0.039275175574642995,0.18128859117627144,0.05911983087619476,0.17438926227390766,0.04987145195936948,0.18612080462276936,0.05350492465623383,0.18255033686757088,0.048368734503995224,0.18633556991815564,0.05354395758135588,0.1954899314045906,0.05433221342045772,0.19046979874372483,0.04264222789882744,0.18515436142683028,0.043338101189817624,0.20893959686160088,0.059414025399006566,0.2191946303844452,0.053206196518557264,0.20918120950460434,0.043128376943541935,0.20048322096467017,0.045393009321171233
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,KeplerLightCurves,8c1c6950282f0e85bee0e0da7b5e918d,5,0.1540625,0.03464647771374098,0.1582013423740864,0.056501264336596566,0.14759731605648993,0.03391720692431641,0.14743624195456503,0.03936533026454493,0.144724832624197,0.05042465410456786,0.15358389392495156,0.050489464602378714,0.15358389239758255,0.05014329254305044,0.1542281888052821,0.048989150870489044,0.14783892497420312,0.0370541050818177,0.15366442870348693,0.04629602044436249,0.15943624179810287,0.045870250810007875,0.15930201254785062,0.045891948095872735,0.16016107451170686,0.04723873100551689,0.15779865849763156,0.04112441562473977,0.15591946229338646,0.03961512485897892,0.1661208050698042,0.032422650402598126,0.16969127617776394,0.031026374061832365,0.17422818783670663,0.03345272276952421,0.16748993430286646,0.03056535233643217,0.16257718164473772,0.030916281051030205
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,KeplerLightCurves,5742450bdf7a0d259b2ffe6c2f067700,6,0.16359375,0.04534481606258867,0.15106040231883527,0.03753023508775651,0.15940939597785472,0.045522022007790895,0.15986577115952966,0.04580752102398372,0.16059060387313367,0.04615865238601333,0.16104697994887826,0.046167706908020904,0.16080536924302577,0.0448696746723904,0.16724832221865654,0.04739376664960092,0.17626845553517342,0.05648370967672671,0.1823892606794834,0.060532031329351435,0.20051006749272346,0.08117950711333467,0.20706040427088737,0.08859714493279396,0.21387919411063194,0.09554334927143325,0.21841610804200173,0.09987165408070812,0.22021476462483408,0.10104024463573553,0.22185235127806663,0.10175007754717744,0.2241342257708311,0.10420618429808023,0.22534227959811687,0.10486226003939936,0.22958389181643724,0.10784541939309225,0.23267114125192165,0.10150551707707725
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,KeplerLightCurves,4850c66d46ac85e7624f6f8b6300b5ab,7,0.13671874999999997,0.05524824127574107,0.12663087345659735,0.04587940216221807,0.13240268617868423,0.04920205660474196,0.13406711608171462,0.04691581501414342,0.14096644453704354,0.040681374077509075,0.1445100673288107,0.0394391804906235,0.14523489966988565,0.03586681770718667,0.145771812312305,0.027405406853145704,0.14359731595963238,0.026405521111860123,0.14797315429896116,0.026499888340893323,0.1537986580654979,0.031231413454552825,0.15720805421471595,0.029934601393491713,0.15178523622453213,0.029665855394090036,0.15838926270604134,0.03684239761819679,0.163355705589056,0.03465765527174163,0.1686442945897579,0.04281127984502974,0.17344966538250445,0.03832871701176048,0.17833557076752188,0.03767027370077131,0.17812080658972262,0.038382807724585674,0.17922147609293462,0.038735519080524916
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,KeplerLightCurves,5c4fe690f856429df3a653b47ed3e66f,8,0.1665625,0.03617195936815216,0.15814765118062496,0.051894376968652116,0.18343624092638494,0.04366756654964478,0.1871677842736244,0.05114803746334697,0.19081879176199434,0.05273686834537605,0.19624160975217816,0.045098373336543346,0.19377181008458136,0.046345145387105505,0.2081879181414843,0.0433622490649079,0.2196510052680969,0.022426674043677857,0.21919462978839874,0.021577573309964137,0.22542281687259674,0.02527299611986908,0.23629530310630797,0.02351994384959488,0.2383892607688904,0.024847988973369605,0.24593288600444793,0.021146031675686173,0.26209395825862886,0.029710798452367144,0.2630335569381714,0.02891622397438467,0.26255033731460575,0.026751179188223884,0.2603758370876312,0.026422061417593627,0.2741476500034332,0.03000737011326581,0.2715167784690857,0.03338147707112515
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,KeplerLightCurves,ee37f1fcbc227d86e3aba907009073ec,9,0.15875,0.032674561253749075,0.13575838916003705,0.03796553602940706,0.13280536875128746,0.06840889151983576,0.13167785227298737,0.0442519608583673,0.12255033530294894,0.0364260779428748,0.13753020107746122,0.05536043001524882,0.13073825426399707,0.050315610641546056,0.134604027569294,0.04979977876654221,0.13385234924033282,0.05335586474574251,0.1313288591429591,0.05607972701088424,0.1383355699107051,0.05264249141172452,0.14842953070998194,0.03923660028457047,0.14716778632253408,0.04007611666477843,0.14851006757467985,0.039454479510594505,0.14832214727997778,0.039494804349215575,0.14848322194069624,0.03969926493187046,0.14711409490555524,0.040237123326302436,0.14936912789940834,0.03794949256279766,0.15041610635817051,0.0376046920154515,0.14958389114588497,0.0367706376611079
