activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
tanh,0.3633583992103,50,0.0002010646935,1,6.709385e-05,RightWhaleCalls,ed9aaf43df12cd7f3007f4ca68cafa29,0,0.51328125,0.02648195508855985,0.5032113301753998,0.0074413678015314766,0.5039764297008514,0.008818664540304269,0.5091220843791961,0.019883108730870194,0.5184398531913758,0.04017274703429412,0.5191648697853088,0.0413628866028429,0.520046374797821,0.04229393137030092,0.5202369379997254,0.04034910475666644,0.5194083952903747,0.04475820985961579,0.5188768339157104,0.04299007555834495,0.5199120259284974,0.04189767609029642,0.5203554332256317,0.04137898233003455,0.5196243035793304,0.041464499298738786,0.5178447353839875,0.04185496364040449,0.517376538515091,0.04323338867167984,0.5185315406322479,0.04545581346045374,0.5180490362644196,0.04445231333109867,0.5205536770820618,0.043352437606464664,0.5194054198265075,0.043304632674452476,0.5203388094902038,0.04430270472322549
gelu,0.1729053303171,24,1.38845551e-05,3,0.0001357952827,RightWhaleCalls,cfeff12c4fac8655fbd00d05d480f736,1,0.50703125,0.024105075969596112,0.5019910335540771,0.004898661350837202,0.502461656332016,0.004589638705423362,0.5034454119205475,0.00905623979668019,0.5045936191082001,0.011863324455932486,0.5042887973785402,0.011930901246756668,0.5090891659259796,0.02307963154035845,0.5118840861320496,0.024339352710071975,0.5118821442127228,0.027659515212182587,0.5139244365692139,0.030491252071681633,0.5124310946464539,0.03043088146116661,0.5136342191696167,0.030098993531155267,0.5092234921455383,0.030214606089190278,0.5095794713497162,0.028930456431606168,0.5111862814426422,0.034551388940917215,0.5118996834754943,0.025072665735031807,0.5185541439056396,0.026802958239709348,0.5184969675540924,0.02764095074074261,0.5197834146022797,0.030797656180093284,0.5172798812389374,0.027123780154128894
gelu,0.4877392393243,65,0.0001168172668,4,0.0002461600762,RightWhaleCalls,15773bcefec29eb8b98b2eefcebe6dc3,2,0.51734375,0.022374323488376167,0.5095985209941863,0.021473219459634173,0.5086676132678986,0.01936085030203827,0.505605479478836,0.01985392827124085,0.5070776307582856,0.016161520047173653,0.5066239738464355,0.015189369291990372,0.5072607922554015,0.015331377380938824,0.5070771658420563,0.015345838016564825,0.5073936069011689,0.01603751776152066,0.5056998240947724,0.012331601431535886,0.5068113696575164,0.014036959373734958,0.506654281616211,0.013569621234587572,0.5061400663852692,0.01257344954959761,0.5060079395771026,0.01151544635365867,0.5078191554546356,0.01431039480205498,0.5072039318084717,0.012454375790173439,0.5067474484443665,0.011949677014809298,0.50691162109375,0.013470207289584708,0.5072844636440277,0.015461046566980286,0.5064434742927552,0.013394868374255823
gelu,0.5270725066208,83,1.6405107e-05,4,0.0005345189815,RightWhaleCalls,91fa57aea9d43fcc7906bb261c09b20a,3,0.4971875,0.0188926862502398,0.5064285564422607,0.014581002148067465,0.5063539457321167,0.014187318390197184,0.5067484593391418,0.015400203952592806,0.5057431161403656,0.0118141022506519,0.5034223568439483,0.01569435217264903,0.5061708748340606,0.013993671386030283,0.5012410044670106,0.01594683919409022,0.5009564495086669,0.013761437723138103,0.5083867979049683,0.013937315282892949,0.505588515996933,0.010002931562293422,0.5067173147201538,0.013328592269536406,0.5044366657733917,0.010773702713797836,0.5080847227573395,0.011220900326252226,0.5045057165622711,0.012882151071187816,0.5059200298786164,0.013050717881388747,0.5045427799224853,0.009919252718729359,0.5047262573242188,0.014013744963908229,0.5047922444343567,0.012851944288169702,0.5053743183612823,0.013925633439868166
relu,0.3619822498371,14,0.0002107947679,3,1.07418377e-05,RightWhaleCalls,2073f64d270ad42d5b9aa11774d78dc8,4,0.49750000000000005,0.019967013813412347,0.5061029267311097,0.01389440615714993,0.511949918270111,0.0282582427539043,0.5134870028495788,0.03013731426839897,0.5108706903457642,0.024803612758013384,0.5124124765396119,0.027188609310177587,0.511164915561676,0.02451095058733612,0.5119065511226655,0.026733014629390206,0.508263931274414,0.024117678113701656,0.5109848392009735,0.02354400545960689,0.5090473806858062,0.02066892996209886,0.5123394060134887,0.02478697798279445,0.5145592641830444,0.02474196415030985,0.5074367964267731,0.028495039768414946,0.5068167066574097,0.02473800748404425,0.5066498184204102,0.02709583512894778,0.5086920022964477,0.03305744665771268,0.5104983961582183,0.025899485895727048,0.5088512051105499,0.02782399775191857,0.5094628059864044,0.028524635251140115
relu,0.5536549140244,104,1.07099908e-05,3,0.0004753660264,RightWhaleCalls,8c1c6950282f0e85bee0e0da7b5e918d,5,0.49703125000000004,0.024459488988171862,0.5000588035583495,0.0008331475389769659,0.5017493569850922,0.0034735031475509504,0.49998713612556456,0.0013568973892570282,0.5020966529846191,0.0029417055446042013,0.5023116517066955,0.002459043640860951,0.5016721796989441,0.002224614077676321,0.5005273783206939,0.0008476635522609733,0.5011209106445312,0.009221295794623772,0.5033517098426818,0.006506645912584038,0.503162442445755,0.006248932283738051,0.5041933095455169,0.008584503239142659,0.50312384724617,0.005973768248671281,0.503144063949585,0.005573560547608191,0.5030301368236542,0.004673501570193466,0.5053454577922821,0.006212357828464087,0.5013928699493408,0.007290209702784694,0.5022252821922302,0.005896733712047503,0.5031275296211242,0.006114882094529372,0.5012127888202668,0.002649108053135511
relu,0.3473123598305,63,2.85415706e-05,1,0.001640519068,RightWhaleCalls,5742450bdf7a0d259b2ffe6c2f067700,6,0.48156250000000006,0.031452469100215354,0.5087040090560914,0.013871545203395513,0.5057772016525268,0.008308105271221236,0.5073278248310089,0.011500612837760027,0.5111133134365082,0.019797640467598483,0.5123198890686036,0.022770343182774853,0.5145030534267425,0.02796868797719473,0.5156318545341492,0.03140948450578715,0.514756795167923,0.031154782298245334,0.5161450362205505,0.03310010841151907,0.5158110737800599,0.03423341357041907,0.5168247413635254,0.03853558733965625,0.5179953384399414,0.038708011109895094,0.5190548586845398,0.03426433539317066,0.5229293620586395,0.035551909644476055,0.5228091144561767,0.034981693496901715,0.5221615242958068,0.03579154541751738,0.523504878282547,0.04044504693030149,0.5219702553749085,0.04314228001212322,0.5231736183166504,0.038885990542579574
relu,0.5511423928914,92,3.56194596e-05,3,0.0030315754747,RightWhaleCalls,4850c66d46ac85e7624f6f8b6300b5ab,7,0.4928125,0.016147513353454754,0.5002241802215577,0.0009539732499402712,0.5004134500026702,0.001049061274377264,0.5021370804309845,0.0028476383184286172,0.5020396912097931,0.0042556875273237595,0.5016133773326874,0.002065413929785289,0.5001065754890442,0.001693074933116702,0.4983370077610016,0.0032171847447659274,0.5005402433872223,0.004147161172713838,0.501233001947403,0.0025501596698169855,0.500571483373642,0.00572105518415359,0.4992080116271973,0.0028367368559284547,0.5006707060337068,0.0012475457433721775,0.5001800775527954,0.0008498714559029821,0.500972067117691,0.0017573125116102117,0.5007717716693879,0.0015943882944741842,0.5012238132953644,0.002287016475832007,0.5015288531780243,0.0024573154303289967,0.5006596851348878,0.0010904213188942474,0.5018155097961425,0.0035059295389673144
gelu,0.1321503402253,105,9.18214799e-05,4,0.0006132819977,RightWhaleCalls,5c4fe690f856429df3a653b47ed3e66f,8,0.5075,0.019157358756656667,0.5084695875644684,0.019217012656268753,0.5122279906272889,0.02772354973806339,0.5108151316642762,0.026227574174345413,0.5095562922954558,0.02258745808504147,0.5115727603435516,0.02543299611774859,0.5103328931331635,0.022549388718288692,0.5136080276966095,0.029141419346603022,0.5121953868865967,0.02747569774360831,0.5115407633781434,0.02372909628883938,0.5111140656471254,0.023108121175257998,0.5113022196292878,0.023684620325605484,0.5118245518207549,0.025420415905183787,0.5077599847316743,0.021178226432750323,0.5124248278141021,0.026597626974749315,0.5117966830730438,0.02669101896837259,0.508143299818039,0.022554665185585,0.5091007447242737,0.023954958440742188,0.5123372900485992,0.02125538580201905,0.5141843259334564,0.02303414259763144
tanh,0.5158026504679,80,1.54230528e-05,4,0.007542302998,RightWhaleCalls,ee37f1fcbc227d86e3aba907009073ec,9,0.490625,0.01195082698498308,0.5070433187484741,0.01582158359134485,0.5069819176197052,0.014709643225861227,0.5061322414875031,0.01392980997601019,0.5060740375518799,0.013603129653907644,0.5065456438064575,0.014822580013333225,0.5051200544834137,0.013555296173101613,0.5028021264076232,0.01384187833237049,0.5038034999370575,0.014989478107689035,0.5051959550380707,0.011743652288390104,0.5054423475265504,0.012601800814321657,0.5050069022178649,0.011725154863141277,0.505641574859619,0.013140806218254761,0.5051612508296967,0.01275685602618555,0.5050409984588623,0.012200195429107158,0.5047733569145203,0.01312483643796174,0.5042073011398316,0.01246316867218222,0.503117790222168,0.015884598224543446,0.5064081335067749,0.013725659924810856,0.5044793510437011,0.012247917259911496
