activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
tanh,0.5743795801847,52,0.0001786900812,4,0.0016626780127,classification_ozone,0.5238095402717591,0.5142857313156128,0.4761904954910278,0.4952381074428558,0.5238095402717591,0.5428571581840516,0.5428571581840516,0.5238095402717591,0.5238095343112945,0.5238095343112945,0.5238095343112945,0.5428571581840516,0.5619047820568085,0.5523809671401978,0.5523809671401978,0.5142857253551483,0.5142857253551483,0.5238095402717591,0.5238095402717591,0.5238095402717591
tanh,0.4440447067119,85,0.0357244309002,4,0.0015559036443,classification_ozone,0.4476190567016601,0.4190476298332214,0.5333333492279053,0.4857142984867096,0.4857142984867096,0.4571428716182709,0.4666666805744171,0.4571428716182709,0.4095238149166107,0.4380952537059784,0.4285714417695999,0.4285714328289032,0.4952381014823913,0.4000000119209289,0.4095238149166107,0.4190476238727569,0.4285714387893676,0.4666666805744171,0.4571428656578064,0.4857142984867096
gelu,0.1063315681968,21,0.0340386069966,3,0.0025800575938,classification_ozone,0.485714304447174,0.5047619223594666,0.5714285910129547,0.4571428716182709,0.4190476298332214,0.4285714387893676,0.4190476268529892,0.4666666805744171,0.5047619223594666,0.5523809611797332,0.5238095343112945,0.4380952477455139,0.4952381134033203,0.5047619223594666,0.5333333492279053,0.5047619193792343,0.5142857283353806,0.5238095372915268,0.4857142984867096,0.504761916399002
gelu,0.5146823155111,34,0.0038483825557,4,0.0047846336879,classification_ozone,0.4095238208770752,0.4952381193637848,0.4476190626621246,0.4190476298332214,0.4380952537059784,0.4095238208770752,0.4095238208770752,0.3714285790920257,0.4190476268529892,0.4190476268529892,0.4190476328134537,0.4476190626621246,0.4571428716182709,0.4761904895305633,0.4380952477455139,0.4380952537059784,0.4380952537059784,0.4285714447498321,0.4285714447498321,0.4285714447498321
relu,0.3462268028895,112,0.0054967446208,4,0.0037976860423,classification_ozone,0.4476190567016601,0.4571428596973419,0.4380952596664428,0.504761916399002,0.4857142984867096,0.504761928319931,0.5238095462322235,0.485714304447174,0.4380952477455139,0.4380952477455139,0.4666666746139526,0.4476190507411957,0.4380952477455139,0.4000000059604645,0.4571428716182709,0.4095238208770752,0.4190476238727569,0.4190476298332214,0.4285714387893676,0.5428571581840516
relu,0.2295308964679,30,0.0363920725737,4,0.0052740413118,classification_ozone,0.5142857313156128,0.4952381134033203,0.4285714358091354,0.4095238149166107,0.4000000119209289,0.4380952417850494,0.4571428716182709,0.4761904895305633,0.4666666805744171,0.4285714387893676,0.4476190626621246,0.4571428716182709,0.4095238208770752,0.4000000119209289,0.4190476298332214,0.4285714387893676,0.4476190626621246,0.4761904895305633,0.4285714387893676,0.4095238178968429
relu,0.3437520629823,71,0.0130854109536,1,0.000274945181,classification_ozone,0.4190476298332214,0.5428571581840516,0.5142857313156128,0.4952381134033203,0.4857143014669418,0.4761904895305633,0.4380952447652816,0.6000000178813935,0.504761916399002,0.5142857253551483,0.4571428596973419,0.4571428716182709,0.5333333432674408,0.561904776096344,0.5523809671401978,0.5142857313156128,0.5047619104385376,0.5523809731006623,0.5142857313156128,0.504761916399002
gelu,0.5182665617554,126,0.0004853167003,1,0.0086241027979,classification_ozone,0.5523809611797332,0.4380952447652816,0.4761904954910278,0.4571428775787353,0.4476190626621246,0.4571428716182709,0.4761904895305633,0.4571428656578064,0.4476190626621246,0.4380952477455139,0.4095238149166107,0.4476190567016601,0.4285714387893676,0.4666666746139526,0.4666666746139526,0.4285714387893676,0.4476190567016601,0.4666666746139526,0.4476190567016601,0.4476190567016601
tanh,0.5290590539344,98,0.0012170532714,2,0.0008377385503,classification_ozone,0.5238095402717591,0.5142857313156128,0.4666666805744171,0.4571428656578064,0.4285714447498321,0.4571428716182709,0.4857142984867096,0.4857142984867096,0.4380952537059784,0.4666666805744171,0.4952381074428558,0.4857142984867096,0.4571428656578064,0.4190476298332214,0.4190476298332214,0.4190476298332214,0.4285714447498321,0.4000000119209289,0.3714285790920257,0.3904761970043182
relu,0.330805868955,63,0.0375057128496,3,0.0037919082697,classification_ozone,0.4285714387893676,0.5809524059295654,0.4761904895305633,0.4476190567016601,0.4000000059604645,0.4952381074428558,0.4952381074428558,0.5809524059295654,0.504761916399002,0.4666666805744171,0.4666666805744171,0.5333333492279053,0.4761904895305633,0.4190476298332214,0.4095238208770752,0.4095238208770752,0.4476190626621246,0.4476190567016601,0.4380952477455139,0.4190476298332214
