bidirectional,dropout_rate,hidden_units,learning_rate,num_layers,output_activation,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
True,0.236473043168,33,0.0005981827008,1,linear,FiftyWords,0.011875,0.0998895028978586,0.1337016582489013,0.1456353601813316,0.1469613277912139,0.1553591167926788,0.1617679560184478,0.1765745854377746,0.1787845307588577,0.1871823215484619,0.192044198513031,0.198232045173645,0.203977900147438,0.2059668511152267,0.2110497230291366,0.2152486187219619,0.2183425420522689,0.2218784528970718,0.2265193361043929,0.2313812166452407
True,0.0812603424333,57,0.0003577042202,3,sigmoid,FiftyWords,0.0159375,0.1135911612771451,0.163535912334919,0.1779005539417267,0.191381216943264,0.199779006242752,0.2026519340276718,0.2106077361106872,0.2137016582489014,0.2212154698371887,0.2300552505254745,0.2400000023841858,0.2448618817329406,0.2563535922765731,0.2618784564733505,0.2674033164978027,0.2733701688051223,0.2795580142736434,0.2868508279323578,0.2939226537942886
True,0.4229350069175,101,8.38074631e-05,2,relu,FiftyWords,0.0125,0.0700552498176693,0.1268508300185203,0.1474033179879188,0.16530386865139,0.1737016576528549,0.1759116029739379,0.1794475138187408,0.1803314912319183,0.1851933699846267,0.1882872939109802,0.1880662995576858,0.1942541444301605,0.1951381230354309,0.1982320439815521,0.2037569063901901,0.2041988956928253,0.2037569063901901,0.2081767970323562,0.2070718228816986
True,0.1435248823406,55,3.61900509e-05,3,gelu,FiftyWords,0.0134375,0.0320441994443535,0.0590055258013308,0.0928176796250045,0.122651934325695,0.1310497239232063,0.1418784549832344,0.1451933720707893,0.1540331515669822,0.1635359132289886,0.1686187860369682,0.1734806632995605,0.178121548295021,0.1807734811306,0.1843093919754028,0.1849723771214485,0.1911602210998535,0.1969060778617858,0.1962430942058563,0.1982320445775985
True,0.2195517300243,109,0.0001053264129,1,relu,FiftyWords,0.0325,0.0700552484951913,0.1153591162711381,0.1396685087680816,0.1478453049063682,0.1546961343288421,0.1575690630078315,0.1615469622611999,0.1602209967374801,0.1661878472566604,0.1675138133764267,0.169502762556076,0.1739226520061493,0.1801104986667633,0.1838674062490463,0.1849723780155182,0.1902762448787689,0.190939227938652,0.1909392261505126,0.1958011054992676
False,0.0115676310388,66,0.0003375605375,3,sigmoid,FiftyWords,0.0253124999999999,0.1250828734785318,0.1527071821689605,0.1783425405621528,0.1980110493302345,0.201325968503952,0.2066298341751098,0.2108287280797958,0.2174585634469986,0.2258563524484634,0.2344751399755477,0.2422099471092224,0.2499447518587112,0.2585635364055633,0.263646410703659,0.2702762466669083,0.2742541444301605,0.2828729301691055,0.2848618823289871,0.2897237557172775
False,0.2754890893473,36,0.0009511445804,1,sigmoid,FiftyWords,0.018125,0.0625414370931684,0.1047513820044696,0.1283977907896041,0.1394475150108337,0.1555801123380661,0.1659668517112732,0.1730386757850646,0.1827624312043189,0.1867403322458267,0.1942541432380676,0.200662984251976,0.204861878156662,0.2083977884054183,0.2143646413087844,0.2179005527496337,0.2236464095115661,0.2249723768234253,0.2271823215484619,0.2331491714715957
False,0.3720208567669,65,7.08322238e-05,3,gelu,FiftyWords,0.0184375,0.0525966856256127,0.1107182329893112,0.1352486206963658,0.1498342549055814,0.1668508300185203,0.1767955803871154,0.1809944754838943,0.1845303869247436,0.1887292817234993,0.1924861890077591,0.1958011054992676,0.1960221010446548,0.2002209943532943,0.2024309390783309,0.2026519346237182,0.2064088386297225,0.2083977895975112,0.211933701634407,0.2112707185745239
False,0.2768772823227,35,1.45105635e-05,3,relu,FiftyWords,0.0196875,0.0220994478277862,0.0227624314092099,0.0240883981250226,0.0265193372778594,0.0331491716764867,0.0331491716764867,0.0342541440948844,0.0373480666428804,0.0393370169773697,0.0441988952085375,0.0441988954693079,0.0479558012261986,0.0495027628540992,0.0506077348813414,0.053480663113296,0.0620994487404823,0.0665193381533026,0.0702762443572282,0.0749171286076307
True,0.409599375992,105,0.0002736573589,2,tanh,FiftyWords,0.020625,0.1588950279355049,0.1754696145653724,0.1975690627098083,0.2064088410139083,0.2099447506666183,0.2134806644916534,0.2161325997114181,0.2185635370016098,0.2258563536405563,0.2289502793550491,0.2322651934623718,0.246629837155342,0.2534806644916534,0.2605524855852127,0.2662983441352844,0.2755801123380661,0.287292822599411,0.2879558038711548,0.3040884000062943
