activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
relu,0.0089275824119,613,172,0.0001991149654,2,6,mean,AbnormalHeartbeat,0.5122561013698578,0.5463414704799652,0.5434146428108215,0.6297561013698577,0.6185365903377533,0.7234146356582641,0.6663414645195006,0.65073171377182,0.726829273700714,0.7121951174736023,0.7273170804977417,0.7190243911743164,0.7156097626686095,0.7273170804977417,0.7253658509254456,0.7160975623130799,0.728292682170868,0.7253658533096313,0.7336585354804993,0.7234146332740783
gelu,0.2061845322242,417,69,0.0003570878023,4,5,mean,AbnormalHeartbeat,0.4598780512809753,0.5112195181846618,0.6473170816898346,0.6731707382202148,0.6492682981491089,0.7082926845550538,0.7248780536651612,0.7287804889678955,0.7253658556938172,0.7263414645195008,0.7229268336296082,0.7239024448394776,0.7185365867614746,0.7248780536651612,0.7209756112098693,0.7312195158004761,0.726829273700714,0.7248780512809754,0.7312195181846619,0.7321951270103455
gelu,0.1246074887507,749,140,3.72370583e-05,4,1,mean,AbnormalHeartbeat,0.5114329266548157,0.5565853691101074,0.6682926857471466,0.7287804913520812,0.7258536553382874,0.7234146332740785,0.7170731687545777,0.7204878044128419,0.7156097555160523,0.7190243887901306,0.7224390292167664,0.7190243887901306,0.7165853667259217,0.7175609731674194,0.7180487823486329,0.72,0.72,0.7214634132385254,0.7175609731674195,0.7209756064414978
gelu,0.2839989005217,313,192,5.46607787e-05,7,1,max,AbnormalHeartbeat,0.5134756100177765,0.5648780548572541,0.6917073202133179,0.7185365903377533,0.7317073225975037,0.7317073225975037,0.7317073225975037,0.7317073225975037,0.7307317137718201,0.7302439069747925,0.7307317137718201,0.7292682981491089,0.7287804937362671,0.7268292713165284,0.7263414669036866,0.7258536624908448,0.7263414669036866,0.7263414669036866,0.7248780512809754,0.7263414645195008
gelu,0.1511643929047,522,70,1.08129435e-05,7,1,max,AbnormalHeartbeat,0.4834146296977996,0.4858536541461944,0.4956097507476807,0.5351219487190246,0.5546341443061829,0.5897560930252075,0.6258536505699157,0.6439024305343628,0.6590243828296661,0.6917073130607605,0.7151219439506531,0.7121951174736023,0.7126829218864441,0.7131707262992859,0.7131707262992859,0.7131707262992859,0.7131707262992859,0.7131707262992859,0.7131707262992859,0.7131707262992859
gelu,0.0350529072731,378,138,2.72972047e-05,6,2,max,AbnormalHeartbeat,0.5546341431140899,0.5619512140750885,0.6219512176513671,0.6882926774024962,0.7039024305343629,0.7117073106765747,0.7102438926696777,0.7092682838439941,0.707804868221283,0.7053658485412597,0.703414626121521,0.7048780381679535,0.7170731639862061,0.7209756016731262,0.7195121836662292,0.7209755992889404,0.7219512128829957,0.7248780393600465,0.723902428150177,0.7229268169403076
gelu,0.0434373700805,661,220,6.51148035e-05,5,5,mean,AbnormalHeartbeat,0.5492682957649231,0.4921951222419739,0.5941463434696198,0.6795121955871581,0.7131707358360291,0.7102439033985137,0.7190243911743164,0.7214634156227111,0.7200000071525574,0.7248780560493469,0.7209756112098693,0.7253658533096313,0.7243902444839477,0.719512197971344,0.7287804913520813,0.7239024400711059,0.7346341490745545,0.7239024353027345,0.7268292689323426,0.725853660106659
relu,0.1996545132108,444,115,7.18966726e-05,5,5,max,AbnormalHeartbeat,0.5102438962459563,0.5507317006587982,0.6931707274913788,0.7009756064414978,0.7024390184879303,0.6995121896266937,0.6946341419219971,0.6995121896266937,0.7082926750183105,0.7165853524208069,0.7195121848583221,0.7199999904632568,0.7248780369758606,0.7248780369758606,0.724390230178833,0.7248780369758606,0.7234146237373352,0.7258536481857301,0.7239024305343629,0.7209756016731262
gelu,0.195647683959,636,103,0.0005392270486,6,5,max,AbnormalHeartbeat,0.5307317101955414,0.4770731747150421,0.6960975658893584,0.7146341466903687,0.712195121049881,0.7185365915298462,0.7263414645195008,0.721951220035553,0.7258536624908448,0.7190243935585021,0.7302439069747925,0.7200000023841858,0.7204878067970276,0.7243902468681336,0.7239024376869201,0.726829273700714,0.7224390220642091,0.7243902444839477,0.7204878067970276,0.7268292737007142
gelu,0.2692827997196,379,122,0.0002006709445,7,5,mean,AbnormalHeartbeat,0.5162195146083832,0.569756097793579,0.6965853691101074,0.7156097590923309,0.7253658556938172,0.7243902492523194,0.7219512200355531,0.7219512200355529,0.7204878091812135,0.7239024376869203,0.7258536577224732,0.7185365843772888,0.7273170757293701,0.7219512224197387,0.7248780536651612,0.7195121955871582,0.7229268312454223,0.72,0.7229268288612366,0.725853660106659
