activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
gelu,0.2955837483738,674,129,0.0004861802367,6,5,mean,ArrowHead,3b875b8f75b65bef89f427fa584d85f0,0,0.33694767475128173,0.029838744016028387,0.36000000238418584,0.025176502591548702,0.3423255813121796,0.02316260603119411,0.35813953638076784,0.021815888126803868,0.367441861629486,0.03764282439711714,0.3851162815093994,0.05109932615090261,0.39162791013717646,0.021666632029108877,0.3767441880702972,0.0343368004619754,0.395348836183548,0.04325831494603695,0.4251162827014923,0.03411557034426169,0.41767441868782046,0.05941849175015271,0.4186046528816223,0.026104585591980565,0.44837209582328796,0.05644987030900539,0.4604651236534119,0.059835722388247775,0.469767450094223,0.044002070968178215,0.4706976807117463,0.04981306227188056,0.47069768071174617,0.0480445084308559,0.4725581407546997,0.08828637119678599,0.4800000011920929,0.05803711538775288,0.48279070377349853,0.053780798778756696
relu,0.0994607251391,540,108,4.72287631e-05,3,4,mean,ArrowHead,8936c4377ff35a6d87fa4b5bb244c7ba,1,0.3528197693824768,0.02379187911171688,0.360930233001709,0.03505384948852911,0.3906976759433746,0.07398127804280225,0.3730232578516007,0.04255241962452389,0.3888372123241425,0.06664322857195164,0.39813953936100005,0.04232302836047723,0.44093023300170897,0.04099888693838051,0.4465116310119629,0.060285962289836,0.44093023300170897,0.05859357379056786,0.4753488433361054,0.04392825779451358,0.47162791132926934,0.021964128345045686,0.46697674632072445,0.0432082731378179,0.46697674512863163,0.046581344244847465,0.48558139920234683,0.05410164662611538,0.48930233001708984,0.033604453512689744,0.49023256540298465,0.039136160359343294,0.5041860508918762,0.02952664823286979,0.49302326202392577,0.0239433251687788,0.5013953506946563,0.041392740945788764,0.4995348870754242,0.029526641801282366
relu,0.2898223226285,1009,105,4.59401747e-05,6,1,max,ArrowHead,98c60b59ac9c555bdf739d6e8ec4dd8b,2,0.33162790775299067,0.022037876442870072,0.3413953512907028,0.03298720908399778,0.35162791013717654,0.011674327243920526,0.350697677731514,0.0251764998937321,0.36186046957969664,0.012039237973095553,0.3655814015865325,0.008449256401530039,0.37023256182670594,0.010707782090390321,0.36558140158653263,0.019345707923670803,0.3720930278301239,0.012737736160499615,0.38511628150939947,0.03344311951010558,0.36093023777008054,0.028215352152980076,0.36465116739273074,0.02517650396798534,0.36744186401367185,0.031716706255580235,0.370232560634613,0.03489922521422428,0.36093023657798773,0.02362498044914064,0.36093023419380194,0.02724009537588358,0.3637209320068359,0.026799741683082513,0.3851162791252136,0.04478178400571935,0.3897674453258514,0.04724995473758848,0.3786046552658081,0.03113153851565701
relu,0.0725287788751,305,233,0.000195273941,6,4,mean,ArrowHead,fe630b8aff558a1974aed188aaadfca3,3,0.3543895351886749,0.03276002953370639,0.3423255813121796,0.031988371842949274,0.34976744174957275,0.01984253899197153,0.35162790894508367,0.021964127524615584,0.4009302341938018,0.06147633906258599,0.3888372123241425,0.05090846231708863,0.38418604969978337,0.04646509167833647,0.4251162827014923,0.05777560737435526,0.44186046719551086,0.03542219996910888,0.4334883725643158,0.04849269479390145,0.4613953495025635,0.029854521494245077,0.4595348870754242,0.03712199275211085,0.4827907019853592,0.06605633654234101,0.4837209320068359,0.050844676842517034,0.49116279721260075,0.06339929513283504,0.4939534914493561,0.053377036133545004,0.5032558143138885,0.07320226842355246,0.48930232644081106,0.05276558729271454,0.4967441892623901,0.031954540140786455,0.5330232584476471,0.06919142024280026
relu,0.1197114617961,777,227,1.2709926e-05,7,3,mean,ArrowHead,a368c44e2b3e0cf48ea169769568cb47,4,0.3237209314107895,0.02171649758537026,0.33209302663803103,0.01298999106348128,0.3460465133190155,0.02684006932806011,0.3600000023841858,0.04468506452152195,0.3655813974142075,0.033956673548551516,0.39069767832756047,0.04708943419384137,0.38139535069465635,0.040145757559645084,0.37302325904369354,0.032291269016796624,0.39720930218696593,0.0229279242666832,0.4074418616294861,0.03282284280246294,0.41953488826751706,0.03262451451106033,0.4279069793224335,0.03677067311026792,0.4409302377700806,0.038410836604950045,0.4520930266380311,0.04099888403075799,0.45209302544593805,0.04073420542099975,0.4483720993995666,0.04141886373182768,0.45674418807029726,0.04904716669581344,0.4623255860805512,0.045166602138237574,0.4744186115264893,0.025686886193154457,0.4744186115264892,0.020800630938546553
relu,0.2913058885045,866,130,0.0003192145251,3,1,max,ArrowHead,50e5831ff523bd2e09e814109e7c1acb,5,0.3423255825042724,0.022690814071125876,0.3618604683876038,0.025133499435996944,0.3562790715694427,0.021964130112122567,0.33767441868782044,0.03458789558289613,0.3479069781303405,0.019842540528841407,0.3711627900600433,0.0300351324719817,0.38325581669807435,0.03147706839906185,0.3972093081474304,0.023852804573495284,0.4000000059604645,0.03465038230639065,0.39348837494850153,0.017893378209271126,0.41581395626068113,0.016312258487686172,0.410232560634613,0.015909423583939823,0.410232560634613,0.026187329002333438,0.40744186401367183,0.05299060630932176,0.4158139550685883,0.03298720261276783,0.42790697693824764,0.020005407090191732,0.43534884333610535,0.02385280538707524,0.4344186079502106,0.02539041158808143,0.4362790751457214,0.03328101200900514,0.4390697741508484,0.03536107676249025
gelu,0.1952376616614,639,101,0.000166884524,5,4,mean,ArrowHead,67f81fc56708425886fb2aa59826dc9d,6,0.3218604636192322,0.018133570730069336,0.3302325570583343,0.03205592964337345,0.3627906978130341,0.03032187468203171,0.34697674274444584,0.020433379782031715,0.3906976759433746,0.044002064195240914,0.42697674632072447,0.009532048279292818,0.4111627924442291,0.026228599016034016,0.4111627930402756,0.04784145555689836,0.46511628150939943,0.029599820217582878,0.4427907013893127,0.018720570932346303,0.44372093200683593,0.012566751096790328,0.45209302544593816,0.023807415617182654,0.4446511673927307,0.02474313017305484,0.4837209343910217,0.026718896060572383,0.4800000000000001,0.036829457436931064,0.4623255860805512,0.050481729060767776,0.47627907395362856,0.03411557420421931,0.4893023288249969,0.03682945615726853,0.49953488945960994,0.03315075072290034,0.5144186079502105,0.036858817489360804
gelu,0.1730375047214,1007,216,7.14894063e-05,3,3,mean,ArrowHead,d3baddc38796786498a1e005df7d7ade,7,0.3376744204759598,0.020956054209324813,0.3386046540737152,0.024917384848984852,0.3553488373756409,0.015635105151946205,0.38976744294166565,0.010083482017379118,0.38325581669807435,0.027634327765176474,0.40279069900512693,0.03641596140954016,0.4037209320068359,0.03439974531456097,0.42139534950256347,0.032324747564977524,0.4837209343910217,0.03337837410892549,0.4660465121269226,0.022160237332384466,0.4660465109348297,0.02930601378899369,0.4613953542709351,0.018133567290208832,0.47255814313888556,0.014184139896558442,0.4818604671955109,0.0187782630267173,0.48093023538589474,0.033313497173626694,0.5004651200771332,0.037441136311357336,0.4995348870754241,0.034587894941675586,0.5088372135162353,0.03025044696858888,0.5041860508918762,0.030782126065419847,0.49209302902221685,0.0195680802150915
relu,0.2822579160532,951,241,0.0002574643941,8,3,mean,ArrowHead,c8a01183326f8913a564b234bb34151f,8,0.314418603181839,0.03249162829629748,0.31534883618354803,0.03869141642055598,0.3720930278301239,0.014335847552906773,0.3702325606346131,0.026021585734160513,0.3516279077529907,0.019623278545081668,0.3358139538764954,0.02403350869097306,0.4093023300170898,0.053841105534662106,0.38883721113204955,0.03744114023571391,0.42046512246131895,0.028784647840768358,0.3832558155059814,0.010707783902732715,0.43999999999999995,0.0416791950956158,0.4213953506946564,0.05390133730802823,0.41674418687820436,0.028971928699227576,0.4418604695796967,0.03288868884966852,0.45302325606346133,0.028784651259847013,0.44279069781303415,0.045022677812896796,0.4632558190822601,0.026228600971446147,0.46046512007713314,0.04545307258786598,0.4558139574527741,0.05503329821382175,0.46418605208396907,0.037700249650360465
relu,0.2577266198107,732,120,4.49340993e-05,3,2,max,ArrowHead,a83837f7518d8cbe60ae1636921e946f,9,0.34046511769294746,0.033765009627437934,0.33488372445106507,0.026104588246982325,0.371162793636322,0.01203923854877782,0.372093026638031,0.017403061928824005,0.3916279125213623,0.035937575643536966,0.3804651200771332,0.04152319237046866,0.3786046552658081,0.034115578348595084,0.36651163160800937,0.05120506272214566,0.3702325606346131,0.04917931346559774,0.3711627924442292,0.04815694855342496,0.36930232763290405,0.0444423433839567,0.3665116310119628,0.041653235742849425,0.36651162981986996,0.04139273622399887,0.36651162981986996,0.03726739754259167,0.3655813980102539,0.031648420666609285,0.3720930242538452,0.03067652610435201,0.37581395387649535,0.03178483716148738,0.3823255836963654,0.035635315924747106,0.3860465168952942,0.028482441500984675,0.37488372445106505,0.0365641773953521
relu,0.1636935866527,749,128,0.0004454706856,4,5,max,ArrowHead,4bc7612496e1277c5e7f0203c6ffa60c,10,0.32837209463119504,0.010707780795860426,0.3497674441337585,0.022880698497282408,0.3581395375728607,0.01470827048811766,0.3618604695796967,0.01984254031926807,0.3525581419467926,0.03278987513986282,0.35162790894508367,0.04009183962156645,0.40651163220405573,0.027240093289534802,0.39348837614059445,0.03458789466114163,0.3720930254459381,0.03386097497731235,0.3972093081474304,0.05154193693777241,0.4241860496997833,0.05088720958474041,0.4418604695796967,0.03067652745993754,0.4669767463207245,0.02602158131279887,0.47255814313888556,0.04516659986719132,0.45302325844764707,0.036415959620509905,0.48930232405662544,0.033118105169176966,0.4967441916465759,0.0228806953470271,0.4939534902572632,0.04229745346779203,0.5172093081474304,0.03593756619359771,0.5134883737564087,0.025176493727295135
relu,0.1308317798519,598,64,0.0005643697523,2,4,max,ArrowHead,ef8a539bf2c7dbf32e7ead223dc254e9,11,0.3218604630231857,0.011581302147852121,0.3311627912521362,0.028934571246485737,0.35813953876495364,0.021566556568887944,0.3720930278301239,0.0258965798072755,0.38232558488845825,0.014107675585213718,0.3841860508918762,0.01789338130796917,0.41302325844764703,0.026597168455958126,0.39906977295875545,0.0312702087080735,0.39627907156944275,0.021161515555813654,0.4158139586448669,0.033956673568962335,0.4455813992023468,0.03563531627483245,0.4427907001972199,0.03593757228784477,0.44000000000000006,0.05154193317265129,0.4427907037734985,0.03311810977321394,0.4855813992023467,0.05664115842649622,0.4688372170925141,0.027000791452826866,0.49023256182670594,0.03885878788243752,0.4744186043739319,0.03337837307071222,0.5227907013893127,0.05567813375033192,0.5600000035762787,0.07306916437183884
gelu,0.2721211636999,803,93,0.0004302639827,2,2,max,ArrowHead,67dc809ba0d6dc1db2ddf03d78ebd097,12,0.3279360467195511,0.03127676344314964,0.35162791013717654,0.01120148545296001,0.3674418640136719,0.02692055630730781,0.3934883725643158,0.026840070464249605,0.3934883749485016,0.033475448274096264,0.37581395626068115,0.02334865246934027,0.41023256301879873,0.04073420256254257,0.4093023300170898,0.04198946569459771,0.4306976771354676,0.055288220179291,0.4297674453258514,0.03815655040259873,0.42790698170661934,0.02790697937210406,0.4558139574527741,0.05147893546654184,0.4511627960205078,0.0700768349329155,0.47069767594337464,0.06933196991721516,0.48000000357627864,0.02930601601206175,0.475348846912384,0.048044512008437894,0.4623255884647369,0.05528822188414802,0.4558139598369598,0.08235316973013827,0.46418604969978333,0.07393740327223332,0.47813953876495363,0.08857992651489853
relu,0.1126975995089,517,221,3.45712126e-05,6,1,mean,ArrowHead,d4e790a61cb36b39f969718bf7b4d522,13,0.3172092998027801,0.023579148241305286,0.3051162785291671,0.03379702497040045,0.33860465049743654,0.027595158967294812,0.3348837214708328,0.03239159940061309,0.3553488385677337,0.038014544383907556,0.35348837554454804,0.018311645866548883,0.3906976765394211,0.04041429535626914,0.38883721113204955,0.02915800440219366,0.416744190454483,0.019623277768060533,0.43720930576324457,0.03255814079727449,0.4520930248498917,0.03741223632412277,0.4511627960205079,0.03587732170845472,0.44558139681816095,0.03910850753985989,0.45116279661655423,0.02156655367658777,0.4548837220668792,0.03376500589161573,0.4465116310119629,0.040946089338416786,0.44093023419380184,0.04490239595774899,0.45395348966121685,0.04283111926748647,0.45023256301879877,0.04216940035209082,0.4613953536748886,0.038269772663701455
