activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
relu,0.1769609708377,454,198,5.72448006e-05,5,1,max,Beef,0.2033333358168602,0.2033333358168602,0.2166666689515113,0.2100000023841857,0.2066666704416275,0.1933333373069763,0.2033333370089531,0.1933333367109298,0.2133333361148834,0.2033333367109298,0.2166666689515113,0.226666669845581,0.2233333364129066,0.2266666692495346,0.2266666692495346,0.2266666692495346,0.2366666707396507,0.2466666683554649,0.2300000038743019,0.230000002682209
gelu,0.241105404103,994,204,8.1375817e-05,3,3,max,Beef,0.1733333364129066,0.190000002682209,0.1933333355188369,0.2233333358168602,0.2100000029802322,0.2166666695475578,0.2066666689515114,0.2200000020861626,0.2366666683554649,0.2466666695475578,0.2633333367109299,0.2600000035762787,0.2533333376049995,0.2533333364129066,0.2600000020861625,0.2633333352208137,0.2566666692495346,0.2700000020861626,0.2733333346247673,0.2733333343267441
relu,0.1066207914877,761,185,0.0009233148156,6,3,mean,Beef,0.2300000023841858,0.2300000029802322,0.2400000017881393,0.2333333352208137,0.2633333361148834,0.2200000029802322,0.2200000035762786,0.2666666683554649,0.2800000023841858,0.276666669845581,0.2933333367109298,0.3066666674613952,0.3033333364129066,0.3033333334326744,0.3033333352208137,0.3300000029802322,0.2866666695475578,0.3233333346247673,0.3466666689515114,0.3533333355188369
relu,0.2068663010053,982,225,0.0007625720011,7,2,mean,Beef,0.2100000029802322,0.186666669845581,0.2100000029802322,0.2200000023841858,0.1933333361148834,0.2433333349227905,0.2600000035762787,0.2333333361148834,0.2433333387970924,0.2733333355188369,0.2833333361148834,0.2766666680574417,0.3133333373069763,0.3033333343267441,0.2833333361148834,0.3066666716337204,0.3133333346247673,0.3166666674613952,0.330000002682209,0.3399999988079071
relu,0.087535857518,581,236,0.0004210118397,2,4,mean,Beef,0.170000002682209,0.2033333364129066,0.1933333364129066,0.2100000020861626,0.2200000011920929,0.2133333370089531,0.2333333376049995,0.2666666695475578,0.2633333346247673,0.2766666719317436,0.2800000011920929,0.2900000041723251,0.3066666692495346,0.2966666695475578,0.2566666689515114,0.3200000032782555,0.3300000017881394,0.3233333328366279,0.3266666656732559,0.3433333328366279
gelu,0.2245116932779,287,98,0.000123476935,4,5,mean,Beef,0.1900000035762787,0.2200000017881393,0.2133333367109298,0.2200000035762786,0.2333333376049995,0.2433333361148834,0.2266666695475578,0.2500000029802322,0.2833333373069763,0.2900000029802322,0.3166666689515113,0.3200000017881393,0.3299999999999999,0.3366666692495346,0.3166666686534881,0.3266666668653488,0.3400000017881393,0.3400000002980232,0.336666667163372,0.3233333346247673
relu,0.0041166271799,645,136,0.0004508181066,4,1,max,Beef,0.2066666692495346,0.2066666692495346,0.2066666692495346,0.2033333361148834,0.1933333364129066,0.2066666704416275,0.230000002682209,0.2800000029802322,0.290000005364418,0.3066666695475578,0.3566666716337204,0.3833333367109298,0.3966666665673256,0.3666666662693024,0.3966666689515113,0.3866666704416275,0.423333334326744,0.4400000071525573,0.4500000023841857,0.456666669845581
relu,0.1494953005621,335,94,0.0003055961233,8,1,max,Beef,0.1966666704416275,0.1966666701436042,0.196666669845581,0.1900000038743019,0.2100000029802322,0.2100000038743019,0.1966666701436042,0.200000002682209,0.2133333373069763,0.2200000035762786,0.216666669845581,0.2300000023841858,0.2233333358168601,0.2333333367109298,0.2533333358168602,0.2400000035762786,0.2466666704416275,0.2633333384990692,0.2866666704416274,0.3000000014901161
gelu,0.0377972141284,316,113,7.2516042e-05,2,4,max,Beef,0.1933333364129066,0.1933333364129066,0.1933333364129066,0.186666669845581,0.1766666704416274,0.2033333367109298,0.1966666701436042,0.206666669845581,0.2200000035762787,0.216666669845581,0.226666669845581,0.2233333373069762,0.2366666710376739,0.2366666701436043,0.2533333364129066,0.263333338201046,0.2600000032782554,0.260000002682209,0.2666666680574417,0.2833333358168602
relu,0.1982384031913,415,234,0.0001989236654,3,2,mean,Beef,0.180000002682209,0.1866666695475578,0.1900000023841858,0.2066666683554649,0.2200000035762786,0.2533333337306976,0.2500000035762786,0.260000002682209,0.2800000032782554,0.2966666701436042,0.34,0.3500000002980232,0.3433333387970924,0.3100000008940696,0.3433333367109298,0.353333335518837,0.3333333367109298,0.3233333331346512,0.3433333355188369,0.3433333364129066
relu,0.041890932373,691,227,1.74947523e-05,5,4,max,Beef,0.196666669845581,0.1900000032782554,0.2000000029802322,0.200000002682209,0.1866666692495346,0.196666669845581,0.2133333367109298,0.2166666707396507,0.2366666689515114,0.2400000017881393,0.2500000017881393,0.2433333376049996,0.2333333370089531,0.2300000032782554,0.2466666683554649,0.2566666689515114,0.2466666689515113,0.2533333352208137,0.2533333340287208,0.2666666701436043
gelu,0.1837081759948,707,200,4.61439924e-05,3,1,mean,Beef,0.1933333367109298,0.1933333367109298,0.1933333367109298,0.1933333367109298,0.1900000035762787,0.200000002682209,0.2266666683554649,0.2266666686534881,0.2666666695475578,0.2533333364129066,0.246666669845581,0.2333333361148834,0.2233333364129066,0.2433333352208137,0.2366666692495345,0.2400000035762786,0.2533333361148834,0.2500000041723251,0.2600000017881393,0.2700000035762787
relu,0.1571316563568,514,102,0.0002571626376,4,5,max,Beef,0.1766666692495346,0.1900000032782554,0.2200000020861626,0.2366666704416275,0.2333333364129066,0.2500000035762786,0.2600000023841858,0.253333338201046,0.3000000068545341,0.2966666686534881,0.2766666683554649,0.2966666683554649,0.3066666683554649,0.3033333349227905,0.2966666662693024,0.3166666704416275,0.3133333364129066,0.2966666686534881,0.3300000023841858,0.3200000032782554
gelu,0.2383879523311,500,250,0.0002248122114,6,6,max,Beef,0.2033333373069763,0.2266666710376739,0.2333333361148834,0.2366666680574417,0.2266666701436042,0.2433333376049995,0.2366666683554649,0.2400000008940696,0.2933333337306976,0.3000000029802322,0.3100000011920929,0.2933333373069763,0.2933333367109298,0.2999999997019767,0.3233333340287209,0.3166666689515113,0.3133333340287209,0.3200000005960465,0.3133333361148834,0.3100000017881393
gelu,0.1087954145681,755,83,1.71588555e-05,5,6,max,Beef,0.2033333367109298,0.2100000035762787,0.2133333367109298,0.2100000029802322,0.1933333361148834,0.186666669845581,0.186666669845581,0.1966666701436042,0.2100000029802322,0.1866666704416275,0.1800000032782554,0.2000000032782554,0.2066666692495346,0.1900000029802322,0.2000000038743019,0.2033333373069763,0.1866666695475578,0.1833333361148834,0.1900000020861625,0.1966666701436042
relu,0.1867694141473,928,83,2.84878063e-05,6,6,max,Beef,0.1933333367109298,0.1866666707396507,0.1900000041723251,0.1766666704416274,0.196666669845581,0.1900000032782554,0.1933333364129066,0.1833333370089531,0.1900000038743018,0.2100000029802322,0.2133333364129066,0.2133333373069763,0.2266666701436042,0.2133333364129067,0.2300000038743019,0.2200000044703483,0.2200000038743018,0.2233333367109298,0.2300000032782554,0.2433333376049995
relu,0.2054951795819,287,197,3.51591265e-05,6,4,max,Beef,0.2033333358168602,0.2033333355188369,0.2066666689515114,0.2066666695475578,0.1733333358168602,0.1966666701436042,0.1800000035762787,0.2133333364129066,0.2233333379030227,0.2133333364129066,0.213333335518837,0.2066666692495346,0.2200000032782554,0.2166666683554649,0.2100000023841857,0.210000002682209,0.2233333358168602,0.2233333349227905,0.2300000017881393,0.2233333358168601
gelu,0.2049689491463,469,71,2.47356987e-05,7,1,mean,Beef,0.2100000029802322,0.206666669845581,0.206666669845581,0.1933333361148834,0.1933333364129066,0.193333337008953,0.190000002682209,0.1900000023841857,0.1966666695475578,0.196666669845581,0.2000000023841857,0.2100000029802322,0.2033333367109298,0.2033333373069762,0.1933333364129066,0.196666669845581,0.2066666695475578,0.2100000029802322,0.2200000029802322,0.2066666701436043
relu,0.0257592010079,584,186,5.92239128e-05,3,6,mean,Beef,0.1733333364129066,0.1733333364129066,0.1733333364129066,0.1733333364129066,0.1800000032782554,0.220000002682209,0.2566666677594185,0.2366666695475578,0.2833333349227905,0.3000000011920929,0.2900000023841858,0.3166666707396507,0.3000000029802322,0.3133333340287209,0.3233333367109298,0.3300000035762787,0.3566666746139526,0.3500000014901161,0.3333333349227906,0.3500000041723251
gelu,0.0517455784339,713,116,0.0005848475498,6,4,max,Beef,0.2033333358168602,0.2166666689515113,0.2166666689515113,0.2233333364129066,0.2300000011920929,0.226666669845581,0.2866666677594184,0.2933333349227905,0.333333335518837,0.3233333364129066,0.3166666674613952,0.2966666665673256,0.3166666707396507,0.3733333393931389,0.3933333358168602,0.386666669845581,0.3666666689515113,0.3666666683554649,0.4266666698455811,0.4100000071525573
relu,0.2328679987081,291,182,0.0005574710014,8,3,mean,Beef,0.2133333364129066,0.2200000029802322,0.246666669845581,0.246666669845581,0.2433333367109298,0.2400000017881393,0.2300000029802322,0.2366666686534881,0.2466666689515113,0.2700000041723251,0.2833333334326743,0.29,0.3100000023841858,0.2733333343267441,0.2866666692495346,0.2966666683554649,0.326666668355465,0.3233333337306976,0.3200000035762786,0.3200000044703484
relu,0.2866135841728,955,126,0.0002469576977,8,5,mean,Beef,0.2000000020861626,0.2000000020861626,0.2000000020861626,0.1966666689515113,0.2066666689515114,0.2033333358168602,0.2200000017881393,0.2600000017881393,0.263333335518837,0.2800000002980232,0.2966666695475578,0.2800000038743019,0.2900000047683715,0.3166666719317436,0.3433333322405815,0.3399999997019767,0.3233333346247673,0.3033333340287208,0.3066666674613952,0.3033333340287208
gelu,0.2303997342962,712,233,0.0001018344785,5,2,mean,Beef,0.2066666704416275,0.2066666704416275,0.2066666704416275,0.2066666704416275,0.206666669845581,0.2066666689515114,0.2366666689515114,0.2400000023841857,0.2600000047683716,0.2933333337306976,0.2933333367109298,0.3266666668653488,0.316666669845581,0.3266666683554649,0.3000000008940696,0.3066666689515114,0.3233333373069763,0.330000005364418,0.3133333361148834,0.3133333379030228
relu,0.1602761938835,995,198,1.38698152e-05,6,2,max,Beef,0.2100000035762787,0.2100000035762787,0.2100000035762787,0.2166666710376739,0.2200000044703483,0.223333337008953,0.2166666707396506,0.2266666701436042,0.223333338201046,0.2200000038743019,0.2066666704416275,0.2166666704416275,0.2066666704416275,0.2133333361148834,0.2166666695475578,0.2300000041723251,0.226666669845581,0.2233333358168601,0.2200000020861625,0.233333335518837
gelu,0.2600213089591,648,238,0.0001234774992,2,5,mean,Beef,0.2000000029802322,0.2300000035762786,0.2133333361148834,0.2333333349227905,0.2300000023841858,0.2300000023841857,0.2766666665673256,0.2733333349227905,0.3100000005960465,0.2966666674613952,0.3300000005960464,0.3033333349227906,0.2933333370089531,0.3033333334326744,0.3366666668653488,0.3333333358168602,0.326666671037674,0.3200000047683716,0.3133333367109299,0.3066666677594185
relu,0.0202828877988,679,226,1.36696106e-05,7,6,mean,Beef,0.2100000011920929,0.2100000011920929,0.2100000011920929,0.2100000011920929,0.2066666683554649,0.2166666680574417,0.2166666692495345,0.2466666689515113,0.2466666704416274,0.2200000035762786,0.2333333352208137,0.256666667163372,0.260000002682209,0.2866666686534881,0.2933333379030228,0.3066666683554649,0.316666669845581,0.3233333337306976,0.3366666692495346,0.3466666692495346
gelu,0.0528143383148,337,216,0.0005596242593,3,4,mean,Beef,0.2300000020861625,0.2200000029802322,0.2400000017881393,0.220000002682209,0.2300000020861625,0.236666669845581,0.236666669845581,0.2633333367109298,0.2366666689515114,0.2166666707396507,0.2666666692495346,0.2700000017881393,0.2633333334326744,0.2766666677594184,0.2900000032782555,0.2900000032782555,0.3266666665673255,0.3266666677594185,0.3166666659712792,0.3033333364129066
gelu,0.218547817986,842,140,1.58830812e-05,8,4,mean,Beef,0.1966666695475578,0.1900000023841858,0.1833333358168602,0.190000002682209,0.1966666689515114,0.2066666692495346,0.226666669845581,0.2400000029802322,0.223333337008953,0.2233333379030227,0.2366666701436043,0.2466666713356972,0.2333333379030227,0.2566666695475578,0.2600000038743019,0.2733333367109298,0.2633333367109298,0.2500000044703483,0.2500000038743019,0.2533333358168602
relu,0.1686828724258,964,201,3.32409732e-05,8,3,max,Beef,0.206666669845581,0.206666669845581,0.206666669845581,0.206666669845581,0.1900000029802322,0.1866666701436042,0.1966666707396507,0.2300000023841857,0.2400000032782555,0.2333333352208137,0.2166666689515113,0.2300000032782554,0.2200000023841858,0.2233333367109299,0.2166666689515113,0.2266666692495346,0.2300000029802322,0.2233333361148834,0.2100000032782555,0.2033333367109298
relu,0.2194719427378,585,136,0.0004252553564,2,5,mean,Beef,0.2166666686534881,0.2166666686534881,0.2166666686534881,0.2266666680574417,0.2200000023841858,0.2300000023841858,0.2200000032782554,0.266666669845581,0.263333335518837,0.2733333384990692,0.2766666722297668,0.2800000017881394,0.2900000041723251,0.3133333387970924,0.326666669845581,0.293333335518837,0.2800000008940697,0.296666669845581,0.2866666674613952,0.2900000020861625
relu,0.0003233263405,495,231,1.03513845e-05,7,4,mean,Beef,0.1933333358168602,0.1966666695475578,0.1833333364129066,0.1833333352208137,0.1866666683554649,0.1933333358168602,0.2066666689515114,0.2400000023841857,0.2433333355188369,0.2333333358168602,0.2300000020861625,0.2333333364129066,0.2266666686534881,0.2733333361148834,0.2800000032782554,0.3033333373069763,0.3033333367109298,0.3300000023841858,0.3166666713356972,0.3100000011920928
gelu,0.1399549894325,1004,245,4.18118329e-05,6,3,mean,Beef,0.1900000035762787,0.1900000035762787,0.1900000035762787,0.1900000035762787,0.1900000035762787,0.2200000032782554,0.2466666683554649,0.2400000020861625,0.2600000044703483,0.2566666710376739,0.2800000035762787,0.3000000005960465,0.3000000020861625,0.310000002682209,0.3000000002980232,0.3000000029802322,0.3266666659712792,0.3266666686534881,0.3333333322405815,0.3499999982118607
relu,0.0368312617854,1006,170,1.79618717e-05,6,1,mean,Beef,0.1800000029802322,0.1766666695475578,0.1700000029802322,0.1700000032782554,0.1800000032782554,0.1866666695475578,0.1866666701436043,0.2033333370089531,0.2166666701436042,0.2200000038743019,0.2266666701436042,0.2266666689515113,0.2266666710376739,0.2400000026822089,0.2333333376049995,0.2300000038743019,0.2233333361148834,0.2333333358168601,0.2566666674613952,0.2566666683554649
gelu,0.0551837844234,671,64,5.97799911e-05,4,2,mean,Beef,0.1900000029802322,0.2066666692495346,0.2133333373069763,0.2100000038743019,0.2200000023841858,0.2166666686534881,0.2333333379030227,0.2466666713356971,0.2400000032782555,0.2366666683554649,0.2466666704416275,0.233333334326744,0.2300000047683715,0.2466666683554649,0.2633333352208137,0.2633333358168602,0.2566666689515114,0.2566666695475578,0.2633333346247673,0.2533333349227905
relu,0.1887006420737,319,197,0.0002000514254,7,6,max,Beef,0.2066666695475578,0.2166666701436042,0.226666669845581,0.2133333370089531,0.2166666689515113,0.2233333379030227,0.2433333349227905,0.2666666692495346,0.283333335518837,0.2933333364129066,0.3100000002980232,0.3100000041723251,0.293333335518837,0.303333335518837,0.3033333361148834,0.3133333361148834,0.3266666686534882,0.3433333337306976,0.3200000026822091,0.3166666665673255
gelu,0.1552271198278,719,153,0.0007389572919,4,3,max,Beef,0.1966666695475578,0.2166666686534881,0.2133333361148834,0.2066666704416275,0.2200000035762786,0.2100000023841857,0.2700000035762787,0.2933333364129066,0.3000000017881393,0.2800000014901161,0.3100000035762787,0.3066666680574417,0.3399999994039535,0.3466666668653488,0.3466666722297669,0.3566666704416275,0.3633333349227905,0.3833333361148834,0.3866666704416275,0.4000000023841858
relu,0.1482012964039,706,253,0.0002133717926,5,3,mean,Beef,0.2133333370089531,0.2200000032782554,0.2333333376049995,0.2433333364129066,0.2533333358168602,0.2300000041723251,0.2600000023841858,0.283333335518837,0.280000002682209,0.273333337008953,0.2700000020861625,0.3100000029802322,0.3300000059604645,0.3100000005960464,0.3066666677594185,0.3366666701436043,0.3333333340287209,0.3466666722297669,0.3333333352208137,0.3500000002980232
gelu,0.2012687535646,822,77,1.34898459e-05,2,6,mean,Beef,0.1800000038743019,0.1800000038743019,0.1733333376049995,0.1700000038743019,0.1733333370089531,0.1766666695475578,0.193333337008953,0.1833333361148834,0.1933333373069763,0.1933333364129066,0.180000002682209,0.2066666695475578,0.230000002682209,0.2333333358168602,0.2566666707396507,0.263333335518837,0.2500000029802322,0.2600000023841858,0.2500000032782554,0.2433333364129066
gelu,0.2679171968674,795,181,3.41564666e-05,3,4,max,Beef,0.1933333358168601,0.1933333358168601,0.2033333361148834,0.1866666695475578,0.2000000023841857,0.1966666716337203,0.1800000038743019,0.1833333373069763,0.2200000035762787,0.2133333373069763,0.2166666695475578,0.2100000038743019,0.2066666701436042,0.2200000035762786,0.2200000035762786,0.2166666695475578,0.2233333364129066,0.2100000038743019,0.2100000038743019,0.1966666707396507
gelu,0.0953598280462,589,108,8.16468901e-05,6,4,max,Beef,0.213333335518837,0.213333335518837,0.2266666704416275,0.2133333352208137,0.2100000041723251,0.2233333370089531,0.2333333352208137,0.2433333355188369,0.2166666692495345,0.2266666695475578,0.2366666689515114,0.2633333349227905,0.2866666704416274,0.2600000041723251,0.2700000020861625,0.2833333364129067,0.3000000005960464,0.3133333355188369,0.3000000035762786,0.3000000035762787
gelu,0.1389759664335,968,136,0.0009038279585,6,1,mean,Beef,0.2066666695475578,0.2066666695475578,0.2066666695475578,0.2066666695475578,0.2066666695475578,0.1900000035762787,0.2500000029802322,0.2466666707396507,0.2666666713356972,0.2600000017881393,0.2600000029802322,0.2933333352208137,0.3166666674613952,0.3266666710376739,0.3333333361148834,0.3466666692495346,0.3266666692495347,0.3033333352208137,0.3000000020861625,0.3266666695475578
