activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
gelu,0.1637019705178,374,135,1.30063949e-05,6,2,mean,BinaryHeartbeat,2b18507f8021fb640e01ac93e5132bfb,0,0.479786581993103,0.146359987680942,0.5419512248039245,0.1360551667271585,0.680975615978241,0.10161400036065021,0.7078048849105836,0.042644602909468976,0.7160975670814513,0.02137455741724885,0.7258536648750306,0.002181538316194253,0.7224390292167664,0.0026718333055858147,0.717073175907135,0.012436652660956862,0.7156097579002381,0.014491194889566746,0.7156097555160523,0.008015473980419699,0.7214634180068971,0.0063132543822409445,0.7229268312454225,0.007026752347392372,0.7209756112098694,0.007438015284081442,0.7224390220642091,0.005561817412133298,0.7214634132385254,0.006313249316236193,0.718048779964447,0.005615046841492542,0.7200000000000001,0.004998502566701749,0.7224390244483948,0.0067680225127961895,0.721951220035553,0.004563002019572746,0.7185365843772888,0.0032722865936274906
gelu,0.2447357717286,377,218,0.0003714705792,4,3,mean,BinaryHeartbeat,069d12fe3385b21bfa3cab7f5f9adf98,1,0.505625,0.08348488822834942,0.6726829397678376,0.08073502352306297,0.7136585509777069,0.026973007186437303,0.7268292832374573,0.0024390280246748964,0.7268292832374572,0.00771287535306026,0.7243902587890625,0.003856438147754783,0.7112195277214051,0.025087597396844928,0.7043902587890625,0.011873819779314178,0.7058536648750305,0.04718741088531529,0.7243902587890625,0.012072552921026146,0.7331707429885863,0.005615054608647828,0.7248780608177186,0.013514047861423907,0.7112195205688476,0.016049449679243512,0.7224390339851379,0.02690676667329092,0.7151219606399536,0.02129087895365993,0.7117073249816894,0.012484372287948667,0.7160975670814514,0.01963377168879078,0.6960975646972656,0.017972822652045646,0.7092682957649231,0.028307405020800713,0.7146341514587402,0.020406344021936147
relu,0.1126015766626,544,212,0.0009142153008,5,6,mean,BinaryHeartbeat,d6462176dd516a34a4347d8894da9115,2,0.5125000023841858,0.044579194844615824,0.5565853798389435,0.13887883181920857,0.7039024531841278,0.04512524592454457,0.6936585497856139,0.04046869785832024,0.7121951341629028,0.029064329262689124,0.6863414740562439,0.039009141453244994,0.7268292832374572,0.016898056029707356,0.7180487942695617,0.009223255145956599,0.7278048872947693,0.0058739503980325975,0.705853672027588,0.017806548208498574,0.7214634251594545,0.011620614454306484,0.7180487942695618,0.012388707803102429,0.7209756135940552,0.013968605082799807,0.7180487847328185,0.015290169743723915,0.7019512295722962,0.009664202657967493,0.7087804937362672,0.021094388602275745,0.7073170804977417,0.013904574504240385,0.7048780608177185,0.018005887215867468,0.7063414692878722,0.012508173187520096,0.6912195253372191,0.022059355688262876
gelu,0.0164782810251,654,81,0.0004653987499,2,5,max,BinaryHeartbeat,c9626ffdb19a93a85928c8dbc4b09c2e,3,0.5525,0.08212866239931102,0.655609768629074,0.04108145262405435,0.6829268395900726,0.05357532206745655,0.6629268324375153,0.05538787076330219,0.7000000083446503,0.03766693748569583,0.7292683053016663,0.00517395133788459,0.7175609850883484,0.019844723806654016,0.7043902516365051,0.022906060990285252,0.6960975670814515,0.05106247597517182,0.7058536648750305,0.01320231420789063,0.7195122051239012,0.011823606739311163,0.690243911743164,0.027648258564241825,0.7219512271881104,0.021815292197177226,0.7087804913520813,0.012626520853727886,0.7156097650527954,0.019709368147958414,0.7258536648750304,0.015483483519261668,0.7082926869392395,0.03532798445026597,0.7009756112098693,0.013536032567129973,0.7073170781135559,0.02875567284077185,0.6995122003555297,0.019158386269339793
gelu,0.0176584104398,853,229,2.25298149e-05,2,5,mean,BinaryHeartbeat,b7e19d942601557bb7e326c50dfe7cf0,4,0.4794817018508911,0.11600663065275943,0.6565853714942932,0.09880911106482511,0.6702439033985138,0.04144189357024202,0.7243902444839477,0.01663191522253838,0.7219512224197387,0.0059743826455242325,0.7112195086479187,0.0074380354155532515,0.7224390292167664,0.021499411141480622,0.7156097555160522,0.012626514290968676,0.7170731759071349,0.016270322596054123,0.7239024400711058,0.008162532621912938,0.7131707334518433,0.02442679154951351,0.720975615978241,0.010433769941932208,0.7204878091812135,0.008198895036388926,0.7331707358360291,0.008378340222673725,0.7234146380424499,0.015094374044497625,0.7297560954093933,0.00966419799470617,0.7317073202133179,0.009907351524983194,0.7258536624908448,0.010575348215028268,0.7214634156227111,0.013066422916802194,0.733658537864685,0.004691543008092791
relu,0.0260556806798,980,107,3.99329512e-05,2,1,max,BinaryHeartbeat,46e8b44bc49a16bb46bfe1aeaddc8944,5,0.529481701850891,0.12319885987134298,0.5756097614765168,0.10225011356736781,0.6843902504444123,0.0482162628312525,0.7151219570636749,0.03442398059397694,0.7273170733451844,0.0036176559560059745,0.7282926869392395,0.003272280818188869,0.7258536624908447,0.00505765632603193,0.7253658533096313,0.0053436200893259116,0.7253658556938172,0.0036989396665308163,0.7253658556938172,0.00505765460138593,0.7234146356582641,0.006360183402899248,0.7229268264770508,0.006121888245960186,0.7234146356582641,0.005057645115858944,0.7243902468681336,0.005173934479178155,0.7239024376869202,0.005287661185541805,0.7224390244483947,0.006984290260675464,0.7229268312454223,0.00636018340290481,0.7229268288612365,0.005615036744146756,0.7224390268325805,0.0063132359603885625,0.7229268288612365,0.006121887771022976
relu,0.1654368580151,633,95,0.0004328524665,5,3,max,BinaryHeartbeat,90c05ba642ab869fd33dc287e36188e0,6,0.4881249976158141,0.06328828612201783,0.6351219511032105,0.17226316391073682,0.715121955871582,0.03846395787836266,0.719024395942688,0.028724644826640784,0.7219512224197387,0.013359079469358317,0.7258536624908446,0.004081257049652301,0.72341463804245,0.008198890958191304,0.7248780512809754,0.002671806099895465,0.7175609767436982,0.022247317710371996,0.7258536624908448,0.005873943963217931,0.7248780512809754,0.005823081372356114,0.725365858078003,0.0021815216561910816,0.725365858078003,0.010290249741527528,0.7263414669036864,0.005287677131842689,0.7248780512809754,0.006313249546513619,0.7317073202133179,0.006218302367187992,0.7209756135940552,0.02045001404062384,0.7219512248039246,0.01104315392395171,0.7248780512809754,0.009027680876524885,0.7278048753738403,0.008726114779733656
gelu,0.1867627160484,658,175,0.000687863034,4,6,mean,BinaryHeartbeat,8cee6266e1a88de3d55f9a091c426d8d,7,0.5238262152671813,0.08347450618404656,0.5956097602844238,0.08082706825288188,0.6317073237895965,0.11369623296194198,0.6965853667259216,0.03537007824159486,0.7151219534873963,0.025194068732592334,0.7180487823486329,0.016049433646448775,0.7126829290390015,0.028149334999197508,0.7253658580780029,0.010715055974503222,0.7234146356582641,0.016049440530599576,0.7200000047683716,0.018446497209444898,0.7287804913520812,0.011620618207411814,0.7248780512809754,0.007596299470167602,0.7292682909965515,0.007110908119048654,0.7058536577224732,0.035454044423221365,0.722439022064209,0.012121728654466327,0.7248780465126038,0.011620607323461056,0.7170731711387635,0.014735408852813672,0.7121951222419738,0.016985831722197444,0.7160975551605224,0.013861737607836006,0.7224390268325805,0.013066424140661262
gelu,0.149900739329,769,151,0.000110923086,2,2,max,BinaryHeartbeat,e54f6f2a834307697a06c2fa39534f27,8,0.5545579254627228,0.07514762219185492,0.6609756159782411,0.0567826823184225,0.7126829326152802,0.025777616310982448,0.6902439057826996,0.032403255796790896,0.7248780536651612,0.006073098728139199,0.7097560977935791,0.029470831271139735,0.7248780536651612,0.007397909988734994,0.7204878067970276,0.010989138676329165,0.7248780536651611,0.005561817673542887,0.7195121932029724,0.0064530356863110785,0.725853660106659,0.008198893617873756,0.718048779964447,0.015956501525942454,0.7204878044128419,0.010433763950597235,0.7107317066192627,0.023684909808817187,0.7224390244483947,0.00886140820398864,0.7224390244483947,0.0058230756302464215,0.7234146356582641,0.007827698397221727,0.7224390220642091,0.010261296208199214,0.72,0.009509046660078622,0.7253658533096313,0.00681181578118017
relu,0.1700240445202,823,115,5.65279552e-05,5,3,mean,BinaryHeartbeat,d8808be565e4694c630ebce60cb4f7a7,9,0.5082317006587982,0.04816303496217551,0.6980487847328186,0.04001784566336814,0.7229268264770509,0.007827690782633236,0.7209756112098693,0.006121891570551029,0.7224390244483947,0.004691535881037241,0.7146341514587402,0.012555628750100823,0.7141463470458984,0.01123010714606204,0.7234146356582641,0.008726127274734445,0.7195121955871582,0.006218310549774488,0.719512197971344,0.011948725749131629,0.7195121932029724,0.007110911185668567,0.721463418006897,0.012720383948744833,0.7200000023841858,0.01565540803052313,0.7273170781135558,0.004998506929324775,0.7258536577224732,0.0070267492440245945,0.7190243935585022,0.006768016713196891,0.7248780488967896,0.007596294877064552,0.7185365867614746,0.01297504956750793,0.7278048825263976,0.008894909660477535,0.7268292713165284,0.003856419299149779
gelu,0.138076932493,721,108,1.03486909e-05,7,6,max,BinaryHeartbeat,4b240ea396c24933200dc2eef2127253,10,0.52114328622818,0.12820141731134746,0.6185365915298462,0.04057882020676269,0.6878048849105834,0.07359634592009995,0.7151219582557677,0.03708602875572987,0.7180487871170044,0.030541440463496612,0.7258536648750306,0.01177321460957735,0.7180487871170044,0.02789461241088542,0.7097561049461365,0.04369873534613605,0.7121951270103455,0.0409945024880295,0.7097561025619508,0.03970446412612192,0.7082926893234254,0.0390853423131699,0.707804880142212,0.038810410488065175,0.7078048801422119,0.038963387633756036,0.706341462135315,0.03784814569465105,0.7078048825263977,0.03873369615646331,0.7082926869392395,0.03908534089976632,0.7048780465126038,0.03723011048522724,0.706341462135315,0.038316774663369406,0.7078048801422119,0.03919173609434944,0.7087804901599883,0.03881807099498688
relu,0.0095718216942,313,239,0.000250540371,8,1,mean,BinaryHeartbeat,469b0597149fe89948edcb7d674c3f6f,11,0.5389786517620088,0.15258046861540692,0.5024390280246734,0.13256272219909368,0.6482926833629608,0.03569651043673171,0.6858536577224731,0.044953528526809075,0.6863414621353149,0.045649513750952865,0.6917073178291322,0.06298165076651747,0.7243902468681336,0.00912598970208705,0.7253658533096313,0.011646176350932866,0.7214634156227111,0.024108124337668065,0.7048780512809754,0.03427676904662997,0.7243902468681336,0.025580701382266684,0.7263414645195008,0.007789619453646245,0.7146341514587402,0.021678514365706204,0.7243902444839477,0.013020819743251083,0.7346341466903686,0.01260293918996902,0.7282926774024963,0.021023761041793272,0.7336585330963136,0.009664191676698415,0.7229268288612365,0.008198881205958597,0.7219512152671814,0.017160049764631258,0.7214634132385254,0.00816253760879424
relu,0.1290818176466,492,118,2.68632647e-05,8,4,max,BinaryHeartbeat,fc93b5f0638f68750a5038d92284d1e2,12,0.4625,0.11877055743112433,0.6702439177036285,0.08892242667166238,0.7317073345184326,0.0,0.730731725692749,0.0013359074028200745,0.7292683100700378,0.002439025044445218,0.728780505657196,0.002671819702662233,0.7248780608177186,0.004998519435443853,0.7229268431663513,0.0061219110431110155,0.7229268431663513,0.007635361067875022,0.7248780632019043,0.005561837538655733,0.7258536720275879,0.009223259559325373,0.7180487918853761,0.013202316520305913,0.7253658604621888,0.01098915283150603,0.7224390387535096,0.006984307745110896,0.7234146475791932,0.01029025595766873,0.7209756231307984,0.009847136123729398,0.7229268383979798,0.009847139962212587,0.7243902516365052,0.009756100922824194,0.7219512295722962,0.007903347653993057,0.7219512295722962,0.006218323408119876
gelu,0.0051572541995,302,183,0.0005646921376,6,2,max,BinaryHeartbeat,b141c14776f53a66a3e15401574f0b6e,13,0.5127743792533875,0.11481954144562827,0.6078048694133759,0.0957514934040231,0.647317065000534,0.08205425795965639,0.6756097495555877,0.08372998034419164,0.6526829230785369,0.0916112752881787,0.6897560942173004,0.04082728129405368,0.7151219367980957,0.034725053446194275,0.7009755969047546,0.03874134714097555,0.7107316970825195,0.0280540821467008,0.7014634084701538,0.04334332347108666,0.7039024329185486,0.025499204591968257,0.7063414549827576,0.011123644626119946,0.7151219415664674,0.022906052612697594,0.7097560858726502,0.02076753259347029,0.7136585259437561,0.018939764835287146,0.7053658413887024,0.01884530675621768,0.7058536505699158,0.02023067761784989,0.6819512033462525,0.03562143301439825,0.6790243768692017,0.048676698099599486,0.6941463255882263,0.03553783647443981
