activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
gelu,0.0470963934332,874,120,2.60962697e-05,7,3,max,BirdChicken,231eb1faa286308ca122281619d0e31e,0,0.48999999999999994,0.03791437722025776,0.495,0.011180339887498959,0.525,0.043301270189221926,0.5,0.017677669529663705,0.5149999999999999,0.03791437722025774,0.5,0.04677071733467429,0.5199999999999999,0.04107919181288745,0.53,0.054198708471696985,0.5349999999999999,0.028504385627478434,0.5349999999999999,0.05477225575051661,0.5549999999999999,0.06937218462755805,0.5449999999999999,0.059686681931566586,0.54,0.037914377220257735,0.5449999999999999,0.057008771254956896,0.555,0.06937218462755805,0.565,0.04183300132670376,0.58,0.07373940601876315,0.5800000000000001,0.0778620575119872,0.575,0.06373774391990981,0.585,0.08023403267940604
relu,0.1111400507902,564,152,1.8510259e-05,6,1,mean,BirdChicken,6bcb60384c07669720c3376a1d669588,1,0.48,0.04107919181288747,0.495,0.02091650066335191,0.505,0.03708099243547833,0.4800000000000001,0.0570087712549569,0.505,0.041079191812887446,0.5250000000000001,0.08838834764831846,0.535,0.10982941318244398,0.52,0.09420721840708389,0.505,0.09905806378079478,0.515,0.1341640786499874,0.52,0.13624426593438713,0.545,0.11510864433221339,0.525,0.11456439237389597,0.555,0.11510864433221336,0.5650000000000001,0.12196310917650467,0.57,0.12673791855636576,0.575,0.12119199643540822,0.585,0.10694624818103719,0.585,0.09778803607803972,0.62,0.10216408370851277
gelu,0.2034878894569,495,166,1.66608954e-05,2,4,mean,BirdChicken,e7cdf7f58c3718a28f5585103ddefc1f,2,0.485,0.04183300132670379,0.49000000000000005,0.051841103383319286,0.505,0.05968668193156661,0.52,0.09420721840708385,0.545,0.037080992435478306,0.555,0.09253377761660875,0.5650000000000001,0.09453835200594517,0.625,0.11319231422671773,0.6499999999999999,0.08477912478906587,0.665,0.09287087810503357,0.6799999999999999,0.07373940601876314,0.695,0.07984359711335658,0.72,0.04107919181288747,0.725,0.030618621784789708,0.73,0.02091650066335191,0.7100000000000001,0.04541475531146236,0.73,0.04107919181288746,0.745,0.044721359549995794,0.74,0.028504385627478476,0.735,0.03791437722025774
gelu,0.1388989187595,881,233,1.39365456e-05,6,2,mean,BirdChicken,ddb6eba75e383b152b72daf2777ef73a,3,0.4800000000000001,0.048088460154178385,0.485,0.05184110338331933,0.495,0.06937218462755804,0.515,0.06754628043053149,0.55,0.08477912478906587,0.5449999999999999,0.09905806378079475,0.6,0.09842509842514763,0.61,0.11805718953117593,0.675,0.11180339887498948,0.69,0.06519202405202651,0.68,0.04808846015417836,0.7,0.03952847075210473,0.735,0.05755432216610667,0.725,0.05000000000000002,0.7150000000000001,0.0518411033833193,0.7450000000000001,0.054198708471697006,0.7699999999999999,0.04808846015417837,0.765,0.03791437722025778,0.76,0.028504385627478476,0.76,0.028504385627478476
gelu,0.2231019917,762,166,5.61126633e-05,3,3,max,BirdChicken,55270029d59bf8387b279894c226269c,4,0.49000000000000005,0.013693063937629165,0.505,0.011180339887498959,0.52,0.02091650066335191,0.52,0.02091650066335191,0.495,0.011180339887498959,0.525,0.04677071733467424,0.505,0.011180339887498959,0.5,0.017677669529663705,0.505,0.011180339887498959,0.54,0.04183300132670378,0.5549999999999999,0.04472135954999578,0.5549999999999999,0.03259601202601322,0.54,0.037914377220257735,0.55,0.03952847075210473,0.555,0.04808846015417835,0.5599999999999999,0.057554322166106696,0.5599999999999999,0.057554322166106696,0.575,0.05590169943749474,0.565,0.04183300132670376,0.5700000000000001,0.04472135954999577
gelu,0.2613206169999,986,249,1.10419298e-05,5,1,mean,BirdChicken,e5e5d95e3e4bd043858b791621315375,5,0.51,0.037914377220257735,0.515,0.04873397172404481,0.51,0.037914377220257735,0.515,0.03354101966249683,0.525,0.05590169943749474,0.54,0.08023403267940608,0.54,0.1039831717154271,0.525,0.14361406616345074,0.55,0.11592023119369628,0.5349999999999999,0.09117291264405236,0.55,0.06373774391990983,0.5449999999999999,0.08909264840602733,0.555,0.08551315688243538,0.55,0.0918558653543692,0.5900000000000001,0.06754628043053149,0.575,0.07500000000000001,0.6049999999999999,0.05419870847169702,0.6199999999999999,0.06471089552772391,0.6299999999999999,0.057008771254956916,0.65,0.07705517503711223
relu,0.0297921901268,876,160,0.0003460148733,4,6,mean,BirdChicken,fc4412d26458d959b27750c08c265b0a,6,0.495,0.011180339887498959,0.495,0.011180339887498959,0.495,0.011180339887498959,0.505,0.027386127875258327,0.5,0.0,0.5,0.0,0.535,0.028504385627478434,0.525,0.043301270189221926,0.55,0.03535533905932735,0.53,0.04472135954999579,0.515,0.022360679774997918,0.6,0.055901699437494755,0.5800000000000001,0.03259601202601322,0.5900000000000001,0.06020797289396148,0.6199999999999999,0.0873212459828649,0.615,0.06274950199005568,0.675,0.07071067811865477,0.6849999999999998,0.08403868156985804,0.6950000000000001,0.09585144756340405,0.7100000000000001,0.07202430145443968
relu,0.2384276414052,713,150,3.06617053e-05,6,6,max,BirdChicken,a76e79658f3649531f56762416300071,7,0.51,0.028504385627478476,0.5199999999999999,0.032596012026013275,0.525,0.03535533905932737,0.5,0.017677669529663705,0.5050000000000001,0.02738612787525833,0.5399999999999999,0.04541475531146236,0.515,0.022360679774997918,0.525,0.07071067811865477,0.515,0.03354101966249683,0.52,0.04472135954999579,0.515,0.03354101966249683,0.525,0.043301270189221926,0.525,0.03535533905932737,0.54,0.0651920240520265,0.55,0.07705517503711222,0.5449999999999999,0.0670820393249937,0.5449999999999999,0.0670820393249937,0.5449999999999999,0.0670820393249937,0.55,0.07071067811865477,0.56,0.07623975340988454
relu,0.1648491596072,381,96,1.41064886e-05,3,2,max,BirdChicken,680202720b78e6215f08e6bbab051401,8,0.495,0.011180339887498959,0.495,0.011180339887498959,0.49000000000000005,0.022360679774997894,0.5,0.017677669529663705,0.505,0.02091650066335191,0.495,0.02091650066335191,0.49499999999999994,0.02738612787525831,0.495,0.011180339887498959,0.505,0.011180339887498959,0.51,0.022360679774997918,0.515,0.022360679774997918,0.5,0.025000000000000022,0.485,0.013693063937629165,0.495,0.011180339887498959,0.49000000000000005,0.028504385627478455,0.5,0.03061862178478973,0.5,0.03061862178478973,0.52,0.027386127875258327,0.51,0.04183300132670377,0.515,0.04183300132670378
relu,0.1052444858169,627,241,1.04581438e-05,8,6,mean,BirdChicken,15c18109e029e99b66e4a5281c60b70d,9,0.525,0.08477912478906587,0.535,0.07202430145443967,0.545,0.06708203932499371,0.525,0.030618621784789708,0.6050000000000001,0.054198708471697006,0.645,0.07786205751198716,0.71,0.05477225575051661,0.6799999999999999,0.08366600265340754,0.6849999999999999,0.0651920240520265,0.695,0.04107919181288744,0.7200000000000001,0.05123475382979799,0.71,0.03791437722025774,0.72,0.041079191812887446,0.755,0.03259601202601327,0.7649999999999999,0.028504385627478476,0.7699999999999999,0.020916500663351906,0.765,0.028504385627478476,0.775,0.030618621784789753,0.75,0.03952847075210478,0.7549999999999999,0.03708099243547835
