activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
relu,0.0164082148614,277,147,9.63181993e-05,2,2,mean,CinCECGTorso,0.2459375,0.271442619562149,0.3218032765388489,0.3632131171226501,0.388459016084671,0.4293442600965499,0.4573770523071289,0.4747213101387023,0.5037704885005951,0.5377377104759217,0.5409836101531982,0.561508196592331,0.5899016427993774,0.6010491812229157,0.6121311473846436,0.6258032774925232,0.6398360681533813,0.6587540984153748,0.6657049179077148,0.6777049136161805
gelu,0.0322823765275,346,241,0.0008221445641,8,4,max,CinCECGTorso,0.259375,0.2531475394964218,0.2757049179077148,0.3284262311458588,0.3736393415927886,0.4311147546768189,0.5165901648998261,0.5549508202075959,0.6157704949378967,0.6912459003925323,0.7387213051319123,0.7784918034076691,0.8050491809844971,0.82147540807724,0.8452459001541138,0.8717704916000366,0.8840983533859254,0.8906557393074037,0.9105573725700378,0.8973114800453186
relu,0.162802720832,568,149,0.0003137194373,5,3,max,CinCECGTorso,0.2565624999999999,0.271803280711174,0.3182295089960098,0.3501967227458954,0.3724590182304382,0.4286885237693787,0.4357704973220825,0.4652131128311157,0.519081963300705,0.5655081939697266,0.5825573813915252,0.6203606605529786,0.643639339208603,0.6921967256069184,0.7174426269531249,0.7299016404151916,0.7495737743377685,0.7715409874916077,0.7663606548309326,0.781934425830841
relu,0.2455002176545,832,197,5.06279815e-05,5,5,max,CinCECGTorso,0.2515625,0.2597049188613891,0.2703606528043746,0.2718032777309417,0.2906557357311249,0.3036065572500229,0.3158360677957534,0.3257704961299896,0.3219016408920289,0.3459672111272812,0.3489836049079894,0.3644918024539947,0.3839344274997711,0.3893114745616913,0.3920983624458313,0.4122950839996337,0.4143934440612793,0.4297377061843871,0.4385901641845703,0.4555737698078156
gelu,0.2858745062064,939,87,0.0005588825494,2,5,max,CinCECGTorso,0.2640625,0.2685245901346206,0.2709508174657821,0.3156065589189529,0.3110491800308227,0.3382950806617737,0.3638032841682433,0.3818032777309417,0.4082622933387756,0.4251803278923035,0.4366885209083557,0.4724262320995331,0.483967217206955,0.5021967220306396,0.5091803300380707,0.5393114721775054,0.5611803293228149,0.5593114757537843,0.5785245847702025,0.59426229596138
gelu,0.1025425895313,597,189,1.51548047e-05,3,6,max,CinCECGTorso,0.2396875,0.2434426230192184,0.244426229596138,0.2457704901695251,0.2641311490535736,0.2798360657691955,0.2895081949234008,0.2993114733695984,0.3102622926235199,0.3154426229000092,0.3154426270723343,0.3196065592765807,0.3200327879190445,0.326852461695671,0.3330491828918457,0.3499016368389129,0.3643278700113296,0.3610491806268692,0.3595081996917725,0.3624590164422989
gelu,0.2836181097649,875,255,0.0005021022592,2,2,max,CinCECGTorso,0.2765625,0.2540983617305755,0.25,0.2508196741342544,0.2672131121158599,0.2544262290000915,0.2698360681533813,0.3154098391532898,0.2759016335010528,0.3181967258453369,0.2875409871339798,0.3383606553077697,0.3186885297298431,0.3399999976158142,0.3924590110778808,0.4006557285785675,0.3827868819236755,0.3788524508476257,0.4073770463466644,0.4440983593463897
gelu,0.1014939448125,741,120,7.25967841e-05,3,4,max,CinCECGTorso,0.24453125,0.2518360656499862,0.2750491780042648,0.272950820326805,0.3021967190504074,0.3215737724304199,0.3448196691274643,0.3694426202774047,0.3808852458000183,0.3809508210420609,0.3939672148227691,0.4128196734189987,0.4413114762306214,0.4523934471607208,0.4623934435844421,0.4792459011077882,0.4911147606372833,0.5043934440612793,0.5209180319309235,0.5310491752624513
gelu,0.18488204657,703,251,0.0005105168549,2,2,mean,CinCECGTorso,0.2470312499999999,0.2528852462768555,0.2887540996074677,0.3133442628383636,0.3865573763847351,0.4204262322187424,0.4482295095920562,0.5049508202075959,0.553704913854599,0.5844262290000914,0.6197704923152924,0.6260983657836914,0.6633442616462708,0.6862295055389405,0.7155409908294678,0.7233442568778992,0.7433114778995513,0.7519016420841218,0.7580655694007873,0.7843606555461883
relu,0.0789410375924,375,132,0.0001806940252,3,6,max,CinCECGTorso,0.26265625,0.2578032791614532,0.309311471581459,0.324983605146408,0.3789836049079895,0.4267213094234466,0.4560327851772309,0.4635737764835358,0.4969508159160614,0.5345901572704315,0.5713114738464355,0.5787868821620942,0.6219672119617462,0.6410163962841035,0.6566229581832885,0.6564918041229248,0.6739672112464905,0.6881967186927795,0.6911147511005402,0.710229502916336
gelu,0.0298870692661,943,219,1.49029794e-05,6,5,max,CinCECGTorso,0.26765625,0.2597704893350601,0.2791803300380707,0.2878032809495925,0.3115409833192825,0.3383606588840484,0.3668524605035781,0.3850491827726364,0.4063606560230255,0.4338032793998718,0.4515081971883773,0.47691803753376,0.4947213077545166,0.5047213160991669,0.5066557407379151,0.523540985584259,0.5354754042625427,0.5500983607769012,0.5581967198848725,0.5669180357456207
gelu,0.1545748747851,448,234,0.0001385346331,3,5,max,CinCECGTorso,0.24296875,0.2606229490041732,0.2950819665193557,0.3027868831157684,0.3256393474340439,0.352590160369873,0.3592131149768829,0.3982622909545898,0.4460000002384186,0.463049179315567,0.4756065583229064,0.5045245909690858,0.5344590139389039,0.5566229546070098,0.5577049207687378,0.5875081980228425,0.6117049217224121,0.6121639406681061,0.6328852450847625,0.6511475419998168
relu,0.104457355298,917,176,4.38965867e-05,4,5,mean,CinCECGTorso,0.25875,0.2767868846654892,0.3096065592765808,0.3502295100688933,0.3953114748001098,0.4167540967464447,0.4448196732997894,0.4505573785305022,0.4775737643241882,0.5207213079929351,0.534360659122467,0.5415737712383271,0.5614426243305206,0.5790491843223572,0.5976065611839294,0.5948524582386017,0.6156393432617187,0.6305901658535003,0.636065570116043,0.6596065545082093
gelu,0.0194812497327,277,123,0.0001929991721,8,1,mean,CinCECGTorso,0.26,0.2480983591079712,0.3012786859273911,0.3331147521734238,0.361967214345932,0.3982950812578201,0.4193442612886429,0.4368196702003478,0.4595409822463989,0.479180326461792,0.4993442606925963,0.5059672117233276,0.5232131147384644,0.5390819692611695,0.5609836053848266,0.5699672114849091,0.5739016318321228,0.599245901107788,0.6202950811386109,0.6242950797080994
relu,0.2690037650178,436,109,0.0003380535776,6,4,mean,CinCECGTorso,0.251875,0.2724262291193008,0.3130163955688476,0.3637377071380615,0.3855409812927245,0.4264590167999268,0.4288852500915528,0.4567213082313538,0.4889508211612702,0.5082950818538665,0.5266557347774505,0.5460327827930451,0.5621967232227325,0.5959672152996063,0.615672128200531,0.6267868876457213,0.6405573856830598,0.6650163936614989,0.6747868895530701,0.6937049198150634
relu,0.2079566775608,777,131,0.0004429373201,8,5,mean,CinCECGTorso,0.2393749999999999,0.2657049173116684,0.303737706542015,0.3298360681533813,0.3806885278224945,0.3979672122001648,0.4233442628383637,0.4650819671154022,0.5079016387462616,0.5207540953159333,0.5583278751373291,0.5667540991306306,0.6032459032535553,0.6137049245834351,0.6494098448753357,0.6486885261535645,0.6677377033233642,0.6852131128311157,0.7060983633995056,0.7170819711685181
gelu,0.0924861422994,703,184,0.0002981528899,2,1,max,CinCECGTorso,0.253125,0.2732459014654159,0.3327540981769561,0.3716721332073211,0.4169180333614349,0.4854098403453827,0.528426228761673,0.5686229515075684,0.5976393485069276,0.6364262330532073,0.6761639332771301,0.7110819721221924,0.712032790184021,0.7318688559532165,0.762590160369873,0.7777049112319946,0.786491801738739,0.8084262275695802,0.8140983605384827,0.8361639404296876
relu,0.1546207218099,948,87,0.0002189545666,3,6,mean,CinCECGTorso,0.2565624999999999,0.264393441081047,0.2962622940540313,0.3349508178234101,0.35786885201931,0.3809508174657822,0.4015082001686096,0.4129180300235748,0.4366557335853576,0.470098363161087,0.4751147544384002,0.5077704942226411,0.5270491778850556,0.5488524532318115,0.5687868845462798,0.5695409798622132,0.5845573794841766,0.6054426240921021,0.6040327847003937,0.6370819652080535
relu,0.1090071928849,569,102,1.22683748e-05,7,1,mean,CinCECGTorso,0.250625,0.2485245907306671,0.2485901641845703,0.2534426224231719,0.25347540974617,0.2571147549152374,0.261540983915329,0.2673442620038986,0.2804262286424637,0.2857049196958542,0.2875409841537475,0.2903934413194656,0.3001639330387116,0.3076065570116043,0.3192459017038345,0.3212459027767181,0.32629507958889,0.333114755153656,0.3356065583229065,0.3445245897769927
relu,0.2122968992356,793,71,0.0001430149804,8,4,max,CinCECGTorso,0.2596874999999999,0.2623606544733047,0.2662622928619385,0.2840327906608581,0.2964918029308319,0.3046557384729385,0.3110819661617279,0.3103278702497482,0.3230163931846618,0.3324262309074401,0.3306557404994964,0.3338360649347305,0.351901638507843,0.365049180984497,0.3779672145843505,0.381180328130722,0.3856721329689025,0.3864262342453003,0.4079344236850739,0.4125901627540588
gelu,0.1770325203723,385,67,0.0001221548868,8,5,mean,CinCECGTorso,0.2559375,0.2555409842729568,0.276622946858406,0.3066229498386382,0.3464262306690216,0.3637049186229705,0.3830819678306579,0.3942295098304749,0.4026885259151458,0.4219672179222106,0.4459016370773316,0.4483606553077697,0.4589180338382722,0.4647213089466094,0.4734754145145416,0.4858360683918,0.5023606562614441,0.5140983605384826,0.5255737745761871,0.5251475381851196
gelu,0.0120431507563,523,118,0.0008386383872,2,6,mean,CinCECGTorso,0.2575,0.2490491819381714,0.2585245901346206,0.2824590140581131,0.3179016381502151,0.3434754061698913,0.3762295079231262,0.4268852460384368,0.4455737686157226,0.4991475391387939,0.5289180314540862,0.5625901663303374,0.5673770523071289,0.6039344274997711,0.6383934462070464,0.6532459044456482,0.6888196671009064,0.6980327904224396,0.7221639394760131,0.7326885247230529
relu,0.2585382304377,551,247,5.25021956e-05,3,5,max,CinCECGTorso,0.24484375,0.2632786870002747,0.2556393462419509,0.2737377059459686,0.2840327876806259,0.3024590176343918,0.2882950836420059,0.2938688522577285,0.3020983612537384,0.3105573767423629,0.3194426238536835,0.3238360649347305,0.32278688788414,0.3464262294769287,0.3533770501613616,0.3450819671154022,0.343934428691864,0.3515409839153289,0.3572131145000458,0.3696393465995788
relu,0.1788451135768,314,86,1.3344817e-05,2,2,max,CinCECGTorso,0.258125,0.2509836059808731,0.250196720957756,0.2499344259500503,0.2499344265460968,0.2522622948884964,0.2524262297153473,0.2536065572500229,0.256622953414917,0.2573114758729934,0.2611475402116776,0.2687213110923767,0.2714754110574722,0.2697049170732498,0.2687213099002838,0.2678032797574997,0.2690163916349411,0.2709508192539215,0.2724918037652969,0.2734426212310791
relu,0.205685669769,757,235,0.0003018021895,4,4,max,CinCECGTorso,0.256875,0.2620327866077423,0.2818360644578933,0.3255081975460053,0.3325901633501053,0.371836063861847,0.4124918067455291,0.4207213091850281,0.4883278667926788,0.5089508247375487,0.5509180295467377,0.5769508206844332,0.6120655798912049,0.6261639368534088,0.6331147563457489,0.6515082001686097,0.6856393408775329,0.7015409767627716,0.703147542476654,0.7179344284534455
gelu,0.2338937719251,724,185,0.0007341267844,2,2,max,CinCECGTorso,0.246875,0.2523278701305389,0.2816393464803696,0.3129508191347122,0.3098032784461975,0.3649836087226867,0.3682622933387757,0.4200983607769012,0.4396721339225768,0.4939672112464904,0.5169180321693421,0.5693114757537842,0.5954098343849182,0.6373770451545715,0.6423606610298156,0.6725573790073394,0.7141311526298523,0.7195737719535827,0.7302950811386109,0.7554754126071931
gelu,0.0286074276202,438,200,0.0001807822663,3,1,mean,CinCECGTorso,0.2421875,0.2619672131538391,0.3091147518157958,0.3559344261884689,0.3963934421539307,0.4206557357311249,0.460852460861206,0.4890819728374481,0.4951475393772125,0.5322950792312622,0.5563606572151184,0.5641967248916626,0.5738032758235931,0.6019344234466553,0.6176393461227416,0.6339672148227692,0.6489508199691774,0.6652131104469299,0.6744590198993683,0.6766557383537293
gelu,0.1124361875516,762,244,0.0002669970691,5,1,max,CinCECGTorso,0.24203125,0.2639344269037247,0.2804262268543243,0.3403934442996979,0.4036393439769745,0.4213770496845245,0.4490819680690765,0.5097377026081086,0.5423278701305388,0.5462295079231262,0.607377051115036,0.6137377023696898,0.6585901653766632,0.6760327911376953,0.7122622990608215,0.7261967134475708,0.7487213087081909,0.7679344296455384,0.7695737695693969,0.7748196721076965
gelu,0.0141494254043,282,154,0.0001043977722,4,1,max,CinCECGTorso,0.25609375,0.2591803270578384,0.2726557368040084,0.3129180318117141,0.3396065574884415,0.3589508181810379,0.3984262311458587,0.440360655784607,0.4648852467536926,0.4866229522228241,0.5036393451690674,0.5245573782920838,0.5504917991161347,0.5823934435844421,0.5970491766929628,0.611770488023758,0.618196724653244,0.6359672152996063,0.6568196773529053,0.663803278207779
gelu,0.1187156014916,820,177,0.0002692027909,8,5,mean,CinCECGTorso,0.2473437499999999,0.2555081951618195,0.2887868845462799,0.3158688503503799,0.3585901641845703,0.3925245916843414,0.396983608007431,0.4461967217922211,0.4688196754455566,0.501081964969635,0.5242622935771942,0.5431475353240967,0.5783934342861177,0.5931147599220277,0.6136065602302552,0.6232786870002747,0.6470819628238678,0.6632131063938141,0.6793442618846892,0.685836066007614
relu,0.1828105977436,817,150,6.7869574e-05,6,2,mean,CinCECGTorso,0.24671875,0.2649180328845977,0.2683934444189071,0.3176393443346024,0.3507868850231171,0.3741967248916625,0.3948196732997894,0.4163606560230254,0.4192131125926971,0.4254754090309143,0.4401311457157135,0.4501639366149902,0.4655409848690032,0.4813114774227142,0.4817704916000366,0.4911147534847259,0.5001967251300812,0.5073114728927612,0.5207868885993957,0.5337704944610595
relu,0.2780133942099,906,201,0.0001697488687,2,2,max,CinCECGTorso,0.25625,0.2569508218765258,0.2789836084842682,0.3013442605733871,0.3062950789928436,0.3343934392929077,0.3262950813770294,0.3369508188962936,0.3506885254383087,0.37852459192276,0.3989508211612701,0.4038032805919647,0.4139016389846802,0.4489836061000823,0.4501639306545257,0.4792459011077881,0.4854754126071929,0.5022295069694519,0.5097377038002014,0.5094426226615905
