activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
relu,0.1664431772069,611,129,4.97203523e-05,7,4,max,CounterMovementJump,bd540000b3447194ffc615f125241b96,0,0.3207142877578736,0.020366638025915304,0.3492857193946838,0.00792360155354919,0.3642857205867767,0.02338914157290991,0.3857142889499664,0.024985821197271895,0.3919047641754151,0.03078479895930347,0.4128571462631226,0.03723355729816128,0.42952380776405336,0.04832365696267313,0.42214285731315615,0.039676984592209814,0.4438095235824585,0.05533729520953289,0.46166666865348815,0.058741284082515825,0.47666666984558115,0.06490879781123736,0.47976190209388736,0.05478777918650274,0.4952380967140197,0.06373774127587223,0.5085714256763458,0.07180159917483026,0.49309523582458503,0.06797920723181172,0.5102380943298339,0.07757575853100128,0.5126190447807313,0.07954661409743374,0.5073809456825257,0.07493099290050695,0.5235714268684387,0.07588480217846473,0.5209523797035217,0.06925563519632982
gelu,0.2612770220245,403,81,8.17299303e-05,3,2,mean,CounterMovementJump,779c4ca97f75512ffdef87f3d2bd0017,1,0.32718749999999996,0.010102018672027884,0.37261904597282414,0.034575083296253126,0.4083333301544189,0.01997376211427458,0.4092857134342194,0.013213750168869142,0.4076190483570099,0.00908981239184667,0.42523809552192693,0.012666131532438132,0.427142858505249,0.008764361677178598,0.42880952596664434,0.023197486897150562,0.43380952477455137,0.01898426847665735,0.4259523820877075,0.015393553326732796,0.43309523940086364,0.01441902043097167,0.4552380919456482,0.013405417650343697,0.4421428537368775,0.013898520541783407,0.4519047594070435,0.01348447072650807,0.45595238327980037,0.023494946413332104,0.44952381014823917,0.021504495305117607,0.4595238053798676,0.0131222631961054,0.45690476179122924,0.023576235235652606,0.4785714292526245,0.025781436009399524,0.4738095223903656,0.018404314277667855
gelu,0.1013849205499,485,180,5.63581672e-05,7,1,mean,CounterMovementJump,49886a2d8954ab1751a3082cb3a33479,2,0.31375,0.029030560406233988,0.3830952382087707,0.01780548326021812,0.41714285850524896,0.014448475052005685,0.42857142686843874,0.012849425865018776,0.42714285373687744,0.015914130152884374,0.43142856836318966,0.01802697051378594,0.44690476298332216,0.011375119190107086,0.4516666674613953,0.011375120281754728,0.44523809194564823,0.01880424867797629,0.45785714149475104,0.01663687775735872,0.45690476298332217,0.01709483893337338,0.46476190328598027,0.017829342348193306,0.4688095200061798,0.016113260710963098,0.4819047617912293,0.020384625599843238,0.49071428179740906,0.0185462304225144,0.5154761922359468,0.03988539327705084,0.5223809504508972,0.030623252845647996,0.5228571438789368,0.0404359066534877,0.5290476167201996,0.019931144167595494,0.5207142865657806,0.0422124123525602
relu,0.2798276478548,746,234,0.0003991890753,6,3,mean,CounterMovementJump,cc5d780248d2567bfbf569e1dbab1445,3,0.33625000000000005,0.01983821281012984,0.3838095259666443,0.018144516242570876,0.3952380955219269,0.009560939976915067,0.4135714292526245,0.017181670016593733,0.3995238101482391,0.022439765665511528,0.40619047522544866,0.013479217921582904,0.42261904835700986,0.03433858628187283,0.44261904716491696,0.03444572263485858,0.4709523785114288,0.025981303328365787,0.477142858505249,0.025413250424627346,0.5019047629833222,0.016205354697476172,0.5183333361148834,0.009693428811559348,0.5345238018035889,0.046206735094308865,0.5538095188140868,0.03698531362064172,0.5714285659790039,0.04504186892198472,0.573571424484253,0.024749306773990586,0.5797619068622589,0.04240000357300504,0.588333328962326,0.033654912375650624,0.6090476191043853,0.04063868404422219,0.5983333361148835,0.030076905838173334
gelu,0.1992272919946,620,100,3.02057343e-05,6,1,mean,CounterMovementJump,416b27124b72a2b893e72651bfbd90fd,4,0.3451190483570099,0.0077046832097496555,0.3614285719394684,0.014075838122730418,0.3657142853736877,0.025399302272269452,0.3895238101482391,0.026995210340775747,0.3916666638851166,0.023038097318235515,0.41666666865348817,0.01708654847796211,0.4211904740333557,0.008392646217869448,0.4166666662693023,0.01503491730289861,0.4323809492588043,0.01711555073676703,0.43142857313156124,0.015512779291663174,0.4300000011920929,0.0111486045928989,0.43333333253860473,0.015384340882529839,0.4407142853736878,0.012805229240615234,0.4459523785114288,0.02284659498055459,0.4433333301544189,0.02262844404553778,0.4511904764175415,0.03219792409601374,0.4497619044780731,0.024316039168640963,0.4595238077640533,0.03437982733500975,0.457857140302658,0.021471517216686255,0.4359523832798004,0.00847665739034868
relu,0.1570884956322,532,153,3.29311637e-05,6,4,mean,CounterMovementJump,0db5b7098fef3e4d5c9217dc1ba5f65c,5,0.33979166626930235,0.02370106448674126,0.38309523940086365,0.02421383047459657,0.4178571403026581,0.012682906582995016,0.4292857146263123,0.008691291171712107,0.43476190567016604,0.01630995736633189,0.45238095283508295,0.030397969515253812,0.4288095247745514,0.022656613511127043,0.4330952382087708,0.02517512580184243,0.4314285695552826,0.02529025998787451,0.4438095235824585,0.015370514887118134,0.454523811340332,0.023288951113792318,0.45619047522544853,0.011052852038492428,0.4759523820877075,0.024228454719662403,0.47261904835700985,0.03151953324801309,0.4795238053798675,0.011584989478143407,0.48214285373687743,0.025491205845846288,0.4952380919456482,0.044328252473135536,0.5164285671710968,0.03383341262530757,0.490238094329834,0.03899059308539408,0.48928571343421934,0.03388154507245226
gelu,0.0324772903102,275,150,0.0003502312641,2,1,mean,CounterMovementJump,2986d9720b244efc90dce5a14c3cf5b5,6,0.32671130895614625,0.007864059261749488,0.38452380776405337,0.017697706049435335,0.41452380537986755,0.028982652026037302,0.4133333325386047,0.012297104960818112,0.44500000119209293,0.02066085294210401,0.4557142829895019,0.021941608009415053,0.4776190495491027,0.041695573078525346,0.4957142865657806,0.0571155697567106,0.52,0.05428362680813498,0.5507142865657807,0.04726505463172578,0.5580952358245849,0.049668685318485624,0.5711904764175416,0.04860147238829219,0.5880952394008637,0.06818529731105567,0.5733333337306977,0.06664859714683594,0.5995238089561463,0.055918180068305234,0.6040476238727569,0.061055299611666225,0.6085714316368103,0.054693279898221404,0.6400000023841858,0.04272963686789483,0.6290476155281067,0.05857336337431504,0.6504761934280395,0.049412647889090174
gelu,0.2049689491463,469,71,2.47356987e-05,7,1,mean,CounterMovementJump,167e5c92826c675e611066c4efe4b147,7,0.31562500000000004,0.023245743337938943,0.3330357164144516,0.020991462561942353,0.3544642835855484,0.020071090678307722,0.35892857164144515,0.015105450940459743,0.37410714328289035,0.035280097034494154,0.39226190447807313,0.03214285594445709,0.40029762089252474,0.021980867107113222,0.40773809403181077,0.01568840800432378,0.4169642850756645,0.02286571836183163,0.4160714283585548,0.00394836605485428,0.422321429848671,0.020742428719515597,0.4163690462708473,0.021103686740799172,0.42738095223903655,0.011623663473303703,0.42232142835855485,0.007919126034967484,0.43035714477300646,0.016905879762442448,0.4449404746294021,0.022989342612708796,0.43333333134651186,0.010148186085412831,0.43124999552965165,0.02202381054023369,0.440773805975914,0.02085599209069071,0.4398809492588044,0.016395174879824746
gelu,0.0160193912825,815,156,0.0003364943819,2,1,mean,CounterMovementJump,b5ceb4343da0198df6a4e7409257fdf0,8,0.3236160719394684,0.01812054646335394,0.39047619223594665,0.006890374450133104,0.40214285969734187,0.011492876932003742,0.41619047641754153,0.020509384539060024,0.4340476167201996,0.027901368837421336,0.4600000047683716,0.051263792890650126,0.47690476179122926,0.04834710980700732,0.49857142806053156,0.07149500871442788,0.5159523832798005,0.0768691865034336,0.5411904740333557,0.06485964638989179,0.5311904764175415,0.06437603487370855,0.554761905670166,0.06776832050045505,0.5654761934280396,0.07574273432702054,0.5799999988079071,0.07481269016667924,0.6152380967140199,0.04363871411330923,0.6164285767078399,0.07217565880667749,0.6259523820877075,0.08164705807089091,0.6404761934280396,0.07330376223196118,0.647380952835083,0.05974601116203398,0.6459523725509643,0.05089616515321919
gelu,0.2721211636999,803,93,0.0004302639827,2,2,max,CounterMovementJump,67dc809ba0d6dc1db2ddf03d78ebd097,9,0.324609375,0.009578944873827867,0.347916667163372,0.013305492606219757,0.3675595253705979,0.011679409234600306,0.3747023805975914,0.026750414801253165,0.4008928567171097,0.02121532291787624,0.4145833343267441,0.029520850706348398,0.43928571343421935,0.01892320809912097,0.45624999701976776,0.031412559660035144,0.4702380895614624,0.030226529505511853,0.5011904746294021,0.058321187526922204,0.5229166716337205,0.04748368404635366,0.5369047582149505,0.0448289813703767,0.5392857193946838,0.026849577785617557,0.5511904716491699,0.027372322967018074,0.5657738104462624,0.017179617615594292,0.5645833298563957,0.03766341105237156,0.5857142895460129,0.027007460584517154,0.5925595253705978,0.03660754381752355,0.597321429848671,0.04085230950184122,0.6113095283508301,0.005709331290930414
