activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
gelu,0.2410446166541,867,175,1.21559663e-05,6,5,max,DucksAndGeese,0.2140000042319298,0.2120000031590461,0.2080000033974647,0.2000000038743019,0.2000000035762787,0.2100000029802322,0.2100000038743019,0.1940000037848949,0.2040000021457672,0.1980000030994415,0.2100000038743019,0.2220000028610229,0.2200000017881393,0.2160000038146972,0.2120000022649764,0.2080000035464763,0.2080000020563602,0.2300000017881393,0.2340000021457672,0.2360000026226044
gelu,0.0610829481989,692,126,8.67151686e-05,3,4,max,DucksAndGeese,0.196000003516674,0.192000003606081,0.2020000024139881,0.2200000032782555,0.2160000029206276,0.210000002682209,0.2240000024437904,0.2340000027418136,0.2360000026226044,0.2300000044703483,0.2500000029802322,0.2740000027418136,0.2720000022649765,0.2600000023841858,0.2580000042915344,0.2680000010132789,0.2780000022053718,0.2920000019669532,0.2979999998211861,0.2820000013709068
relu,0.2647513352234,750,171,0.0007852400139,2,2,mean,DucksAndGeese,0.1940000028908252,0.186000002771616,0.2060000039637088,0.2040000028908252,0.1840000028908252,0.1900000022351741,0.1960000033676624,0.2100000016391277,0.1980000028014183,0.210000002682209,0.226000003516674,0.2280000025033951,0.2360000023245811,0.2320000025629997,0.2160000042617321,0.2140000034868717,0.228000002503395,0.2480000033974647,0.2580000033974647,0.264000004529953
gelu,0.0806520441486,895,203,1.43356643e-05,2,3,max,DucksAndGeese,0.1940000030398369,0.1900000035762787,0.2000000029802322,0.2040000033378601,0.204000002592802,0.2020000028610229,0.1980000035464763,0.2040000034868717,0.2140000031888485,0.2300000029802322,0.2460000023245811,0.2420000033080578,0.2280000030994415,0.2460000038146972,0.2480000036954879,0.2480000033974647,0.2480000020563602,0.2600000031292439,0.2680000048875809,0.2800000008940696
relu,0.1327652784346,966,119,0.0003641746085,4,1,max,DucksAndGeese,0.2040000027418136,0.2080000033974647,0.2240000021457672,0.2100000035762787,0.2260000026226044,0.2160000021755695,0.2400000029802322,0.2280000036954879,0.2320000028610229,0.2340000033378601,0.2560000029206276,0.2540000024437904,0.2700000029802322,0.2720000019669532,0.2900000038743019,0.2900000011920928,0.2860000005364417,0.2940000027418136,0.316000000834465,0.3139999985694885
gelu,0.0011885435067,287,182,0.0001074407855,7,4,max,DucksAndGeese,0.2060000032186508,0.2100000029802322,0.2120000040531158,0.228000002503395,0.2440000033378601,0.2260000021755695,0.2360000029206276,0.260000002682209,0.278000001758337,0.2860000021755695,0.3300000017881393,0.3400000023841858,0.3760000023245811,0.380000005364418,0.4060000026226044,0.4180000048875808,0.4360000044107437,0.4540000092983246,0.4540000104904174,0.4620000076293945
relu,0.0029790171703,712,154,0.0003617409085,3,4,mean,DucksAndGeese,0.200000002682209,0.2040000027418136,0.196000002771616,0.2020000028610229,0.2020000028610229,0.2040000027418136,0.1980000028014183,0.2080000025033951,0.2020000034570694,0.2040000030398368,0.2220000037550926,0.2160000032186508,0.2320000046491623,0.2360000047087669,0.2220000037550926,0.2360000029206276,0.2520000047981738,0.236000003516674,0.2420000040531158,0.2180000042915344
relu,0.0309111496501,930,125,0.0002356399395,4,6,mean,DucksAndGeese,0.1900000032782554,0.2000000035762786,0.1960000032186508,0.1980000030994415,0.2120000034570694,0.2180000036954879,0.2220000040531158,0.2100000041723251,0.216000003516674,0.2300000032782554,0.236000003516674,0.2380000048875808,0.2340000048279762,0.2400000035762786,0.2300000032782554,0.2140000039339065,0.234000005275011,0.2340000015497207,0.2280000028014182,0.252000004351139
relu,0.1773028867374,393,153,0.0003108033644,5,3,max,DucksAndGeese,0.2000000032782554,0.1940000033378601,0.2000000032782554,0.2000000032782554,0.2000000032782554,0.2240000033378601,0.2120000031590461,0.2260000041127204,0.2400000047683715,0.2400000035762786,0.2480000030994415,0.2380000025033951,0.2260000036656856,0.2540000024437904,0.2360000044107437,0.2240000027418136,0.2440000012516975,0.234000004529953,0.226000003516674,0.2360000041127205
gelu,0.2861277313706,340,226,0.0003451537141,4,2,mean,DucksAndGeese,0.196000002771616,0.2040000033378601,0.2060000032186508,0.2120000028610229,0.2040000027418136,0.2100000029802322,0.2080000030994415,0.2040000039339065,0.2160000035166741,0.2260000032186508,0.2060000024735927,0.2460000023245811,0.2240000021457671,0.2040000011026859,0.2300000041723251,0.258000003695488,0.2220000034570694,0.2380000022053718,0.2220000037550926,0.2280000028014182
relu,0.1763748059812,361,149,0.0001194370346,3,4,mean,DucksAndGeese,0.1920000028610229,0.1940000027418136,0.1920000028610229,0.1940000033378601,0.2020000028610229,0.198000002503395,0.2160000026226043,0.2100000029802322,0.2180000039935112,0.2400000023841858,0.222000004351139,0.2500000059604644,0.2540000031888485,0.2500000025331974,0.260000005364418,0.2540000036358833,0.2420000028610229,0.2160000044107436,0.2160000041127205,0.2300000019371509
relu,0.1898992985181,288,101,0.0004629215228,7,6,mean,DucksAndGeese,0.2040000033378601,0.1980000036954879,0.1960000032186508,0.2120000034570694,0.2100000035762787,0.2040000033378601,0.224000004529953,0.2200000035762786,0.2220000037550926,0.2240000027418136,0.2400000041723251,0.2220000039041042,0.2520000031590462,0.2420000040531158,0.2500000032782555,0.2440000036358833,0.2480000048875808,0.2540000039339065,0.2720000039041042,0.262000003606081
gelu,0.2151532172755,326,100,0.0003938573435,2,4,mean,DucksAndGeese,0.2060000032186508,0.2180000030994415,0.2060000032186508,0.2020000028610229,0.2100000029802322,0.2120000042021274,0.2040000033378601,0.2180000026524067,0.2100000020861626,0.2120000019669533,0.2200000040233135,0.2540000033378601,0.2380000045895576,0.2420000056922435,0.24200000166893,0.2360000032186508,0.234000001847744,0.2320000037550926,0.2500000055134296,0.2480000045895576
relu,0.0748676455047,363,105,1.21954603e-05,6,1,max,DucksAndGeese,0.2100000035762787,0.2100000035762787,0.2100000035762787,0.2100000035762787,0.2100000035762787,0.2100000035762787,0.2100000035762787,0.2100000035762787,0.2100000035762787,0.2100000032782554,0.2100000032782554,0.2100000032782554,0.2080000033974647,0.2080000033974647,0.2120000031590461,0.2160000029206276,0.2160000032186508,0.2140000030398368,0.2100000032782554,0.2060000032186508
gelu,0.2687455540663,363,219,0.0003416268042,5,1,max,DucksAndGeese,0.1880000026524066,0.2040000030398368,0.2080000033974647,0.2140000030398368,0.2220000037550926,0.2320000028610229,0.228000002503395,0.2340000039339065,0.2700000029802322,0.2580000013113022,0.2600000017881393,0.2700000032782554,0.2800000044703483,0.3020000022649765,0.2700000032782554,0.2740000039339065,0.2720000064373016,0.2720000034570694,0.2620000040531158,0.2800000016391277
relu,0.2462110003558,467,104,0.0001436380284,7,4,max,DucksAndGeese,0.1960000027716159,0.2100000035762787,0.2000000029802322,0.2040000027418136,0.2060000026226043,0.2180000033974647,0.2300000017881393,0.2380000028014183,0.2460000038146972,0.2380000030994415,0.2400000023841857,0.2440000046789646,0.2400000029802322,0.2440000039339065,0.2340000033378601,0.2420000034570694,0.2480000030994415,0.2460000032186508,0.2620000034570694,0.2560000038146973
relu,0.1841261576948,452,237,0.000222503407,2,3,mean,DucksAndGeese,0.196000003516674,0.2000000035762787,0.2160000050067901,0.2100000032782554,0.2060000041127205,0.2020000040531158,0.2180000026524067,0.2220000028610229,0.2360000023245811,0.2060000023245811,0.2300000029802322,0.2320000031590461,0.2260000033676624,0.2140000022947788,0.2420000034570694,0.2540000039339066,0.2440000052750111,0.2320000037550926,0.2600000034272671,0.2480000028014183
relu,0.104457355298,917,176,4.38965867e-05,4,5,mean,DucksAndGeese,0.2060000033676624,0.1940000030398369,0.2080000029504299,0.2060000024735927,0.2220000042021274,0.2060000027716159,0.2360000027716159,0.2140000030398368,0.228000004440546,0.2220000040531158,0.226000003516674,0.2420000037550926,0.2620000031590462,0.2460000032186508,0.2540000030398368,0.2660000032186508,0.2500000029802322,0.250000002682209,0.2580000025033951,0.2840000021457672
gelu,0.0273617073037,661,165,8.00535389e-05,5,1,mean,DucksAndGeese,0.1920000030100345,0.1960000033676624,0.1880000028014183,0.1980000032484531,0.1940000031888484,0.2080000020563602,0.2000000031292438,0.2060000032186508,0.2100000037252903,0.21200000166893,0.1940000024437904,0.1960000024735927,0.232000003606081,0.2140000034868717,0.234000001847744,0.2520000019669533,0.2340000043809413,0.2300000046193599,0.2320000025629997,0.2260000021755695
relu,0.1740555809769,968,111,2.45615018e-05,8,4,max,DucksAndGeese,0.2040000024437904,0.2020000025629997,0.2020000028610229,0.2060000032186508,0.2020000027120113,0.198000002503395,0.2020000031590461,0.2060000029206276,0.2060000029206276,0.230000002682209,0.2340000036358833,0.2360000020265579,0.2200000035762787,0.2260000020265579,0.2260000023245811,0.220000002682209,0.2120000024139881,0.2060000029206276,0.2100000028312206,0.2140000031888485
gelu,0.0176182398485,604,244,0.0001203469036,7,4,max,DucksAndGeese,0.1960000032186508,0.2040000030398368,0.2000000035762786,0.2100000038743019,0.232000004351139,0.2240000036358833,0.2200000016391277,0.2200000014901161,0.2340000046789646,0.2520000022649765,0.2760000023245811,0.296000005453825,0.3000000041723252,0.3140000018477439,0.3380000039935112,0.3240000015497207,0.3760000032186508,0.394000001847744,0.4200000041723251,0.4320000046491623
gelu,0.1821250346671,786,233,0.0003142750608,8,6,max,DucksAndGeese,0.2020000034570694,0.2040000033378601,0.2060000032186508,0.2000000029802322,0.2040000027418136,0.2280000042915344,0.2220000040531158,0.2200000032782554,0.2400000035762786,0.2340000015497207,0.2340000048279762,0.2400000023841857,0.2280000030994415,0.2460000020265579,0.2560000027716159,0.2380000028014182,0.2440000024437904,0.2600000005960464,0.2580000042915344,0.2700000029802322
gelu,0.1433826199983,940,135,0.0002836883188,2,3,mean,DucksAndGeese,0.196000003516674,0.1980000033974647,0.2020000037550925,0.2000000032782554,0.1940000036358833,0.2000000032782554,0.2000000032782554,0.2120000040531158,0.2260000050067901,0.230000002682209,0.2140000048279762,0.2300000035762786,0.228000004440546,0.2380000041425228,0.2400000044703484,0.2280000029504298,0.2560000015795231,0.2380000030994415,0.2480000035464763,0.2460000012814998
gelu,0.0066688705163,804,92,0.0002058186674,7,6,mean,DucksAndGeese,0.2080000028014183,0.2120000025629997,0.2080000028014183,0.2140000042319298,0.2060000038146972,0.2120000028610229,0.2220000031590461,0.2500000023841858,0.2100000044703483,0.2480000020563602,0.2500000023841858,0.2160000032186508,0.2360000033676624,0.2400000023841857,0.2420000037550926,0.256000003516674,0.2420000052452087,0.2280000036954879,0.2300000038743019,0.2560000032186508
gelu,0.1416456298834,323,94,0.000331933049,3,4,mean,DucksAndGeese,0.196000003516674,0.2000000035762787,0.2120000034570694,0.2140000033378601,0.2120000040531158,0.2120000034570694,0.2240000039339065,0.2160000044107436,0.2200000014901161,0.2340000016987324,0.2240000031888485,0.2400000029802322,0.2660000038146973,0.2360000026226044,0.228000002503395,0.2260000044107437,0.2620000019669533,0.2480000025033951,0.2600000020861626,0.2560000056028366
relu,0.2306991232385,583,86,0.0004027120391,5,3,max,DucksAndGeese,0.2060000032186508,0.2000000031292438,0.2020000031590461,0.206000003516674,0.2060000032186508,0.2060000032186508,0.2140000027418137,0.2060000033676624,0.2060000021755695,0.2080000038444996,0.2240000019967555,0.2360000027716159,0.2320000025629997,0.2440000009536743,0.2420000034570694,0.2500000035762787,0.252000002861023,0.2440000039339065,0.2400000031292438,0.2620000046491623
gelu,0.0983104827539,907,102,0.0006336554885,5,4,max,DucksAndGeese,0.2000000032782554,0.2040000030398368,0.2080000028014183,0.2100000032782554,0.2180000028014183,0.2020000025629997,0.2100000029802322,0.2160000024735927,0.206000002771616,0.2220000022649765,0.2320000040531158,0.2360000014305114,0.2680000013113022,0.2540000036358834,0.2580000022053718,0.2440000030398369,0.2380000054836273,0.2860000017285347,0.2800000032782554,0.2920000046491623
relu,0.2165609712649,983,217,0.0009638624807,8,3,max,DucksAndGeese,0.2080000028014183,0.2060000029206276,0.2060000029206276,0.2080000028014183,0.2020000031590461,0.2140000027418137,0.2120000040531158,0.200000002682209,0.228000002503395,0.218000002503395,0.2100000028312206,0.2320000019669533,0.2580000048875809,0.2400000040233135,0.2420000021159649,0.2280000030994415,0.2460000032186508,0.268000003695488,0.2600000032782555,0.2560000023245812
relu,0.1782715402387,673,120,0.0001554605565,4,4,mean,DucksAndGeese,0.1940000034868717,0.1980000030994415,0.196000003516674,0.2060000032186508,0.2060000032186508,0.2080000030994415,0.2020000037550926,0.2180000026524067,0.2040000027418136,0.2240000021457671,0.2460000038146972,0.2360000041127205,0.2620000019669533,0.2220000040531158,0.2500000028312206,0.2360000032186508,0.2440000039339065,0.2600000041723251,0.2620000031590462,0.2640000024437904
relu,0.1069785266301,713,68,7.02289253e-05,2,2,mean,DucksAndGeese,0.2100000029802322,0.2080000030994415,0.2180000028014183,0.2140000024437904,0.2180000039935112,0.2240000027418136,0.2180000039935112,0.2280000033974648,0.1980000028014183,0.1780000022053718,0.1980000023543834,0.2160000029206275,0.2200000035762787,0.2180000045895576,0.2260000048577785,0.220000005364418,0.2300000032782554,0.2280000028014183,0.2400000029802322,0.2540000043809414
gelu,0.1048137170397,1016,127,3.57600806e-05,4,5,max,DucksAndGeese,0.2040000030398368,0.2000000028312206,0.2000000025331974,0.2000000029802322,0.2000000022351741,0.2000000022351741,0.1940000033378601,0.1780000029504299,0.2020000030100345,0.1840000033378601,0.1980000041425228,0.2100000025331974,0.2220000027120113,0.2100000028312206,0.2000000041723251,0.2040000036358833,0.2240000030398369,0.2280000028014183,0.2320000031590461,0.2400000035762786
relu,0.1096151242424,754,253,0.0001043038538,7,2,max,DucksAndGeese,0.1980000036954879,0.2020000034570694,0.1960000038146972,0.2020000040531158,0.2060000032186508,0.2060000029206276,0.2140000043809414,0.2140000028908252,0.2300000025331974,0.2520000013709068,0.2560000027716159,0.2600000037252903,0.2540000018477439,0.2880000019073486,0.3180000019073487,0.2720000025629997,0.2760000011324882,0.2880000013113021,0.2780000014603138,0.2960000033676624
gelu,0.061220533798,684,196,0.0005312269802,2,4,max,DucksAndGeese,0.1960000033676624,0.1940000028908252,0.2040000028908252,0.2180000038444996,0.2000000025331974,0.2120000040531158,0.2300000029802322,0.226000003516674,0.2240000027418136,0.2500000008940697,0.2460000021755695,0.2360000038146972,0.2760000050067901,0.2520000040531158,0.298000002503395,0.2780000051856041,0.2720000034570694,0.3020000031590461,0.3080000036954879,0.3220000028610229
gelu,0.2943832271927,371,249,0.000478538,2,1,mean,DucksAndGeese,0.2120000040531158,0.2160000044107436,0.2200000035762786,0.224000004529953,0.2280000042915343,0.2360000056028365,0.2240000042319297,0.2240000027418137,0.2040000030398368,0.212000003606081,0.2140000036358833,0.218000004440546,0.2320000040531158,0.2260000032186508,0.2380000030994415,0.2340000027418136,0.2580000019073486,0.2280000033974647,0.2580000022053718,0.2540000027418136
gelu,0.1365615956037,678,141,4.52360177e-05,7,2,max,DucksAndGeese,0.2040000033378601,0.2200000023841858,0.2140000033378601,0.2180000036954879,0.2180000042915344,0.2200000035762786,0.2320000034570693,0.2280000030994415,0.2140000040829181,0.2560000017285347,0.2280000032484531,0.2160000023245811,0.2240000019967555,0.2380000022053718,0.2320000022649765,0.2400000020861625,0.2400000035762786,0.2420000010728836,0.2420000025629997,0.2460000021755695
