activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
relu,0.194895345657,522,71,2.21318821e-05,7,5,mean,EigenWorms,1440b549307660aab3525ec577d09e85,0,0.1910576955974102,0.03900398579478136,0.2784615382552147,0.07978335752148583,0.336153846681118,0.08468528176981036,0.37384615570306773,0.08742705234526763,0.38384615063667293,0.0859337808831283,0.3892307662963867,0.07832378079015892,0.3953846150636673,0.06882358446695129,0.4007692301273346,0.056421903259266555,0.41692307710647586,0.03793874880855953,0.42384615540504456,0.028445929298647674,0.4269230771064758,0.027196409878974908,0.43076923131942746,0.029792168576547286,0.43384615182876585,0.029717602874760576,0.4399999964237213,0.02936708662439493,0.4484615349769593,0.02873053378663366,0.45384614825248726,0.033197449206663836,0.45923076510429384,0.04075834424499407,0.4753846156597136,0.043052879012451056,0.4738461577892304,0.044472582625596946,0.47846154332160945,0.0475431887048542
gelu,0.1100700271787,288,183,9.40136356e-05,5,5,mean,EigenWorms,c4b75aed9eee34b1b704f0d410a2ac31,1,0.21375000193715094,0.051372164987784526,0.4023076915740966,0.0394676074708288,0.4138461577892304,0.05530976998004086,0.46461538672447206,0.06071564779172395,0.5184615433216095,0.08445789850470052,0.5600000023841858,0.09136537645570438,0.6046153843402863,0.08805928866913097,0.6392307674884796,0.10611481442684394,0.6900000047683716,0.12626871278349075,0.6969230842590333,0.13582968196238424,0.7369230818748476,0.15831490184527217,0.7469230818748473,0.15490978187905516,0.7600000023841857,0.15053159804762567,0.7938461589813233,0.1443358440908817,0.7869230842590332,0.1259461138608505,0.7976923108100891,0.13027620371989604,0.8146153879165648,0.12890067156478877,0.8276923084259031,0.14262956114800057,0.8430769205093384,0.13190682140798407,0.8576923036575318,0.1236764232899641
gelu,0.1951974196376,796,199,8.34933779e-05,4,1,mean,EigenWorms,4eafbdc44a857484dfb88a570a2e161f,2,0.19942307889461516,0.03274599646328569,0.3792307701706886,0.041744497849466024,0.39846154093742375,0.03813320646116126,0.421538461446762,0.020460664460071915,0.44076922774314886,0.014026599801680611,0.44923076868057255,0.015717546537771195,0.45846153736114503,0.028445938888974058,0.4830769264698029,0.059060699498088134,0.49153846502304077,0.059048164916666965,0.5146153914928437,0.07350079971473156,0.5407692313194274,0.08278616913349265,0.5707692360877991,0.09629219876127353,0.5915384650230409,0.10042070670905051,0.5869230771064758,0.09431314869288722,0.6438461565971375,0.1267948086065462,0.6561538457870484,0.13047477946662756,0.6723076927661895,0.13072397266964322,0.6723076927661895,0.139377311132111,0.701538461446762,0.1497186698234452,0.7115384638309479,0.15203258044214255
relu,0.0017763052853,339,83,3.30576725e-05,7,6,mean,EigenWorms,3bceb1c77ecb0a294da11d13abc7c818,3,0.2202884662151337,0.05207465782130834,0.3692307728528976,0.03817197969747798,0.39153846621513366,0.04242988716365678,0.4038461548089981,0.046153843216598156,0.4230769252777099,0.04970325585966481,0.4323076915740967,0.04011815834181856,0.44615384578704836,0.04410516879243142,0.4584615409374237,0.05352928158721584,0.4815384685993195,0.06855438670937765,0.5015384650230408,0.07021732480302414,0.519230774641037,0.08630309684960692,0.5384615468978882,0.0934623252582185,0.5800000035762787,0.1089011728605401,0.5830769252777099,0.10619146847495,0.6038461613655091,0.1233470581417091,0.6115384650230409,0.10973339894201846,0.635384622812271,0.12658462322347885,0.6592307686805725,0.13319580632186528,0.6646153867244721,0.1341034195463141,0.6715384614467621,0.13545343423026449
gelu,0.2306772262297,367,219,1.30687553e-05,7,2,max,EigenWorms,232044829aa41afeef92b0ab7180d1f0,4,0.20076923400163654,0.055828879825943076,0.2100000035762787,0.06393182334721788,0.23153846561908722,0.08092475864086163,0.23615384981036186,0.08789955260902702,0.26461538866162304,0.117273007225109,0.28076923549175264,0.12988957471962853,0.29307692795991896,0.13193485005437083,0.3200000047683716,0.14322469439327576,0.32384615898132324,0.13958942227550555,0.33538462042808537,0.12056940793371994,0.3438461595773697,0.10992197236166494,0.3538461595773697,0.09669080724455728,0.36000000715255737,0.0890698113217928,0.36076923489570617,0.08789113718720024,0.36307692945003506,0.08533782097853937,0.3684615451097488,0.08237416022928049,0.37230769932270047,0.08128952882847956,0.3715384683012962,0.0814349810390269,0.3715384683012962,0.0814349810390269,0.37230769932270047,0.08128952882847956
gelu,0.2815734035873,355,148,0.0001777973348,6,2,mean,EigenWorms,dcb4292942e617aeebaab4d67aee18a9,5,0.21769231140613554,0.03084126160097345,0.3930769300460815,0.03497674246876061,0.40692308127880095,0.022327567747981718,0.424615386724472,0.02285145680796886,0.4330769276618957,0.03403356513021349,0.4523076915740967,0.045067337160413536,0.4692307627201081,0.06331567906845849,0.49615384221076964,0.07610138051111837,0.52,0.10389599791834553,0.5492307662963867,0.1186212702860182,0.5692307734489441,0.12581097532246618,0.5823076951503754,0.1316036667210583,0.6123076903820037,0.15187194384841388,0.62307692527771,0.15463738638047494,0.6269230818748474,0.16365373170987116,0.637692310810089,0.16202764727339622,0.6546153855323791,0.17035031112290167,0.6638461637496949,0.17538208443690334,0.6784615480899812,0.1810676720795131,0.6969230854511261,0.17539895518484833
gelu,0.100729947055,370,193,2.01891986e-05,6,2,max,EigenWorms,7e00b7e71f9deecc81c9463dc2ad1f08,6,0.2107692341506481,0.06763109133710206,0.24846154198050502,0.03764518224871299,0.28461538881063464,0.06749972638506166,0.3361538517475128,0.10123497851112682,0.34153846502304075,0.09799770603931607,0.36538462042808534,0.09389658122048931,0.3653846192359924,0.09892170061382873,0.3823076957464218,0.0998000947645618,0.38615384995937346,0.08906981472565435,0.3892307734489441,0.07785018131855703,0.3946153891086578,0.06592536070151855,0.3953846216201782,0.06420887726986381,0.3961538505554199,0.062492598287211265,0.3953846180438995,0.059795014179081,0.39615384817123417,0.06026322836319504,0.39461538672447205,0.06370001698010508,0.3961538481712341,0.0645306208779479,0.3961538469791412,0.06458790434761306,0.393076923713088,0.07145983952964367,0.395384614765644,0.07067928829375036
gelu,0.1452013953971,473,109,6.9763602e-05,8,1,mean,EigenWorms,f3ef6eb6db8e2c7fe2a0b3f0b9c9747d,7,0.2169230803847313,0.032133226972537884,0.28307692661881445,0.08747780217869094,0.35076923549175265,0.06844640443072841,0.380000005364418,0.05234160746864341,0.3907692366838455,0.048314787133413216,0.4038461604714393,0.05138609823635715,0.4069230797886848,0.043886608728752226,0.41153846830129615,0.041155624149206586,0.4184615439176559,0.04092132534875281,0.4184615442156791,0.04329271256558487,0.41692308366298675,0.0440716062741389,0.42307692587375645,0.03987775896489496,0.43000000476837164,0.031056339492122942,0.4361538517475128,0.032816496944476144,0.440769237279892,0.041655806665073535,0.43846154570579526,0.03738887537947404,0.4484615433216095,0.04288072607035541,0.4630769324302674,0.05766665092974637,0.4692307794094086,0.060201821053546704,0.48307693362236026,0.07157359526881255
relu,0.2088127550704,572,110,0.0004548079792,7,3,mean,EigenWorms,79ddbf1e92265b4fc7b56e4a2eda731a,8,0.22230769604444506,0.036426956785574144,0.4030769300460816,0.025279499152227897,0.43076923370361325,0.03638631604517957,0.4423076927661896,0.04418894326530311,0.4846153867244721,0.038557571900405645,0.5230769264698029,0.07590674382918315,0.5700000059604645,0.0879752471027866,0.6138461530208588,0.11768853172858254,0.6661538505554199,0.13341220385751093,0.6684615433216095,0.11846528296502314,0.6992307806015015,0.15325365548333,0.7192307758331299,0.13896808654826107,0.7361538553237915,0.1522659166560564,0.7461538517475128,0.1588140188461499,0.772307699918747,0.15673725085798917,0.7884615445137024,0.13971122795207708,0.8000000095367431,0.11792083665480199,0.8200000083446503,0.12389749968971497,0.8369230854511261,0.12042208884724466,0.8423076939582824,0.10881964031209798
gelu,0.1683074145177,766,133,2.77598511e-05,7,2,mean,EigenWorms,9c1bd55aa81f42dfcc86dd1c1e465d08,9,0.23307692751288417,0.037150741463133144,0.27769231259822846,0.040375451009444265,0.3392307740449906,0.09050319152286927,0.3553846204280854,0.0874778028977316,0.3723076981306076,0.07770753173600956,0.38615384876728054,0.06205313016691334,0.4123077011108399,0.044472581568858624,0.4215384662151337,0.029990130453741878,0.4323076975345611,0.026170799009554557,0.4346153867244721,0.019799281184291757,0.4376923072338104,0.013706557047539907,0.44076922774314886,0.01934580320891496,0.44384615302085884,0.023489892069252234,0.4476923084259033,0.026451920142647377,0.4523076915740966,0.027547700374061655,0.4607692313194275,0.03935500429147053,0.45846154332160954,0.040099723016618405,0.47076923727989195,0.05305740170984701,0.4769230842590332,0.05659206614344215,0.4807692384719848,0.05896041545986992
