activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
relu,0.2805464101851,415,129,5.32050957e-05,5,6,mean,FiftyWords,b948c75f336e46e6f204c413f653aa88,0,0.01618093928322196,0.005756908394077815,0.09613259822130203,0.037528414380590194,0.12928177006542682,0.029525720809104667,0.1434254163503647,0.020320678379734503,0.14453038781881333,0.012437687090012469,0.15624309659004212,0.020428542570272778,0.16751381367444992,0.028285997583462393,0.1772375699877739,0.036967888811110385,0.18298342525959016,0.0419496725056823,0.1977900567650795,0.04820263651935066,0.19292817771434784,0.0468383166684778,0.20883978128433228,0.05287728623265381,0.21569060981273652,0.054823782450083076,0.23204420089721683,0.06494944346964797,0.22696132928133012,0.06495696314921216,0.23845304310321808,0.06275231464426057,0.24265193641185762,0.07230437944276293,0.2570165753364563,0.0731313076762701,0.2570165753364563,0.06908330994601963,0.26254144072532654,0.06704733386616188
gelu,0.1347615738188,492,134,0.0005917180957,3,4,mean,FiftyWords,a1778c824a5c0a8d1e252fe887f4d3b1,1,0.02805593930184841,0.020528582569108184,0.12596685230731963,0.014085690352768045,0.13591160416603087,0.005579838406193046,0.1622099471092224,0.01588625890454672,0.1973480689525604,0.03878909320949137,0.22276243388652803,0.056389328247178815,0.26143646597862247,0.07878150551907688,0.2923756945133209,0.08823049950350388,0.3367955815792084,0.09988974450987011,0.3569060808420181,0.10750364576389165,0.3840883988142013,0.10679602259255976,0.40530387401580814,0.1228568333821484,0.42872928380966185,0.12669894525559258,0.4481768006086349,0.12339528866130849,0.4689502781629562,0.12749772292900477,0.47977901816368107,0.12266536986675884,0.496353600025177,0.13085270772928165,0.5014364731311798,0.12894227378483808,0.524198899269104,0.1443831499916048,0.5356906151771545,0.1343016533312527
gelu,0.1470339935069,813,90,0.0009669853855,7,2,mean,FiftyWords,4aa5e9e97e3189479dacfea2afe5a779,2,0.024694406278431412,0.00587925949103648,0.12950276374816894,0.013106853860421245,0.1365745881199837,0.013433481330950094,0.16707182437181473,0.027804932238794,0.1946961334347725,0.03960520478230959,0.21613259613513947,0.054696688147688785,0.2539226526021957,0.07274126460326555,0.2786740374565125,0.08195215576448675,0.3118232065439225,0.09933203690020027,0.34563536226749425,0.10945196114195879,0.3703867417573929,0.11739622944762748,0.39204420149326324,0.11951439135842863,0.41480663597583767,0.12019488682269168,0.4240884011983871,0.13073369053350675,0.45414365410804747,0.12628872246245834,0.46320442199707035,0.11973893697812643,0.4930386787652969,0.13521674620996998,0.5065193456411361,0.14200421052577036,0.5166850870847702,0.13242529880252576,0.5303867495059967,0.13792029257120922
gelu,0.0523051265342,946,200,0.0002076597044,2,6,max,FiftyWords,fb04e9df08f16468852aaa1ab62285dd,3,0.020433356445282696,0.017538793861003085,0.13745856523513794,0.009427946520377376,0.18983425706624985,0.03245497666477982,0.21922652274370194,0.06336802381401282,0.2689502793550491,0.07227904260570726,0.30209944903850555,0.0789479336910633,0.34541436493396754,0.0889986449141286,0.3732596695423126,0.09490354964253735,0.4015469664335251,0.11227464887268754,0.4371270763874054,0.11095099774053292,0.4508287310600281,0.11119942153068808,0.4746961402893066,0.11632058551549049,0.48817680060863494,0.12558922921729418,0.5038674092292785,0.1271630644680736,0.5184530401229859,0.12358264567245698,0.5392265284061433,0.12331214117606545,0.54895028591156,0.12647807025061264,0.5641989064216614,0.12441271608205577,0.5635359227657318,0.11440333509652577,0.5743646442890167,0.12050126787750874
relu,0.1474471383021,950,193,0.0008856007615,3,4,max,FiftyWords,e66b2be08407dd36d354f27f28372afc,4,0.016629834230989217,0.007231361261407085,0.1009944749623537,0.007758447874610244,0.12287292927503586,0.017107455876140393,0.1454143652319908,0.021119141095577526,0.18828729420900345,0.033173104318293685,0.22320442140102387,0.052144858577731726,0.26320441871881484,0.06358825520669176,0.2886187863349915,0.07006082527140615,0.32906077802181244,0.09939347581163778,0.34961326360702516,0.08966835239705383,0.38254144191741946,0.09307842575820237,0.41790055751800537,0.10565754735747256,0.4291712754964828,0.11787677914552115,0.4519337046146393,0.12447257697598665,0.47933702051639554,0.11154858829617435,0.48464089035987856,0.12733002428841106,0.503425418138504,0.12217466963241903,0.5261878502368927,0.11916910161664662,0.5266298401355743,0.11686251102238969,0.5493922710418702,0.12143490170071354
gelu,0.0928242210063,837,166,2.2134875e-05,6,1,mean,FiftyWords,83ea1b4345fdab3565101711f7e9227a,5,0.01807838412001729,0.012601635869057678,0.032044199071824556,0.02081927449836721,0.05767955858260393,0.031325528533370846,0.08883977899327875,0.04322546796522166,0.09812154812738298,0.045875653198192645,0.10740331647917627,0.04997725502867109,0.11425414402037859,0.051990094669475996,0.12309392385184766,0.04961067542408646,0.1268508308380842,0.04565555429566589,0.1295027632266283,0.046810938053890506,0.13082873083651064,0.04753051187010639,0.1361325981467962,0.04663454657025704,0.14519337221980094,0.03529517671404263,0.1527071839570999,0.019240483137947805,0.15447514057159423,0.017160900120067876,0.15845304101705554,0.01974471438860287,0.1575690621137619,0.01866389422347958,0.16198895066976549,0.0182337161574305,0.16441989123821257,0.020124455870371143,0.17038674175739288,0.0267074351162906
relu,0.0040535922483,555,192,2.27169768e-05,4,1,max,FiftyWords,20e374896b093c12196c5ce03be85abd,6,0.029342196136713027,0.021966437410393724,0.040000000447034834,0.02737344686448908,0.07204419922083617,0.026454801957383863,0.0908287290483713,0.01420222663271414,0.1222099456191063,0.017516513650675587,0.1348066298663616,0.02244209524062278,0.15535911679267883,0.025034392455057716,0.16508287400007243,0.02282777610647531,0.17414364844560626,0.02071049517900914,0.17723757177591323,0.023538764435785113,0.18055248767137527,0.024165824206918318,0.18784530490636825,0.024497015477378984,0.18872928321361543,0.021446145547691028,0.19668508380651475,0.0221959225771671,0.20375690639019012,0.02582658827533806,0.20906077265739445,0.024909715496412365,0.21104972481727602,0.024546807498528868,0.21988950312137606,0.026276512867513643,0.22541436493396758,0.026241642318926745,0.2313812178373337,0.023847958200980676
relu,0.0064352629037,731,144,0.0003694245108,3,3,max,FiftyWords,03436e8d57738aed3c0f5f5490f50ba6,7,0.01858080130070448,0.004350231819660641,0.1498342552781105,0.023053971049569702,0.197348068356514,0.03470211360710599,0.22629834473133084,0.04623355378269686,0.2731491732597351,0.052059327230678305,0.30276243150234217,0.07940054649126536,0.3407734847068787,0.09028239406225615,0.3767955833673477,0.09281766940617847,0.39756906330585484,0.09912593728269126,0.4220994520187378,0.09835806029993414,0.44596685528755187,0.08744862966690052,0.4640883982181549,0.08976497812650902,0.4764640963077545,0.093134155173499,0.4928176844120025,0.08143878637225871,0.5012154757976532,0.08450185429117775,0.5200000071525575,0.08872384296683952,0.5286187863349914,0.0885240692746168,0.540331494808197,0.08735224333722344,0.5507182323932647,0.08876168013289427,0.5622099530696869,0.09052144796899574
gelu,0.158693177138,656,224,8.77181902e-05,5,5,mean,FiftyWords,dc32f9d5c166cd0311c0e66f6638b700,8,0.018482389599084856,0.0066954790062149746,0.13524862080812453,0.008142380446535204,0.15889502853155135,0.009125225009467408,0.17546961486339568,0.013060194172157364,0.19270718455314637,0.024467093450157275,0.22165746092796326,0.015657891419033045,0.24220994651317596,0.021488801959980222,0.2702762448787689,0.02378387401873711,0.2972375720739365,0.02928697770254318,0.3257458561658859,0.029817879737738286,0.34629834473133086,0.03016594965026415,0.36154695987701413,0.029540191124769678,0.38077348351478574,0.024165823000929836,0.3924861860275269,0.02261012182621976,0.40110497355461117,0.036017693331353226,0.41215469837188723,0.02141195861625659,0.430497237443924,0.029178387997277937,0.4358011078834533,0.023512814415125736,0.44132596611976627,0.016213375664476223,0.45613260030746455,0.03182819493756198
gelu,0.0260142028329,850,160,0.0005862185385,5,6,max,FiftyWords,2b797c535d9d0165ff9770bacdbae808,9,0.01661429574713111,0.006359305468128135,0.11845303848385809,0.007945050783233949,0.16640884160995484,0.015832370843995053,0.1882872948050499,0.019211908977294957,0.23337016701698304,0.0213748622422607,0.2939226520061493,0.05038237726652032,0.3414364659786225,0.05711755932800645,0.3776795595884323,0.05865415395755331,0.41104972481727603,0.06854837564602888,0.4545856392383575,0.05696023169806942,0.48861879110336304,0.06278149667905424,0.5169060814380646,0.06438017506007346,0.5416574609279633,0.06713286955905497,0.5655248594284057,0.06555010304494216,0.5869613325595855,0.05432037955500629,0.6125966930389405,0.06256817644375133,0.6225414443016052,0.053203008837725746,0.6309392261505127,0.06160654165419091,0.6481768035888672,0.049333026948124754,0.6537016582489014,0.04827604048186126
relu,0.2340297540352,378,105,0.0001830599769,2,2,max,FiftyWords,5ecb51590e60c9317134d883d5e38069,10,0.015821823403239253,0.0032569348676877194,0.08265193367376925,0.03525017728571941,0.11204419907182454,0.011445934870181817,0.12132596731185914,0.004966234086649934,0.12817679584026337,0.008044320643351838,0.13325966894626617,0.010529174429464841,0.1432044205069542,0.017946875287743577,0.15403315126895906,0.023304180267507163,0.16883978098630903,0.029092477544775792,0.16508287370204927,0.025107442886596092,0.1776795580983162,0.03974369236126248,0.1792265203595161,0.04078231479137162,0.19138121515512466,0.037847522321621044,0.2066298332810402,0.038333145266668305,0.21127072066068647,0.04130291824708507,0.21635359466075896,0.048821779888197886,0.22254143744707106,0.049715163014522314,0.23138121634721753,0.04878549952322216,0.236243095099926,0.05437093171156368,0.2481767979264259,0.0582006915340364
gelu,0.2066633496847,463,200,1.26072524e-05,7,4,mean,FiftyWords,c538148d2129f6b4a2848cff77231a3f,11,0.022247928269207476,0.01647713223790233,0.042651934139430525,0.01581307764040978,0.09370165724307297,0.021043850145750838,0.11403314929455517,0.021245949291165196,0.12640884086489676,0.015599299257299965,0.1445303875207901,0.010809543694384915,0.14696132630109787,0.009145274127148524,0.1509392264485359,0.014141919485125722,0.15668508201837542,0.014029233185990793,0.16375690698623657,0.012966368777438678,0.16596685141324996,0.015057655243528369,0.1664088416099548,0.018383764156045916,0.17591160356998445,0.0201850340572365,0.17281768053770066,0.020323683860897862,0.18011049717664718,0.024018855307895687,0.18696132779121397,0.022971734100995067,0.18674033343791963,0.02214084489532355,0.1949171268939972,0.025944505563420078,0.20066298276185993,0.025696250730249375,0.20530386686325075,0.027936358739493655
gelu,0.0208337092054,1015,168,0.0006646466657,8,4,max,FiftyWords,41bfaf1c93f95933dc6694d9e91e862e,12,0.023169889822602274,0.011390900196439006,0.12685083016753196,0.024675790688537962,0.16243094027042387,0.03739804933015739,0.23823204547166826,0.07270432674806238,0.29834254324436194,0.09417580239809628,0.3409944796562195,0.0954717837570702,0.3955801123380661,0.10911287247440582,0.42939227223396303,0.105704334394664,0.465193372964859,0.11757186083653538,0.4954696249961853,0.12319228120590789,0.5314917206764221,0.13189268991617634,0.5451933777332306,0.13064540177947423,0.5812154734134675,0.1209932087669924,0.5882872939109801,0.12043337113396708,0.6019889545440674,0.11602051545607799,0.6225414371490477,0.1349279392322325,0.6245303928852082,0.11757289206246853,0.6371270751953125,0.1205979921804509,0.6461878621578216,0.10679544456278509,0.6537016725540161,0.11327609860681977
gelu,0.0346814111501,543,191,1.91227901e-05,2,6,max,FiftyWords,e88e8a1772bedba20d85fe8016bae287,13,0.02278832895681262,0.009310095166249078,0.0640883982181549,0.03547116153464018,0.10497237734496594,0.030472003443212346,0.11889502920210362,0.026572229363286695,0.14342541612684725,0.03178020363743712,0.1474033173918724,0.03332000113847378,0.15889502733945846,0.03432002031306258,0.1661878454685211,0.0383219954648169,0.17701657623052597,0.04499558319765006,0.186961327791214,0.03601260795126646,0.1991160249710083,0.04223105092972799,0.20817679822444918,0.05256812316391949,0.22497237592935565,0.04932683633544398,0.23093922793865201,0.05066632466301542,0.2349171295762062,0.057790159761012184,0.24508287489414213,0.06276690445234039,0.2530386763811111,0.058328516564682346,0.2618784540891647,0.06070815248502829,0.26718232333660125,0.06007331640332751,0.2729281806945801,0.06496354452224767
gelu,0.1547112762592,513,86,0.0005641887243,6,3,mean,FiftyWords,ee37d5c8a34618c13f5f0d473ffb3b42,14,0.023466850779950622,0.0055660121634027145,0.1268508306145668,0.005147321230941373,0.14254143714904782,0.01039496496952059,0.15845304012298583,0.02122007232501708,0.18850829005241393,0.018200203729513788,0.21613259971141813,0.044140846476322944,0.2537016600370407,0.06412934087915385,0.27933702051639553,0.08081571763696459,0.30784530580043795,0.09050526472238139,0.3312707191705703,0.10314607350550245,0.34696133077144625,0.10345220760650388,0.37944751739501953,0.11928226403533618,0.3829834294319153,0.11400401466971063,0.4024309414625168,0.11750538398357582,0.41834254562854767,0.12171409713716139,0.4355801117420196,0.12090841088600546,0.44419889748096464,0.12495717971335886,0.4559116089344025,0.13207216777396003,0.47403315663337714,0.12576556093460345,0.48243094325065616,0.12607971385121666
relu,0.0764572149202,916,184,0.0001300614003,8,6,max,FiftyWords,6dc01305dd2ff93fb2d6b73c120cb44a,15,0.026622928231954574,0.02188805397602778,0.12419889539480208,0.02239580146834991,0.16353591322898864,0.0384047455348996,0.2011049744486809,0.0522910001867071,0.23690608024597165,0.0646838407299295,0.2643093967437744,0.07169303554762556,0.2961325985193252,0.08764527501771573,0.3219889524579048,0.10121993070029663,0.3425414365530014,0.12043945187340609,0.3613259673118591,0.11240887445557239,0.38187845826148986,0.10685888068619571,0.40287293076515207,0.11795961420446012,0.41922652304172514,0.12934691210316002,0.43491713106632235,0.12241677385035056,0.43712707519531246,0.12394815261546696,0.4543646490573884,0.1331306008735534,0.467845311164856,0.12411057949988404,0.4877348113059997,0.12108299096304462,0.49104972839355465,0.12368930246500257,0.5025414407253266,0.12151782142751934
relu,0.2336843744022,378,212,9.46707279e-05,7,4,mean,FiftyWords,8a44d3d6ddd41245735912d11824493d,16,0.018185428362339738,0.007663596039384016,0.12685083061456678,0.012966368599659429,0.15668508410453796,0.00888798878117924,0.17414364904165267,0.02059225045767207,0.18298342704772946,0.026306698002124193,0.2097237592935562,0.041221541244269924,0.2245303875207901,0.05158812691958549,0.2492817705869675,0.062397193809863964,0.2742541462182998,0.07485484313004905,0.27712707400321956,0.0789316928002686,0.30342541873455053,0.08067660435815083,0.31977900981903074,0.08849993883433681,0.34563536047935484,0.09588906621602804,0.35182320594787597,0.0902248960240116,0.35535911917686464,0.09432348610878781,0.3675138139724731,0.10964756359071565,0.37701657772064207,0.10882266408027998,0.3829834252595901,0.10069990661430162,0.39049724400043484,0.10755077119289921,0.3982320487499237,0.09532459667953648
gelu,0.2151532172755,326,100,0.0003938573435,2,4,mean,FiftyWords,f9cdb151cfbf64e5d90455d103cb2b9e,17,0.01579937856644392,0.007882703293274408,0.12574585661292076,0.014137602314040175,0.13745856434106826,0.008860472645626309,0.15425414562225342,0.01313476978252926,0.16928176939487458,0.02141765903481266,0.18209945052862167,0.04087202923760007,0.19779005706310274,0.036051575036627925,0.22629834473133087,0.040752361901481876,0.23712707281112672,0.05397198898009337,0.26254143893718723,0.05459055587099832,0.2667403358221054,0.06723373413472696,0.27580110788345336,0.07352260541905514,0.3014364689588546,0.07910938600344534,0.3129281783103943,0.0739564194780346,0.3244198930263519,0.07812787199998067,0.3379005587100982,0.0876814883682443,0.3531491738557816,0.08828237784780674,0.36331492006778715,0.08748980807443747,0.37546961545944213,0.09660580533379064,0.37966851234436033,0.09215628287679255
