activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
gelu,0.2108560110309,373,126,1.76305359e-05,2,2,max,KeplerLightCurves,0.116015625,0.1464429532736539,0.2137718112021684,0.246093958094716,0.2512751653790473,0.2583624145388603,0.278577179312706,0.2770469760894775,0.2841342252492905,0.284402682185173,0.2892080497741699,0.2883758360147476,0.2895301991701126,0.2956778502464294,0.2953288567066193,0.2963221436738967,0.2984697955846786,0.2992483168840408,0.2992483192682266,0.2991140896081924
relu,0.0819691632804,682,172,1.43148321e-05,5,5,mean,KeplerLightCurves,0.14375,0.2264966434985399,0.2978523457050323,0.2927785211801529,0.3067114078998565,0.3092348963022232,0.3182013404369354,0.3165369093418121,0.3187919449806213,0.3285637557506561,0.3276510047912597,0.3349798655509949,0.3401610743999481,0.340590603351593,0.3484832215309142,0.3502281892299652,0.3537449657917022,0.3524295306205749,0.3590872490406037,0.3528859055042267
relu,0.0443600700385,531,113,3.47931776e-05,7,3,max,KeplerLightCurves,0.13359375,0.188187920153141,0.2278657704591751,0.2900134187936783,0.28671140730381,0.2944966425001621,0.3097718095779419,0.3090201312303543,0.3143624138832092,0.3147382551431656,0.3186308705806732,0.3263087248802185,0.3291006702184677,0.3314899331331252,0.3348993265628814,0.3342281866073608,0.3337449669837952,0.3384697967767715,0.3342281860113143,0.3463355672359467
relu,0.0240489578473,780,223,3.52592535e-05,2,5,max,KeplerLightCurves,0.125,0.2574496626853942,0.2602684557437896,0.2657718122005462,0.2950335592031479,0.2998657673597336,0.3077852338552475,0.3233557045459747,0.3238926231861114,0.3081879198551178,0.3187919408082962,0.3766442954540253,0.3456375867128372,0.3582550287246704,0.3632214784622192,0.3840268492698669,0.364161080121994,0.3697986602783203,0.3767785251140594,0.3746308743953704
gelu,0.2615965759781,995,232,0.0001278081047,5,6,mean,KeplerLightCurves,0.12109375,0.2025503365322947,0.251167784333229,0.291033553481102,0.2973154336214065,0.3037583863735199,0.3045100647211075,0.2923758363723754,0.3257718110084534,0.3178255021572113,0.3345503336191177,0.3539060378074646,0.3533154356479644,0.3648053675889969,0.3506845647096634,0.3646711415052414,0.3727785217761993,0.366228187084198,0.3945234930515289,0.3828993278741837
gelu,0.1199522545758,563,194,9.21114764e-05,3,6,mean,KeplerLightCurves,0.16578125,0.2106040266156196,0.2884563732147217,0.2896644270420075,0.2985771799087524,0.3022550302743911,0.3161342275142669,0.3180134224891662,0.3241342276334762,0.3342013442516327,0.3352751672267914,0.3532617431879044,0.3572080528736114,0.3576375848054886,0.3693691289424896,0.3793557035923004,0.3820939564704895,0.3609932875633239,0.3864161074161529,0.405261744260788
gelu,0.2752521848786,795,124,0.0002497218896,8,4,max,KeplerLightCurves,0.141875,0.2216644272953272,0.2427650991082191,0.2778791928291321,0.2799731516838074,0.2521342265605926,0.2608053678274155,0.2786577141284942,0.2890469783544541,0.289664426445961,0.2842416095733642,0.3009127527475357,0.3014228177070618,0.2982013386487961,0.3056375831365585,0.3087248307466507,0.3154093950986862,0.3289127504825592,0.322067112326622,0.3385771852731705
gelu,0.0401701607631,655,148,0.0005187833859,6,3,max,KeplerLightCurves,0.1453125,0.2093154353648424,0.2572617429494858,0.2541476494073867,0.2746845614910126,0.2775033563375473,0.3093691283464432,0.3168590599298477,0.330093959569931,0.3392214757204056,0.3703624141216278,0.3811275172233581,0.3551140928268433,0.3902550333738327,0.4043758332729339,0.3961879193782807,0.4103892606496811,0.4024161058664321,0.4275167775154113,0.4210738241672516
relu,0.2557760580073,514,244,1.7160836e-05,4,3,max,KeplerLightCurves,0.14484375,0.2037315434217453,0.2586308699846268,0.2757315415143966,0.2780402666330337,0.2805637556314468,0.2829798626899719,0.2848590576648712,0.2862550300359726,0.2830603998899459,0.2876241582632065,0.2873557013273239,0.2829798626899719,0.2788456344604492,0.2838389229774475,0.284805366396904,0.2795704674720764,0.280134225487709,0.2777986544370651,0.2876510030031204
gelu,0.2446956815341,738,154,0.0003063958784,4,3,max,KeplerLightCurves,0.126875,0.1978523486107588,0.2495301993191242,0.2549530179053545,0.2764295274019241,0.2626845622062683,0.2795436233282089,0.2754630863666534,0.2818523460626602,0.2917046976089478,0.2967516767978668,0.2958389264345169,0.3119731515645981,0.3209932863712311,0.332724831700325,0.3295570486783981,0.3217181211709976,0.3185771787166596,0.3299060386419296,0.3261476510763169
