activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,group_id,repeat_idx,val_acc_1,val_acc_std_1,val_acc_2,val_acc_std_2,val_acc_3,val_acc_std_3,val_acc_4,val_acc_std_4,val_acc_5,val_acc_std_5,val_acc_6,val_acc_std_6,val_acc_7,val_acc_std_7,val_acc_8,val_acc_std_8,val_acc_9,val_acc_std_9,val_acc_10,val_acc_std_10,val_acc_11,val_acc_std_11,val_acc_12,val_acc_std_12,val_acc_13,val_acc_std_13,val_acc_14,val_acc_std_14,val_acc_15,val_acc_std_15,val_acc_16,val_acc_std_16,val_acc_17,val_acc_std_17,val_acc_18,val_acc_std_18,val_acc_19,val_acc_std_19,val_acc_20,val_acc_std_20
relu,0.0068248533265,444,119,0.0001314059377,3,3,mean,RightWhaleCalls,f1ecb03eeeb39e04bab107c14079c7ab,0,0.5071875,0.036737030024213996,0.5151819145679475,0.035874430538037023,0.5116758501529693,0.03141624029038753,0.5098254275321961,0.03154850830747483,0.5188864350318909,0.04143177839781425,0.5276424133777617,0.048254121506638555,0.5296049237251281,0.05886514679365613,0.5310069799423218,0.046462436021163386,0.5289415645599365,0.04818742737861952,0.5364277863502502,0.03126169042677031,0.5476662969589233,0.028789782339464335,0.5631973481178284,0.014396966205559181,0.5707166492938995,0.015154009144046833,0.5699301719665527,0.011473545368718648,0.5705972075462341,0.012479031533408385,0.567341046333313,0.010454980714232481,0.5758085310459137,0.015760008106831917,0.5747041606903076,0.019829806928866087,0.5772197699546814,0.013639048153393453,0.5791473770141601,0.012931869584783555
gelu,0.0114454616177,720,237,8.7687954e-05,4,5,max,RightWhaleCalls,a2e2b76ecc8a15e33cd551b54cceab0a,1,0.490078125,0.051428863282359495,0.5144891571998597,0.01967451594610689,0.521519660949707,0.028708986771056454,0.5149650835990907,0.01719502933189839,0.5313138508796692,0.03536283073999412,0.5238717365264892,0.027348582597478594,0.5265858113765717,0.034783151262278864,0.5167934572696686,0.025004843571550073,0.5241988253593445,0.03631241231903784,0.5315343630313873,0.021908252857572967,0.5446067655086517,0.02668544448571542,0.5501249527931213,0.018637121014322546,0.5571462678909302,0.015389021390707075,0.5639599370956422,0.02230143660001734,0.5632579922676085,0.021376561424090706,0.5644744539260864,0.016301094985961707,0.5730264568328858,0.01122646510740587,0.5762091147899627,0.009685721644895472,0.5659408318996428,0.021738140673339672,0.5672050666809081,0.015257938192967543
relu,0.2048941544644,1023,171,1.42572062e-05,4,6,max,RightWhaleCalls,3ee0f851ddf03faaf56df7efde54d9d5,2,0.4921875,0.031366968593569904,0.5028353536128998,0.02387375629503845,0.4997243654727936,0.028297996115225287,0.5056119072437286,0.035687328358890595,0.5016317522525787,0.03441217863769175,0.5008783507347107,0.0302181407687898,0.49987872481346124,0.02762470247324912,0.5072234499454498,0.022931661861636452,0.5145718514919281,0.021339448131402244,0.5191436982154846,0.018744348752206843,0.5225486958026886,0.019283108773335007,0.520626608133316,0.0224390720590456,0.5260308682918549,0.02035592057195912,0.5327673625946046,0.021400964272717603,0.5382873892784119,0.026600605521108545,0.5408397662639618,0.028807740209035104,0.541734652519226,0.029406828552054457,0.5431183362007141,0.02938734256711758,0.5448621785640717,0.0279334345387635,0.5472895956039429,0.027272731737495698
relu,0.049181432978,264,130,8.97283963e-05,4,3,mean,RightWhaleCalls,a48536c9bbb3785f84292aefe5a884bb,3,0.50703125,0.023030317145286965,0.5189378893375396,0.023598054423455878,0.5148199236392974,0.021974593617538785,0.5273539137840271,0.03687644398486256,0.5263487720489503,0.03740527575353103,0.526166855096817,0.029667766854124297,0.5328224945068359,0.03280902211728988,0.5386604166030884,0.031817373774831154,0.5510124921798706,0.028680661306080484,0.5657534039020538,0.023658787013406762,0.5620764398574829,0.02678423358691102,0.5599485492706299,0.027566694053576892,0.5614406514167787,0.02357646186909191,0.5625707519054413,0.014318880619567983,0.5708471143245697,0.013854718493312558,0.5725762581825256,0.012436722577822157,0.5780889391899109,0.012304650270730879,0.5765196633338927,0.02385610820008468,0.5782359445095062,0.023860836052460793,0.5783645749092103,0.022064273524727323
relu,0.2928572457859,489,100,3.81980588e-05,5,6,mean,RightWhaleCalls,b5f869f5bc912b0b0235eb8b1dd32514,4,0.5188281250000001,0.02093837451531876,0.5155898559093475,0.012730737439158452,0.5140040445327758,0.009884988222125154,0.5136218309402467,0.008878803194665191,0.5105641329288483,0.007631211709276364,0.5110602724552155,0.009619688556242735,0.512826167345047,0.012226217202761116,0.5141583943367004,0.012844416735429716,0.5172234487533569,0.014610608147819075,0.520804853439331,0.016864258216733957,0.5239581084251403,0.01746065576242269,0.5334435892105102,0.01698047882926667,0.5400679886341095,0.015741023975415845,0.5410878360271455,0.013160794012472977,0.5410768079757691,0.012215569398256514,0.541041898727417,0.012274086728033918,0.5412954831123351,0.010906144218657871,0.5403693521022797,0.009702975339674817,0.539048147201538,0.009130903203348174,0.5390205812454223,0.008927095697172975
relu,0.1551038879495,717,111,0.0001224984922,7,5,max,RightWhaleCalls,087409af3fdc77fc37c4bf98fc4bd8b8,5,0.5134375,0.02676508226974562,0.5166703414916992,0.009362921291340977,0.5178647577762604,0.010151637276809742,0.5336696112155914,0.020754279984335454,0.5338147747516633,0.021865420633301547,0.5318706357479096,0.02088018383312525,0.5367328226566315,0.025391933410115936,0.540209481716156,0.0317674792073969,0.5531844925880431,0.021316698834891304,0.5599981594085695,0.014312871754972064,0.5631312000751495,0.011042681020185935,0.5688404941558838,0.016700063810978296,0.5680558586120605,0.02542579073174562,0.5702002930641175,0.017993921105360557,0.5730521869659424,0.014902849280001042,0.5776387381553649,0.010077998158123219,0.5844744563102723,0.00558715365621662,0.5849099564552308,0.006644162794449211,0.582925395965576,0.008189817257294625,0.581036376953125,0.008088146224044293
gelu,0.1256097800855,917,217,1.49723887e-05,2,2,max,RightWhaleCalls,c9f2e7d1db956e6d49605397c9c6e791,6,0.5034375,0.033755063277603255,0.4944634354114532,0.010398586952075366,0.4925836133956909,0.011001080112072037,0.49351893067359925,0.010497220402246498,0.4939305436611175,0.010401765242136901,0.4943458318710327,0.010487988056405224,0.500988608598709,0.009485885801904867,0.5084876906871797,0.010303509485453959,0.5139415621757507,0.005329302695839284,0.5147703051567077,0.008551625823683223,0.5231752991676331,0.007667828420966761,0.5255751550197602,0.00399457183563898,0.5286953353881836,0.003706769002756516,0.5297372269630432,0.009224332981649576,0.5371003341674805,0.016011899499409288,0.5439562606811524,0.018669153018295703,0.5490297663211823,0.025410967384885207,0.5553362739086152,0.022903958438161422,0.5592080080509185,0.019877517289935878,0.5597151803970337,0.01954591928090034
relu,0.1941032951829,372,255,0.0001221040988,8,5,max,RightWhaleCalls,6292b1724469cd117b0fec54071b9eb1,7,0.48921875000000004,0.02070238795857858,0.501267912387848,0.01503390774205548,0.5113156938552856,0.017336787874411733,0.512232631444931,0.019054373746150013,0.5134343993663787,0.022739376226308134,0.5142429220676423,0.024267943895966974,0.5285005545616149,0.037590180806221604,0.5290352809429169,0.04317334569634747,0.5355696427822114,0.03459415011633139,0.5495369350910186,0.027761959599014244,0.5498419725894929,0.02415842869037181,0.5545571434497834,0.029836580724003893,0.563166116476059,0.02314132646490947,0.567330025434494,0.015966675874455445,0.5608103573322297,0.01847252386357533,0.557394335269928,0.02254440366346624,0.5667567121982573,0.022746418091452242,0.5690554976463318,0.023979430499921926,0.5738827681541443,0.013243925709852885,0.5678280019760132,0.015803023497463195
gelu,0.1477026746908,973,118,0.000186039397,2,3,max,RightWhaleCalls,5de07618fe48304f488fb7c298a683f3,8,0.49796874999999996,0.020354523836852566,0.49194046258926394,0.02070369652107153,0.49980705857276914,0.013554832091422579,0.5071334075927734,0.02263155793177084,0.5067732453346252,0.02198853970579467,0.505211319923401,0.02442910843821484,0.5120102846622467,0.023424485646305872,0.5212440276145935,0.030769715099086936,0.5437816977500916,0.023062966210959917,0.5553307628631592,0.020794620652903842,0.5552278602123261,0.026823416538529023,0.5503932416439057,0.02473426436753239,0.5535961043834686,0.018035721155395982,0.5671903705596923,0.016130816866498095,0.5724255812168122,0.019084692423475824,0.5768449115753174,0.015371512975755678,0.5808177161216735,0.0171102160042715,0.5788074183464051,0.02122900106918087,0.5768871712684631,0.01919015045051545,0.5760253620147706,0.016058670431108323
gelu,0.1264265481228,582,153,0.0001688410756,2,6,max,RightWhaleCalls,2be3197b9c73641b42115f3490a7c418,9,0.48046875,0.017849468216868544,0.49821021437644963,0.014134589942787136,0.5020047771930696,0.02064693603382302,0.5049173104763032,0.02641642294277334,0.5032726895809174,0.023110073621356357,0.5115031230449677,0.040306143315189766,0.5148254287242888,0.03137013422914554,0.5230999660491944,0.026120069740013005,0.5370543909072876,0.03219483981237098,0.5431256890296936,0.022470667700681853,0.5616060256958008,0.02023393095763399,0.5517364966869355,0.032034932916434854,0.55788680434227,0.03101314857219944,0.5600202119350434,0.03009029304393642,0.5631367111206055,0.022895834122917104,0.5760823190212251,0.01726455305989965,0.5769037103652954,0.012286066576996837,0.5752186703681945,0.011279622302369032,0.5724843764305115,0.011107311653405387,0.5796582102775574,0.01096677096859473
gelu,0.0543780487609,310,88,7.01410983e-05,4,1,max,RightWhaleCalls,3ff35abbc65ad4d097a7fdbabfede597,10,0.49703125000000004,0.00985738143474216,0.500503488779068,0.015357095539645094,0.49622197628021236,0.02146929370795795,0.49402609348297116,0.025445860498661335,0.49566335678100587,0.02244588169751284,0.4954704141616821,0.022789372049077286,0.500027562379837,0.01362935085506312,0.49230613827705383,0.01364613927606024,0.4923024618625641,0.011047873233639711,0.5031918442249299,0.015294959460364584,0.5066446149349212,0.016217710828794158,0.5157754516601563,0.012834915275386513,0.5264884221553803,0.008409301732832521,0.5299283361434937,0.01424906618234709,0.5381771385669708,0.01680752733519369,0.5457368624210357,0.018524745223123154,0.5494064676761627,0.02315182260973441,0.555630283355713,0.022031119497851526,0.5633204698562622,0.016798045733506094,0.5681165039539338,0.017678594481719108
gelu,0.1710197797838,757,135,1.43929475e-05,4,3,mean,RightWhaleCalls,9ac3c7069c50bd7802454c743e56955b,11,0.4871875,0.011817294000743153,0.492410877943039,0.016341781871368383,0.4929474449157715,0.01606905662886327,0.4932892310619354,0.015940048195841668,0.49264608502387996,0.016211868780624247,0.48901690363883976,0.01973995936699543,0.4929180455207825,0.016755498585392742,0.4942080163955689,0.017157701659321258,0.4940738701820374,0.009587387714108084,0.5023667788505555,0.0101559287177038,0.5069165682792663,0.012170159374889975,0.5141657447814942,0.011236612697738574,0.5132782113552095,0.013225162835832879,0.5143972754478454,0.01688434009356011,0.5185667037963867,0.01750692180085053,0.5200422668457032,0.020650531607793173,0.5209794187545777,0.022256410890340955,0.5224219036102296,0.022943334780704115,0.5228978347778319,0.02335651191991058,0.5241896343231202,0.023448972005927715
