activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
gelu,0.0496323069187,520,75,1.73971548e-05,4,3,mean,classification_ozone,0.5006451427936554,0.4980645012855529,0.4890322422981262,0.4941935324668883,0.4929032111167907,0.498064501285553,0.4954838550090789,0.4967741787433624,0.4954838562011718,0.4941935324668883,0.4916128861904144,0.4916128849983215,0.5032257890701295,0.4954838538169861,0.4967741751670838,0.4954838526248932,0.4916128838062287,0.4877419161796569,0.4941935300827026,0.4851612746715545
gelu,0.1227307399906,993,205,0.0002660745655,8,4,max,classification_ozone,0.4825806260108948,0.5058064365386963,0.4967741811275482,0.4838709545135497,0.4748386967182159,0.4838709473609924,0.4864515948295593,0.4903225600719452,0.4929032099246979,0.4916128897666931,0.4761290180683136,0.4619354701042175,0.4838709521293641,0.4851612770557404,0.4916128849983215,0.4929032075405121,0.4916128849983215,0.4735483729839325,0.472258049249649,0.463225793838501
gelu,0.1472921434737,890,66,0.0002035984482,4,3,mean,classification_ozone,0.5174193382263185,0.4825806283950806,0.4722580480575561,0.5006451463699342,0.4890322399139404,0.4877419221401214,0.4735483705997467,0.4838709521293641,0.48129030585289,0.4632257890701293,0.4658064365386963,0.4658064353466034,0.4658064365386963,0.4748386931419373,0.4787096607685089,0.4670967590808869,0.4761290192604065,0.4722580468654632,0.4696774077415466,0.4696774053573608
relu,0.2323245577832,731,139,0.0004688162429,6,2,max,classification_ozone,0.4993548238277435,0.4903225672245025,0.4851612770557404,0.4916128861904144,0.4825806295871734,0.4683870816230774,0.4851612758636475,0.4877419221401214,0.4722580504417419,0.4619354701042175,0.4670967602729797,0.4619354701042176,0.4503225648403167,0.4541935324668884,0.4632257902622222,0.4580645000934601,0.4580644989013672,0.4593548214435577,0.467096756696701,0.4554838562011719
gelu,0.0411139096052,437,232,0.0006296810751,6,3,max,classification_ozone,0.4980644941329956,0.4954838538169861,0.5006451439857483,0.5122580468654633,0.4916128873825073,0.4877419185638427,0.4774193370342255,0.4929032099246979,0.4774193394184112,0.4954838550090789,0.4916128849983215,0.469677402973175,0.46451611161232,0.4709677231311798,0.4645161139965057,0.4799999809265136,0.4748386919498443,0.4709677267074584,0.4799999833106995,0.4748386907577514
relu,0.2515431834903,807,183,0.0004710390213,8,2,mean,classification_ozone,0.5083870804309845,0.5122580468654633,0.4954838526248932,0.4890322387218475,0.4929032099246979,0.5006451439857483,0.5032257854938507,0.4877419161796569,0.4916128861904144,0.4812903070449829,0.4864515960216522,0.4825806260108948,0.4722580468654633,0.4658064353466034,0.4670967590808869,0.4774193394184113,0.4606451451778411,0.4799999845027923,0.4696774017810822,0.4709677243232727
relu,0.0328834287905,738,248,4.50522625e-05,2,3,max,classification_ozone,0.500645147562027,0.4929032123088837,0.4735483705997467,0.4890322411060334,0.483870950937271,0.4877419161796569,0.4851612687110901,0.4799999833106995,0.4709677267074584,0.4709677278995514,0.4709677255153656,0.4683870816230774,0.472258049249649,0.4658064365386963,0.4683870828151703,0.4709677278995514,0.463225792646408,0.463225792646408,0.4658064365386963,0.4658064353466035
relu,0.047511852384,385,242,2.54483788e-05,4,1,mean,classification_ozone,0.5096774005889892,0.5135483670234681,0.5045161104202271,0.5109677278995515,0.501935465335846,0.4941935312747955,0.4929032111167908,0.4851612746715545,0.4916128873825073,0.4799999856948853,0.4838709509372711,0.472258049249649,0.4645161151885986,0.4606451463699341,0.4722580504417419,0.4645161151885986,0.460645147562027,0.4593548238277435,0.4567741775512696,0.4554838538169861
gelu,0.1773622941786,1014,174,0.000204793631,7,4,max,classification_ozone,0.4877419197559357,0.5045161080360412,0.4993548214435577,0.4851612746715545,0.4761290180683136,0.4748386943340301,0.4799999845027923,0.4567741787433624,0.4748386943340301,0.4748386919498443,0.4877419173717499,0.4903225612640381,0.4838709473609924,0.4774193382263183,0.4748386943340302,0.4658064377307892,0.4619354701042175,0.463225792646408,0.4632257914543151,0.469677404165268
relu,0.168204097407,781,219,3.74741748e-05,6,3,mean,classification_ozone,0.5006451439857483,0.4967741739749908,0.5070967531204225,0.4980644977092743,0.501935465335846,0.4787096619606018,0.4812903094291688,0.4696774041652679,0.4748386943340302,0.4683870816230773,0.487741916179657,0.4799999821186065,0.4774193370342255,0.4877419149875641,0.4929032051563263,0.4916128838062286,0.490322562456131,0.4825806272029876,0.4722580468654632,0.4632257902622223
gelu,0.0175083483737,687,242,8.482277e-05,2,4,mean,classification_ozone,0.5148386943340301,0.498064501285553,0.4941935312747955,0.476129013299942,0.4864515960216522,0.4916128885746002,0.5135483682155609,0.5032257854938507,0.4799999833106995,0.472258049249649,0.4825806260108948,0.4761290168762206,0.4980644977092742,0.4799999809265136,0.483870950937271,0.472258049249649,0.476129013299942,0.4825806260108948,0.4761290144920349,0.4851612722873688
gelu,0.246284492629,763,91,0.0001014585002,7,4,mean,classification_ozone,0.5006451416015625,0.4967741787433624,0.504516110420227,0.4890322387218475,0.4787096607685089,0.4709677255153656,0.4774193394184112,0.478709659576416,0.4980644989013671,0.4903225660324096,0.483870950937271,0.4709677243232726,0.4580645024776458,0.4645161139965057,0.4658064353466034,0.4632257902622223,0.4748386919498443,0.4851612734794616,0.4864515936374665,0.4851612687110901
relu,0.0192763813772,282,132,0.0001953035744,7,1,mean,classification_ozone,0.501935464143753,0.4961290156841277,0.4819354677200317,0.4877419173717499,0.4883870810270309,0.4851612734794616,0.4903225630521774,0.498709659576416,0.4922580474615097,0.492258049249649,0.4909677284955979,0.4793548244237899,0.4645161122083664,0.4645161145925522,0.4677419209480286,0.4625806295871735,0.4793548220396042,0.4767741757631302,0.4793548220396042,0.4716128873825072
gelu,0.0091896354802,373,81,2.64073866e-05,4,4,max,classification_ozone,0.495483853816986,0.4954838526248932,0.4980645000934601,0.5006451451778412,0.4993548214435577,0.4980644977092743,0.4941935312747955,0.5006451451778412,0.4967741775512695,0.4941935348510742,0.4929032111167907,0.4980645000934601,0.4941935300827026,0.4941935300827026,0.4916128849983215,0.4799999821186065,0.4812903022766113,0.4877419137954712,0.4890322363376617,0.4864515912532806
relu,0.2538206944515,277,219,1.39656598e-05,2,6,mean,classification_ozone,0.4929032075405121,0.5070967519283295,0.5083870804309846,0.4993548202514648,0.4929032063484191,0.4877419185638427,0.4799999845027923,0.4864516007900238,0.4890322434902191,0.4864515972137451,0.4864515972137451,0.4787096643447876,0.4916128897666931,0.4993548250198364,0.4993548274040222,0.4903225660324096,0.4941935348510742,0.4954838585853577,0.4954838573932648,0.4916128885746002
