Model,Dataset,Regressor,R2 ± std,RMSE ± std,MAE ± std
CNN,AbnormalHeartbeat,LinearRegression,0.47 ± 0.23,0.044 ± 0.008,0.035 ± 0.005
CNN,AbnormalHeartbeat,RandomForest,0.54 ± 0.14,0.042 ± 0.009,0.034 ± 0.006
CNN,AbnormalHeartbeat,XGBoost,0.55 ± 0.26,0.040 ± 0.009,0.029 ± 0.007
CNN,Adiac,LinearRegression,0.55 ± 0.10,0.110 ± 0.012,0.090 ± 0.010
CNN,Adiac,RandomForest,0.56 ± 0.13,0.108 ± 0.018,0.089 ± 0.013
CNN,Adiac,XGBoost,0.55 ± 0.23,0.107 ± 0.018,0.082 ± 0.016
CNN,ArrowHead,LinearRegression,0.33 ± 0.27,0.060 ± 0.010,0.048 ± 0.007
CNN,ArrowHead,RandomForest,0.40 ± 0.34,0.056 ± 0.011,0.042 ± 0.006
CNN,ArrowHead,XGBoost,0.35 ± 0.34,0.058 ± 0.011,0.043 ± 0.007
CNN,Beef,LinearRegression,0.56 ± 0.14,0.056 ± 0.006,0.047 ± 0.005
CNN,Beef,RandomForest,0.61 ± 0.10,0.054 ± 0.009,0.044 ± 0.007
CNN,Beef,XGBoost,0.59 ± 0.12,0.055 ± 0.009,0.044 ± 0.009
CNN,BeetleFly,LinearRegression,0.57 ± 0.13,0.065 ± 0.008,0.053 ± 0.008
CNN,BeetleFly,RandomForest,0.52 ± 0.16,0.069 ± 0.012,0.055 ± 0.010
CNN,BeetleFly,XGBoost,0.48 ± 0.19,0.072 ± 0.015,0.054 ± 0.012
CNN,BinaryHeartbeat,LinearRegression,0.50 ± 0.20,0.043 ± 0.005,0.035 ± 0.004
CNN,BinaryHeartbeat,RandomForest,0.56 ± 0.13,0.041 ± 0.009,0.033 ± 0.006
CNN,BinaryHeartbeat,XGBoost,0.64 ± 0.18,0.036 ± 0.011,0.028 ± 0.006
CNN,BirdChicken,LinearRegression,0.58 ± 0.15,0.053 ± 0.007,0.043 ± 0.007
CNN,BirdChicken,RandomForest,0.60 ± 0.08,0.052 ± 0.006,0.044 ± 0.006
CNN,BirdChicken,XGBoost,0.55 ± 0.13,0.055 ± 0.008,0.045 ± 0.007
CNN,CBF,LinearRegression,-0.52 ± 2.25,0.049 ± 0.014,0.037 ± 0.005
