Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
CNN,HouseTwenty,XGBoost,0.3179,0.2841,0.0738,0.0162,0.0542,0.0128
CNN,CatsDogs,XGBoost,-0.8779,1.8736,0.0295,0.0073,0.0184,0.0036
CNN,Car,XGBoost,0.2784,0.3229,0.0847,0.0162,0.0644,0.0119
CNN,BeetleFly,XGBoost,0.4754,0.1872,0.0718,0.0153,0.0537,0.0122
CNN,CBF,XGBoost,0.1286,0.66,0.0427,0.0152,0.024,0.0074
CNN,Adiac,XGBoost,0.5504,0.2262,0.1068,0.0185,0.0823,0.0163
CNN,Beef,XGBoost,0.5903,0.1243,0.055,0.0088,0.0442,0.0085
CNN,CounterMovementJump,XGBoost,-0.7325,2.4074,0.077,0.0292,0.0482,0.0168
CNN,classification_ozone,XGBoost,0.2204,0.1874,0.0263,0.0025,0.0215,0.002
CNN,RightWhaleCalls,XGBoost,0.1466,0.3691,0.007,0.0016,0.0056,0.0011
CNN,KeplerLightCurves,XGBoost,0.3697,0.2558,0.0992,0.0161,0.0797,0.0136
CNN,FaultDetectionB,XGBoost,0.2308,0.5859,0.0521,0.0136,0.0318,0.008
CNN,EigenWorms,XGBoost,0.059,0.3991,0.1297,0.0221,0.086,0.0162
CNN,AbnormalHeartbeat,XGBoost,0.5497,0.2574,0.04,0.0095,0.0294,0.007
CNN,FiftyWords,XGBoost,0.438,0.413,0.0739,0.0221,0.0502,0.0129
CNN,ArrowHead,XGBoost,0.3515,0.3406,0.0581,0.011,0.0428,0.0074
CNN,ChlorineConcentration,XGBoost,-4.3426,7.4497,0.0269,0.0093,0.0141,0.0037
CNN,DucksAndGeese,XGBoost,0.7749,0.1188,0.0758,0.0194,0.0586,0.0139
CNN,BinaryHeartbeat,XGBoost,0.6409,0.1831,0.0365,0.0105,0.0277,0.0065
CNN,BirdChicken,XGBoost,0.5529,0.1348,0.0551,0.0083,0.0452,0.0072
CNN,CinCECGTorso,XGBoost,-0.1791,0.7833,0.1386,0.0423,0.0809,0.0262
