Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
GRU,HouseTwenty,XGBoost,0.4673,0.1739,0.0214,0.0031,0.0167,0.0023
GRU,CatsDogs,XGBoost,-0.0431,0.3301,0.0279,0.0039,0.0217,0.0033
GRU,Car,XGBoost,0.5539,0.2233,0.0241,0.0043,0.0191,0.0031
GRU,BeetleFly,XGBoost,0.4871,0.2534,0.0448,0.0117,0.0312,0.0074
GRU,CBF,XGBoost,0.832,0.0852,0.0756,0.0154,0.057,0.0117
GRU,Adiac,XGBoost,0.6298,0.1275,0.0219,0.0031,0.0178,0.0025
GRU,Beef,XGBoost,0.5406,0.115,0.0187,0.0019,0.0149,0.0017
GRU,CounterMovementJump,XGBoost,0.3827,0.4459,0.0573,0.0281,0.0255,0.0133
GRU,classification_ozone,XGBoost,0.2352,0.242,0.0159,0.0018,0.0127,0.0015
GRU,RightWhaleCalls,XGBoost,-0.1395,0.657,0.0144,0.0033,0.0092,0.0022
GRU,KeplerLightCurves,XGBoost,-10.8476,25.3197,0.0128,0.0078,0.0046,0.0024
GRU,FaultDetectionB,XGBoost,0.6051,0.2018,0.046,0.0082,0.0304,0.0052
GRU,EigenWorms,XGBoost,0.752,0.0951,0.0773,0.0142,0.0599,0.0106
GRU,AbnormalHeartbeat,XGBoost,-2.3212,4.462,0.0052,0.0028,0.0025,0.0009
GRU,FiftyWords,XGBoost,0.6965,0.151,0.0574,0.015,0.0439,0.009
GRU,ArrowHead,XGBoost,0.6007,0.1541,0.02,0.0028,0.0161,0.0024
GRU,ChlorineConcentration,XGBoost,0.3695,0.2346,0.0371,0.0067,0.0218,0.0047
GRU,DucksAndGeese,XGBoost,-0.0785,0.3109,0.0262,0.0041,0.0207,0.0033
GRU,BinaryHeartbeat,XGBoost,-1.8586,3.0401,0.0049,0.0019,0.0027,0.0007
GRU,BirdChicken,XGBoost,0.0195,0.4594,0.0272,0.0049,0.0217,0.0037
GRU,CinCECGTorso,XGBoost,0.3239,0.2078,0.0483,0.0066,0.038,0.0056
