Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
LSTM,HouseTwenty,XGBoost,0.3158,0.4691,0.0328,0.0079,0.0257,0.0067
LSTM,CatsDogs,XGBoost,0.0226,0.3849,0.0112,0.0025,0.0084,0.002
LSTM,Car,XGBoost,-0.2551,0.8528,0.0437,0.0085,0.0337,0.0056
LSTM,BeetleFly,XGBoost,-0.5474,1.1608,0.0396,0.0086,0.0303,0.0062
LSTM,CBF,XGBoost,-0.3701,2.0855,0.0492,0.0185,0.0279,0.0119
LSTM,Adiac,XGBoost,0.2177,0.3243,0.0231,0.0024,0.0182,0.0025
LSTM,Beef,XGBoost,0.6125,0.1322,0.0227,0.0035,0.017,0.0025
LSTM,CounterMovementJump,XGBoost,0.3193,0.3595,0.0034,0.0011,0.0023,0.0007
LSTM,classification_ozone,XGBoost,-0.831,0.7521,0.0115,0.0011,0.0097,0.001
LSTM,RightWhaleCalls,XGBoost,0.8133,0.1155,0.0062,0.002,0.0049,0.0016
LSTM,KeplerLightCurves,XGBoost,-0.1199,0.8991,0.0171,0.0057,0.0117,0.0039
LSTM,FaultDetectionB,XGBoost,0.6046,0.1582,0.0537,0.0106,0.0434,0.0091
LSTM,EigenWorms,XGBoost,0.5846,0.1694,0.1083,0.0199,0.084,0.017
LSTM,AbnormalHeartbeat,XGBoost,-540.9794,2326.4391,0.0061,0.0012,0.0031,0.0011
LSTM,FiftyWords,XGBoost,0.4361,0.2422,0.0893,0.0152,0.0715,0.0126
LSTM,ArrowHead,XGBoost,0.0809,0.5381,0.0748,0.0107,0.0566,0.0108
LSTM,ChlorineConcentration,XGBoost,-0.3695,0.4015,0.002,0.0004,0.0016,0.0003
LSTM,DucksAndGeese,XGBoost,-0.4473,0.7051,0.0084,0.0018,0.0069,0.0013
LSTM,BinaryHeartbeat,XGBoost,-86.9883,210.6245,0.0039,0.0016,0.0018,0.0008
LSTM,BirdChicken,XGBoost,0.2497,0.3476,0.0633,0.0174,0.0484,0.0124
LSTM,CinCECGTorso,XGBoost,0.3181,0.1746,0.0921,0.0129,0.0749,0.0125
