Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
Transformer,HouseTwenty,XGBoost,0.4356,0.2054,0.0149,0.0017,0.012,0.0016
Transformer,CatsDogs,XGBoost,0.6731,0.1024,0.0229,0.003,0.0189,0.0027
Transformer,Car,XGBoost,0.3206,0.2064,0.0516,0.0075,0.0417,0.0059
Transformer,BeetleFly,XGBoost,-0.0656,0.8703,0.0356,0.0077,0.0281,0.0053
Transformer,CBF,XGBoost,0.516,0.1979,0.0366,0.0094,0.0244,0.0055
Transformer,Adiac,XGBoost,0.5916,0.218,0.0283,0.0046,0.0212,0.0032
Transformer,Beef,XGBoost,0.5281,0.2407,0.0388,0.0079,0.0299,0.0065
Transformer,CounterMovementJump,XGBoost,0.7318,0.0958,0.0466,0.0073,0.037,0.005
Transformer,classification_ozone,XGBoost,-0.0951,0.4117,0.0111,0.0017,0.0086,0.0012
Transformer,RightWhaleCalls,XGBoost,0.2847,0.2706,0.0129,0.0026,0.01,0.002
Transformer,KeplerLightCurves,XGBoost,0.5899,0.1483,0.0247,0.0043,0.0191,0.0038
Transformer,FaultDetectionB,XGBoost,0.3353,0.3376,0.0538,0.0146,0.0372,0.0086
Transformer,EigenWorms,XGBoost,0.5826,0.129,0.1033,0.014,0.0785,0.0113
Transformer,AbnormalHeartbeat,XGBoost,-0.6696,0.6902,0.0068,0.0009,0.0052,0.0007
Transformer,FiftyWords,XGBoost,0.747,0.1059,0.0702,0.0087,0.0582,0.0086
Transformer,ArrowHead,XGBoost,0.5557,0.2103,0.0364,0.0079,0.0269,0.0056
Transformer,ChlorineConcentration,XGBoost,0.2359,0.252,0.0097,0.0026,0.0068,0.0014
Transformer,DucksAndGeese,XGBoost,0.3121,0.4501,0.0396,0.0106,0.0281,0.0061
Transformer,BinaryHeartbeat,XGBoost,-0.1224,0.5767,0.0094,0.0016,0.0068,0.001
Transformer,BirdChicken,XGBoost,0.5664,0.1634,0.054,0.0091,0.0411,0.006
Transformer,CinCECGTorso,XGBoost,0.6327,0.1737,0.0951,0.016,0.0773,0.014
